,2004/Q4,2005/Q4,2006/Q4,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
SP2,910,840,970,1000,,1370,1500,1520,,1830,1680,1820,,1300,1490,1410,,1200,1080,980,,600,440,-320,-430,-1670,-1820,-1910,-1870,-2150,-2240,-2370,-2420,-2550,-2710,-2680,-2760,-2830,-2920,-3050,-2860,-2900,-3040,-3130,-3130,-3220,-3880,-3930
CAR,220,110,90,30,,200,130,70,,170,110,70,,60,70,60,,160,90,30,,60,50,20,30,50,40,40,40,60,70,70,40,60,60,60,50,70,80,60,40,60,30,30,20,30,30,10
QR,1000,940,1030,910,,1150,1150,1080,,1260,1150,1140,,720,740,650,,730,620,580,,540,430,290,330,250,220,190,220,210,230,220,230,210,210,220,200,210,200,190,170,180,160,160,160,160,130,120
CR,1120,1070,1140,1110,,1450,1530,1440,,1570,1470,1520,,1240,1440,1330,,1170,1080,1000,,810,690,520,510,370,340,290,300,290,300,300,300,270,270,280,270,270,260,250,220,210,210,200,200,200,180,180
PP,250,120,120,30,,210,140,70,,410,510,380,,70,70,60,,160,90,30,,60,50,30,40,60,50,40,40,60,70,70,40,60,60,60,50,70,80,60,40,60,30,30,20,30,30,10
RCLR,760,880,970,890,,980,1060,1030,,870,640,750,,660,620,590,,560,540,540,,480,370,270,280,190,170,150,180,160,160,150,190,150,150,160,140,140,120,130,130,110,120,120,130,130,100,110
KP,50,40,80,60,,190,220,210,,260,230,250,,130,200,160,,90,50,0,,-140,-250,-540,-580,-1030,-1160,-1340,-1280,-1370,-1340,-1390,-1380,-1520,-1560,-1500,-1560,-1610,-1670,-1730,-1870,-1930,-1970,-2020,-2040,-2070,-2350,-2400
PKKO,30,20,50,30,,150,180,160,,200,170,210,,100,150,130,,80,40,0,,-90,-140,-310,-430,-1070,-1590,-1960,-2280,-2029,-2130,-2490,-2650,-2450,-2350,-2210,-2350,-2570,-2940,-3510,-3840,-3930,-4040,-3630,-3550,-3640,-3350,-3600
RN,5200,3770,3460,4230,4210,3840,3750,3560,4480,4330,4170,3970,3760,4080,4260,4880,4940,5440,5190,4890,5270,4650,4660,4570,3520,2550,2210,1970,1960,2160,2150,2080,1950,1980,2020,2009,1970,1950,1840,1690,1690,1730,1770,2020,2080,1940,2090,2080
CRN,70000,97000,105000,86000,87000,95000,97000,103000,82000,84000,88000,92000,97000,90000,86000,75000,74000,67000,70000,75000,69000,78000,78000,80000,104000,143000,165000,185000,186000,169000,169000,176000,187000,184000,181000,182000,185000,187000,198000,216000,216000,211000,207000,181000,176000,188000,174000,176000
CPZ,92000,111000,109000,93000,93000,101000,99000,100000,80000,87000,106000,122000,129000,130000,125000,120000,118000,115000,126000,137000,127000,152000,170000,216000,299000,527000,730000,937000,1071000,1025000,1051000,1088000,1150000,1151000,1131000,1123000,1228000,1252000,1406000,1619000,1662000,1747000,1719000,1510000,1463000,1510000,1446000,1509000
RZ,35080,44860,67330,33140,-12940,15770,13770,11540,26860,13010,11000,9010,8530,6740,5310,4560,4660,5270,5560,5920,6460,6570,7360,7400,6000,4070,3160,3120,3120,3840,4300,4190,4090,4620,5000,5420,5260,5120,4750,4200,4630,5100,5180,6710,7100,6700,7090,6100
CRZ,10000,8000,5000,11000,-28000,23000,27000,32000,14000,28000,33000,41000,43000,54000,69000,80000,78000,69000,66000,62000,57000,56000,50000,49000,61000,90000,115000,117000,117000,95000,85000,87000,89000,79000,73000,67000,69000,71000,77000,87000,79000,72000,70000,54000,51000,54000,51000,60000
RMO,3530,3090,2940,3500,3480,2790,2660,2480,3120,2750,2300,1970,1860,1980,2080,2290,2310,2480,2460,2460,2650,2510,2590,2530,1960,1360,1170,1040,1050,1160,1170,1120,1060,1080,1130,1150,1080,1070,970,870,890,900,970,1160,1230,1200,1290,1280
RMT,3380,3920,5590,6220,6180,4380,4400,4430,5580,6010,5500,5050,4780,4560,4330,4230,4280,4450,4210,3950,4260,3900,3760,3600,2800,1930,1720,1480,1420,1500,1490,1500,1490,1530,1590,1630,1500,1500,1350,1180,1140,1070,1080,1210,1270,1250,1350,1340
RM,1660,1730,1930,2240,2230,1700,1660,1590,2000,1890,1620,1420,1340,1380,1400,1480,1500,1590,1550,1500,1620,1490,1490,1460,1140,800,700,610,600,660,660,640,620,630,660,670,630,620,560,500,500,490,510,590,620,610,660,660
COP,80000,105000,110000,97000,59000,118000,124000,135000,96000,112000,121000,133000,140000,144000,155000,155000,152000,136000,136000,137000,126000,134000,128000,129000,165000,233000,280000,302000,303000,264000,254000,263000,276000,263000,254000,249000,254000,258000,275000,303000,295000,283000,277000,235000,227000,242000,225000,236000
CSP,-12000,-6000,1000,4000,-34000,17000,25000,35000,16000,25000,15000,11000,11000,14000,30000,35000,34000,21000,10000,0,-1000,-18000,-42000,-87000,-134000,-294000,-450000,-635000,-768000,-761000,-797000,-825000,-874000,-888000,-877000,-874000,-974000,-994000,-1131000,-1316000,-1367000,-1464000,-1442000,-1275000,-1236000,-1268000,-1221000,-1273000
