,2004/Q4,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
ZOCurrent,670,70,20,430,430,380,230,310,460,700,830,900,920,680,680,400,350,450,520,570,630,820,820,990,1000,710,660,530,420,390,370,390,500,510,550,540,530,560,610,640,580,610,580,540,460,380,340,300,370,390,360,320
CZOCurrent,7060,69120,224910,11030,10840,12260,20140,15060,10250,6720,5690,5190,5120,6960,6960,11840,13550,10480,8960,8300,7460,5750,5760,4770,4690,6640,7140,8890,11170,12130,12750,11930,9450,9180,8590,8670,8910,8410,7650,7360,8070,7740,8130,8630,10270,12490,14030,15650,12710,12090,13020,14770
EVCurrent,4300,4520,4670,4510,4700,4330,4700,4810,4700,5830,5940,5800,4700,4860,5550,5520,4700,5050,5210,5430,4700,5040,5130,5370,4700,4760,5480,5280,4700,5250,5290,5010,4840,4630,4640,4650,4430,4680,4810,4920,4810,4780,4760,4740,4620,4740,4810,4910,4870,5330,5270,5500
EVPCurrent,940,1580,1610,1220,1220,1150,2400,2230,1400,1180,890,750,540,590,650,640,560,550,570,610,540,590,620,750,710,790,1000,910,820,1000,1040,950,900,840,830,850,820,880,910,910,910,880,880,870,810,840,840,860,850,910,900,930
EVEBITCurrent,6470,66520,223640,10570,10840,11310,20140,15420,10250,8330,7200,6410,5120,7200,8220,13920,13550,11250,9930,9580,7460,6160,6280,5450,4690,6730,8330,9990,11170,13540,14340,12730,9730,9040,8470,8590,8400,8380,7840,7710,8260,7870,8240,8700,10090,12600,14360,16350,13170,13720,14580,17270
EVEBITDACurrent,5390,22590,30410,8119,8370,8460,15930,12100,8340,6790,5920,5270,4120,5540,6050,8510,7580,6770,6470,6490,6690,4700,4780,4330,3290,5290,6540,7590,8400,9750,10500,9650,7780,7280,7020,7050,6810,6770,6340,6330,6680,6490,6730,7070,7680,8900,9600,10240,9060,10210,10880,12460
DTAR,210,340,380,240,,220,,410,,530,540,510,,450,450,460,,460,490,460,,450,460,450,,480,490,360,,320,340,350,310,270,280,330,310,240,270,330,300,240,260,320,310,290,320,350,330,360,380,400
CG,260,520,620,310,,290,,780,,1310,1310,1180,,930,940,970,,890,990,890,,850,890,840,,950,990,580,,490,540,540,460,380,400,500,470,320,370,500,440,320,350,490,460,420,480,550,500,580,620,690
LDER,60,80,70,160,,170,,390,,400,640,460,,380,370,370,,230,250,210,,190,190,180,,150,190,100,,80,70,160,150,140,120,130,110,90,80,40,40,130,120,130,130,110,100,90,70,120,160,110
PZAT,5300,3970,4600,3780,,3440,,1460,,2360,890,1760,,1940,1940,1910,,2880,2490,2950,,3070,2910,3070,,2950,2680,2760,,3470,3660,1530,1570,1670,1850,1890,2130,3650,2510,5040,5280,2640,2640,2760,2870,3380,3660,4010,4620,3970,2150,3190
