,2007/Q4,2008/Q4,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
EVCurrent,9300,9280,9240,9230,9230,9260,9250,9250,9210,9240,9180,9150,9210,9170,9130,9100,9220,9210,9130,9100,9010,9150,9190,9140,9010,9060,9080,9080,8920,9060,8930,8860,8740,8980,8900,8800,8880
EVPCurrent,49920,37580,30440,32090,32970,31130,28080,23410,19700,17270,14270,12830,11600,10910,10680,10430,10480,10160,9420,8670,7700,7200,6710,6150,5530,4950,4480,4050,3780,3640,3300,3020,2790,2630,2530,2430,2280
EVEBITCurrent,134560,145830,239760,520570,529860,327460,168810,105610,81810,69840,49220,43680,38200,36390,38250,36710,37800,34170,31010,29740,26170,26890,28750,27950,23840,19710,16100,14000,13670,13820,12630,11450,11450,10330,11680,12870,11380
EVEBITDACurrent,124330,138200,189030,328770,332400,239720,145890,96150,76000,65630,46420,41500,36530,34860,35470,34130,35100,30530,29180,27590,24100,25230,26700,25820,22150,18510,15280,13320,12990,13080,11940,10840,10780,9750,10890,11880,10570
DTAR,60,60,120,160,150,190,210,200,190,240,210,200,260,190,560,670,300,250,200,210,510,230,320,250,480,280,290,240,550,300,320,240,520,300,320,270,590
CG,60,70,140,190,180,230,270,250,230,320,260,250,350,240,1270,2000,440,330,250,270,1050,300,470,330,920,390,420,310,1220,430,470,320,1100,420,460,360,1410
LDER,,0,0,,,,0,0,0,10,0,0,0,10,60,30,50,40,30,20,30,20,40,40,30,20,30,40,40,30,20,30,50,40,50,50,80
PZAT,,131000,73240,,,,111420,50440,33860,6840,34890,70500,35140,3450,1420,2040,2020,2290,2340,2940,3560,4610,3090,1990,3150,3760,2850,1970,2810,3240,4790,2470,2350,2670,2450,2540,2500
PELDR,,8510,7190,,,,7950,6270,7730,7980,9300,11840,10770,10970,8090,9670,5790,7270,9230,10110,7350,8970,5840,9090,8220,10670,8070,9780,6200,7010,6820,8880,5980,6800,5870,5970,3690
TSF,,940,880,,,,790,800,810,760,790,800,740,820,460,340,730,780,830,810,500,780,710,780,540,730,730,790,470,720,690,780,500,730,720,770,450
ZKO,60,70,140,180,170,210,230,230,210,270,230,220,280,210,590,690,350,280,220,230,550,250,360,270,510,300,320,260,590,340,360,270,570,330,360,310,670
OSF,1370,580,1000,1300,1510,1520,1860,1430,1630,2120,2110,2570,3020,2270,4550,6480,1930,1960,1960,2260,3930,2230,2040,2390,4100,3180,2530,2420,3540,2290,2380,2310,3250,2180,2009,1730,2280
NetDebt,-117000000,-584000000,-1072920000,-1208000000,-1256720000,-511730000,-383630000,-412350000,-1151210000,2670000,-1650000000,-2301000000,-439000000,-1940380000,-2941200000,-3866600000,297000000,-347519000,-3027041000,-3101340000,79210000,-1514053000,115874000,-1541000000,940040000,-1419506000,-2152000000,-5082000000,1302000000,-1835000000,-2122000000,-6649000000,1418000000,-85000000,-3280000000,-5736000000,8113000000
NetDebtEBITDA,-60,-330,-820,-1610,-1690,-500,-230,-160,-360,0,-310,-380,-60,-270,-410,-520,40,-40,-350,-340,10,-150,10,-160,80,-100,-130,-260,70,-90,-100,-290,60,0,-140,-280,340
DebtFin,-114000000,-424000000,-1486690000,-1794000000,-1904690000,-1163480000,-1230560000,-1394630000,-2286530000,-1548130000,-3268000000,-4178000000,-2581000000,-3555970000,-4745870000,-5626950000,-2202710000,-2541306000,-4661615000,-5671884000,-8116861000,-4181014000,-3091739000,-4430000000,-8152831000,-6743158000,-6054000000,-6155000000,-10623000000,-6692000000,-10464000000,-12520000000,-15870000000,-9126000000,-11328000000,-14096000000,-11890000000
DebtFinEBITDA,-60,-240,-1140,-2390,-2560,-1130,-730,-540,-710,-410,-610,-690,-370,-490,-670,-760,-300,-300,-540,-620,-780,-410,-320,-450,-710,-490,-360,-320,-550,-340,-500,-540,-700,-350,-490,-680,-500
SP1,23290,8500,7190,7260,8850,7250,7950,6260,7710,7910,9290,11840,10750,10810,7670,9370,5530,7010,8960,9910,7160,8820,5640,8740,7990,10480,7820,9440,5960,6790,6670,8610,5690,6530,5570,5670,3430
SP2,23290,8510,7190,7260,8850,7250,7950,6260,7720,7980,9300,11840,10770,10970,8090,9670,5790,7270,9230,10110,7350,8970,5840,9090,8220,10670,8070,9780,6200,7010,6820,8880,5980,6800,5870,5970,3690
CAR,1700,2970,3600,3060,2930,1780,1450,1420,2029,1020,2029,2230,1210,2270,460,300,1010,1240,2420,2060,960,1470,970,1310,910,1320,1140,1190,740,980,1300,1680,860,1020,1280,1690,550
QR,16810,14750,7220,5580,5850,4730,4260,4340,4750,3800,4350,4590,3560,5070,1760,1470,3220,4010,5200,4740,1840,4090,2990,4150,2009,3440,3350,4420,1740,3220,2940,4130,1840,3320,3140,3830,1590
CR,16970,14750,7250,5600,5870,4770,4290,4400,4770,3840,4430,4610,3570,5080,1760,1470,3220,4019,5210,4760,1870,4180,2990,4150,2009,3460,3350,4420,1740,3220,2940,4130,1840,3320,3140,3830,1590
PP,2750,5100,3610,3060,2930,1780,1450,1430,2029,1030,2029,2230,1210,2270,1320,1200,1010,1280,2600,2190,1020,1580,1050,1580,930,1320,1460,2100,950,1350,1300,1990,980,1120,1470,1840,720
RCLR,13720,9350,3520,2440,2780,2810,2730,2830,2650,2720,2260,2300,2300,2740,430,260,2170,2640,2520,2490,800,2430,1870,2530,1050,2080,1860,2300,780,1840,1600,2100,830,2120,1600,1910,850
KP,900,830,760,730,750,700,690,670,710,670,710,730,670,740,410,310,600,670,740,730,430,690,590,690,470,660,640,710,390,620,590,690,420,620,600,640,330
PKKO,360,410,-9320,-1470,-890,-470,-12110,-14450,-18460,-18630,460,560,270,550,-15690,-18600,-650,-7380,-16870,-15920,-9000,-14640,-11270,-14490,-11470,-15320,-15680,-19550,-11530,-14860,-13990,-19100,-12010,-14460,-13250,-15090,-8490
RN,5420,4940,4680,4630,4530,4870,4770,4840,5050,4760,5160,5230,5170,5380,5170,5000,4860,4710,4920,4950,5260,5470,5450,5570,5610,5630,5720,5830,5850,5920,6090,6140,6060,5950,5960,6080,6140
CRN,67000,74000,78000,79000,81000,75000,76000,75000,72000,77000,71000,70000,71000,68000,71000,73000,75000,77000,74000,74000,69000,67000,67000,66000,65000,65000,64000,63000,62000,62000,60000,59000,60000,61000,61000,60000,59000
CPZ,5000,8000,21000,27000,28000,26000,28000,27000,26000,28000,27000,28000,30000,28000,63000,132000,133000,130000,93000,30000,44000,42000,43000,41000,39000,38000,38000,37000,43000,43000,43000,42000,44000,42000,42000,42000,43000
RZ,284910,,,-99740,-267210,-323710,,,,,194150,211270,350800,258649,,,-1164110,,,,,,,,,,,,,,,,,,,,
CRZ,1000,,,-4000,-1000,-1000,,,,,2000,2000,1000,1000,,,0,,,,,,,,,,,,,,,,,,,,
RMO,4380,3130,2710,2420,2230,2410,2550,2840,3040,3040,3090,2920,3000,2940,2180,1490,1480,1520,1860,2830,2670,2730,2890,3080,3250,3300,3260,3200,3060,3080,3160,3170,3100,3170,3130,3180,3330
RMT,103770,25230,21760,18400,18100,19350,21650,23080,24280,25460,27430,31060,35580,37000,31560,27690,23600,22330,24390,26140,29390,31330,30140,31550,34070,37080,39010,38480,35810,32369,31950,31500,30430,30350,28170,25560,24340
RM,4200,2790,2410,2140,1990,2140,2280,2530,2700,2710,2770,2670,2770,2720,2040,1410,1400,1430,1730,2560,2450,2510,2640,2810,2960,3030,3010,2950,2820,2810,2880,2880,2820,2870,2820,2820,2930
COP,68000,,,75000,80000,74000,,,,,73000,72000,72000,69000,,,,,,,,,,,,,,,,,,,,,,,
CSP,63000,,,48000,52000,48000,,,,,46000,44000,42000,41000,,,,,,,,,,,,,,,,,,,,,,,
