,2004/Q4,2005/Q4,2006/Q4,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
CR,1550,1520,1570,1320,1440,3450,,2080,2500,2390,,1710,2260,2650,,2050,2930,1940,,1630,1640,1360,1970,1330,1410,1270,1240,1200,1080,1010,1500,1460,1480,1400,1480,1550,1540,1320,1320,1390,1410,1360,1400,1470,1570,1400
PP,280,100,310,210,220,1400,,500,460,350,,340,310,630,,540,810,360,,250,280,130,360,170,240,170,130,140,90,80,440,240,320,120,60,200,340,260,50,270,290,140,30,120,260,170
RCLR,1190,1420,1260,1070,1150,1850,,1380,1560,1600,,1240,1460,1880,,1460,2029,1500,,1340,1310,1200,1560,1120,1110,1050,1070,1060,970,920,1040,1200,1130,1260,1390,1320,1160,1030,1250,1100,1110,1210,1350,1340,1280,1210
KP,240,280,290,190,210,550,,400,440,430,,320,410,450,,390,480,330,,260,230,140,270,140,130,100,100,80,30,10,180,190,180,160,180,210,180,130,130,170,180,160,180,220,230,180
PKKO,150,170,190,170,140,520,,370,330,290,,280,260,270,,310,330,220,,210,170,110,210,150,130,110,100,90,30,0,150,150,130,110,130,150,120,100,90,120,120,90,110,130,130,100
RN,4650,2880,3400,3990,4570,4270,4700,4610,4070,3850,3890,3490,3710,3800,4080,4080,3950,3730,3830,3750,3590,3490,3400,3010,2940,2820,2840,3240,3200,3570,3820,3860,3900,3710,3530,3510,3590,3610,3610,3800,3770,3700,3700,3570,3580,3560
CRN,79000,127000,107000,92000,80000,85000,78000,79000,90000,95000,94000,105000,98000,96000,89000,90000,92000,98000,95000,97000,102000,105000,107000,121000,124000,129000,128000,113000,114000,102000,96000,95000,93000,98000,103000,104000,102000,101000,101000,96000,97000,99000,99000,102000,102000,102000
CPZ,66000,89000,85000,82000,71000,67000,60000,56000,58000,63000,63000,74000,71000,66000,62000,57000,54000,61000,59000,63000,74000,81000,80000,96000,102000,110000,118000,106000,110000,102000,96000,91000,87000,85000,83000,81000,79000,83000,85000,85000,86000,85000,83000,81000,79000,79000
RZ,,,,208050,181300,131250,152540,135480,88380,65550,67200,49370,45820,51400,54300,89050,254340,945150,955280,1042990,1060040,6601430,6616530,3975580,2612440,2541490,2121210,2961240,5093270,5849170,12710800,13839000,14786800,,,,,,,,,,,,,
CRZ,,,,2000,2000,3000,2000,3000,4000,6000,5000,7000,8000,7000,7000,4000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
RMO,3550,2690,2720,3170,3640,2920,3220,2970,2500,2520,2540,2370,2540,2640,2840,2810,2780,2700,2770,2870,2880,2910,2810,2500,2430,2300,2360,2730,2780,3160,3180,3160,3080,2950,3020,3040,3110,3020,3030,3120,3110,3140,3170,3170,3200,3170
RMT,7760,11620,9970,9510,9580,8650,9520,8840,7650,7200,7280,7210,7910,8350,8960,8360,8070,7120,7310,6520,5310,4350,3940,3070,2630,2330,2330,2570,2570,2830,2990,3270,3540,3790,3960,4030,4010,3930,3900,4059,4410,4610,4990,5360,5600,5830
RM,2440,2180,2140,2380,2640,2190,2400,2220,1880,1860,1880,1770,1900,1980,2120,2090,2060,1960,2009,1990,1870,1750,1640,1380,1260,1160,1170,1320,1330,1490,1540,1610,1650,1660,1710,1730,1750,1710,1700,1760,1820,1870,1940,1990,2040,2050
COP,,,,94000,82000,88000,80000,82000,94000,101000,99000,112000,106000,103000,96000,94000,93000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSP,,,,12000,11000,21000,20000,26000,36000,38000,36000,38000,35000,37000,34000,37000,39000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
