,2006/Q4,2007/Q4,2008/Q4,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
ZCurrent_yy,,-14.79,40.37,,,-2.05,,-15.99,-10.51,-22.69,-39.27,-26.15,-42.56,-13.13,16.98,-39.17,96.05,77.51,81.30,232.29,-20.78,-29.80,-59.81,-48.12,-57.27,-62.61,-28.34,-114.53,-98.49,-144.24,-225.88,-1132.42,-26964.29,-1575.45,-283.75,40.92,60.60,111.30,119.81,156.12
ZCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZCurrent_qq,,,,,0.15,-12.09,0.08,-4.65,6.68,-24.06,-21.38,15.94,-17.02,14.85,5.87,-39.71,167.42,3.99,8.13,10.51,-36.25,-7.85,-38.10,42.67,-47.50,-19.35,18.63,-128.93,105.47,-2457.14,-237.58,-183.21,-19.21,-47.01,22.68,56.40,20.49,142.17,35.52,23.49
ZCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZCurrent_yy,,17.39,-28.75,,,2.09,,19.05,11.73,29.36,64.67,35.39,74.13,15.12,-14.52,64.43,-48.99,-43.68,-44.84,-69.91,26.21,42.44,148.81,92.67,134.04,167.55,39.58,,6556.10,,,,,,,,,,,
CZCurrent_sy,,10.38,1.00,,,26.78,,19.07,18.27,12.95,-43.65,5.94,-33.18,-23.02,-5.69,-33.82,-14.00,-11.53,9.00,9.92,13.20,26.22,2.12,-4.69,-1.12,-19.04,-4.76,,5.31,,,,,,,,,,,
CZCurrent_qq,,,,,-0.14,13.76,-0.08,4.89,-6.28,31.71,27.19,-13.76,20.53,-12.92,-5.56,65.89,-62.61,-3.85,-7.50,-9.51,56.84,8.51,61.57,-29.93,90.51,24.05,-15.71,,,,,,,,,,,,-26.25,-19.02
CZCurrent_sq,,,,,19.49,4.42,39.97,-31.82,18.69,-0.28,-30.17,28.17,-25.14,14.88,-14.45,-10.06,-2.70,18.17,5.41,-9.31,0.20,31.78,-14.72,-15.36,3.96,7.88,0.33,,,,,,,,,,,,-13.51,-20.95
ZOCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
