,2013/Q4,2014/Q4,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
PCurrent_yy,,17.90,23.27,,,,22.86,20.08,13.13,16.20,15.60,14.10,10.63
PCurrent_sy,,,,,,,,,,,,,
PCurrent_qq,,,,5.28,9.37,2.78,3.82,2.89,3.04,5.56,3.29,1.56,-0.09
PCurrent_sq,,,,,,,,,,,,,
CPCurrent,,,,,,,,,,,,,
CPCurrent_yy,,-15.18,-18.88,,,,-18.61,-16.72,-11.60,-13.94,-13.49,-12.35,-9.61
CPCurrent_sy,,0.27,-25.31,,,,7.76,6.94,6.33,-1.41,-6.95,6.82,3.03
CPCurrent_qq,,,,-5.01,-8.57,-2.70,-3.68,-2.81,-2.95,-5.27,-3.18,-1.53,0.09
CPCurrent_sq,,,,0.61,2.04,0.22,4.73,-0.16,1.46,-7.08,-1.15,14.63,-2.15
ZCurrent,,,,,,,,,,,,,
ZCurrent_yy,,17.99,-7.11,,,,150.92,123.25,118.30,167.17,34.38,54.04,16.63
ZCurrent_sy,,,,,,,,,,,,,
ZCurrent_qq,,,,11.66,17.83,-6.39,103.74,-0.66,15.22,14.56,2.48,13.87,-12.76
ZCurrent_sq,,,,,,,,,,,,,
CZCurrent,,,,,,,,,,,,,
CZCurrent_yy,,-15.25,7.65,,,,-60.15,-55.21,-54.19,-62.57,-25.58,-35.08,-14.26
CZCurrent_sy,,-0.65,0.04,,,,-1.13,20.85,21.76,-7.01,28.44,33.44,3.56
CZCurrent_qq,,,,-10.44,-15.13,6.83,-50.92,0.66,-13.21,-12.71,-2.42,-12.18,14.62
CZCurrent_sq,,,,-26.24,10.00,6.56,14.35,-9.84,10.83,-18.62,57.94,-6.33,-13.99
ZOCurrent,,,,,,,,,,,,,
ZOCurrent_yy,,14.91,29.59,,,,96.89,83.07,83.65,106.82,34.14,42.04,7.46
ZOCurrent_sy,,,,,,,,,,,,,
ZOCurrent_qq,,,,9.83,15.21,-0.55,56.46,2.13,15.57,11.99,1.48,8.14,-12.57
ZOCurrent_sq,,,,,,,,,,,,,
CZOCurrent,,,,,,,,,,,,,
CZOCurrent_yy,,-12.98,-22.84,,,,-49.21,-45.38,-45.55,-51.65,-25.45,-29.60,-6.94
CZOCurrent_sy,,-22.07,5.24,,,,-22.33,68.22,19.50,-6.50,39.02,10.97,-6.92
CZOCurrent_qq,,,,-8.95,-13.20,0.56,-36.09,-2.08,-13.48,-10.71,-1.45,-7.53,14.37
CZOCurrent_sq,,,,-41.42,42.24,-9.64,3.15,26.88,1.04,-29.29,53.36,1.28,-15.25
EVCurrent,,,,,,,,,,,,,
EVCurrent_yy,,-0.52,0.28,,,,1.97,-0.61,0.83,1.86,-1.45,-3.08,-2.18
EVCurrent_sy,,,,,,,,,,,,,
EVCurrent_qq,,,,1.74,0.44,-0.02,-0.19,-0.84,1.89,1.00,-3.43,-2.49,2.85
EVCurrent_sq,,,,,,,,,,,,,
EVPCurrent,,,,,,,,,,,,,
EVPCurrent_yy,,-15.62,-18.65,,,,-17.00,-17.23,-10.88,-12.34,-14.74,-15.05,-11.57
EVPCurrent_sy,,-25.31,-4.28,,,,5.80,-3.00,1.82,-1.43,12.99,25.94,10.09
EVPCurrent_qq,,,,-3.36,-8.16,-2.72,-3.87,-3.63,-1.11,-4.32,-6.50,-3.98,2.94
EVPCurrent_sq,,,,18.21,-8.70,2.47,-4.34,8.38,-4.16,-0.79,9.65,20.80,-16.22
EVEBITCurrent,,,,,,,,,,,,,
EVEBITCurrent_yy,,-13.43,-22.62,,,,-48.21,-45.71,-45.10,-50.75,-26.53,-31.77,-8.97
EVEBITCurrent_sy,,-22.87,-15.52,,,,-7.01,50.34,7.99,41.31,37.25,26.38,12.94
EVEBITCurrent_qq,,,,-7.37,-12.82,0.53,-36.21,-2.91,-11.84,-9.82,-4.83,-9.83,17.63
EVEBITCurrent_sq,,,,-27.92,39.33,-16.93,11.47,16.53,0.09,8.70,8.27,7.30,-10.56
EVEBITDACurrent,,,,,,,,,,,,,
EVEBITDACurrent_yy,,-12.51,-23.89,,,,-42.13,-40.27,-40.61,-45.67,-24.67,-30.10,-9.81
EVEBITDACurrent_sy,,-5.07,-9.18,,,,-1.83,8.24,-29.74,-3.39,19.18,13.38,21.77
EVEBITDACurrent_qq,,,,-5.57,-10.14,-0.37,-31.54,-2.54,-10.65,-8.86,-5.09,-9.57,15.30
EVEBITDACurrent_sq,,,,0.19,31.69,-22.41,-4.10,10.47,-14.52,6.68,18.31,5.09,-8.19
ROE,,,,,,,,,,,,,
ROE_yy,,-9.14,-20.73,,,,79.20,37.24,54.36,82.37,-7.23,-8.57,-26.64
ROE_sy,,0.51,-11.63,,,,-24.02,-13.51,-33.52,2.93,22.09,9.16,42.62
ROE_qq,,,,14.86,0.36,-14.82,82.51,-12.04,12.88,0.64,-7.16,-13.30,-9.43
ROE_sq,,,,-11.49,5.19,-11.48,-7.81,0.76,-19.14,37.05,9.35,-9.91,5.64
ROA,,,,,,,,,,,,,
ROA_yy,,-6.33,-19.66,,,,96.94,79.74,75.27,105.99,7.14,18.22,-8.54
ROA_sy,,-23.05,-20.95,,,,-14.15,19.67,2.20,54.33,8.14,-24.23,13.11
ROA_qq,,,,4.13,9.84,-10.70,92.81,-4.97,7.11,4.96,0.29,4.86,-17.14
ROA_sq,,,,-2.44,-16.67,-16.80,26.92,35.98,-28.83,25.64,-11.06,-4.73,6.25
OPM,,,,,,,,,,,,,
OPM_yy,,-2.51,5.15,,,,60.23,52.44,62.38,78.01,16.04,24.49,-2.86
OPM_sy,,21.88,12.23,,,,-14.41,19.25,-7.46,-5.77,-21.15,-24.66,-0.77
OPM_qq,,,,4.35,5.28,-3.22,50.70,-0.72,12.14,6.10,-1.76,6.51,-12.50
OPM_sq,,,,-24.69,-1.40,8.76,5.98,4.93,-23.48,10.74,-11.32,0.26,0.78
ROS,,,,,,,,,,,,,
ROS_yy,,,-24.61,,,,104.22,86.02,93.04,129.86,16.22,35.00,5.41
ROS_sy,,,-18.30,,,,13.32,9.17,-16.96,-15.41,-18.57,-10.92,17.28
ROS_qq,,,,6.02,7.73,-8.86,96.18,-3.42,11.79,8.52,-0.81,12.18,-12.71
ROS_sq,,,,-15.83,5.50,15.65,10.34,-18.91,-19.75,17.80,6.22,-11.30,5.66
RS,,,,,,,,,,,,,
RS_yy,,22.62,-25.11,,,,55.09,50.83,45.05,68.73,14.46,11.40,-1.43
RS_sy,,36.19,38.55,,,,-33.90,-12.75,0.12,-9.76,-14.90,-28.43,-3.72
RS_qq,,,,4.28,8.28,-5.99,46.09,1.42,4.13,9.36,-0.90,-1.28,-7.87
RS_sq,,,,-1.28,-30.18,14.53,-16.27,30.31,-19.88,3.23,-21.03,9.59,7.78
GPM,,,,,,,,,,,,,
GPM_yy,,-4.82,10.51,,,,53.35,46.66,54.84,70.81,14.94,27.58,3.35
GPM_sy,,20.36,-17.93,,,,17.54,23.10,-8.29,10.29,-15.05,-2.10,18.08
GPM_qq,,,,3.49,4.49,-4.24,48.08,-1.03,10.32,5.64,-0.35,9.86,-10.63
GPM_sq,,,,-10.77,-2.24,9.70,22.83,-6.54,-27.17,31.92,-5.39,7.70,-12.16
RBS,,,,,,,,,,,,,
RBS_yy,,,,,,,,,,,,,
RBS_sy,,,,,,,,,,,,,
RBS_qq,,,,,,,,,,,,,
RBS_sq,,,,,,,,,,,,,
ROPA,,,,,,,,,,,,,
ROPA_yy,,-8.82,12.09,,,,54.44,47.43,47.34,59.55,7.04,9.03,-15.69
ROPA_sy,,35.35,-19.06,,,,-4.78,-7.57,-25.58,-10.41,-17.69,-7.67,20.17
ROPA_qq,,,,2.42,7.50,-5.25,48.06,-2.23,7.43,2.61,-0.67,-0.42,-16.93
ROPA_sq,,,,4.11,3.54,-5.91,-6.12,1.06,-16.64,13.27,-13.75,13.37,8.49
ZNPO,,,,,,,,,,,,,
ZNPO_yy,,-49.72,11.07,,,,120.47,90.85,63.71,74.40,-22.64,-26.92,-13.46
ZNPO_sy,,33.97,-27.08,,,,7.94,-27.00,-56.13,-61.41,4.57,-8.49,111.12
ZNPO_qq,,,,10.01,12.26,-8.60,95.32,-4.77,-3.70,-2.64,-13.36,-10.03,14.03
ZNPO_sq,,,,21.85,21.33,-4.95,-23.18,-17.59,-27.10,-16.39,108.17,-27.88,68.19
ZFI,,,,,,,,,,,,,
ZFI_yy,,-76.48,14.78,,,,-26.71,11.09,-39.33,-50.04,-54.12,-57.29,34.74
ZFI_sy,,-10.46,6.16,,,,-11.91,17.76,14.20,9.43,13.18,-5.82,9.82
ZFI_qq,,,,-31.46,23.74,4.43,-17.25,3.89,-32.42,-14.00,-24.02,-3.28,113.19
ZFI_sq,,,,-4.69,-0.92,8.00,-13.63,27.42,-3.92,3.49,-10.67,6.03,12.04
DTAR,,,,,,,,,,,,,
DTAR_yy,,-1.69,-0.95,,,,-4.51,-10.74,-5.23,-4.47,-6.83,-15.03,-12.23
DTAR_sy,,-8.16,13.05,,,,-5.71,-6.29,-6.75,-14.83,5.82,-0.02,-4.97
DTAR_qq,,,,4.11,-3.19,-3.12,-2.21,-2.68,2.78,-2.35,-4.62,-11.24,6.17
DTAR_sq,,,,3.74,10.47,-2.44,-15.66,3.09,9.92,-10.89,4.79,-2.60,4.48
CG,,,,,,,,,,,,,
CG_yy,,-4.65,-2.28,,,,-13.05,-31.84,-16.52,-15.49,-19.40,-34.27,-29.63
CG_sy,,3.44,12.33,,,,-15.53,5.73,-22.14,-2.28,12.20,2.93,1.57
CG_qq,,,,14.84,-11.55,-7.53,-7.43,-9.98,8.34,-6.39,-11.71,-26.58,15.98
CG_sq,,,,-14.53,55.11,-31.13,-7.48,6.97,14.23,-13.57,6.23,-1.86,12.72
LDER,,,,,,,,,,,,,
LDER_yy,,-13.31,7.98,,,,-12.26,-26.66,-16.96,-19.49,-18.61,-33.94,-26.81
LDER_sy,,-12.35,40.09,,,,-3.91,16.53,-9.88,-11.68,3.39,1.86,13.44
LDER_qq,,,,11.68,-13.25,-5.55,-4.11,-6.65,-1.78,-8.43,-3.06,-24.23,8.82
LDER_sq,,,,-1.83,33.55,-17.86,-10.77,19.06,3.28,-19.50,4.46,17.29,15.02
PZAT,,,,,,,,,,,,,
PZAT_yy,,5.54,-17.58,,,,13.13,10.43,-1.63,-11.25,-15.00,-7.09,-0.54
PZAT_sy,,-8.11,4.92,,,,-40.42,-36.42,-24.58,-27.23,21.91,5.67,4.97
PZAT_qq,,,,-2.53,10.12,5.49,-0.08,-4.86,-1.91,-4.83,-4.30,3.99,5.02
PZAT_sq,,,,-9.17,-0.51,-3.27,-31.83,-3.08,18.01,-6.67,14.20,-15.98,17.22
PELDR,,,,,,,,,,,,,
PELDR_yy,,-13.17,8.53,,,,-5.76,9.15,2.77,6.34,9.12,-0.42,-1.03
PELDR_sy,,-3.11,2.08,,,,-3.69,1.26,-1.62,3.10,1.27,7.02,1.55
PELDR_qq,,,,-4.73,0.27,-3.12,1.84,10.34,-5.59,0.24,4.50,0.70,-6.17
PELDR_sq,,,,-5.39,0.35,-1.75,3.25,-0.52,-2.51,2.96,1.42,5.12,-7.49
TSF,,,,,,,,,,,,,
TSF_yy,,-5.90,6.39,,,,1.19,7.70,1.31,-0.63,2.45,3.20,5.00
TSF_sy,,1.45,1.43,,,,1.07,3.73,9.94,4.03,-4.21,-6.24,-6.01
TSF_qq,,,,-2.55,-0.21,1.07,2.96,3.72,-6.14,-0.86,6.15,4.47,-4.49
TSF_sq,,,,-1.15,-6.13,4.86,3.87,1.45,-0.51,-0.77,-4.36,-0.70,-0.26
ZKO,,,,,,,,,,,,,
ZKO_yy,,20.34,-3.11,,,,9.83,-15.25,-16.83,-27.53,-24.34,-16.43,-3.26
ZKO_sy,,-1.25,13.32,,,,0.83,3.36,18.67,2.70,8.60,-1.32,-15.66
ZKO_qq,,,,11.30,-1.27,6.73,-6.35,-14.11,-3.11,-7.01,-2.23,-5.13,12.15
ZKO_sq,,,,1.99,2.46,-3.21,-0.32,4.55,17.64,-16.23,5.41,-5.01,0.55
OSF,,,,,,,,,,,,,
OSF_yy,,14.36,-1.05,,,,15.21,12.98,-1.18,-10.00,-6.07,8.66,16.53
OSF_sy,,1.24,-0.63,,,,-4.10,-1.37,2.38,0.92,-5.78,-1.11,-1.96
OSF_qq,,,,-1.39,7.38,8.59,0.19,-3.30,-6.07,-1.10,4.56,11.86,0.73
OSF_sq,,,,-2.72,-3.32,-1.60,3.61,0.06,0.36,-3.01,-3.27,5.03,-0.50
NetDebt,56160961000,72966220000,85709197000,94234556000,98579094000,101187145000,105865663000,105888934000,114649813000,113302406000,106579386000,98400008000,119126772000
NetDebt_yy,,,,,,,,,,,,,
NetDebt_sy,,,,,,,,,,,,,
NetDebt_qq,,,,,,,,,,,,,
NetDebt_sq,,,,,,,,,,,,,
NetDebtEBITDA,,,,,,,,,,,,,
NetDebtEBITDA_yy,,14.26,-10.85,,,,-29.90,-32.47,-31.49,-40.27,-23.05,-32.98,-4.21
NetDebtEBITDA_sy,,5.44,-5.73,,,,-6.51,-11.83,-13.39,-14.73,12.32,19.96,-2.46
NetDebtEBITDA_qq,,,,2.05,-6.42,2.29,-28.24,-1.69,-5.05,-10.83,-7.55,-14.38,35.71
NetDebtEBITDA_sq,,,,7.42,10.41,-5.57,-16.54,1.32,8.46,-7.03,9.94,8.21,-11.82
DebtFin,-2920570000,-4232274000,-3517294000,868402000,2003042000,1939664000,1459642000,-701743000,4128680000,6730948000,-2259484000,-8563720000,-1525416000
DebtFin_yy,,,,,,,,,,,,,
DebtFin_sy,,,,,,,,,,,,,
DebtFin_qq,,,,,,,,,,,,,
DebtFin_sq,,,,,,,,,,,,,
DebtFinEBITDA,,,,,,,,,,,,,
DebtFinEBITDA_yy,,-27.45,36.92,,,,123.54,-148.51,21.34,85.20,-218.31,-780.61,-134.09
DebtFinEBITDA_sy,,42.69,-11.11,,,,26.73,-11.39,-51.95,-25.45,-0.07,50.56,82.15
DebtFinEBITDA_qq,,,,122.92,106.44,-3.60,-48.38,-147.23,616.33,47.13,-132.98,-251.53,80.01
DebtFinEBITDA_sq,,,,43.60,2.16,4.63,-17.44,0.41,-44.60,62.33,10.67,51.28,-32.98
SP1,,,,,,,,,,,,,
SP1_yy,,-4.96,2.13,,,,4.89,33.30,18.80,24.20,24.18,30.00,20.46
SP1_sy,,-2.27,-6.43,,,,1.59,8.13,0.62,-3.12,-8.58,-4.42,3.57
SP1_qq,,,,-11.39,8.77,1.73,6.99,12.61,-3.07,6.35,6.97,17.89,-10.18
SP1_sq,,,,-8.93,-3.44,5.31,9.69,-3.06,-10.15,1.39,3.51,1.35,-2.63
SP2,,,,,,,,,,,,,
SP2_yy,,-13.27,7.22,,,,-3.35,9.63,6.04,9.17,10.05,3.80,1.41
SP2_sy,,-1.17,3.85,,,,-2.52,0.39,-1.00,-1.15,-0.23,4.86,3.01
SP2_qq,,,,-4.77,-0.83,-1.83,4.26,8.02,-4.08,1.07,5.09,1.88,-6.29
SP2_sq,,,,-5.93,-1.99,1.87,3.79,-3.12,-3.35,1.71,4.76,1.82,-5.05
CAR,,,,,,,,,,,,,
CAR_yy,,-45.81,-0.83,,,,-15.93,9.96,15.49,54.14,146.02,123.35,5.89
CAR_sy,,36.33,3.76,,,,-8.04,6.36,-22.03,-34.28,-8.11,-31.44,-9.07
CAR_qq,,,,9.37,-12.62,-5.61,-6.81,43.06,-8.22,25.97,48.74,29.88,-56.49
CAR_sq,,,,-4.70,-9.48,6.76,-0.15,10.23,-33.64,-10.01,39.60,-17.76,-11.98
QR,,,,,,,,,,,,,
QR_yy,,-37.50,27.20,,,,2.44,58.09,45.91,53.55,47.84,45.67,22.61
QR_sy,,-13.52,-2.89,,,,23.30,23.12,3.24,1.22,-8.56,-2.46,-7.21
QR_qq,,,,-19.68,-9.48,1.81,38.40,23.95,-16.45,7.14,33.25,22.13,-29.68
QR_sq,,,,-0.34,-2.58,4.78,21.21,-0.49,-18.31,2.73,9.49,6.16,-22.29
CR,,,,,,,,,,,,,
CR_yy,,-35.25,34.37,,,,-6.23,50.46,18.56,21.51,36.57,22.02,15.31
CR_sy,,-9.05,4.14,,,,7.44,12.27,-5.61,12.79,-8.36,-8.90,6.29
CR_qq,,,,-17.38,-3.99,-0.68,19.01,32.58,-24.35,1.79,33.76,18.45,-28.50
CR_sq,,,,-2.66,-0.13,-7.11,18.99,1.72,-16.04,11.00,-3.33,1.12,-2.05
PP,,,,,,,,,,,,,
PP_yy,,-45.81,-0.83,,,,-15.93,9.96,15.49,95.88,224.76,201.29,87.47
PP_sy,,-3.02,-0.22,,,,27.58,8.39,-7.72,-9.94,-20.57,-41.88,-33.08
PP_qq,,,,9.37,-12.62,-5.61,-6.81,43.06,-8.22,60.09,54.51,32.72,-42.90
PP_sq,,,,12.78,-4.73,-12.62,35.89,-4.18,-18.89,-14.72,19.85,-29.88,-6.61
RCLR,,,,,,,,,,,,,
RCLR_yy,,-31.24,-4.92,,,,14.05,150.84,76.28,22.03,-3.91,-21.20,-11.80
RCLR_sy,,1.47,-20.00,,,,13.48,32.34,4.60,25.04,-11.26,-17.30,-10.00
RCLR_qq,,,,-33.64,6.33,15.89,39.47,45.96,-25.27,-19.78,9.82,19.70,-16.36
RCLR_sq,,,,-2.76,8.45,-8.04,17.02,13.39,-14.27,9.93,-16.95,5.68,-6.71
KP,,,,,,,,,,,,,
KP_yy,,-72.14,145.61,,,,-22.86,118.34,82.44,124.89,90.34,20.53,15.10
KP_sy,,19.43,-2.43,,,,1.65,9.17,-22.67,-1.97,-15.30,1.48,17.96
KP_qq,,,,-39.90,-14.94,-11.78,71.04,70.11,-28.93,8.75,44.77,7.71,-32.13
KP_sq,,,,-17.48,-4.33,-10.03,43.10,-11.37,-32.23,14.06,23.64,6.18,-21.23
PKKO,,,,,,,,,,,,,
PKKO_yy,,68.00,-103.53,,,,7.20,-159.53,-107.10,-169.96,-117.27,-34.57,-26.85
PKKO_sy,,131.68,-72.83,,,,-3634.04,106.54,269.37,-194.71,16.92,-861.17,-277.79
PKKO_qq,,,,35.96,7.94,11.04,-76.94,-79.10,26.54,-15.96,-42.41,-10.93,30.76
PKKO_sq,,,,-3448.94,71.79,185.14,-539.42,106.20,630.10,-147.61,-285.47,43.19,-70.54
RN,,,,,,,,,,,,,
RN_yy,,7.93,47.40,,,,18.86,-14.75,-32.47,-36.00,-31.63,-13.85,4.17
RN_sy,,7.10,0.90,,,,-12.18,-15.51,-16.87,-17.68,-3.36,1.24,3.73
RN_qq,,,,16.61,7.96,-0.70,-4.92,-16.36,-14.49,-5.89,1.58,5.38,3.41
RN_sq,,,,1.17,0.35,0.81,-14.19,-2.67,-1.27,-0.18,0.74,1.97,1.16
CRN,70000,65000,44000,38000,35000,35000,37000,44000,52000,55000,54000,52000,50000
CRN_yy,,-7.14,-32.31,,,,-15.91,15.79,48.57,57.14,45.95,18.18,-3.85
CRN_sy,,-6.58,-1.41,,,,14.29,17.14,19.08,22.48,3.75,-1.22,2.56
CRN_qq,,,,-13.64,-7.89,,5.71,18.92,18.18,5.77,-1.82,-3.70,-3.85
CRN_sq,,,,,-6.43,,24.03,2.50,-4.88,1.28,5.06,-2.41,-1.23
CPZ,80000,108000,77000,81000,79000,79000,78000,74000,76000,79000,78000,78000,79000
CPZ_yy,,35.00,-28.70,,,,1.30,-8.64,-3.80,,,5.41,3.95
CPZ_sy,,4.32,-8.81,,,,19.89,11.83,9.78,,,0.48,
CPZ_qq,,,,5.19,-2.47,,-1.27,-5.13,2.70,3.95,-1.27,,1.28
CPZ_sq,,,,5.68,-1.08,,13.44,-1.42,-2.88,-1.98,4.55,,-3.35
RZ,,,,,,,,,,,,,
RZ_yy,,,,,,,,,,,,,
RZ_sy,,,,,,,,,,,,,
RZ_qq,,,,,,,,,,,,,
RZ_sq,,,,,,,,,,,,,
CRZ,,,,,,,,,,,,,
CRZ_yy,,,,,,,,,,,,,
CRZ_sy,,,,,,,,,,,,,
CRZ_qq,,,,,,,,,,,,,
CRZ_sq,,,,,,,,,,,,,
RMO,,,,,,,,,,,,,
RMO_yy,,14.60,4.29,,,,17.83,7.37,-6.31,-16.22,-22.69,-23.28,-21.04
RMO_sy,,9.66,-2.11,,,,-6.58,-9.14,-3.75,-5.10,-6.82,-6.64,-11.33
RMO_qq,,,,5.12,7.46,3.14,1.13,-4.21,-6.23,-7.77,-6.68,-4.94,-3.50
RMO_sq,,,,3.63,-2.89,-0.72,-6.50,0.79,2.88,-2.11,-8.20,0.99,-2.30
RMT,,,,,,,,,,,,,
RMT_yy,,-13.70,7.44,,,,0.38,-1.96,-7.70,-5.23,-2.68,-5.61,-10.94
RMT_sy,,-2.61,0.11,,,,-2.75,-6.25,-6.40,-9.55,-12.41,-15.05,-4.62
RMT_qq,,,,0.39,4.85,-1.41,-3.27,-1.95,-1.29,1.23,-0.66,-4.91,-6.86
RMT_sq,,,,0.65,-5.85,6.05,-3.23,-2.98,-5.99,2.47,-6.29,-5.90,5.54
RM,,,,,,,,,,,,,
RM_yy,,-6.38,6.60,,,,4.48,0.26,-7.36,-8.16,-8.25,-10.54,-13.68
RM_sy,,9.37,0.22,,,,-8.10,-10.82,-13.41,-16.82,-27.56,-10.47,9.77
RM_qq,,,,1.61,5.51,-0.31,-2.24,-2.49,-2.52,-1.16,-2.34,-4.92,-5.94
RM_sq,,,,3.49,-1.16,4.04,-13.64,0.43,-4.03,-0.06,-24.79,24.12,17.66
COP,,,,,,,,,,,,,
COP_yy,,,,,,,,,,,,,
COP_sy,,,,,,,,,,,,,
COP_qq,,,,,,,,,,,,,
COP_sq,,,,,,,,,,,,,
CSP,,,,,,,,,,,,,
CSP_yy,,,,,,,,,,,,,
CSP_sy,,,,,,,,,,,,,
CSP_qq,,,,,,,,,,,,,
CSP_sq,,,,,,,,,,,,,
