,2004/Q4,2005/Q4,2006/Q4,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
PZAT,6370,6210,2120,2040,,3150,3210,5960,,5420,5640,6330,,6950,4580,4910,,4810,4740,4840,,4710,4600,4490,4530,4960,4960,4810,4990,4940,4700,4680,4680,4750,5140,4180,2360,2390,2190,2180,6070,5710,5680,3380,3520,3310,3330,3180
PELDR,2840,2210,3530,2400,,2930,2710,2370,,1970,2190,2150,,1690,1700,1590,,1690,1730,1740,,2040,1870,1910,1840,1650,1850,1910,1770,2220,2180,2140,2250,2150,2040,1950,1840,1780,1780,1760,1360,1220,1200,1770,1610,1530,1310,1390
TSF,450,580,500,480,,730,790,770,,650,660,710,,730,750,700,,620,610,610,,530,640,600,600,600,570,490,600,510,540,530,510,540,530,440,510,460,530,500,410,320,330,430,410,370,530,520
ZKO,860,830,830,970,,530,460,440,,640,610,530,,590,650,760,,820,810,790,,800,710,820,800,790,800,840,750,810,760,790,780,750,790,880,940,940,950,990,1000,1050,1110,850,890,960,1120,1170
OSF,1130,1030,1230,1030,,1050,920,870,,970,980,890,,820,840,890,,940,950,960,,1050,960,1110,1100,960,990,1040,970,1050,1030,1020,1050,1000,990,980,910,920,920,900,900,820,800,960,890,790,940,930
NetDebt,39584000000,14312000000,51457000000,70418000000,,-1509000000,339000000,-7417000000,,37850000000,51172000000,15850000000,,21141000000,31838000000,48199000000,,63669000000,73061000000,77955000000,,112395000000,60853000000,88114000000,69938000000,85567000000,79900000000,86936000000,78868000000,55545000000,29291000000,68358000000,95330000000,78449000000,90696000000,181214000000,188881000000,238563000000,207143000000,224001000000,210617000000,272403000000,249228000000,101558000000,105407000000,107512000000,69014000000,70736000000
NetDebtEBITDA,1640,1370,2790,2500,,-60,20,-440,,1590,1680,430,,1300,-75450,-4970,,-35080,12370,8350,,4980,2300,3080,2450,2920,3050,3330,3150,2340,1140,2760,3660,2830,3630,6270,6230,7370,6160,8000,11210,103730,-100660,-7890,-5470,-4610,-3080,-4540
DebtFin,-7460000000,-1979000000,4357000000,19894000000,,-47354000000,-32129000000,-38587000000,,-35416000000,-22757000000,-42175000000,,-26344000000,-14305000000,-7529000000,,-21401000000,-14880000000,-8409000000,,-16424000000,-25070000000,-10625000000,-29495000000,-14251000000,-40579000000,-75347000000,-29250000000,-100537000000,-109577000000,-71889000000,-61587000000,-58365000000,-48991000000,10672000000,37533000000,74397000000,82637000000,86707000000,83558000000,115350000000,111800000000,-825000000,11952000000,1996000000,9267000000,8099000000
DebtFinEBITDA,-310,-190,240,710,,-1790,-1440,-2280,,-1490,-750,-1150,,-1620,33900,780,,11790,-2520,-900,,-730,-950,-370,-1030,-490,-1550,-2890,-1170,-4230,-4280,-2900,-2370,-2110,-1960,370,1240,2300,2460,3100,4450,43930,-45150,60,-620,-90,-410,-520
SP1,1310,1240,1480,1060,,1970,1990,1970,,1530,1620,1660,,1390,1290,1160,,1150,1170,1210,,1300,1360,1360,1390,1220,1240,1240,1290,1300,1350,1290,1350,1330,1260,1110,970,980,970,920,900,780,720,1130,1000,820,840,800
SP2,1460,1400,1920,1450,,2240,2260,2120,,1700,1790,1810,,1520,1500,1360,,1350,1370,1400,,1500,1560,1560,1590,1410,1420,1420,1470,1480,1540,1480,1540,1520,1430,1330,1350,1360,1390,1330,1050,940,870,1370,1230,1100,1120,1070
CAR,260,270,210,240,,1300,1360,1390,,630,430,910,,750,570,400,,380,290,220,,210,430,200,410,290,440,550,370,740,930,620,470,520,440,150,170,130,90,70,60,70,60,270,210,180,80,80
QR,340,490,490,580,,1580,2210,2290,,1490,1430,1690,,1690,1650,1260,,1030,1010,1020,,930,1180,960,1120,1180,980,950,1230,830,910,840,910,960,880,850,940,1020,1020,950,840,850,760,1040,1000,910,830,620
CR,1260,1390,1490,1290,,2480,3120,2800,,1880,1960,2280,,2160,2240,1800,,1530,1530,1560,,1440,1760,1480,1510,1530,1480,1350,1600,1410,1520,1470,1460,1550,1460,1300,1410,1340,1440,1350,1110,1030,990,1370,1310,1220,1150,1100
PP,370,740,500,270,,1350,1430,1450,,630,430,920,,780,640,400,,390,290,230,,210,430,210,420,290,440,550,370,750,930,620,470,520,450,150,170,130,90,70,60,70,60,270,210,180,80,80
RCLR,760,540,850,920,,1050,1550,1240,,1180,1460,1270,,1240,1460,1310,,1090,1170,1210,,1150,1110,1110,960,1170,980,760,1190,630,520,750,940,970,960,1090,1180,1180,1280,1220,1000,930,890,1050,1070,1000,960,870
KP,140,160,240,150,,400,440,410,,290,310,340,,280,280,210,,190,190,200,,200,260,180,190,200,190,170,220,190,220,200,210,230,200,150,180,170,190,160,60,20,-10,170,140,120,70,50
PKKO,110,150,290,140,,520,570,600,,480,410,370,,290,320,290,,230,220,210,,250,250,170,170,170,190,180,190,190,200,170,170,140,100,80,90,90,100,90,30,10,0,60,50,40,20,10
RN,4170,5990,2530,3220,3490,3000,2770,2710,2520,2750,2750,2900,2990,2800,2780,2500,2460,2770,2670,2650,2970,2320,2640,2770,3180,3560,3210,3280,3120,3320,3960,4350,4620,5170,5280,5080,4880,4410,3760,3360,3240,3260,3550,3950,4290,4980,5310,4970
CRN,87000,61000,144000,113000,105000,121000,132000,135000,145000,133000,133000,126000,122000,130000,132000,146000,148000,132000,137000,138000,123000,157000,138000,132000,115000,102000,114000,111000,117000,110000,92000,84000,79000,71000,69000,72000,75000,83000,97000,108000,113000,112000,103000,92000,85000,73000,69000,73000
CPZ,115000,114000,170000,135000,124000,136000,120000,108000,116000,103000,102000,97000,93000,97000,100000,110000,112000,106000,117000,119000,106000,134000,119000,117000,106000,94000,108000,118000,118000,129000,124000,113000,110000,88000,76000,72000,70000,74000,82000,90000,97000,103000,103000,97000,89000,75000,67000,74000
RZ,18790,24480,12170,15630,16940,17980,24960,26160,24600,27360,35430,39400,41310,35340,28850,27600,27350,37960,41330,32930,35940,26210,20470,19370,21660,23650,27580,36630,51040,58580,56650,49360,50530,55820,69430,86210,82410,88780,77790,70110,69930,70710,83550,95010,113610,122020,97800,66130
CRZ,19000,15000,30000,23000,22000,20000,15000,14000,15000,13000,10000,9000,9000,10000,13000,13000,13000,10000,9000,11000,10000,14000,18000,19000,17000,15000,13000,10000,7000,6000,6000,7000,7000,7000,5000,4000,4000,4000,5000,5000,5000,5000,4000,4000,3000,3000,4000,6000
RMO,2520,2310,1440,2000,2170,1680,1480,1220,1140,1450,1700,1870,1930,1770,1630,1620,1600,1930,1960,1990,2230,1820,1960,2029,2260,2480,2250,2120,2100,1960,2029,2170,2270,2760,3220,3550,3650,3580,3240,2950,2890,2940,3210,3480,3700,4170,4270,4059
RMT,5580,3300,4050,4490,4870,3430,2920,2320,2160,2500,2870,3040,3140,2550,1960,1630,1600,2000,2180,2450,2740,2640,2990,3210,3500,3530,3230,3290,3230,3290,3570,3790,4290,5170,5920,6710,6540,6560,5840,5110,4960,5000,5490,6100,6730,7540,7430,6190
RM,1730,1360,1060,1380,1500,1130,980,800,750,920,1070,1160,1190,1050,890,810,800,980,1030,1100,1230,1080,1180,1220,1330,1410,1290,1270,1270,1230,1290,1380,1480,1800,2090,2320,2350,2320,2080,1870,1830,1850,2029,2190,2330,2610,2610,2400
COP,106000,76000,174000,136000,127000,141000,147000,149000,160000,146000,143000,135000,131000,140000,145000,159000,161000,142000,146000,149000,133000,171000,156000,151000,132000,117000,127000,121000,124000,116000,98000,91000,86000,78000,74000,76000,79000,87000,102000,113000,118000,117000,107000,96000,88000,76000,73000,79000
CSP,-9000,-38000,4000,1000,3000,5000,27000,41000,44000,43000,41000,38000,38000,43000,45000,49000,49000,36000,29000,30000,27000,37000,37000,34000,26000,23000,19000,3000,6000,-13000,-26000,-22000,-24000,-10000,-2000,4000,9000,13000,20000,23000,21000,14000,4000,-1000,-1000,1000,6000,5000
