,2004/Q4,2005/Q4,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
CPCurrent_yy,-6.26,-28.21,80.17,,,,-44.20,-51.05,-44.70,-31.00,-22.70,-13.86,-11.08,5.56,3.31,12.89,12.95,-3.64,18.54,8.58,1.65,2.92,-16.31,-15.94,-21.78,-29.17,-11.83,-17.03,-3.16,27.07,8.18,15.42,12.89,-16.33,-27.61,-25.37,-33.13,-20.39,12.06,8.70,18.00,6.25,-19.62,-25.61,-23.17,-10.05,0.58,11.17,4.71
CPCurrent_sy,42.38,-7.73,24.84,,,,-24.64,9.89,111.34,133.37,-7.00,-7.43,-23.10,-27.50,28.13,20.78,15.12,20.48,-17.76,-23.78,-3.72,-8.79,16.04,37.81,-1.86,30.76,16.59,-9.65,-7.91,-10.62,-19.32,-22.87,-14.56,-30.30,-11.59,-21.15,-7.08,19.20,60.65,44.69,51.90,33.91,-14.62,7.96,-4.48,-18.29,-8.22,-14.70,-7.33
CPCurrent_qq,,,,0.48,-12.18,-24.02,-16.76,-11.87,-0.79,-5.20,-6.74,-1.80,2.41,12.55,-8.73,7.31,2.47,-3.99,12.28,-1.70,-4.07,-2.79,-8.69,-1.27,-10.73,-11.98,13.66,-7.09,4.18,15.50,-3.23,-0.88,1.90,-14.39,-16.28,2.19,-8.70,1.92,17.84,-0.88,-0.88,-8.23,-10.85,-8.26,2.37,7.44,-0.32,1.40,-3.58
CPCurrent_sq,,,,-18.71,-43.21,-11.21,83.85,18.55,9.21,-1.95,-26.74,18.00,-9.28,-7.57,29.48,11.23,-13.53,-3.26,-11.62,3.09,9.23,-8.36,12.44,22.43,-22.21,22.11,0.26,-5.12,-20.72,18.52,-9.50,-9.30,-12.17,-3.32,14.78,-19.11,3.51,24.03,54.69,-27.14,8.67,9.33,-1.37,-7.87,-3.85,-6.48,10.79,-14.37,4.45
ZCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZCurrent_yy,202.91,123.10,-30.07,,,,-161.26,-133.11,-153.45,-128.19,225.53,340.85,276.36,337.06,24.71,-47.51,-63.41,-43.48,-92.22,-64.20,6.11,36.20,875.81,302.50,166.96,124.72,-5.62,-20.62,-91.70,-117.81,-223.54,-200.67,-579.89,-47.33,186.05,209.32,255.76,264.79,-80.63,-80.45,-70.07,52.59,321.31,499.65,19.10,-70.99,-441.42,-376.66,-1166.46
ZCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZCurrent_qq,,,,23.43,-21.32,-3.10,-165.10,33.29,-27.02,48.90,389.88,28.00,-6.99,-31.31,52.50,-46.12,-35.16,6.11,-79.02,148.08,92.15,36.20,50.30,2.33,27.44,14.65,-36.88,-13.93,-86.68,-346.09,-337.80,29.87,36.49,24.45,355.70,-10.91,-9.50,-20.07,-69.94,-10.11,38.58,307.49,-17.00,27.94,-72.48,-0.73,-1076.66,-3.68,-6.10
ZCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZCurrent_yy,-66.97,-55.18,43.00,,,,,,,,,,,,-19.81,90.49,173.35,76.96,1186.82,179.40,-5.76,-26.58,-89.76,-75.16,-62.54,-55.51,5.97,25.99,1104.08,,,,,,,,,,415.91,412.02,234.25,-34.49,-76.25,-83.33,-16.09,244.79,,,
CZCurrent_sy,-1.49,-4.05,-38.71,,,,,,,,,,,,61.65,55.05,1.76,-33.35,-22.78,-24.16,-19.03,27.80,16.81,-2.56,43.90,38.88,-1.33,11.96,-45.67,,,,,,,,,,-2.97,5.75,28.04,26.12,-20.42,-20.52,-11.77,23.03,,,
