,2004/Q4,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3
CPCurrent_qq,,,-0.79,0.46,-3.49,-1.80,-3.00,-2.62,-1.31,-1.93,-0.08,-1.26,0.26,25.54,4.73,11.29,17.04,-19.50,1.23,1.12,1.88,16.84,3.90,5.88,5.26,-12.64,1.77,-4.92,0.06,1.14,1.79,4.43,-0.63,-1.89,-0.54,-0.89,-1.09,-1.09,-12.46,-16.87,-14.03,-10.40,-1.41,-2.31,-2.49,-2.78,-1.34,-1.47,-1.77,-0.68,-0.38,-0.36,2.10
CPCurrent_sq,,,-89.08,394.41,49.17,87.07,-46.71,1.00,50.27,7.45,-10.78,-10.31,-19.73,-6.54,-3.12,-0.11,-2.21,38.26,-27.00,-3.34,-5.90,-2.14,63.18,-3.63,-4.18,-41.80,-17.73,1.40,-8.77,3.66,-4.35,-1.00,-3.93,4.24,-16.26,-5.36,-5.94,93.99,-49.59,-0.99,7.23,81.81,-31.46,-4.18,-2.91,44.61,-34.96,-2.33,-1.95,-1.40,-23.81,-1.48,576.54
ZCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZCurrent_yy,-229.22,257.87,,,,-6.62,73.33,10.45,1.43,73.98,45.09,41.82,37.72,-82.83,-91.30,-103.75,-113.43,-120.30,-79.09,154.48,141.90,270.98,807.67,1399.85,1410.71,1194.29,351.56,169.66,-38.91,-42.83,-36.93,-58.93,-23.36,-4.55,-12.71,39.06,45.49,37.26,25.90,64.65,94.18,103.54,147.86,71.83,34.05,14.09,9.96,9.20,19.59,12.20,14.21,67.44,40.57
ZCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZCurrent_qq,,,-37.84,61.45,1.51,-8.34,15.38,2.88,-6.77,57.22,-3.78,0.56,-9.47,-80.40,-51.23,-143.36,-223.99,70.38,150.26,12.95,149.17,20.88,166.80,86.64,150.98,3.57,-6.92,11.46,-43.14,-3.09,2.69,-27.42,6.10,20.69,-6.08,15.63,11.00,13.87,-13.86,51.22,30.91,19.36,4.89,4.84,2.13,1.58,1.10,4.11,11.85,-4.70,2.91,52.63,-6.09
ZCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZCurrent_yy,,,,,,7.09,-42.30,-9.45,-1.41,-42.52,-31.08,-29.49,-27.39,482.40,1048.77,,,,378.23,,,,-88.98,-93.34,-93.38,-92.27,-77.86,-62.92,63.68,74.93,58.57,143.49,30.49,4.77,14.56,-28.09,-31.27,-27.15,-20.57,-39.26,-48.50,-50.87,-59.65,-41.80,-25.40,-12.35,-9.06,-8.42,-16.38,-10.87,-12.44,-40.28,-28.86
CZCurrent_sy,,,,,,163.03,670.59,226.76,268.39,61.30,178.65,35.57,24.47,86.44,56.17,,,,-44.25,,,,-35.98,-55.25,4.96,7.17,184.47,7.38,33.51,52.70,-56.32,26.61,-34.12,-34.85,-47.94,-52.55,-34.10,-40.33,-52.91,-49.83,-44.61,-32.94,-5.24,5.26,-2.03,26.71,22.88,3.67,-27.98,-38.82,-25.67,-16.07,30.90
CZCurrent_qq,,,60.87,-38.06,-1.49,9.10,-13.33,-2.80,7.26,-36.39,3.93,-0.56,10.46,410.16,105.00,,,,,-11.40,-59.90,-17.28,-62.51,-46.42,-60.15,-3.44,7.43,-10.28,75.87,3.19,-2.62,37.77,-5.75,-17.15,6.48,-13.52,-9.91,-12.18,16.09,-33.87,-23.61,-16.22,-4.66,-4.61,-2.09,-1.56,-1.09,-3.94,-10.60,4.93,-2.83,-34.48,6.49
CZCurrent_sq,,,-74.44,129.86,51.36,195.80,-25.12,-2.53,70.64,29.52,29.36,-52.58,56.67,94.00,8.36,,,,,37.11,-50.81,-24.94,26.46,-4.17,15.38,-23.35,235.68,-63.83,43.45,-12.34,-3.97,4.85,-25.36,-13.31,-23.26,-4.44,3.66,-21.51,-39.44,1.81,14.46,-4.98,-14.42,13.09,6.53,22.90,-17.01,-4.59,-25.99,4.39,0.84,7.72,15.43
ZOCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZOCurrent_yy,38.23,74.26,,,,-3.99,7.86,8.35,-2.09,63.68,42.34,41.84,35.67,-67.24,-69.61,-76.46,-77.98,-4.84,13.15,33.19,45.19,-35.60,-22.56,15.35,145.52,284.13,174.07,116.01,-32.99,-48.10,-41.14,-59.57,-29.15,-2.17,-12.75,30.96,34.69,23.46,25.24,66.37,99.79,119.26,142.35,70.71,33.13,19.31,18.31,21.57,26.63,19.36,15.13,51.87,34.80
ZOCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZOCurrent_qq,,,-0.63,1.29,5.80,-9.84,11.63,1.75,-4.39,50.73,-2.93,1.40,-8.55,-63.61,-9.93,-21.47,-14.46,57.27,7.10,-7.56,-6.75,-30.24,28.77,37.70,98.48,9.15,-8.12,8.53,-38.43,-15.47,4.21,-25.46,7.90,16.71,-7.06,11.88,10.97,6.99,-5.72,48.63,33.27,17.42,4.20,4.70,3.92,5.22,3.34,7.58,8.25,-0.82,-0.32,41.91,-3.91
ZOCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZOCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZOCurrent_yy,-27.65,-42.61,,,,4.16,-7.29,-7.70,2.14,-38.91,-29.74,-29.50,-26.29,205.28,229.03,324.81,354.17,5.09,-11.62,-24.92,-31.13,55.27,29.13,-13.30,-59.27,-73.97,-63.51,-53.71,49.23,92.69,69.88,147.34,41.15,2.22,14.62,-23.64,-25.76,-19.01,-20.15,-39.89,-49.95,-54.39,-58.74,-41.42,-24.88,-16.18,-15.48,-17.74,-21.03,-16.22,-13.14,-34.16,-25.82
CZOCurrent_sy,370.33,-68.90,,,,199.29,461.55,172.52,229.06,-25.11,34.57,35.28,-20.07,109.38,49.36,2.40,50.63,-29.57,43.26,114.19,12.97,36.10,68.17,22.72,-25.13,-39.69,-68.25,-31.70,59.41,51.51,41.35,-25.59,-55.85,-45.98,-38.55,-40.91,-23.17,-2.27,-32.32,-18.91,-22.50,-38.52,-43.83,-33.95,-21.62,4.38,15.91,-3.11,-23.67,-37.89,-26.30,-9.38,30.01
CZOCurrent_qq,,,0.63,-1.27,-5.48,10.92,-10.42,-1.72,4.60,-33.65,3.02,-1.38,9.35,174.79,11.03,27.33,16.91,-36.42,-6.62,8.17,7.24,43.34,-22.34,-27.38,-49.62,-8.38,8.84,-7.86,62.41,18.30,-4.04,34.16,-7.32,-14.32,7.59,-10.62,-9.89,-6.53,6.07,-32.72,-24.96,-14.83,-4.03,-4.49,-3.78,-4.96,-3.23,-7.05,-7.63,0.83,0.32,-29.54,4.07
CZOCurrent_sq,,,-69.45,102.16,53.29,216.11,-42.67,-1.89,85.09,-28.06,3.02,-1.38,9.35,88.47,-26.52,-32.39,60.86,-11.88,49.48,1.09,-15.16,6.16,84.70,-26.23,-48.24,-14.48,-2.76,58.68,20.81,-18.72,-9.29,-16.47,-28.32,-0.55,3.18,-19.67,-6.80,26.50,-28.54,-3.75,-10.93,0.35,-34.71,13.18,5.70,33.65,-27.50,-5.39,-16.74,8.76,-13.98,16.34,19.46
EVCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVCurrent_yy,9.16,-0.33,,,,-0.58,-0.28,-1.62,,-1.13,0.05,0.92,,5.84,4.10,1.72,,-3.00,-2.59,-1.98,,-2.60,-5.51,-5.48,,-11.38,-7.64,-8.10,-5.47,2.58,0.96,0.47,0.56,-1.67,-1.74,-1.04,-1.40,-1.60,17.41,15.74,13.55,14.30,-1.41,-1.15,-0.32,-3.04,2.03,6.26,5.61,7.38,-0.29,-13.69,-10.59
EVCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVCurrent_qq,,,0.82,0.70,-8.02,6.47,1.12,-0.65,-6.51,5.27,2.33,0.21,-7.36,11.41,0.65,-2.08,-8.92,8.06,1.08,-1.47,-7.08,5.25,-1.94,-1.44,-1.69,-6.72,2.19,-1.92,1.12,1.22,0.58,-2.40,1.20,-1.02,0.51,-1.71,0.84,-1.23,19.93,-3.11,-1.06,-0.58,3.45,-2.86,-0.23,-3.29,8.86,1.17,-0.84,-1.67,1.09,-12.44,2.72
EVCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVPCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVPCurrent_yy,-4.91,-6.54,,,,-6.09,-7.90,-11.93,-8.46,-9.61,-5.78,-3.64,-2.99,31.42,35.49,49.22,71.25,6.51,3.38,-5.48,-16.05,18.68,18.17,23.78,35.30,-10.35,-8.48,-18.22,-20.04,0.45,-1.11,8.07,7.42,1.90,-0.51,-4.90,-5.68,-5.11,-0.33,-17.60,-29.73,-35.93,-37.76,-26.66,-16.11,-11.47,-6.77,-2.08,-1.95,1.84,-4.51,-16.41,-10.00
EVPCurrent_sy,258.64,-45.01,,,,-10.27,239.80,38.58,174.91,52.88,43.52,2.73,-30.99,-35.00,-29.06,-24.59,-8.17,47.99,2.82,-7.42,-6.54,-23.30,34.83,53.90,42.92,-21.94,-39.19,-38.95,-32.22,5.22,5.38,4.84,-1.17,-9.01,-10.06,-11.64,-13.56,15.04,-18.67,-18.74,-8.68,-7.27,0.06,-6.53,-10.55,-4.98,-12.99,-10.59,-13.31,-15.80,13.86,21.71,268.23
EVPCurrent_qq,,,0.02,1.17,-11.23,4.55,-1.91,-3.26,-7.74,3.24,2.25,-1.06,-7.12,39.86,5.41,8.97,6.59,-13.01,2.31,-0.37,-5.33,22.98,1.88,4.36,3.48,-18.51,4.00,-6.74,1.18,2.37,2.38,1.91,0.57,-2.89,-0.04,-2.58,-0.26,-2.30,4.99,-19.46,-14.95,-10.92,1.99,-5.10,-2.71,-5.98,7.41,-0.32,-2.59,-2.34,0.71,-12.75,4.88
EVPCurrent_sq,,,-74.35,212.13,-37.40,79.06,-2.89,27.29,24.20,-0.42,-8.84,-8.88,-16.57,-6.21,-0.51,-3.15,1.61,51.15,-30.88,-12.79,2.57,24.05,21.50,-0.45,-4.75,-32.24,-5.34,-0.06,5.75,5.18,-5.20,-0.58,-0.31,-3.16,-6.29,-2.33,-2.47,28.88,-33.75,-2.41,9.60,30.87,-28.51,-8.85,4.89,39.02,-34.54,-6.33,1.69,35.02,-11.48,0.12,207.69
EVEBITCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVEBITCurrent_yy,-21.03,-42.81,,,,3.55,-7.55,-9.20,2.14,-39.60,-29.71,-28.85,-26.29,223.10,242.52,332.09,354.17,1.93,-13.91,-26.41,-31.13,51.23,22.02,-18.05,-59.27,-76.93,-66.30,-57.46,41.06,97.65,71.52,148.50,41.93,0.52,12.62,-24.44,-26.79,-20.30,-6.25,-30.44,-43.17,-47.87,-59.32,-42.10,-25.12,-18.73,-13.76,-12.60,-16.60,-10.04,-13.39,-43.17,-33.67
EVEBITCurrent_sy,26.06,-77.36,,,,78.20,202.14,145.61,471.30,49.65,29.78,25.69,-20.07,-69.49,-72.98,-73.21,-96.64,-78.99,451.96,394.27,2596.91,1337.99,37.75,17.74,27.95,24.46,-57.98,1.24,-1.83,75.95,6.65,-14.88,-11.96,13.07,63.83,-8.33,29.70,-69.03,-50.24,-44.57,-56.87,25.24,-49.29,-52.08,-38.78,-28.79,18.71,15.51,11.08,-44.49,-27.20,-14.19,-9.87
EVEBITCurrent_qq,,,1.45,-0.58,-13.07,18.09,-9.42,-2.36,-2.21,-30.16,5.41,-1.17,1.30,206.14,11.75,24.68,6.48,-31.29,-5.62,6.58,-0.35,50.87,-23.85,-28.42,-50.47,-14.54,11.22,-9.63,64.22,19.74,-3.48,30.93,-6.20,-15.20,8.14,-12.15,-9.13,-7.68,27.21,-34.81,-25.76,-15.32,-0.73,-7.22,-4.00,-8.09,5.34,-5.96,-8.40,-0.86,1.42,-38.30,6.91
EVEBITCurrent_sq,,,-28.31,25.54,-31.51,189.10,21.56,2.05,59.30,-24.27,5.41,-1.17,1.30,-71.09,-6.64,-2.04,-87.29,80.78,2352.15,-12.27,-30.65,-3.61,134.91,-25.02,-24.64,-6.23,-20.70,80.67,-26.93,68.06,-51.93,44.20,-24.42,115.84,-30.35,-19.31,6.93,-48.45,11.88,-10.11,-16.79,49.66,-54.70,-15.05,6.31,74.06,-24.47,-17.34,2.23,-13.02,-0.94,-2.57,7.38
EVEBITDACurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVEBITDACurrent_yy,-31.63,-25.25,,,,-3.00,-7.60,-8.37,-2.15,-23.51,-15.76,-14.94,-13.22,56.22,54.33,62.63,59.09,2.81,1.52,-1.57,1.54,11.76,3.05,-0.98,-22.41,-36.71,-24.04,-28.57,22.20,48.02,30.75,57.39,19.40,-1.79,3.03,-11.64,-13.20,-9.13,4.94,-14.01,-27.04,-32.72,-43.48,-31.44,-19.33,-15.19,-11.32,-9.45,-12.75,-7.63,-11.01,-36.19,-27.85
EVEBITDACurrent_sy,124.93,-59.45,,,,27.88,238.27,103.03,370.30,78.98,59.63,44.41,-13.22,-68.03,-71.87,-73.11,-96.56,88.31,227.98,260.07,2255.18,40.32,26.11,22.28,36.53,34.50,3.68,0.47,162.83,29.66,17.08,-19.51,-63.98,-25.96,-29.73,-13.59,-15.70,23.43,-28.84,-29.65,-29.63,-46.15,-25.29,-13.11,-8.78,-7.95,39.58,12.27,-12.98,-29.94,-30.16,-15.27,-8.68
EVEBITDACurrent_qq,,,-1.27,-1.11,-11.73,12.55,-5.96,-1.93,-5.74,-12.02,3.57,-0.97,-3.83,58.38,2.32,4.35,-5.92,2.36,1.03,1.17,-2.95,12.66,-6.85,-2.78,-23.95,-8.10,11.80,-8.58,30.10,11.32,-1.24,10.04,-1.30,-8.44,3.60,-5.63,-3.03,-4.15,19.65,-22.67,-17.72,-11.61,0.50,-6.20,-3.18,-7.08,5.08,-4.22,-6.71,-1.62,1.24,-31.32,5.49
EVEBITDACurrent_sq,,,-56.10,82.38,-30.92,131.19,16.13,9.46,60.03,-12.02,3.57,-0.97,-3.83,-67.59,-8.86,-5.34,-87.71,1676.36,58.74,3.92,-19.62,5.83,42.66,0.76,-10.26,4.26,9.97,-2.36,134.78,-48.57,-0.70,-32.87,5.06,5.72,-5.76,-17.45,2.49,54.79,-45.67,-18.39,2.52,18.46,-24.63,-5.08,7.63,19.55,14.28,-23.65,-16.57,-3.76,13.93,-7.37,-10.08
ROE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROE_yy,-199.22,257.22,,,,-10.68,64.36,4.47,,60.75,34.63,31.70,,-82.91,-91.23,-103.73,,-120.41,-79.45,154.84,,270.00,806.67,1364.71,,1111.76,324.26,161.04,,-43.04,-37.09,-58.62,-23.08,-4.55,-12.67,39.03,45.00,36.01,47.63,88.24,116.50,122.76,127.99,56.68,22.98,4.32,2.53,1.99,9.81,5.18,5.12,45.07,24.77
ROE_sy,628.39,-35.72,,,,37.32,-18.14,-14.27,,-65.17,-49.68,-33.33,,-82.91,-52.16,-49.76,,200.68,154.02,15.93,,25.57,-45.60,-16.53,,11.35,-40.91,-8.17,,5.34,76.00,186.79,26.24,-48.39,-47.20,-69.08,-48.64,2.08,100.50,150.76,238.24,342.86,162.59,86.42,39.64,30.35,-13.96,-11.12,-1.90,-29.75,-8.92,7.83,-29.39
