,2011/Q4,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
DTAR,700,530,550,550,520,480,490,520,510,450,450,490,420,370,350,450,510,520,500,500,510,550,550,570
CG,2310,1130,1230,1240,1090,940,960,1100,1060,830,830,950,720,600,530,820,1060,1070,990,990,1040,1230,1220,1310
LDER,240,280,630,280,280,330,590,320,290,240,250,250,190,160,160,180,250,230,250,250,280,260,230,560
PZAT,2070,1940,1010,2110,1660,1560,870,1710,1620,1670,1680,1830,2290,3240,4210,5180,3840,3630,3520,3630,3540,3600,3810,1580
PELDR,1730,1780,2000,1680,2040,2040,2620,1880,2050,2340,2240,2100,2170,1910,1490,1160,1170,1300,1240,1210,1140,1190,1240,1520
TSF,370,600,730,570,610,690,810,630,630,680,680,640,690,730,760,650,610,600,630,630,630,570,550,670
ZKO,890,810,880,850,750,730,720,800,740,640,650,710,620,610,710,1030,1080,960,1020,1050,1140,1060,1000,1020
OSF,1230,1100,1060,1090,1190,1110,1160,1110,1180,1200,1160,1160,1110,990,910,1010,1000,1000,1000,1000,1010,990,1000,990
NetDebt,16473150000,12585310000,15054000000,13878000000,13660000000,13751000000,13927000000,18418000000,17087000000,13710000000,13222000000,21515000000,14129000000,9249000000,10812000000,25804000000,34522000000,44281000000,36192000000,36776000000,36749000000,43738000000,50673000000,40318000000
NetDebtEBITDA,1540,1160,1520,4290,2760,1470,1390,1470,1310,1030,1040,1590,1390,1330,1940,9640,15860,6720,5070,4260,5970,19880,5690,4240
DebtFin,2582010000,-373770000,-566000000,-130000000,-3486000000,-2591000000,-4350000000,1329000000,-488000000,-4215000000,-4149000000,-480000000,-5490000000,-8491000000,-3244000000,7005000000,10907000000,15120000000,10532000000,15199000000,15313000000,17934000000,19167000000,12746000000
DebtFinEBITDA,240,-30,-60,-40,-700,-280,-430,110,-40,-320,-330,-40,-540,-1220,-580,2620,5010,2300,1470,1760,2490,8150,2150,1340
SP1,1380,1350,1210,1290,1590,1520,1620,1390,1590,1870,1780,1650,1790,1630,1270,980,920,1040,990,960,890,940,1010,970
SP2,1710,1740,1960,1640,2040,2020,2580,1840,2050,2320,2220,2050,2130,1890,1470,1150,1160,1290,1230,1200,1130,1180,1230,1510
CAR,200,350,230,430,500,650,1050,410,390,650,680,360,680,840,670,150,130,60,160,100,70,130,40,380
QR,930,1280,1500,1060,1320,1770,2590,1300,1520,1880,1720,1470,1710,1800,1400,830,760,1080,880,940,750,900,890,1190
CR,1250,1650,2320,1520,1810,2110,3650,1770,1860,2210,2170,1920,2200,2240,2000,1240,1210,1330,1320,1280,1200,1200,1230,1690
PP,200,350,230,430,530,650,1050,430,590,680,690,360,680,840,670,170,150,70,170,100,80,140,50,460
RCLR,700,920,1240,640,720,1060,1330,830,850,1090,840,1010,960,950,720,630,570,900,610,730,590,690,760,630
KP,160,260,360,220,310,350,500,290,320,390,370,330,370,340,240,80,80,130,120,100,70,90,100,230
PKKO,120,220,300,270,400,460,580,320,360,390,360,310,380,350,230,100,120,210,150,110,70,100,120,290
RN,4590,5790,5310,4720,4900,5060,5280,5360,5280,5280,5080,4960,4740,4780,4990,4930,4790,4450,4370,4690,4630,4560,4350,4270
CRN,80000,63000,69000,77000,75000,72000,69000,68000,69000,69000,72000,74000,77000,76000,73000,74000,76000,82000,84000,78000,79000,80000,84000,85000
CPZ,113000,83000,75000,93000,91000,84000,79000,73000,72000,71000,80000,78000,79000,81000,79000,91000,110000,114000,121000,109000,110000,122000,120000,125000
RZ,6760,6940,6720,5600,5520,5880,5860,6270,7380,7840,8370,8860,8430,7920,7650,6700,5630,6230,6120,7230,7320,6640,6890,5840
CRZ,54000,53000,54000,65000,66000,62000,62000,58000,49000,47000,44000,41000,43000,46000,48000,54000,65000,59000,60000,51000,50000,55000,53000,62000
RMO,2590,2970,2830,2270,2290,2320,2220,2320,2360,2370,2290,2320,2190,2130,2210,2130,2120,2350,2360,2590,2580,2410,2490,2200
RMT,9260,7420,6340,4540,4470,4580,4610,4810,4910,5200,5080,5290,4870,4260,3590,2670,2140,2240,2260,2550,2470,2260,2510,2410
RM,2020,2120,1960,1510,1510,1540,1500,1560,1590,1630,1580,1610,1510,1420,1370,1190,1070,1150,1160,1280,1260,1170,1250,1150
COP,134000,116000,123000,142000,141000,134000,131000,126000,118000,116000,116000,115000,120000,122000,121000,128000,141000,141000,144000,129000,129000,135000,137000,147000
CSP,21000,33000,48000,49000,50000,50000,52000,53000,46000,45000,36000,37000,41000,41000,42000,37000,31000,27000,23000,20000,19000,13000,17000,22000
