,2009/Q4,2010/Q4,2011/Q4,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
CWKCurrent_sy,,-0.84,16.99,,15.59,,,54.98,2.17,10.06,9.13,10.88,21.16,7.60,15.79,15.21,-11.83,-3.39,-4.85,,-3.26,14.67,7.77,0.89,-1.82,-5.09,-6.12
CWKCurrent_qq,,,,,2.33,-0.40,1.36,-6.94,0.27,-3.35,7.33,-1.20,-3.08,-0.24,1.73,-1.89,0.87,-0.08,-0.47,-0.31,0.59,0.12,0.12,-0.74,-0.55,-0.43,-0.32
CWKCurrent_sq,,,,,89.93,-17.50,0.61,-1.70,25.21,-11.13,-0.24,-0.12,36.82,-21.08,7.35,-0.61,4.70,-13.52,5.73,4.79,0.97,2.51,-0.63,-1.91,-1.74,-0.91,-1.71
WKGrahamCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,
WKGrahamCurrent_yy,,-47.77,-0.49,,26.15,,,84.95,100.40,95.34,28.91,-158.23,1792.86,-124.88,-66.30,-505.70,-2321.37,-3090.83,-243.57,-81.82,-121.51,6.11,10.93,12.39,14.94,11.44,0.64
WKGrahamCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,
WKGrahamCurrent_qq,,,,,-12.43,-10.97,12.89,86.16,103.02,-1381.25,-1227.94,49.71,122.12,-252.22,-882.03,-83.16,18.87,-118.65,-5.74,3.07,1.16,7.32,-0.31,4.66,4.03,3.52,-12.55
WKGrahamCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,
CWKGrahamCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,
CWKGrahamCurrent_yy,,,,,,,,,,,,,-94.70,,,,,,,,,,,,,,
CWKGrahamCurrent_sy,,,,,,,,,,,,,1.56,,,,,,,,,,,,,,
CWKGrahamCurrent_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,
CWKGrahamCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCurrent_yy,,16.12,-17.75,,-12.49,,,-8.92,-11.01,-17.71,-16.62,-14.27,-6.45,-1.84,0.69,-0.49,-4.61,-1.12,8.32,8.48,9.27,7.60,-5.08,-7.72,-9.58,-9.98,-3.31
PCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCurrent_qq,,,,,-3.25,1.01,-5.59,-1.28,-5.47,-6.59,-4.35,1.49,3.16,-1.98,-1.89,0.31,-1.12,1.61,7.48,0.46,-0.40,0.06,-5.19,-2.34,-2.40,-0.39,1.83
PCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPCurrent_yy,,-13.88,21.58,,14.28,,,9.79,12.37,21.52,19.93,16.65,6.89,1.87,-0.68,0.49,4.83,1.13,-7.68,-7.82,-8.48,-7.07,5.35,8.37,10.59,11.08,3.43
CPCurrent_sy,,-17.60,-12.30,,35.76,,,9.08,1.39,15.18,-4.18,48.20,10.16,63.26,38.50,15.89,16.47,-18.61,-19.19,-34.63,-33.09,-18.91,0.39,-0.90,-14.61,-17.05,-1.28
CPCurrent_qq,,,,,3.36,-1.00,5.92,1.30,5.79,7.06,4.54,-1.47,-3.06,2.02,1.92,-0.31,1.13,-1.58,-6.96,-0.45,0.40,-0.06,5.47,2.40,2.46,0.39,-1.80
CPCurrent_sq,,,,,35.35,-27.14,22.66,-9.82,25.80,-17.23,2.04,39.47,-6.49,22.67,-13.43,16.70,-6.01,-14.27,-14.06,-5.59,-3.81,3.90,6.40,-6.80,-17.12,0.93,26.62
ZCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZCurrent_yy,,112.96,-474.72,,-16.27,,,111.48,157.09,178.89,222.28,251.85,1.16,15.31,-7.48,43.98,-53.54,-61.11,-50.71,-77.71,-37.59,-55.07,-102.66,-68.12,2.28,129.77,3647.66
ZCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZCurrent_qq,,,,,13.61,30.91,15.34,122.72,329.59,-4.53,31.23,-34.62,23.50,8.82,5.30,1.73,-60.15,-8.91,33.46,-54.00,11.60,-34.42,-107.91,650.58,258.05,47.33,22.15
ZCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZCurrent_yy,,,,,,,,,,,,-71.58,-1.14,-13.27,8.08,-30.54,115.24,157.13,102.88,348.68,60.24,122.55,,213.64,-2.22,-56.47,
CZCurrent_sy,,,,,,,,,,,,16.93,2.67,-2.30,-15.51,-29.58,-21.32,-19.91,-13.73,-32.54,-14.59,-26.88,,1.29,4.67,-17.28,
CZCurrent_qq,,,,,,,,,-76.72,4.75,-23.80,52.96,-19.03,-8.10,-5.04,-1.70,150.91,9.78,-25.07,117.39,-10.39,52.47,,,-72.06,-32.13,-18.13
CZCurrent_sq,,,,,,,,,-11.52,13.89,1.89,13.89,-22.31,8.37,-11.88,-5.09,-13.20,10.31,-5.08,-25.78,9.91,-5.56,,,13.58,-25.36,-11.72
ZOCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZOCurrent_yy,,118.87,-379.82,,-25.13,,,76.93,97.06,91.24,114.15,129.37,271.90,239.58,112.62,150.15,-196.26,-146.93,-77.55,-95.72,470.00,400.67,-67.74,314.70,-18.89,89.12,2155.92
ZOCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZOCurrent_qq,,,,,13.47,31.74,19.47,51.49,88.99,-103.81,230.04,0.67,-35.57,65.50,98.08,18.45,-124.79,19.32,194.76,-77.44,2044.99,-34.44,-89.83,190.03,319.55,52.85,21.29
ZOCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZOCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZOCurrent_yy,,,,,,,,,,,,,,,-52.96,-60.03,,,345.31,2235.84,,,210.00,-75.86,23.29,-47.12,-95.57
CZOCurrent_sy,,,,,,,,,,,,,,,-7.43,-29.26,,,-26.00,-25.94,,,0.92,8.34,16.27,-22.38,-35.48
CZOCurrent_qq,,,,,,,,,,,,-0.66,55.20,-39.57,-49.51,-15.57,,,,342.86,-95.33,52.54,883.33,-65.52,-76.16,-34.58,-17.55
CZOCurrent_sq,,,,,,,,,,,,14.13,-33.13,23.48,-1.76,-12.79,,,,-12.72,2.76,26.65,-11.15,-6.31,10.28,-15.45,-26.14
EVCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVCurrent_yy,,15.64,19.01,,2.04,,,-6.10,-13.25,-8.97,34.17,31.73,38.07,45.15,10.92,74.28,81.57,132.72,110.95,36.39,43.07,6.87,-7.32,-3.36,-8.33,-16.35,-1.45
EVCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVCurrent_qq,,,,,-2.84,3.91,-1.99,-5.10,-10.23,9.03,44.45,-6.83,-5.91,14.62,10.39,46.38,-1.97,46.91,0.07,-5.35,2.82,9.74,-13.22,-1.31,-2.47,0.13,2.25
EVCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVPCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVPCurrent_yy,,-0.42,44.71,,16.61,,,3.09,-2.52,10.62,60.92,53.67,47.59,47.87,10.17,75.14,90.35,135.36,94.75,25.73,30.93,-0.68,-2.36,4.73,1.38,-7.08,1.93
EVPCurrent_sy,,1.46,-21.30,,8.99,,,93.05,-5.33,19.84,-15.82,-9.43,-2.05,3.32,-18.58,-3.26,-4.51,-2.93,12.71,-9.03,-14.58,-35.85,-13.38,-15.36,-22.29,34.03,19.84
EVPCurrent_qq,,,,,0.42,2.86,3.81,-3.87,-5.04,16.73,51.01,-8.20,-8.79,16.94,12.52,45.93,-0.87,44.59,-6.90,-5.78,3.23,9.68,-8.47,1.06,-0.07,0.52,0.41
EVPCurrent_sq,,,,,89.36,-24.54,33.90,0.89,-7.14,-4.48,-5.95,8.56,0.43,0.76,-25.89,28.99,-0.87,2.43,-13.94,4.10,-6.91,-23.08,16.21,1.72,-14.53,32.65,3.91
EVEBITCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVEBITCurrent_yy,,712.72,-142.53,,18.45,,,-306.95,-2854.82,-938.61,1048.01,548.57,180.34,204.00,-47.82,-30.33,-288.61,-595.87,839.39,3085.92,138.67,135.55,187.31,-76.67,13.02,-55.77,-95.63
EVEBITCurrent_sy,,1912.96,-28.30,,29.51,,,18.44,9.85,204.12,-103.93,29.03,-7.58,40.76,4008.11,11.19,-21.51,-43.59,-20.86,4.43,45.80,52.02,11.71,-11.32,-23.39,-31.66,-17.79
EVEBITCurrent_qq,,,,,-12.30,-52.22,-21.71,-95.61,-715.38,46.50,211.09,-7.44,46.03,-30.73,-44.27,23.59,-495.35,-82.10,205.58,319.14,-95.20,67.40,753.39,-65.97,-76.75,-34.49,-15.70
EVEBITCurrent_sq,,,,,64.70,-67.01,124.26,-2.79,52.75,-8.68,-102.90,3288.75,9.42,39.09,-19.47,-9.28,-22.76,-0.05,12.98,19.71,7.84,4.22,-16.97,-4.97,-6.83,-7.03,-0.12
EVEBITDACurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVEBITDACurrent_yy,,655.38,-147.21,,19.44,,,-318.07,-3990.57,-1070.21,958.31,500.94,151.98,186.35,-44.92,-26.89,-335.47,-716.45,738.28,1981.41,133.38,129.12,147.92,-67.12,12.39,-55.23,-94.28
EVEBITDACurrent_sy,,1532.27,-27.49,,31.25,,,-5.84,7.29,25.00,-104.00,47.29,-24.44,51.12,2868.39,-14.90,-2.71,-42.73,7.35,19.51,41.67,33.92,11.14,-10.85,-20.42,-22.68,-17.36
EVEBITDACurrent_qq,,,,,-12.34,-52.83,-22.16,-99.33,-999.19,56.28,189.60,-6.89,42.50,-27.37,-42.85,23.59,-558.99,-90.14,177.72,206.88,-92.64,65.87,561.74,-59.30,-74.84,-33.93,-15.51
EVEBITDACurrent_sq,,,,,31.38,-26.28,2.95,-5.55,49.68,-14.11,-103.29,3582.12,-23.22,71.80,-39.73,7.04,-12.23,1.12,12.98,19.17,4.05,-4.41,-6.24,-4.41,-7.12,-7.12,0.21
ROE,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROE_yy,,112.81,-544.32,,-27.75,,,111.06,153.75,172.20,218.31,260.80,0.56,18.15,-10.03,38.80,-53.33,-60.92,-51.59,-77.64,-37.70,-55.02,-102.63,-67.86,1.27,126.21,3637.50
ROE_sy,,230.27,10.67,,-30.81,,,-44.64,-17.41,21.28,-123.71,-66.31,-22.44,-9.86,2756.52,590.43,170.10,190.13,191.33,89.83,-24.37,16.08,-34.21,34.01,5.32,16.71,57.56
ROE_qq,,,,,11.59,31.23,14.12,121.19,329.60,-7.64,40.73,-35.39,19.73,8.52,7.17,-0.32,-59.74,-9.13,32.75,-53.95,12.14,-34.39,-107.77,662.50,253.33,46.54,21.46
ROE_sq,,,,,59.52,-57.34,-71.72,187.63,137.99,-37.35,-105.53,508.70,447.87,-27.18,62.93,6.22,114.33,-21.78,63.60,-30.79,-14.61,20.06,-7.28,40.99,-32.89,33.03,25.17
ROA,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROA_yy,,112.98,-504.20,,-28.55,,,111.83,154.78,180.81,233.41,286.00,13.02,23.02,-12.35,27.72,-57.61,-67.45,-57.53,-78.90,-41.03,-56.29,-102.73,-68.27,3.48,139.73,3566.67
ROA_sy,,302.74,-34.80,,-40.93,,,-41.49,11.40,34.97,-231.58,-68.48,13.39,15.03,1528.00,415.38,83.33,133.78,128.01,132.84,-15.34,16.76,-27.64,39.58,11.41,32.67,34.13
ROA_qq,,,,,12.07,30.55,14.15,122.57,307.00,2.46,41.73,-34.69,19.17,11.52,0.97,-4.83,-60.45,-14.36,31.74,-52.73,10.58,-36.52,-108.22,650.00,260.61,47.06,18.86
ROA_sq,,,,,-19.15,-37.28,-86.71,768.42,53.94,-24.02,-112.95,308.00,453.85,-22.92,60.81,-24.93,97.01,-1.70,56.84,-23.34,-28.37,35.57,-2.81,47.88,-42.82,61.45,-1.74
OPM,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPM_yy,,116.25,-440.22,,-43.00,,,74.67,96.70,89.34,116.97,134.25,283.62,242.15,111.14,151.41,-200.93,-147.48,-79.25,-96.06,438.52,379.24,-66.10,349.58,-10.33,110.05,2236.67
OPM_sy,,301.54,-24.35,,-33.00,,,11.57,-18.00,-40.06,-68.90,7.85,45.02,53.44,388.15,9.20,-13.23,-2.98,-23.02,24.58,79.03,48.59,3.56,62.87,-31.84,23.21,18.28
OPM_qq,,,,,10.57,32.43,14.70,50.85,88.34,-118.09,235.87,-0.83,-37.52,68.84,101.81,18.09,-125.08,20.58,188.21,-77.59,2056.30,-34.49,-89.29,197.22,330.09,53.46,19.12
OPM_sq,,,,,48.54,17.25,-17.74,-22.12,9.16,-14.30,-57.32,170.11,46.78,-9.32,35.78,-39.58,16.63,1.39,7.74,-2.21,67.60,-15.85,-24.91,53.79,-29.86,52.12,-27.92
ROS,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROS_yy,,111.16,-555.62,,-32.89,,,112.61,164.15,195.85,246.66,310.35,8.12,17.47,-8.10,44.66,-51.28,-60.67,-54.49,-79.46,-42.89,-58.24,-102.80,-65.41,13.10,155.17,3770.83
ROS_sy,,633.26,-42.06,,-37.59,,,-50.32,-9.55,33.57,236.21,40.31,-23.66,30.83,315.38,4.42,166.07,92.12,80.25,176.37,7.95,-13.09,-14.11,-0.38,-26.88,61.18,55.62
ROS_qq,,,,,10.71,31.60,10.33,123.02,354.32,2.19,37.19,-35.58,19.70,11.03,7.33,1.41,-59.69,-10.37,24.20,-54.22,12.06,-34.45,-108.34,664.58,266.42,47.89,19.99
ROS_sq,,,,,14.25,-53.48,-85.99,567.24,108.01,-31.30,-64.74,178.46,13.17,17.74,11.96,-30.00,188.36,-14.98,5.04,7.33,12.64,-31.56,3.81,24.48,-17.33,50.87,0.23
RS,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS_yy,,-12.28,-41.71,,-36.80,,,57.46,238.01,79.52,35.80,23.02,-19.11,-26.11,-13.74,-16.93,19.15,24.79,41.92,69.09,36.76,42.92,24.71,15.26,18.45,9.37,6.09
RS_sy,,18.18,4.27,,-18.90,,,-26.69,-21.68,-8.16,-30.01,32.26,54.72,93.75,73.67,12.87,4.75,9.73,-2.87,-11.85,10.81,18.43,20.14,51.33,-15.99,-8.37,-6.44
RS_qq,,,,,-37.77,103.92,16.64,6.38,33.59,8.30,-11.76,-3.64,-12.16,-1.07,3.02,-7.20,25.99,3.61,17.16,10.56,1.90,8.28,2.23,2.18,4.73,-0.03,-0.83
RS_sq,,,,,-2.70,-36.82,51.41,-21.25,3.96,-25.91,15.37,48.83,21.61,-7.21,3.41,-3.27,12.86,-2.80,-8.47,-12.21,41.86,3.89,-7.15,10.58,-21.25,13.32,-5.20
GPM,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPM_yy,,118.98,-380.40,,-49.45,,,75.27,99.62,93.15,121.20,140.72,1851.06,341.18,68.55,100.37,-268.89,-208.43,-115.26,-132.92,227.55,164.89,-29.06,142.97,19.12,250.32,930.43
GPM_sy,,863.55,-28.06,,-30.93,,,-63.73,-42.94,-27.38,252.34,132.98,8.27,53.38,101.59,37.14,107.44,89.02,4.21,46.39,15.58,-12.64,24.03,51.14,1.55,93.04,52.97
GPM_qq,,,,,9.58,33.40,14.41,52.01,98.60,-1093.62,364.71,-7.81,-39.88,64.40,85.00,9.59,-150.67,-5.54,73.96,-136.39,296.35,-46.31,-151.79,178.70,444.33,57.91,22.76
GPM_sq,,,,,53.95,-41.27,-77.17,75.70,142.20,-25.26,10.77,16.18,12.56,5.88,45.59,-20.96,70.26,-3.52,-19.73,11.03,34.42,-27.07,13.96,35.29,-9.68,38.63,-9.70
RBS,,,,,,,,,,,,,,,,,,,,,,,,,,,
RBS_yy,,-10.73,2.27,,-0.98,,,2.17,35.41,18.67,12.20,5.19,-16.38,-19.56,-12.76,-11.18,10.38,12.68,12.57,21.22,2.32,7.67,7.74,4.73,15.76,10.22,6.79
RBS_sy,,4.18,-4.99,,3.79,,,3.05,-16.10,14.93,-2.58,-11.03,7.65,3.07,-16.36,-4.43,-8.49,-14.83,0.49,-3.37,-0.47,6.37,3.51,4.16,-1.22,3.08,7.91
RBS_qq,,,,,-13.95,16.35,0.20,1.85,14.04,1.97,-5.26,-4.51,-9.34,-1.91,2.74,-2.79,12.67,0.14,2.63,4.69,-4.90,5.37,2.70,1.76,5.12,0.33,-0.50
RBS_sq,,,,,7.24,-19.83,20.87,-0.84,-12.69,9.82,2.46,-9.44,5.64,5.14,-16.86,3.49,1.16,-2.15,-1.90,-0.48,4.20,4.57,-4.54,0.14,-1.19,9.12,-0.07
ROPA,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROPA_yy,,118.97,-400.82,,-38.44,,,76.31,97.23,91.05,115.52,132.35,296.43,250.00,100.00,121.59,-187.27,-139.78,-80.68,-95.90,450.00,389.19,-67.65,312.50,-17.86,96.26,2154.55
ROPA_sy,,4993.75,18.26,,-59.18,,,15.85,32.80,-25.34,-94.21,-50.94,24.30,12.54,3139.13,187.50,2.40,101.36,26.17,43.65,69.80,34.28,9.47,12.34,-39.91,-0.50,12.54
ROPA_qq,,,,,11.85,31.52,18.18,52.03,89.71,-121.43,241.94,,-37.50,69.09,89.25,10.80,-124.62,22.92,191.89,-76.47,2000.00,-36.31,-89.72,200.00,318.18,52.17,18.10
ROPA_sq,,,,,3.28,15.87,-9.36,6.80,18.40,-34.86,-92.97,,200.00,-41.03,102.45,-19.73,6.86,15.96,26.86,-8.62,26.31,-8.29,3.42,-6.22,-32.44,51.84,16.97
ZNPO,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZNPO_yy,,102.64,152.69,,-17.96,,,-79.26,-57.54,-52.49,-23.58,619.24,130.41,-1250.17,113.05,-79.85,-84.26,104.54,-1169.21,-64.41,-9.24,-139.00,99.92,-75.29,-53.38,133.04,5559.60
ZNPO_sy,,267.49,-121.17,,231.20,,,393.83,257.57,-0.91,1931.11,-79.41,-91.79,40.39,111.49,-88.03,707.55,18.71,85.00,4758.45,11.82,-82.32,-85.57,42.69,0.61,759.54,1265.50
ZNPO_qq,,,,,3.81,9.13,-249.35,112.26,112.53,22.12,-488.45,171.34,-31.92,-709.62,104.41,10.13,-46.80,75.68,-1138.85,103.67,35.66,-175.49,97.92,1260.93,155.96,-46.49,243.36
ZNPO_sq,,,,,251.89,29.09,-97.66,6298.89,84.84,-64.23,-52.00,-35.12,-26.31,511.67,-27.68,-96.33,4870.42,-10.09,12.70,-3.54,14.39,-85.78,-8.02,853.88,-19.34,21.46,46.12
ZFI,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZFI_yy,,,,,,,,,,,,,,,,,1000.58,470.73,181.97,28.15,12.98,-57.74,-63.22,,,,-11.92
ZFI_sy,,,,,,,,,,,,,,,,,-18.32,-11.22,-36.32,-38.84,-46.46,-53.07,16.14,,,,12.90
ZFI_qq,,,,,,,,,,,,,,-162.32,251.53,102.12,12.09,7.99,15.25,-8.14,-1.18,-59.60,0.28,,,,
ZFI_sq,,,,,,,,,,,,,,1.25,-7.72,18.00,-25.91,10.05,-33.81,13.33,-35.15,-3.54,63.81,,,,
DTAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTAR_yy,,-4.95,-1.33,,-3.39,,,-19.35,5.52,-24.61,-26.47,-15.48,-34.57,-21.20,27.04,65.86,70.68,151.36,66.23,21.99,21.25,6.86,-7.92,-0.29,-7.03,-13.24,4.24
DTAR_sy,,10.79,-16.25,,1.06,,,-19.91,7.91,13.22,8.36,9.63,-3.06,7.11,2.39,4.00,-5.19,1.83,2.03,2.79,8.94,6.77,7.43,5.61,3.35,-1.59,2.56
DTAR_qq,,,,,1.76,-3.68,-0.69,-17.14,33.15,-31.18,-3.15,-4.76,3.08,-17.12,56.14,24.34,6.07,22.05,3.26,-8.75,5.43,7.57,-11.03,-1.18,-1.69,0.38,6.90
DTAR_sq,,,,,-12.09,-16.33,10.96,-1.87,18.45,-12.22,6.20,-0.72,4.73,-3.01,1.52,0.85,-4.52,4.17,1.72,1.60,1.19,2.10,2.34,-0.12,-0.98,-2.78,6.66
CG,,,,,,,,,,,,,,,,,,,,,,,,,,,
CG_yy,,-6.12,8.38,,-4.06,,,-24.49,3.74,-32.80,-34.79,-21.08,-41.87,-24.18,30.38,80.20,87.67,201.02,90.05,28.85,28.26,9.32,-10.60,-0.49,-9.27,-17.46,5.61
CG_sy,,27.61,-33.51,,-9.40,,,-34.50,15.07,30.36,25.35,15.81,5.73,13.89,1.25,3.34,-13.07,-4.89,7.74,3.02,10.13,8.25,13.27,20.10,11.95,6.31,5.65
CG_qq,,,,,2.21,-4.40,-0.87,-22.04,40.42,-38.07,-3.81,-5.65,3.42,-19.21,65.39,30.41,7.71,29.58,4.42,-11.58,7.21,10.44,-14.61,-1.58,-2.25,0.47,9.26
CG_sq,,,,,-30.81,-21.06,12.34,6.76,21.54,-10.57,8.02,-1.37,10.97,-3.67,-3.96,0.66,-6.65,5.39,8.79,-3.74,-0.21,3.59,13.84,2.06,-6.98,-1.63,13.14
LDER,,,,,,,,,,,,,,,,,,,,,,,,,,,
LDER_yy,,2.06,11.05,,-0.57,,,-30.04,-40.41,-41.70,-44.40,-34.35,-55.73,-45.51,-0.38,118.40,249.21,362.06,175.55,47.27,67.80,2.12,-2.90,0.22,-10.02,-7.55,-3.56
LDER_sy,,60.68,-32.10,,-8.00,,,-38.08,7.70,25.34,45.40,6.62,22.39,-11.80,-18.94,17.41,-18.31,-9.70,-31.04,-22.07,-15.81,7.35,44.47,31.91,32.02,4.48,-4.37
LDER_qq,,,,,1.97,-1.36,-0.85,-29.85,-13.15,-3.50,-5.44,-17.16,-41.44,18.77,72.88,81.62,-6.36,57.16,3.10,-2.93,6.69,-4.35,-1.97,0.18,-4.20,-1.72,2.25
LDER_sq,,,,,-34.72,-4.90,4.72,-4.76,13.56,10.67,21.48,-30.16,30.35,-20.25,11.64,1.16,-9.30,-11.84,-14.74,14.32,-2.02,12.41,14.75,4.38,-1.93,-11.05,5.04
PZAT,,,,,,,,,,,,,,,,,,,,,,,,,,,
PZAT_yy,,0.18,-0.56,,-2.42,,,31.95,53.41,50.92,65.95,48.57,115.17,82.33,1.13,-51.26,-69.70,-74.25,-58.46,-25.53,-31.95,-3.20,0.20,-2.69,7.47,6.49,3.58
PZAT_sy,,0.67,3.64,,6.23,,,16.61,-4.19,-3.81,-22.44,-14.38,-16.75,6.41,14.17,-1.37,18.11,4.89,-7.97,-7.97,-18.73,-22.88,9.26,5.64,11.13,10.17,-6.67
PZAT_qq,,,,,-2.27,1.95,0.01,32.40,13.63,0.29,9.98,18.54,64.57,-15.01,-39.00,-42.87,2.30,-27.77,-1.60,2.42,-6.52,2.74,1.85,-0.53,3.25,1.81,-0.94
PZAT_sq,,,,,2.35,-6.02,15.04,5.38,-15.91,-5.64,-7.24,16.32,-18.23,20.60,-0.47,0.48,-2.08,7.11,-12.68,0.49,-13.53,1.64,23.72,-2.84,-9.05,0.76,4.82
PELDR,,,,,,,,,,,,,,,,,,,,,,,,,,,
PELDR_yy,,-1.87,-7.82,,2.05,,,3.22,2.08,5.86,0.56,-1.79,-1.59,-4.46,-1.46,1.50,3.52,-0.65,-0.21,-3.31,-3.42,1.29,2.49,2.78,1.22,0.61,-1.17
PELDR_sy,,11.24,11.52,,-23.09,,,16.51,4.95,-7.89,5.64,-5.68,-3.85,-2.70,6.21,13.83,25.56,14.71,4.43,2.36,-5.44,4.54,-6.87,-4.16,-3.18,-3.85,13.75
PELDR_qq,,,,,0.73,-0.79,0.67,2.60,-0.38,2.88,-4.37,0.19,-0.17,-0.12,-1.37,3.20,1.82,-4.14,-0.93,-0.01,1.70,0.53,0.25,0.28,0.15,-0.08,-1.52
PELDR_sq,,,,,4.80,16.19,-9.79,6.07,-5.60,1.98,3.45,-5.29,-3.77,3.20,12.93,1.50,6.15,-5.72,2.81,-0.52,-1.94,4.23,-8.41,2.37,-0.94,3.52,8.35
TSF,,,,,,,,,,,,,,,,,,,,,,,,,,,
TSF_yy,,1.52,-7.43,,0.58,,,1.76,-4.88,4.74,4.85,2.80,6.15,-0.75,-2.54,0.72,1.86,0.61,1.88,1.78,4.13,-1.80,2.35,0.23,0.16,3.37,-2.06
TSF_sy,,2.62,3.48,,-3.04,,,2.96,3.64,2.11,0.85,0.60,3.59,-0.79,-1.97,-1.30,-6.16,-5.25,2.49,-0.49,2.67,2.02,-5.35,-1.14,-7.75,-2.77,-5.62
TSF_qq,,,,,-0.11,0.55,0.01,1.30,-6.63,10.72,0.12,-0.68,-3.58,3.53,-1.69,2.64,-2.49,2.26,-0.46,2.55,-0.24,-3.57,3.74,0.43,-0.31,-0.47,-1.71
