,2004/Q4,2005/Q4,2006/Q4,2007/Q4,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
ZOCurrent,10,60,130,270,420,280,320,330,360,370,420,420,390,430,410,430,430,470,470,480,450,380,420,410,420,590,540,620,650,570,550,560,600,690,580,580,480,350,370,360,360,350,450,400,500
CZOCurrent,293440,46770,20410,9600,6220,9180,7980,7790,7170,6970,6160,6110,6710,5980,6310,6090,5990,5560,5560,5440,5800,6810,6160,6320,6110,4370,4770,4170,3990,4550,4720,4650,4310,3740,4470,4500,5350,7400,7020,7250,7250,7450,5740,6460,5190
EVCurrent,2590,2530,2440,2130,2470,1980,2060,2140,2050,2300,2000,820,1170,1400,2020,2550,2830,2590,3120,3230,3350,3600,3320,3340,3580,3090,2930,2880,2980,3120,3410,3240,3760,3580,3140,3870,3920,4230,4290,4580,4300,4590,4700,5100,3590
EVPCurrent,4040,2800,1760,1030,990,980,860,870,750,720,530,200,300,350,490,610,730,690,780,750,760,800,830,860,890,540,530,470,440,510,440,400,460,380,370,460,480,630,680,780,840,890,1000,1060,740
EVEBITCurrent,292970,45750,19220,7900,5920,7000,6340,6420,5660,6180,4760,1940,3040,3240,4930,6000,6560,5560,6700,6790,7500,9470,7910,8140,8460,5210,5400,4640,4580,5490,6200,5820,6260,5170,5420,6720,8100,12100,11610,12810,12050,13210,10420,12740,7190
EVEBITDACurrent,139100,37280,17220,6650,5170,6080,5470,5500,4860,5210,4059,1630,2590,2780,4170,5050,5390,4520,5330,5340,5850,7160,6150,6360,6630,4300,4430,3830,3770,4420,4880,4560,5170,4350,4480,5550,6170,8280,7970,8680,8130,8940,7580,8870,5290
DTAR,930,720,250,240,370,270,330,380,360,320,410,280,380,320,320,310,330,,390,350,390,380,370,380,390,340,380,340,390,410,450,480,490,500,480,470,480,480,480,460,470,470,470,490,530
CG,13900,2590,340,320,600,360,490,620,560,470,690,390,610,470,460,460,570,,640,550,640,610,600,610,660,530,620,520,660,700,850,950,1000,1020,950,920,940,950,970,890,910,910,910,1000,1150
LDER,,60,,10,210,120,120,130,190,170,230,140,160,150,100,120,210,,170,190,200,200,130,130,120,100,90,90,100,130,210,460,480,460,470,450,450,440,440,310,240,360,360,350,410
PZAT,,13750,,52340,4900,6100,6830,7690,5290,6000,4340,4480,4059,4610,8690,7760,5450,,5820,5380,4530,4700,7160,7390,8020,8710,9740,9690,9450,7400,5130,2290,2200,2270,2380,2420,2420,2470,2490,3450,4520,2960,2960,2980,2320
PELDR,,1320,,1670,1150,1480,1340,1150,1180,1150,1210,1750,1750,1650,1370,1310,1130,,1200,1200,1330,1320,1270,1250,1210,1270,1230,1280,1210,1220,1150,1450,1480,1490,1390,1410,1410,1400,1390,1290,1130,1340,1350,1360,1430
TSF,,290,,770,760,820,760,700,760,790,730,820,720,780,750,760,700,,720,770,730,740,710,700,660,710,660,700,650,650,640,740,730,710,740,750,740,720,720,680,640,700,700,660,660
ZKO,1390,930,530,440,1100,600,770,1010,1020,1030,1020,530,640,610,770,830,990,,1080,1110,1130,1130,920,930,930,820,870,800,890,920,1100,1070,1050,1030,1130,1100,1090,1090,1100,1100,1090,1080,1060,1040,1020
OSF,280,1160,760,730,1040,790,900,1000,1010,1020,1010,810,970,870,890,920,860,,1030,1050,1180,1180,970,980,940,890,930,890,940,950,1000,980,970,970,990,990,980,980,980,990,980,980,980,970,1020
NetDebt,2629000000,3114000000,1346000000,-167000000,10580000000,1116000000,7469000000,14134000000,11535000000,13365000000,18252000000,-5964000000,8904000000,5953000000,17989000000,24003000000,31193000000,,45368000000,36813000000,45843000000,46673000000,42151000000,46155000000,52184000000,33485000000,48318000000,40643000000,53794000000,61262000000,74822000000,82899000000,101904000000,109877000000,89726000000,101237000000,108562000000,117740000000,123001000000,118411000000,112069000000,120906000000,123398000000,144252000000,136422000000
NetDebtEBITDA,11050,3580,740,-40,1730,190,1080,1980,1490,1650,2020,-650,840,500,1590,2029,2540,,3310,2600,3430,3970,3340,3760,4130,1990,2730,2020,2540,3240,4000,4360,5230,4990,4770,5430,6380,8600,8550,8380,7910,8790,7440,9370,7510
DebtFin,-53000000,-725000000,-1933000000,-5879000000,-1585000000,-11282000000,-9806000000,-8352000000,-9999000000,-5384000000,-10797000000,-32494000000,-33135000000,-27765000000,-13227000000,-898000000,5680000000,,12392000000,15040000000,17764000000,23674000000,17173000000,17467000000,23248000000,11693000000,9027000000,7830000000,10394000000,14311000000,21894000000,17397000000,31403000000,26604000000,14833000000,34155000000,35560000000,44040000000,45426000000,53270000000,45871000000,53652000000,56453000000,67293000000,26741000000
DebtFinEBITDA,-220,-830,-1070,-1430,-260,-1890,-1420,-1170,-1290,-660,-1190,-3510,-3130,-2350,-1170,-80,460,,910,1060,1330,2009,1360,1420,1840,700,510,390,490,760,1170,920,1610,1210,790,1830,2090,3220,3160,3770,3240,3900,3400,4370,1470
SP1,200,1250,1430,1650,950,1320,1170,1000,990,990,990,1530,1510,1430,1170,1100,870,,960,950,1040,1040,1050,1050,1020,1090,1070,1120,1060,1030,900,920,920,940,880,900,900,900,890,900,910,910,920,940,1010
SP2,200,1320,1430,1670,1150,1480,1320,1130,1180,1150,1210,1750,1750,1650,1280,1230,1050,,1120,1130,1260,1250,1190,1180,1140,1210,1170,1220,1160,1160,1090,1340,1370,1370,1290,1300,1300,1300,1280,1180,1120,1240,1250,1260,1420
CAR,20,190,590,1070,200,1380,760,470,700,450,560,1940,1070,1210,820,700,690,,550,670,590,540,530,480,440,690,540,570,530,530,550,880,700,630,810,630,560,470,430,320,360,380,360,270,510
QR,520,700,1300,1800,910,1990,1450,920,1060,1050,1140,2480,1800,2020,1200,1100,1080,,870,870,890,940,1050,1020,950,1110,1030,1140,1010,1030,920,1340,1340,1330,1220,1060,1050,1020,960,800,820,760,750,750,1140
CR,720,1100,1890,2340,1420,2520,1750,1260,1490,1510,1470,2980,2110,2400,1660,1600,1590,,1280,1380,1310,1310,1390,1360,1320,1520,1360,1520,1320,1330,1200,1830,1810,1750,1740,1780,1750,1700,1650,1410,1250,1530,1540,1480,1540
PP,20,190,590,1070,200,1380,760,470,700,450,560,1940,1070,1210,820,700,690,,550,670,590,540,530,480,440,690,540,570,530,530,550,880,700,630,810,630,560,470,430,320,360,380,360,270,510
RCLR,490,500,700,730,680,590,720,490,350,600,550,490,700,770,590,600,620,,480,380,450,540,650,640,610,520,580,670,550,590,460,690,840,890,650,680,710,760,590,500,310,560,450,500,430
KP,-260,70,220,310,100,270,180,80,120,110,130,350,310,310,160,140,120,,80,90,80,80,110,110,100,140,110,140,110,110,70,200,210,210,180,190,190,180,170,120,80,150,160,150,180
PKKO,-110,40,210,380,140,440,290,130,180,130,170,560,470,420,-15120,-1930,-2160,,-5430,-5320,-530,-5330,280,230,190,180,220,240,180,210,110,350,370,330,300,300,310,380,400,290,240,440,520,510,680
RN,6190,6190,7740,5650,6160,7290,6870,6460,7200,7820,8820,9630,7630,6500,5440,4540,4210,3850,3970,4690,4730,4580,3640,2930,2680,3650,3870,4160,4410,3560,4470,4390,3960,3960,3490,3550,3620,3230,2970,2820,2730,2910,2790,2740,2480
CRN,59000,59000,47000,65000,59000,50000,53000,57000,51000,47000,41000,38000,48000,56000,67000,80000,87000,95000,92000,78000,77000,80000,100000,124000,136000,100000,94000,88000,83000,103000,82000,83000,92000,92000,105000,103000,101000,113000,123000,129000,134000,125000,131000,133000,147000
CPZ,120000,118000,67000,75000,73000,70000,74000,94000,97000,88000,84000,77000,79000,87000,104000,123000,137000,157000,166000,161000,176000,172000,196000,217000,223000,165000,161000,148000,144000,174000,146000,147000,144000,128000,135000,133000,136000,161000,180000,204000,255000,261000,291000,295000,306000
RZ,13280,6390,7470,6410,6880,7860,9090,8550,8330,9410,9640,9280,10110,9450,,-1030,-780,-5570,,,-2060,,6880,8340,9860,12720,8370,8560,9060,8000,10200,10280,10070,11220,9720,8270,7010,4980,3970,3580,2880,2620,2120,1980,1890
CRZ,27000,57000,49000,57000,53000,46000,40000,43000,44000,39000,38000,39000,36000,39000,,-356000,-470000,-65000,,,-177000,,53000,44000,37000,29000,44000,43000,40000,46000,36000,36000,36000,33000,38000,44000,52000,73000,92000,102000,127000,139000,172000,184000,193000
RMO,4260,2800,2870,2120,2620,2570,2620,2370,2300,2790,3070,2530,2250,1900,1640,1570,1520,1430,1500,1630,1570,1610,1390,1250,1220,1580,1640,1730,1790,1530,1880,1770,1660,1740,1520,1550,1530,1300,1180,1110,970,970,880,860,780
RMT,8610,9770,2600,2460,2110,1950,1840,1590,1520,1620,1760,1800,2100,2070,1650,1340,1020,860,840,830,850,880,790,790,810,1110,1190,1270,1340,1180,1400,1360,1320,1450,1280,1270,1220,990,910,850,740,740,670,690,700
RM,2850,2180,1360,1140,1170,1110,1080,950,920,1020,1120,1050,1090,990,820,720,610,540,540,550,540,550,490,470,480,650,690,730,770,660,800,770,740,790,700,700,680,560,510,480,420,420,380,380,370
COP,86000,116000,96000,122000,112000,96000,93000,100000,95000,86000,79000,77000,84000,95000,,-276000,-383000,30000,,,-100000,,153000,168000,173000,129000,138000,131000,123000,149000,118000,119000,128000,125000,143000,147000,153000,186000,215000,231000,261000,264000,303000,317000,340000
CSP,-34000,-2000,29000,47000,39000,26000,19000,6000,-2000,-2000,-5000,0,5000,8000,,-399000,-520000,-127000,,,-276000,,-43000,-49000,-50000,-36000,-23000,-17000,-21000,-25000,-28000,-28000,-16000,-3000,8000,14000,17000,25000,35000,27000,6000,3000,12000,22000,34000
