,2008/Q4,2009/Q4,2010/Q4,2011/Q4,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
RMT_sy,,-42.03,37.22,10.87,,,-2.75,,-3.04,-3.57,-15.67,-4.75,-22.87,-1.76,20.95,-4.79,11.03,-18.55,-17.33,-22.57,-13.80,-20.64,-33.83,-8.96,-3.89,6.25,1.68,1.40,-12.10
RMT_qq,,,,,,-18.87,-26.36,-14.53,6.57,8.51,7.11,2.57,-14.63,-4.48,2.83,2.07,4.96,19.89,-11.24,-11.53,-0.55,-21.72,-4.95,4.35,-6.53,1.86,31.58,2.56,0.60
RMT_sq,,,,,,-0.97,5.64,-10.13,3.13,-1.51,-7.62,1.51,-16.48,25.44,13.72,-20.08,-2.61,-7.98,15.42,-25.15,8.43,-15.28,-3.75,2.97,14.47,-6.34,-7.89,2.68,-0.77
RM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RM_yy,,7.64,5.35,16.17,,,-19.58,,-30.46,-18.94,-0.44,11.14,7.75,-0.52,-1.42,-0.05,5.76,9.32,-3.44,-13.81,-12.64,-23.73,-16.60,-5.53,-15.29,-3.03,12.30,7.66,15.88
RM_sy,,-20.91,29.78,-4.18,,,-7.96,,0.34,7.22,1.16,-5.70,-5.97,3.16,5.18,15.86,8.83,-10.63,-24.43,-22.26,-23.78,-19.87,-18.07,-20.02,-9.25,-2.08,16.52,16.60,7.72
RM_qq,,,,,,-8.46,-15.81,-9.20,-0.65,6.72,3.41,1.37,-3.68,-1.47,2.47,2.78,1.92,1.85,-9.49,-8.26,3.29,-11.08,-1.02,3.91,-7.38,1.79,14.63,-0.38,-0.30
RM_sq,,,,,,-6.66,6.89,1.20,-0.62,-0.26,0.84,-5.66,-0.91,9.42,2.82,3.91,-6.92,-10.14,-13.06,6.91,-8.74,-5.53,-11.11,4.37,3.54,1.94,5.76,4.45,-4.34
COP,173000,151000,155000,118000,99000,103000,117000,121000,129000,119000,116000,112000,101000,102000,100000,100000,105000,119000,116000,120000,108000,98000,108000,98000,109000,105000,84000,87000,86000
COP_yy,,-12.72,2.65,-23.87,,,-0.85,,30.30,15.53,-0.85,-7.44,-21.71,-14.29,-13.79,-10.71,3.96,16.67,16.00,20.00,2.86,-17.65,-6.90,-18.33,0.93,7.14,-22.22,-11.22,-21.10
COP_sy,,2.99,-2.90,-4.27,,,1.79,,-0.46,-12.07,-0.88,2.75,-2.30,3.92,-9.73,-8.93,7.55,8.02,20.59,10.78,-7.02,-9.61,-8.94,-1.77,-1.42,-1.93,-12.50,-11.71,4.31
COP_qq,,,,,,4.04,13.59,3.42,6.61,-7.75,-2.52,-3.45,-9.82,0.99,-1.96,,5.00,13.33,-2.52,3.45,-10.00,-9.26,10.20,-9.26,11.22,-3.67,-20.00,3.57,-1.15
COP_sq,,,,,,6.42,-1.72,-4.39,-0.46,-5.99,10.78,-0.88,-5.36,,-3.77,,11.76,0.44,7.42,-8.13,-6.19,-2.36,8.21,-0.89,-5.86,-2.87,-3.45,,11.22
CSP,23000,9000,-7000,-8000,-2000,1000,9000,9000,9000,8000,7000,5000,2000,1000,0,1000,5000,5000,-10000,-15000,-18000,-27000,-9000,-14000,-15000,-18000,-42000,-42000,-45000
CSP_yy,,-60.87,-177.78,-14.29,,,212.50,,550.00,700.00,-22.22,-44.44,-77.78,-87.50,-100.00,-80.00,150.00,400.00,,-1600.00,-460.00,-640.00,10.00,6.67,16.67,33.33,-366.67,-200.00,-200.00
CSP_sy,,5.17,-11.48,7.41,,,-6.90,,-8.00,-48.48,-18.52,-9.43,-13.04,,-27.27,-37.50,5.00,50.00,,46.67,-52.38,-109.80,-109.52,-111.36,-135.00,-180.00,-300.00,140.00,371.43
CSP_qq,,,,,,150.00,800.00,,,-11.11,-12.50,-28.57,-60.00,-50.00,-100.00,,400.00,,-300.00,-50.00,-20.00,-50.00,66.67,-55.56,-7.14,-20.00,-133.33,,-7.14
CSP_sq,,,,,,32.00,-18.18,,,-26.09,29.41,9.09,-16.67,-15.00,-5.88,,40.00,,-17.65,4.76,-54.55,-125.00,20.00,-25.00,-40.00,-100.00,-14.29,,850.00
