,2008/Q4,2009/Q4,2010/Q4,2011/Q4,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
CZCurrent_sq,,,,,,-0.31,-23.43,-1.42,-27.80,-2.20,-9.72,23.82,-9.54,-4.79,25.82,-9.01,-13.37,-8.42,34.41,-0.83,4.89,-9.79,-15.19,-0.96,16.44,25.78,-31.74,4.25,-17.61
ZOCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZOCurrent_yy,,-84.82,1623.19,-23.27,,,-88.56,,-26.07,94.57,64.20,112.52,67.85,-25.58,-12.00,-28.96,-6.05,44.22,-0.56,5.34,48.06,23.39,7.04,29.62,-58.29,-65.46,35.34,21.17,166.89
ZOCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZOCurrent_qq,,,,,,-36.56,34.83,-15.79,2.64,66.96,13.78,8.99,-18.93,-25.97,34.55,-12.02,7.21,13.64,-7.23,-6.80,50.69,-5.30,-19.51,12.86,-51.51,-21.58,215.39,1.05,6.80
ZOCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZOCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZOCurrent_yy,,558.76,-94.20,30.33,,,774.31,,35.29,-48.60,-39.10,-52.94,-40.44,34.36,13.63,40.75,6.46,-30.65,0.55,-5.07,-32.47,-18.97,-6.58,-22.84,139.76,189.49,-26.10,-17.47,-62.53
CZOCurrent_sy,,40.22,-7.85,-15.20,,,15.02,,-38.14,-24.04,-46.61,-30.76,-8.00,-30.67,59.58,6.11,-13.92,2.83,-9.01,17.69,20.81,40.08,2.45,-22.75,-4.55,-5.26,0.71,13.50,-1.41
CZOCurrent_qq,,,,,,57.63,-25.82,18.73,-2.55,-40.12,-12.11,-8.24,23.33,35.08,-25.67,13.65,-6.71,-12.01,7.77,7.30,-33.63,5.59,24.24,-11.38,106.23,27.49,-68.28,-1.04,-6.37
