,2006/Q4,2007/Q4,2008/Q4,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
NetDebt,426232000000,382725000000,681234000000,649801000000,,400963000000,847458000000,978156000000,,1055612000000,1081610000000,1037095000000,,1080978000000,1004887000000,1025890000000,1002411000000,1009597000000,1070736000000,1065135000000,1039272000000,993207000000,996912000000,951190000000,908816000000,857995000000,886475000000,843630000000,820407000000,865618000000,872316000000,881302000000,853247000000,867716000000,846263000000,829695000000,893103000000,858849000000,890927000000,996758000000
NetDebtEBITDA,8150,3540,5570,3200,,1630,3990,6550,,8109,8430,7240,,8270,6530,5850,5750,9770,13070,-54850,-27550,-32980,-70710,9080,5370,3330,3040,3050,3160,3950,4190,3820,3610,3530,3380,3300,3640,3890,4120,4560
DebtFin,72219000000,123725000000,313568000000,288587000000,,98372000000,359735000000,316669000000,,360187000000,374749000000,382057000000,,322865000000,310679000000,302247000000,317734000000,293686000000,390874000000,405885000000,408020000000,392276000000,386276000000,375455000000,265637000000,268533000000,245474000000,261828000000,243447000000,241196000000,274961000000,313044000000,266236000000,257442000000,267463000000,249599000000,253617000000,207711000000,258742000000,337829000000
DebtFinEBITDA,1380,1150,2560,1420,,400,1690,2120,,2770,2920,2670,,2470,2020,1720,1820,2840,4770,-20900,-10820,-13020,-27400,3580,1570,1040,840,950,940,1100,1320,1360,1130,1050,1070,990,1030,940,1200,1550
SP1,960,20,650,720,,1010,680,620,,580,580,560,,600,620,620,640,570,620,570,570,560,570,600,650,640,670,650,650,570,590,600,630,600,620,610,620,590,610,590
SP2,1190,230,1290,1360,,1540,1240,1130,,1020,1060,1050,,1160,1110,920,940,970,1070,790,800,1020,1030,1050,1110,1170,1180,1130,1140,1020,1050,1040,990,1060,1090,1060,1240,1150,1200,1040
CAR,100,110,170,280,,580,290,280,,240,240,200,,270,240,170,170,260,190,130,110,170,140,150,210,270,240,280,310,280,250,190,280,220,190,200,400,420,360,190
QR,770,750,730,880,,1520,860,620,,560,590,540,,660,630,460,510,570,600,400,420,540,620,650,730,760,760,720,790,650,700,650,690,710,790,740,1030,910,970,710
CR,1240,1290,1440,1660,,2380,1490,1200,,1030,1090,1080,,1290,1180,900,920,1250,1350,950,960,1260,1280,1310,1390,1560,1510,1450,1490,1370,1410,1400,1280,1500,1610,1570,1810,1650,1740,1380
PP,100,110,170,280,,670,340,320,,250,240,210,,270,260,170,170,260,200,160,120,170,150,150,210,300,280,310,320,280,250,190,280,240,200,200,420,430,410,260
RCLR,710,750,710,830,,980,650,460,,370,440,430,,490,490,360,400,440,550,380,410,480,570,600,610,590,620,580,620,500,580,600,530,610,760,680,730,580,700,570
KP,100,110,150,190,,280,140,70,,10,30,30,,90,60,-40,-30,90,120,-20,-20,100,110,120,150,190,190,160,170,140,150,150,120,160,180,170,230,200,220,140
PKKO,90,100,170,200,,260,180,90,,10,30,20,,90,60,-40,-30,80,100,-20,-10,60,70,80,110,140,150,130,130,110,120,110,90,130,140,130,200,160,180,120
RN,4860,5060,4720,5330,5860,6420,6580,6840,7450,7660,8080,8400,8450,8490,8620,8600,8580,8140,8109,8010,8060,8440,8430,8000,7690,7510,7320,7550,7620,7660,7770,7790,7770,7700,7660,7810,7750,7930,7980,7810
CRN,75000,72000,77000,68000,62000,57000,55000,53000,49000,48000,45000,43000,43000,43000,42000,42000,43000,45000,45000,46000,45000,43000,43000,46000,47000,49000,50000,48000,48000,48000,47000,47000,47000,47000,48000,47000,47000,46000,46000,47000
CPZ,106000,96000,109000,88000,80000,67000,71000,87000,79000,100000,106000,105000,104000,95000,90000,97000,99000,107000,104000,105000,104000,98000,97000,90000,84000,82000,82000,81000,80000,82000,83000,82000,85000,82000,78000,74000,68000,67000,68000,73000
RZ,7120,7060,4940,6090,6580,7300,7230,7060,8050,7690,7770,7770,7740,7550,7660,7500,7730,7810,7480,7500,7400,7270,7450,7160,6920,6700,6400,6510,6700,6730,6860,6660,6560,6580,6770,6890,6830,7040,7020,6890
CRZ,51000,52000,74000,60000,55000,50000,50000,52000,45000,47000,47000,47000,47000,48000,48000,49000,47000,47000,49000,49000,49000,50000,49000,51000,53000,54000,57000,56000,54000,54000,53000,55000,56000,55000,54000,53000,53000,52000,52000,53000
RMO,2780,2940,2330,2680,2950,3060,2960,2810,3060,3020,3120,3280,3300,3360,3450,3430,3500,3240,3210,3160,3170,3390,3470,3420,3320,3220,3070,3060,3050,3050,3090,3160,3150,3200,3290,3360,3310,3270,3160,3070
RMT,2750,2740,2210,2580,2830,2930,2460,2260,2460,2190,2230,2170,2190,2260,2350,2410,2470,2460,2580,2740,2880,3100,3230,3200,3270,3310,3360,3480,3520,3540,3540,3580,3600,3490,3400,3290,3180,3200,3180,3230
RM,1380,1420,1130,1310,1440,1500,1340,1250,1360,1270,1300,1310,1320,1350,1400,1420,1450,1400,1430,1470,1510,1620,1670,1650,1650,1630,1610,1610,1600,1600,1600,1640,1650,1650,1660,1650,1610,1610,1580,1570
COP,126000,124000,151000,128000,117000,107000,105000,105000,94000,95000,92000,90000,90000,91000,90000,91000,90000,92000,94000,95000,94000,93000,92000,97000,100000,103000,107000,104000,102000,102000,100000,102000,103000,102000,102000,100000,100000,98000,98000,100000
CSP,20000,28000,42000,40000,37000,40000,34000,18000,15000,-5000,-14000,-15000,-14000,-4000,0,-6000,-9000,-15000,-10000,-10000,-10000,-5000,-5000,7000,16000,21000,25000,23000,22000,20000,17000,20000,18000,20000,24000,26000,32000,31000,30000,27000
