,2005/Q4,2006/Q4,2007/Q4,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
CZOCurrent_qq,,,,,-9.68,3.29,4.27,8.87,3.62,-8.80,-13.66,-17.67,0.26,15.75,74.13,37.47,43.44,,,,,,,,-17.05,-25.45,-6.70,132.77,,,,,-51.76,18.04,,,,,,,,
CZOCurrent_sq,,,,,-64.06,4.66,-10.57,93.77,-35.65,-7.11,85.49,25.76,-21.19,-4.71,-8.86,2.18,-12.24,,,,,,,,-1.20,-19.05,-16.01,16.02,,,,,-41.42,42.24,,,,,,,,
EVCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVCurrent_yy,,-8.41,2.23,-80.42,,,,453.58,171.35,128.46,,-28.53,-32.67,1.93,,137.54,244.54,42.51,16.10,-54.33,-68.66,-57.76,-45.91,-1.20,-38.43,17.30,-9.27,-66.25,-44.64,-43.64,42.32,212.60,166.87,107.24,51.07,-5.11,-17.63,-21.73,-2.70,45.35,148.58,59.74
EVCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVCurrent_qq,,,,,91.23,70.84,65.41,2.44,-6.27,43.84,-27.60,-26.78,-11.70,117.76,-28.97,73.92,28.07,-9.93,-42.13,-31.58,-12.13,21.40,-25.89,24.97,-45.24,131.29,-42.68,-53.51,-10.19,135.46,44.75,2.12,-23.32,82.84,5.52,-35.86,-33.44,73.74,31.17,-4.19,13.84,11.65
EVCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVPCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVPCurrent_yy,,-32.19,-23.66,-90.93,,,,361.41,132.77,91.62,-24.74,-50.91,-52.10,-15.19,19.82,210.07,334.29,71.35,12.86,-45.29,-53.25,-36.58,-17.71,19.48,-37.69,3.10,-18.69,-70.03,-50.87,-40.79,26.14,160.73,107.61,42.22,33.88,18.52,32.46,69.40,83.88,115.79,148.81,12.68
EVPCurrent_sy,,37.23,60.20,-25.57,,,,-3.36,60.29,29.59,62.02,-11.95,1.55,23.74,32.35,5.28,9.66,-10.11,12.32,-2.64,-3.95,-3.12,6.47,-6.41,-6.74,-13.92,-19.48,-25.31,-33.03,-26.22,-30.59,-4.28,21.08,9.90,18.60,5.80,-3.00,1.82,-1.43,12.99,25.94,10.09
EVPCurrent_qq,,,,,78.19,61.77,57.63,1.55,-10.11,33.17,-38.09,-33.76,-12.30,135.81,-12.54,71.42,22.84,-6.96,-42.39,-16.91,4.98,26.21,-25.25,20.63,-45.25,108.81,-41.05,-55.53,-10.24,151.63,25.59,-8.08,-28.53,72.38,18.22,-18.63,-20.13,120.45,28.33,-4.51,-7.90,-0.16
EVPCurrent_sq,,,,,-46.79,21.43,-41.23,154.49,-11.73,-1.83,-26.53,38.31,1.80,19.61,-21.41,10.03,6.03,-1.95,-1.80,-4.63,4.60,-1.09,7.91,-16.17,4.23,-8.70,0.94,-22.24,-6.55,0.59,-5.04,7.23,18.21,-8.70,2.47,-4.34,8.38,-4.16,-0.79,9.65,20.80,-16.22
EVEBITCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVEBITCurrent_yy,,-46.89,-37.03,-92.81,,,,486.40,229.66,145.05,-11.17,-52.00,-56.23,-15.92,66.37,559.96,1269.10,-1239.32,-338.44,-124.29,-110.87,90.13,49.50,601.18,376.94,350.68,201.25,-54.67,-239.47,-205.52,-407.84,185.33,175.53,224.96,-231.25,-146.30,-161.54,-137.09,81.77,-20.18,-242.36,-372.03
EVEBITCurrent_sy,,56.69,94.40,-24.35,,,,-39.53,-36.74,-73.47,2.26,-27.84,36.52,236.95,16.53,6.00,67.66,-2.82,100.26,50.07,0.85,35.39,4.41,4.72,-1.28,-8.88,-18.85,-22.87,-37.22,-0.12,-8.21,-15.52,-12.29,-13.65,-19.16,-7.01,50.34,7.99,41.31,37.25,26.38,12.94
EVEBITCurrent_qq,,,,,72.76,76.47,72.46,11.53,-2.88,31.18,-37.49,-39.73,-11.45,152.03,23.69,139.09,83.69,-309.73,74.11,75.64,17.80,-90.49,-32.41,341.72,-54.58,72.42,-46.52,8.22,-239.76,-30.45,-56.03,200.31,-63.01,115.83,-513.60,85.98,50.83,-30.10,-103.26,7.58,-40.07,-79.38
EVEBITCurrent_sq,,,,,-57.00,19.65,-48.83,129.66,-55.01,-49.82,97.23,62.06,-14.89,23.86,-31.79,47.42,34.62,-28.21,40.56,10.47,-9.53,-3.62,8.40,10.80,-14.72,-11.03,-3.47,5.30,-30.58,41.53,-11.28,-3.09,-27.92,39.33,-16.93,11.47,16.53,0.09,8.70,8.27,7.30,-10.56
EVEBITDACurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVEBITDACurrent_yy,,-28.16,-36.79,-91.90,,,,497.24,225.85,143.45,-9.68,-49.98,-53.93,-14.52,49.30,429.94,872.72,3419.85,-892.92,-143.45,-121.58,-105.37,56.40,290.21,218.14,204.56,128.33,-60.51,139.55,1095.92,1938.69,208.01,-47.46,-88.99,-43.67,-309.36,-252.71,-183.69,-143.68,4.39,-319.80,-1543.61
EVEBITDACurrent_sy,,51.83,92.58,-27.96,,,,-20.02,29.55,-38.76,-43.05,-32.29,47.56,50.18,0.73,23.94,-12.97,88.48,73.50,-4.60,29.78,-7.95,18.63,0.44,-24.73,-34.70,-42.31,-5.07,-8.05,5.97,7.92,-9.18,-8.04,24.07,-3.59,-1.83,8.24,-29.74,-3.39,19.18,13.38,21.77
EVEBITDACurrent_qq,,,,,75.85,77.70,71.92,11.17,-4.06,32.77,-36.22,-38.43,-11.63,146.33,11.40,118.53,62.20,791.37,-125.10,88.02,19.44,-121.75,-103.80,152.25,-49.96,96.26,-44.79,-27.16,203.49,879.82,-5.88,-88.99,-48.23,105.27,381.63,-140.90,62.24,-12.50,-151.36,10.46,-65.81,-340.45
EVEBITDACurrent_sq,,,,,-59.58,32.12,49.95,-0.11,-34.53,-37.54,39.44,18.76,42.67,-36.43,-6.47,46.12,0.18,37.66,-13.90,-19.66,36.29,-2.36,10.96,-31.98,2.14,-15.30,-1.96,11.92,-1.06,-2.39,-0.16,-5.81,0.19,31.69,-22.41,-4.10,10.47,-14.52,6.68,18.31,5.09,-8.19
ROE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROE_yy,,54.88,30.24,-34.05,,,,-3.30,-7.27,0.80,,15.22,14.04,-3.03,,-69.79,-80.47,-127.26,,-411.04,-617.98,-160.76,11.99,114.99,117.93,136.81,169.62,-43.42,-169.76,-183.44,-166.34,29.07,280.61,198.49,14.45,-634.23,-409.68,-683.67,-552.41,-29.43,2.92,66.65
