,2006/Q4,2007/Q4,2008/Q4,2009/Q4,2010/Q4,2011/Q4,2012/Q4,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
ROS_sq,,,,,,,,,567.24,108.01,-31.30,-64.74,178.46,13.17,17.74,11.96,-30.00,188.36,-14.98,5.04,7.33,12.64,-31.56,3.81,24.48,-17.33,50.87,0.23
RS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS_yy,,-10.29,-4.19,20.67,-8.67,2.10,3.15,,,-7.49,,-5.59,-5.03,7.00,8.80,11.57,10.60,-4.42,-12.36,-19.26,-25.61,-20.86,-16.37,-11.46,-3.00,3.81,5.14,8.01
RS_sy,,0.20,-27.61,-22.17,18.18,4.27,-18.90,,,-21.68,,-30.01,32.26,54.72,93.75,73.67,12.87,4.75,9.73,-2.87,-11.85,10.81,18.43,20.14,51.33,-15.99,-8.37,-6.44
RS_qq,,,,,,,,,0.18,-5.25,0.79,-1.33,0.78,6.76,2.49,1.17,-0.10,-7.74,-6.02,-6.79,-7.96,-1.84,-0.70,-1.32,0.85,5.05,0.57,1.38
RS_sq,,,,,,,,,-21.25,3.96,-25.91,15.37,48.83,21.61,-7.21,3.41,-3.27,12.86,-2.80,-8.47,-12.21,41.86,3.89,-7.15,10.58,-21.25,13.32,-5.20
GPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPM_yy,,83.05,-60.07,-132.59,698.35,-85.21,281.64,,,-25.01,,-52.41,-44.89,16.68,16.90,26.03,-9.80,-33.38,9.21,5.84,-13.13,76.15,-14.07,14.66,98.67,-34.98,39.19,-3.44
GPM_sy,,6.30,-63.22,-122.02,863.55,-28.06,-30.93,,,-42.94,,252.34,132.98,8.27,53.38,101.59,37.14,107.44,89.02,4.21,46.39,15.58,-12.64,24.03,51.14,1.55,93.04,52.97
GPM_qq,,,,,,,,,12.92,-41.56,-17.79,-12.27,30.76,23.71,-17.63,-5.42,-6.41,-8.63,35.02,-8.34,-23.18,85.28,-34.14,22.31,33.10,-39.37,41.00,-15.15
GPM_sq,,,,,,,,,75.70,142.20,-25.26,10.77,16.18,12.56,5.88,45.59,-20.96,70.26,-3.52,-19.73,11.03,34.42,-27.07,13.96,35.29,-9.68,38.63,-9.70
RBS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RBS_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RBS_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RBS_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RBS_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROPA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROPA_yy,,12.63,-33.41,-100.89,14400.00,-29.90,-8.10,,,46.54,,-74.94,-62.73,-20.28,-33.76,69.95,-2.27,-15.91,62.05,40.55,9.44,20.03,-45.23,-40.24,23.75,-53.28,26.42,23.59
ROPA_sy,,12.31,-71.82,-102.96,4993.75,18.26,-59.18,,,32.80,,-94.21,-50.94,24.30,12.54,3139.13,187.50,2.40,101.36,26.17,43.65,69.80,34.28,9.47,12.34,-39.91,-0.50,12.54
ROPA_qq,,,,,,,,,7.66,-34.86,-14.17,-58.36,60.10,39.32,-28.69,6.84,-7.93,19.87,37.43,-7.34,-28.31,31.47,-37.28,1.10,48.46,-50.37,69.70,-1.16
ROPA_sq,,,,,,,,,6.80,18.40,-34.86,-92.97,804.35,200.00,-41.03,102.45,-19.73,6.86,15.96,26.86,-8.62,26.31,-8.29,3.42,-6.22,-32.44,51.84,16.97
ZNPO,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZNPO_yy,,157.00,-36.01,-115.44,709.09,-91.00,463.81,,,1.02,,-64.14,-42.29,12.57,25.12,128.57,206.31,-5.61,47.07,56.17,-60.64,166.10,22.28,-32.49,105.44,-72.61,-57.93,19.72
ZNPO_sy,,-248.05,59.31,252.59,267.49,-121.17,231.20,,,257.57,,1931.11,-79.41,-91.79,40.39,111.49,-88.03,707.55,18.71,85.00,4758.45,11.82,-82.32,-85.57,42.69,0.61,759.54,1265.50
ZNPO_qq,,,,,,,,,-16.07,-8.84,-10.97,-47.35,35.05,77.82,-1.05,-3.81,80.98,-45.21,54.18,2.14,-54.39,270.47,-29.15,-43.60,38.80,-50.61,8.83,60.47
ZNPO_sq,,,,,,,,,6298.89,84.84,-64.23,-52.00,-35.12,-26.31,511.67,-27.68,-96.33,4870.42,-10.09,12.70,-3.54,14.39,-85.78,-8.02,853.88,-19.34,21.46,46.12
ZFI,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZFI_yy,,-95.29,217.39,39.17,-46.70,-7.69,47.99,,,-75.53,,-17.18,-47.25,1082.90,173.04,40.29,-2680.67,,,,,,,,,109.96,113.90,52.29
ZFI_sy,,-23.30,70.88,9.40,-10.44,-3.71,-20.39,,,-51.09,,-55.26,-50.73,146.18,73.89,100.08,117.00,,,,,,,,,151.95,71.94,12.90
ZFI_qq,,,,,,,,,7.06,-61.15,55.85,27.76,-31.81,771.20,-64.03,-34.36,-1354.40,,,,,,42.86,111.89,61.23,-9.03,-20.23,30.17
ZFI_sq,,,,,,,,,-1.20,-60.61,43.34,-19.80,8.80,96.82,1.25,-7.72,18.00,,,,,,-3.54,63.81,19.20,33.76,-34.17,7.56
DTAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTAR_yy,,19.58,18.26,1.58,-7.51,5.43,-5.55,,,-13.88,,-5.76,-3.57,2.37,-1.10,-2.70,-2.38,-22.42,-23.28,-21.41,-21.44,0.28,3.61,13.53,11.84,9.05,12.51,11.96
