,2008/Q4,2009/Q4,2010/Q4,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
ZOCurrent,-1660,-1500,190,-240,-260,-80,-140,-140,-150,-260,-260,60,120,20,50,180,130,190,280,270,320,330,510,590,660,630,710,550,530,1200
CZOCurrent,,,19590,,,,,,,,,62590,31330,148840,79100,20350,28230,19190,12960,13730,11500,11320,7200,6250,5560,5890,5230,6720,6960,3070
EVCurrent,7100,7720,7740,5740,4230,4380,3690,4620,4450,4530,4910,4490,4600,4850,5380,6190,6350,6630,6790,6620,7150,7300,7480,7470,7380,7750,7210,7450,7440,6900
EVPCurrent,47090,28120,24070,14210,8620,8630,17410,18350,22180,21340,21830,6260,4390,4460,4800,6260,8039,7680,4530,4330,4130,4080,5460,3500,2820,2920,1620,1530,1650,1020
EVEBITCurrent,-4270,-5130,41100,-23950,-16329,-52080,-26740,-33800,-30160,-17560,-18990,76160,39070,195590,115410,34170,48590,34480,23870,24640,22280,22400,14600,12650,11120,12380,10210,13570,14040,5740
EVEBITDACurrent,-4280,-5150,40050,-24140,-16460,-53560,-27240,-34770,-31090,-17880,-19320,72340,38210,177160,109290,33530,46980,33560,23370,24070,21830,21910,14370,12470,10970,12190,10080,13330,13760,5690
DTAR,470,540,530,410,200,230,,240,290,330,380,330,280,360,350,410,420,490,460,470,500,520,530,560,560,560,570,580,620,600
CG,880,1150,1110,1190,240,300,,320,410,490,620,500,400,570,540,700,730,940,860,870,980,1070,1140,1280,1270,1280,1300,1500,1780,1610
LDER,630,480,820,420,130,160,,170,280,300,380,300,280,390,390,560,580,680,730,770,850,720,780,940,860,840,900,920,950,920
PZAT,120,480,270,4680,1150,6560,,0,0,0,0,0,0,0,10,1020,10,10,580,520,320,390,340,270,300,270,250,240,250,240
PELDR,1260,1100,1450,590,1140,1110,,1110,1200,1190,1360,1250,1220,1270,1210,1290,1290,1440,1450,1450,1670,1580,1610,1800,1780,1810,1890,1910,1720,1790
TSF,870,690,860,480,910,890,,890,910,870,850,870,920,880,900,920,910,870,930,950,930,830,830,850,820,810,830,750,680,720
ZKO,1490,1430,1290,2320,970,1160,,1220,1200,1230,1020,1100,1150,1200,1380,1430,1440,1220,1280,1340,1120,1090,1100,1070,1030,1010,1000,960,1030,1010
OSF,1160,1060,1030,960,980,1110,,1150,1120,1130,1010,1050,1100,1090,1200,1180,1180,1040,1080,1100,1010,1000,1000,990,990,1000,1000,950,910,940
NetDebt,137494000000,143667000000,143635000000,149275000000,59437000000,75376000000,,83615000000,97606000000,116599000000,126247000000,105325000000,88509000000,116365000000,146781000000,190606000000,202493000000,246309000000,234037000000,235663000000,283563000000,315869000000,349905000000,351629000000,356520000000,401665000000,368020000000,405278000000,472598000000,438070000000
NetDebtEBITDA,-3200,-3700,28670,-10420,-4070,-16239,,-11090,-12020,-8109,-8750,27180,11770,68090,47720,16520,23990,19970,12890,13720,13860,15180,10760,9400,8480,10120,8240,12030,14510,5990
DebtFin,88494000000,104399000000,105005000000,123471000000,30803000000,39078000000,,52761000000,43033000000,47561000000,69413000000,49922000000,56891000000,72364000000,105776000000,156408000000,166151000000,183540000000,193861000000,182973000000,216159000000,225526000000,236852000000,235947000000,230620000000,253385000000,219613000000,226583000000,225701000000,193666000000
DebtFinEBITDA,-2060,-2690,20960,-8620,-2110,-8420,,-7000,-5300,-3310,-4810,12880,7570,42340,34390,13560,19680,14880,10680,10650,10570,10840,7280,6310,5490,6380,4920,6730,6930,2650
SP1,770,740,800,410,1010,960,,950,940,920,990,960,950,910,870,830,820,860,840,820,900,920,910,930,960,990,990,990,880,930
SP2,1260,1100,1450,590,1140,1110,,1110,1200,1190,1360,1250,1220,1270,1210,1290,1290,1440,1450,1450,1670,1580,1610,1800,1780,1810,1890,1910,1720,1790
CAR,320,160,250,50,390,340,,260,560,530,800,840,990,1110,470,780,690,690,1060,1740,1130,340,360,860,680,360,740,630,380,540
QR,420,250,530,120,680,630,,410,810,730,870,1250,1310,1310,780,1270,1040,900,1520,2110,1760,610,610,950,830,510,950,880,500,680
CR,2370,1200,2920,660,2280,1840,,1770,2630,2130,2550,2340,2940,2640,2520,3510,3380,2960,5030,6500,6720,2810,2870,3590,2980,2880,3230,2690,2070,2320
PP,320,160,250,50,390,340,,260,560,530,800,840,1000,1110,470,780,690,690,1060,1740,1130,340,360,860,680,360,750,630,380,540
RCLR,90,80,270,60,290,290,,140,220,180,60,390,290,170,290,480,310,200,430,340,570,240,240,80,120,130,180,240,100,130
KP,180,60,270,-90,110,90,,90,150,140,230,170,160,190,150,210,210,260,290,300,380,310,320,380,360,360,390,380,310,340
PKKO,-750500,-118160,-613450,289580,11110,5670,,3150,7370,8480,13500,2180,1320,1640,1300,2380,3140,4180,2460,2660,3160,2520,3720,3010,2370,2370,1520,1520,1330,990
RN,1060,930,760,4400,4120,3170,1330,1560,1290,1470,1780,3840,5350,5570,4780,4400,3250,3200,5220,6170,6030,5350,3600,5710,7580,8500,14950,10300,8800,12150
CRN,346000,395000,481000,83000,89000,115000,275000,234000,282000,248000,206000,95000,68000,66000,76000,83000,112000,114000,70000,59000,61000,68000,101000,64000,48000,43000,24000,35000,41000,30000
CPZ,3990000,4725000,1790000,836000,628000,737000,1764000,1011000,1324000,1389000,1483000,457000,312000,302000,266000,277000,369000,385000,216000,201000,174000,194000,341000,277000,284000,303000,188000,206000,263000,194000
RZ,,,,,50,120,150,200,140,110,100,450,680,710,800,590,400,340,530,480,460,430,280,380,430,390,650,660,570,840
CRZ,,,,,6764000,2999000,2373000,1805000,2548000,3264000,3563000,803000,540000,512000,458000,616000,923000,1084000,689000,762000,789000,847000,1301000,952000,856000,937000,565000,551000,636000,433000
RMO,40,60,70,250,310,400,170,190,130,120,110,330,480,470,530,460,330,310,470,450,440,420,280,380,420,390,620,610,530,760
RMT,20,40,50,80,100,90,40,50,40,40,40,140,200,210,200,170,130,140,240,240,280,290,220,360,440,440,740,800,740,1110
RM,10,20,30,60,70,80,30,40,30,30,30,100,140,140,150,130,90,100,160,160,170,170,130,180,210,210,340,340,310,450
COP,,,,,6853000,3114000,2648000,2039000,2830000,3512000,3769000,898000,608000,578000,534000,699000,1035000,1198000,759000,821000,850000,915000,1402000,1016000,904000,980000,589000,586000,677000,463000
CSP,,,,,6225000,2377000,884000,1028000,1506000,2123000,2286000,441000,296000,276000,268000,422000,666000,813000,543000,620000,676000,721000,1061000,739000,620000,677000,401000,380000,414000,269000
