,2005/Q4,2006/Q4,2007/Q4,2008/Q4,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
WKCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WKCurrent_qq,,,,,,-100.00,,9.75,12.68,-100.00,,14.13,-15.48,-100.00,,5.31,-16.62,1.13,4.66,4.70,0.97,1.94,3.19,4.55,-8.95,1.24,-1.73,0.20,0.70,2.41,1.82,-2.29,-1.64,1.57,0.32,1.03,0.58,0.94,-1.69,-1.12,-2.63
WKCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CWKCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CWKCurrent_yy,,-95.38,-66.81,-3.34,,,-5.94,,-38.20,,-28.19,-30.95,-7.94,,-12.38,-5.05,-3.73,,7.59,8.22,-10.64,-11.34,-10.08,-9.96,-0.13,0.55,5.58,10.18,-0.41,-1.50,-4.94,-2.53,-0.19,0.60,2.12,-1.25,-3.42,-2.81,-0.84,1.34,4.66
CWKCurrent_sy,,-93.97,-68.02,-2.70,,,40.49,,-19.55,,-28.19,-20.51,-7.94,,445.71,58.46,96.21,,-1.20,262.25,142.12,47.35,-22.38,-25.43,-6.89,-77.08,-19.97,-54.45,-38.88,150.14,-10.25,76.15,31.02,21.87,23.57,8.14,-0.41,4.70,-7.92,16.73,5.56
CWKCurrent_qq,,,,,,,,-8.87,-11.26,,,-12.38,18.30,,,-5.05,19.94,-1.13,-4.45,-4.49,-0.96,-1.91,-3.09,-4.36,9.85,-1.25,1.76,-0.19,-0.71,-2.33,-1.79,2.34,1.67,-1.56,-0.31,-1.04,-0.56,-0.94,1.72,1.13,2.70
CWKCurrent_sq,,,,,,,,-20.84,2.15,,,-12.38,18.30,,,-74.56,46.48,75.01,51.47,-6.71,-2.09,6.51,-20.21,-10.38,22.26,-73.78,178.57,-49.00,64.06,7.31,-0.05,0.10,22.03,-0.18,1.34,-12.40,12.39,4.94,-10.88,11.06,1.63
WKGrahamCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WKGrahamCurrent_yy,,1759.39,204.65,11.60,,,9.68,,58.16,,34.07,52.60,11.38,,15.62,3.83,-3.78,,-14.43,-15.89,10.48,10.74,13.60,18.10,4.02,2.65,-3.29,-8.80,-2.72,1.57,5.16,-6.98,5.38,-0.23,-0.07,4.07,7.61,8.15,1.34,8.23,-8.81
WKGrahamCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WKGrahamCurrent_qq,,,,,,-100.00,,2.58,14.86,-100.00,,16.77,-16.17,-100.00,,4.86,-22.31,3.72,1.27,3.07,2.04,3.96,3.90,7.16,-10.13,2.59,-2.11,1.04,-4.13,7.11,1.35,-10.62,8.61,1.41,1.51,-6.92,12.30,1.92,-4.88,-0.59,-5.38
WKGrahamCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CWKGrahamCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CWKGrahamCurrent_yy,,-94.62,-67.17,-10.40,,,-8.83,,-36.77,,-25.41,-34.46,-10.21,,-13.50,-3.69,3.92,,16.86,18.88,-9.49,-9.69,-11.97,-15.32,-3.86,-2.59,3.39,9.63,2.78,-1.54,-4.92,7.52,-5.10,0.22,0.08,-3.93,-7.07,-7.53,-1.32,-7.60,9.66
CWKGrahamCurrent_sy,,-90.29,-67.44,-12.67,,,66.22,,1.00,,82.36,95.04,40.14,,189.02,197.70,283.36,,-49.19,-31.82,52.84,-31.74,8.27,-36.80,-65.37,-90.76,-47.25,49.39,10.75,379.89,42.31,-22.32,10.63,7.48,35.87,15.11,-26.99,-20.02,-38.62,-57.83,-60.01
CWKGrahamCurrent_qq,,,,,,,,-2.51,-12.94,,,-14.35,19.28,,,-4.63,28.71,-3.59,-1.25,-2.98,-2.01,-3.80,-3.74,-6.68,11.26,-2.53,2.17,-1.04,4.31,-6.63,-1.34,11.90,-7.94,-1.40,-1.48,7.42,-10.94,-1.89,5.14,0.57,5.70
CWKGrahamCurrent_sq,,,,,,,,-26.43,26.76,,,-21.32,-8.92,,,-18.95,17.28,59.52,-66.49,8.77,162.90,-28.76,-46.85,-36.51,44.08,-80.99,203.40,79.80,6.81,-17.64,-10.02,-1.86,52.12,-19.99,13.74,-16.85,-3.52,-12.34,-12.71,-42.88,-8.49
PCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCurrent_yy,,,678.73,-33.68,,,31.44,,98.09,84.72,38.73,25.74,6.24,8.41,11.03,3.77,-3.21,-20.73,-16.22,-13.20,-2.20,16.12,11.90,13.68,7.84,4.59,-2.34,-12.64,-11.55,-12.18,-5.92,-3.88,-5.91,-10.42,-10.18,0.90,5.27,13.02,10.35,5.55,0.28
PCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCurrent_qq,,,,,,12.69,29.34,15.78,17.39,5.08,-2.86,4.94,-0.82,7.23,-0.51,-1.92,-7.49,-12.18,5.14,1.63,4.22,4.27,1.32,3.25,-1.13,1.13,-5.39,-7.64,0.10,0.41,1.36,-5.64,-2.01,-4.41,1.63,6.00,2.23,2.63,-0.77,1.38,-2.88
PCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPCurrent_yy,,,-87.16,50.79,,,-23.92,,-49.52,-45.87,-27.93,-20.48,-5.87,-7.75,-9.93,-3.62,3.30,26.14,19.39,15.19,2.27,-13.88,-10.64,-12.03,-7.28,-4.40,2.38,14.47,13.06,13.89,6.29,4.02,6.27,11.63,11.35,-0.88,-4.99,-11.53,-9.38,-5.25,-0.27
CPCurrent_sy,,,-80.60,57.49,,,125.44,,-20.63,-20.05,12.26,96.24,30.76,26.26,14.36,-10.92,-0.15,14.99,-0.29,38.70,12.20,0.41,-44.29,-64.87,-62.90,-60.92,-1.70,32.66,43.11,71.41,23.63,9.61,16.89,-11.39,-13.31,3.29,-6.66,5.19,11.40,-0.92,-4.46
CPCurrent_qq,,,,,,-11.26,-22.69,-13.63,-14.81,-4.84,2.94,-4.71,0.84,-6.74,0.51,1.96,8.08,13.88,-4.87,-1.62,-4.05,-4.10,-1.29,-3.15,1.13,-1.12,5.70,8.29,-0.11,-0.40,-1.35,5.98,2.06,4.62,-1.59,-5.66,-2.18,-2.58,0.79,-1.35,2.96
CPCurrent_sq,,,,,,-2.83,-7.45,-39.50,45.87,-2.11,29.95,5.76,-2.80,-5.48,17.71,-17.62,8.94,8.85,2.06,14.61,-11.87,-2.59,-43.37,-27.73,-6.92,2.58,42.45,-2.47,0.41,22.87,2.74,-13.53,7.08,-6.86,0.52,3.03,-3.23,4.97,6.45,-8.37,-6.68
ZCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZCurrent_yy,,10060.00,571.29,-56.34,,,-6.03,,234.03,215.74,49.09,20.15,-2.48,16.89,35.04,4.01,-16.27,-77.03,-63.03,-55.47,-50.21,58.02,-8.78,-6.72,11.09,-6.66,-44.74,-87.97,-96.94,-86.31,-15.54,78.83,1154.64,117.60,-62.50,101.71,-17.01,12.70,12.68,-93.05,-172.18
ZCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZCurrent_qq,,,,,,13.87,72.25,39.64,21.96,7.63,-18.67,12.53,-1.01,29.02,-6.03,-13.33,-20.32,-64.61,51.26,4.41,-10.91,12.32,-12.69,6.76,6.10,-5.62,-48.31,-76.75,-72.98,321.65,218.83,-50.77,89.56,-26.87,-45.06,164.83,-22.01,-0.69,-45.06,-83.67,-910.00
ZCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZCurrent_yy,,,-85.10,129.00,,,6.43,,-70.07,-68.33,-32.93,-16.79,2.55,-14.45,-25.95,-3.84,19.43,335.40,170.44,124.51,100.84,-36.71,9.63,7.24,-9.99,7.11,80.97,729.82,3167.59,631.23,18.45,-43.99,-92.04,-54.07,166.78,-50.46,20.43,-11.32,-11.39,1341.64,
CZCurrent_sy,,,-81.20,438.47,,,-11.83,,41.31,91.68,42.84,273.02,-13.98,-44.06,41.48,-6.07,96.99,96.59,-55.38,13.09,-43.63,-39.67,-7.35,-51.38,-50.90,-37.12,61.11,91.89,86.00,246.18,20.86,-21.38,3.29,-29.21,-35.88,-10.74,-20.07,-41.98,34.32,39.12,
CZCurrent_qq,,,,,,-12.19,-41.94,-28.38,-18.01,-7.10,22.95,-11.14,1.04,-22.49,6.42,15.38,25.49,182.56,-33.90,-4.21,12.26,-10.96,14.50,-6.30,-5.77,5.96,93.44,329.65,271.03,-76.29,-68.66,103.17,-47.27,36.80,82.02,-62.27,28.20,0.73,81.89,513.75,
CZCurrent_sq,,,,,,-12.19,12.65,-63.09,287.07,19.11,-16.05,-3.62,-10.74,-22.54,112.30,-36.01,87.19,-22.69,-51.82,62.20,-6.70,-17.26,-26.01,-14.89,-5.77,5.96,89.58,1.37,-8.67,97.21,-33.81,-34.06,20.00,35.15,-40.05,-8.20,7.45,-1.90,38.80,-4.91,
ZOCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZOCurrent_yy,,9277.27,602.58,-58.47,,,-4.80,,426.18,290.31,73.13,30.46,-3.13,14.28,13.22,-6.07,-21.62,-69.62,-57.65,-55.35,-44.69,24.00,0.69,15.09,14.51,11.98,-27.25,-61.35,-71.66,-76.50,-29.65,-31.03,29.50,30.03,-52.31,68.26,15.64,15.29,93.88,-35.80,-67.48
ZOCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZOCurrent_qq,,,,,,40.00,101.29,44.22,29.46,3.85,-10.71,8.68,-3.88,22.52,-11.54,-9.83,-19.79,-52.52,23.31,-4.92,-0.66,6.46,0.13,8.68,-1.16,4.11,-34.95,-42.26,-27.53,-13.67,94.72,-43.39,36.08,-13.31,-28.59,99.74,-6.48,-13.57,20.09,-33.86,-52.62
ZOCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZOCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZOCurrent_yy,,,-85.77,140.79,,,5.03,,-81.00,-74.38,-42.23,-23.35,3.24,-12.50,-11.68,6.45,27.59,229.24,136.13,123.97,80.78,-19.36,-0.67,-13.11,-12.67,-10.70,37.44,158.68,252.96,325.39,42.17,45.02,-22.81,-23.08,109.67,-40.59,-13.51,-13.26,-48.41,55.82,207.55
CZOCurrent_sy,,,-88.85,839.89,,,-32.46,,95.93,173.98,30.37,114.08,-29.71,-14.48,-5.67,24.48,56.10,31.43,-18.85,-2.06,-25.31,-18.18,-45.04,-74.26,-71.40,-75.82,-2.75,97.12,184.27,300.21,3.30,-17.53,-26.30,-48.88,6.27,-2.31,-18.70,-12.23,-5.87,-19.22,-16.76
CZOCurrent_qq,,,,,,-28.58,-50.33,-30.66,-22.76,-3.71,12.01,-7.99,4.04,-18.38,13.05,10.90,24.69,110.61,-18.92,5.19,0.65,-6.06,-0.12,-7.99,1.15,-3.94,53.72,73.18,38.02,15.78,-48.63,76.66,-26.53,15.37,40.03,-49.94,6.96,15.70,-16.72,51.19,111.11
CZOCurrent_sq,,,,,,-28.58,99.42,-50.11,175.76,-0.13,-5.11,-18.08,-9.45,21.50,4.67,8.10,13.55,2.30,-35.37,30.46,-13.41,12.07,-56.59,-38.89,-3.78,-5.26,74.58,23.86,38.76,33.38,-54.94,-1.12,24.00,-7.48,-6.33,-9.10,3.19,-0.12,0.46,-21.99,6.33
EVCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVCurrent_yy,,417.82,-91.13,463.49,,,264.75,,289.23,,-17.76,18.27,11.05,,76.02,-9.40,-44.28,956.63,2.89,-3.72,37.06,3.39,-51.43,-14.44,-39.80,9.31,-106.14,-103.36,-115.20,-103.76,-664.54,78.84,108.19,70.42,93.99,-902.23,-777.42,-345.99,-364.77,-174.10,-59.24
EVCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVCurrent_qq,,,,,,-78.84,826.10,22.44,62.24,-94.56,661.61,76.08,52.33,-95.10,1240.57,-9.36,-6.32,-7.17,30.54,-15.18,33.35,-29.97,-38.68,49.42,-6.18,27.16,-103.45,18.37,-325.03,68.51,-599.78,97.74,264.60,-213.68,-42.11,-276.94,-11.25,25.16,-48.09,-122.30,35.37
EVCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVPCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVPCurrent_yy,,,-98.86,749.69,,,177.50,,96.49,-45.87,-40.72,-5.95,4.52,-7.75,58.53,-12.69,-42.44,1232.89,22.82,10.92,40.15,-10.96,-56.59,-24.74,-44.18,4.51,-106.29,-103.84,-117.19,-104.29,-712.61,77.99,108.71,67.01,93.31,-893.84,-743.32,-295.10,-321.27,-159.68,-58.79
EVPCurrent_sy,,,-90.69,103.62,,,104.97,,60.77,-20.05,-11.84,44.83,-10.92,16.33,0.53,-12.69,-32.45,73.76,-15.47,10.92,29.39,-10.96,-45.70,-51.99,-79.51,-74.73,-17.53,-35.30,22.63,76.29,5.71,16.53,31.45,24.75,11.64,27.94,14.77,-7.90,5.24,30.16,21.92
EVPCurrent_qq,,,,,,-81.22,615.99,5.75,38.21,-94.83,684.02,67.80,53.60,-95.43,1247.41,-7.59,1.26,5.71,24.16,-16.54,27.95,-32.84,-39.48,44.72,-5.11,25.74,-103.64,11.63,-324.72,68.64,-590.48,97.61,268.12,-218.75,-39.93,-255.77,-8.82,27.07,-49.20,-119.30,33.46
EVPCurrent_sq,,,,,,-36.73,73.85,-31.32,112.82,-68.54,91.70,12.82,30.89,-58.91,65.66,-2.01,1.26,5.71,-19.41,28.58,18.12,-27.25,-50.86,13.69,-49.59,-10.26,60.35,-10.80,-4.47,29.01,-3.84,-1.67,7.76,22.44,-13.95,12.69,-3.33,-1.76,-1.67,39.38,-9.45
EVEBITCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVEBITCurrent_yy,,105.74,-98.74,1256.79,,,283.12,,-26.04,-74.38,-52.49,-9.35,14.64,-12.50,55.45,-3.55,-28.91,3378.78,142.97,115.64,147.78,-16.63,-51.76,-25.66,-47.43,-2.38,-108.44,-108.68,-153.66,-116.01,-986.97,69.30,106.32,77.25,87.41,-495.27,-686.06,-286.98,-139.81,-327.11,-389.73
EVEBITCurrent_sy,,111.79,-92.83,65.89,,,271.59,,2800.10,1159.72,-11.64,183.99,-21.50,5.74,-15.61,-7.99,-8.74,64.63,-18.94,-0.52,-28.11,11.34,-54.62,-84.23,-76.06,-88.17,-42.87,13.77,62.45,186.96,36.58,89.17,32.10,20.16,29.31,-59.46,-69.15,-81.66,-36.91,-37.82,-60.38
EVEBITCurrent_qq,,,,,,-84.89,360.05,-15.10,25.31,-94.77,753.05,62.02,58.47,-96.00,1415.43,0.53,16.80,95.50,5.84,-10.78,34.22,-34.22,-38.75,37.49,-5.09,22.15,-105.30,-41.37,-486.67,63.55,-259.51,96.01,220.86,-231.14,-99.01,-88.72,-18.99,13.41,-23.32,-236.13,-36.44
EVEBITCurrent_sq,,,,,,-8.19,2072.26,-70.89,334.69,-57.54,64.44,-6.43,20.15,-42.80,31.24,2.02,19.17,3.18,-35.38,25.20,-13.88,59.80,-73.66,-56.49,30.75,-21.05,27.19,-13.35,86.70,39.47,-39.46,20.00,30.37,26.86,-34.85,-62.38,-0.79,-24.56,124.07,-62.92,-36.79
EVEBITDACurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVEBITDACurrent_yy,,105.52,-98.71,1180.22,,,290.00,,-11.92,-71.58,-51.18,-8.82,14.03,-12.61,54.64,-5.02,-30.65,3030.34,122.10,97.49,127.56,-17.33,-52.45,-25.93,-47.55,-2.48,-107.81,-107.02,-139.22,-111.09,-903.94,73.35,106.84,75.41,90.49,-599.24,-703.35,-299.14,-203.49,-271.12,-211.15
EVEBITDACurrent_sy,,110.99,-92.62,69.14,,,241.32,,2861.94,1275.03,-8.81,56.50,-33.81,19.02,-12.61,-6.55,-15.44,5.01,-18.50,-0.05,-26.28,2.72,-54.16,-83.64,-75.37,-85.24,-41.54,14.26,61.69,170.78,35.88,88.33,32.45,20.59,25.31,-10.29,-70.65,-82.40,-36.06,-72.69,-59.24
EVEBITDACurrent_qq,,,,,,-83.76,395.03,-13.18,26.22,-94.76,750.34,62.15,57.86,-95.99,1404.79,-0.41,15.26,81.23,6.77,-11.44,32.80,-34.16,-38.59,37.95,-5.96,22.42,-104.92,-23.96,-425.23,65.39,-345.60,96.71,234.75,-224.45,-72.45,-141.79,-16.27,17.67,-31.12,-195.67,2.52
EVEBITDACurrent_sq,,,,,,-4.69,1651.62,-44.81,208.07,-55.46,20.41,-5.28,30.29,-19.90,-11.59,1.29,17.89,-0.53,-31.38,24.22,-13.04,38.59,-69.38,-55.67,30.93,-16.93,21.25,-13.36,85.28,39.11,-39.16,20.09,30.30,26.66,-36.77,-14.03,-57.37,-24.05,129.70,-63.28,-36.36
ROE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROE_yy,,558.56,122.81,-57.80,,,-11.60,,106.43,,7.06,-17.00,-10.25,,18.32,-1.25,-19.38,,-60.23,-51.79,-55.52,40.16,-17.91,-16.04,10.95,-6.16,-41.71,-86.69,-96.98,-86.53,-19.80,73.57,1167.57,118.83,-61.62,99.59,-19.83,9.79,11.89,-92.99,-175.53
ROE_sy,,86.31,56.67,-79.61,,,231.17,,1848.78,,1.29,10.54,28.31,,41.37,22.18,-15.00,,-41.73,-45.97,-22.80,100.46,63.65,93.70,329.04,18.71,-18.32,-27.65,-72.12,-11.27,-1.76,22.61,11.31,-1.28,0.79,-23.59,-8.21,29.51,-2.64,13.56,6.08
ROE_qq,,,,,,,,27.20,8.26,,,-1.39,17.06,,,-17.70,-4.42,-65.02,44.53,-0.24,-11.81,10.23,-15.35,2.04,16.54,-6.77,-47.42,-76.71,-73.57,316.22,212.99,-49.59,93.00,-28.14,-45.10,162.16,-22.47,-1.60,-44.05,-83.57,-935.29
ROE_sq,,,,,,,,-3.81,25.28,,,4.98,45.42,,,-9.27,1.16,-62.96,71.40,-15.88,44.53,-3.81,39.93,-0.43,220.15,-73.38,-3.72,-11.80,23.38,-15.30,6.59,10.07,12.01,-24.88,8.83,-16.56,34.56,5.99,-18.18,-2.68,25.70
ROA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROA_yy,,126.28,2497.04,-79.49,,,-66.11,,-7.93,,44.59,2.54,-9.74,,-11.79,12.69,32.78,,-70.69,-50.00,-59.38,52.38,107.89,0.55,68.46,-9.90,-40.08,-82.51,-95.89,-71.10,-22.54,62.50,1088.89,20.00,-60.91,92.31,-20.56,10.00,6.98,-94.00,-164.71
ROA_sy,,-2.31,1234.91,-77.70,,,-23.86,,274.38,,15.14,-7.85,74.37,,288.44,193.19,-79.10,,-30.50,-80.78,206.88,440.10,12.73,782.69,4.23,-42.96,-15.61,-20.01,33.56,73.96,8.57,-6.93,-13.28,-11.66,-14.31,-25.33,-9.49,29.54,-27.43,-64.61,-82.95
ROA_qq,,,,,,,,3.28,-15.24,,,-26.76,-25.39,,,-6.43,-12.09,-60.62,-9.52,59.65,-28.57,47.69,23.44,-22.78,19.67,-21.00,-17.92,-77.46,-71.88,455.56,120.00,-52.73,105.77,-43.93,-28.33,132.56,-15.00,-22.35,-30.30,-86.96,-1016.67
ROA_sq,,,,,,,,-8.49,150.50,,,-26.76,373.99,,,-44.72,-66.21,-40.00,520.05,-84.71,439.56,5.60,29.41,19.71,-36.29,-42.21,91.46,13.47,6.38,-24.73,19.48,-2.72,-0.88,-23.32,15.90,-15.23,20.16,9.74,-35.07,-58.67,-42.09
OPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPM_yy,,,-9.79,-37.38,,,-27.57,,165.70,111.37,24.77,3.74,-8.81,5.41,1.97,-9.47,-19.04,-61.70,-49.45,-48.55,-43.43,6.82,-10.05,1.24,6.13,7.06,-25.48,-55.74,-67.99,-73.26,-25.20,-28.22,37.92,45.41,-46.93,66.59,9.82,1.99,75.58,-39.15,-67.66
OPM_sy,,,43.18,-87.44,,,234.76,,194.75,194.55,24.77,223.81,-1.63,5.41,1.97,-9.47,-24.94,-61.70,-10.06,-48.55,-43.43,6.82,40.54,91.81,206.63,208.49,-15.96,13.68,-13.54,-31.37,38.51,30.82,4.12,17.16,-20.33,-29.61,-13.88,-10.92,-9.37,24.35,6.29
OPM_qq,,,,,,24.26,55.68,24.55,10.28,-1.15,-8.10,3.56,-3.06,14.26,-11.10,-8.06,-13.31,-45.94,17.34,-6.43,-4.68,2.07,-1.20,5.32,-0.07,2.96,-31.23,-37.45,-27.73,-14.00,92.39,-39.97,38.86,-9.33,-29.78,88.43,-8.46,-15.80,20.88,-34.70,-51.35
OPM_sq,,,,,,0.94,169.64,-60.10,244.21,-1.15,-8.10,3.56,4.56,5.93,-11.10,-8.06,-13.31,-45.94,108.75,-47.40,-4.68,2.07,174.64,-28.22,52.38,2.69,-25.18,-2.90,15.89,-18.48,50.99,-8.28,-7.76,-8.28,2.68,-18.97,12.85,-5.13,4.47,11.18,-3.54
ROS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROS_yy,,,-13.80,-34.15,,,-28.55,,68.68,70.93,7.50,-4.43,-8.23,7.85,21.65,0.21,-13.50,-71.01,-55.87,-48.70,-49.07,36.02,-18.50,-17.91,2.96,-10.77,-43.37,-86.19,-96.55,-84.48,-10.36,85.71,1240.00,143.65,-58.29,100.00,-21.14,,2.41,-93.51,-171.92
ROS_sy,,,23.59,-74.75,,,52.61,,126.23,123.41,16.72,14.93,57.09,29.15,-21.83,-15.93,-59.64,-4.00,28.37,-1.11,66.37,3.26,4.58,34.30,50.05,29.32,-27.90,-29.21,-34.70,-56.87,14.41,-2.84,-12.92,50.10,1.91,7.71,8.87,,-48.05,-71.93,-83.93
ROS_qq,,,,,,1.05,33.15,20.64,3.93,2.39,-16.26,7.25,-0.21,20.33,-5.55,-11.65,-13.86,-59.67,43.80,2.70,-14.47,7.69,-13.85,3.44,7.27,-6.67,-45.32,-74.77,-73.21,320.00,215.87,-47.74,93.27,-23.63,-45.93,150.60,-23.80,-3.15,-44.63,-84.12,-944.44
ROS_sq,,,,,,7.89,131.04,-5.03,-3.41,-17.81,54.81,-6.49,32.02,-32.43,-6.30,0.58,-36.63,60.76,25.29,-22.52,6.60,-0.22,26.89,-0.50,19.11,-14.00,-29.26,-2.30,9.87,-43.21,87.66,-17.03,-1.53,-2.10,27.41,-12.31,-0.47,3.65,-42.58,-52.62,-43.02
RS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS_yy,,,-9.27,-31.76,,,-28.58,,105.68,69.69,18.81,2.20,-9.13,-7.08,-11.15,-21.88,-31.67,-52.16,-42.55,-40.47,-32.65,-1.64,-7.30,2.49,4.83,5.71,-22.83,-50.35,-60.98,-69.22,-30.71,-36.92,9.62,22.00,-48.78,57.43,15.89,29.14,126.12,-13.52,-48.86
RS_sy,,,24.04,-36.09,,,-21.13,,105.68,80.64,18.81,344.26,-8.91,-4.49,-11.15,-3.18,-29.35,-32.04,7.81,-27.42,21.61,-0.24,30.64,24.89,59.12,100.81,-14.75,50.58,-8.16,-26.27,2.63,-24.03,-18.35,-10.65,1.87,1.48,9.42,14.60,-21.46,-12.09,-24.72
RS_qq,,,,,,19.03,32.08,20.06,8.96,-1.80,-7.52,3.28,-3.11,0.41,-11.57,-9.20,-15.25,-29.70,6.19,-5.89,-4.13,2.67,0.07,4.05,-1.94,3.54,-26.95,-33.05,-22.94,-18.33,64.44,-39.05,33.92,-9.11,-30.97,87.34,-1.41,1.29,20.87,-28.35,-41.69
RS_sq,,,,,,11.81,40.61,-72.38,373.68,-1.80,-7.52,3.28,-2.88,2.97,-13.97,12.54,-29.13,-0.96,36.48,-24.23,18.75,-18.76,78.74,-27.56,51.29,2.52,-24.12,27.94,-7.73,-17.70,5.62,-5.29,-0.82,-9.94,20.43,-5.66,6.94,-5.68,-17.46,5.60,-8.43
