,2004/Q4,2005/Q4,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
EVCurrent_qq,,,,-18.94,-4.30,4.50,41.33,5.33,-0.93,-32.20,77.65,4.41,-12.02,-38.72,66.32,-15.95,4.79,-31.73,76.46,-6.99,-6.30,-34.97,94.47,3.23,-14.86,-5.47,-2.83,-1.54,2.78,-0.04,6.33,-1.94,-2.28,-1.66,2.36,-1.60,4.25,-3.14,-2.01,-1.19,5.35,-0.60,-6.58,1.99,3.31,2.95,-6.24,1.87,-0.73
EVCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVPCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVPCurrent_yy,-21.97,-33.51,-32.51,,,,35.63,141.08,4.18,-21.70,23.15,9.26,-2.10,-17.60,-29.32,-46.75,-33.26,-23.66,-16.83,-1.72,-25.63,-30.10,-21.55,1.47,35.63,135.91,29.02,8.52,7.49,3.44,7.70,18.15,11.85,9.62,2.59,-3.56,-1.24,-7.80,-9.21,-9.06,-0.30,7.96,3.34,5.15,-4.40,-5.87,-12.82,-15.70,-17.32
EVPCurrent_sy,11.44,0.34,-23.53,,,,-2.26,6.66,-7.03,-25.01,6.62,-1.87,5.23,38.16,-2.36,-3.79,-2.43,-16.94,-9.31,-12.14,-27.26,-13.36,-2.24,-7.68,59.20,6.52,-2.33,22.31,-3.18,19.70,-5.01,5.00,1.29,20.91,-15.41,-3.64,-7.13,-8.52,4.04,-11.26,-6.40,0.49,5.22,-6.50,-10.60,-17.77,-7.91,-8.56,-13.28
EVPCurrent_qq,,,,-37.83,112.76,-10.33,14.35,10.51,-8.05,-32.61,79.85,-1.96,-17.62,-43.27,54.27,-26.14,3.25,-35.12,68.07,-12.72,-21.87,-39.02,88.63,12.90,4.43,6.07,3.17,-5.04,3.44,2.08,7.41,4.17,-2.07,0.04,0.52,-2.06,0.28,-6.61,-1.02,-1.90,9.94,1.13,-5.25,-0.19,-0.04,-0.42,-12.24,-3.49,-1.96
EVPCurrent_sq,,,,-7.37,1.37,-10.72,16.58,1.09,-11.64,-27.99,65.77,-6.96,-5.25,-5.45,17.15,-8.32,-3.91,-19.51,27.92,-11.19,-20.45,-4.13,44.32,-16.13,37.18,-35.86,32.33,5.04,8.59,-20.70,5.02,16.10,4.76,-5.34,-26.53,32.26,0.96,-6.76,-16.44,12.82,6.48,0.10,-12.50,0.25,1.81,-7.92,-2.01,-0.46,-3.44
EVEBITCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVEBITCurrent_yy,39.25,17.18,-99.29,,,,4936.15,166757.78,-3829.56,-4075.77,-267.42,-91.95,166.34,134.91,133.14,-79.83,-46.72,-31.54,53.47,164.04,167.45,599.37,-1650.08,-702.02,-192.17,-437.70,111.91,114.52,161.14,107.86,-69.35,-59.30,-45.88,-48.44,-35.61,-22.92,-11.56,-8.74,-4.29,-7.61,4.45,15.90,-1.33,-1.21,-7.81,-6.47,-3.20,-7.34,-11.25
EVEBITCurrent_sy,-12.31,6.60,-31.71,,,,-4.08,38.60,33.68,-44.98,-26.43,-1.86,-9.42,119.31,7.96,-17.11,-6.47,-28.18,16.85,3.63,-0.81,-3.47,-8.99,-20.16,-4.28,34.48,32.17,88.86,53.32,30.30,9.43,-32.96,-33.83,-17.96,-34.86,-4.52,15.42,-8.16,2.77,-7.46,-18.51,-8.07,-11.22,-22.06,-13.18,2.16,32.27,5.97,5.69
