,2011/Q4,2012/Q4,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
EVEBITCurrent_qq,,,,-1.84,14.16,-42.56,-16.43,-22.62,-12.13,-10.59,-11.42,1.77,48.59,6.51,8.49,46.96,-21.07,-21.19,-3.94,20.18,-11.48,-1.60,-37.68
EVEBITCurrent_sq,,,,8.40,10.80,-14.72,-11.03,-3.47,5.30,-30.58,41.53,-11.28,-3.09,-27.92,39.33,-16.93,11.47,16.53,0.09,8.70,8.27,7.30,-10.56
EVEBITDACurrent,,,,,,,,,,,,,,,,,,,,,,,
EVEBITDACurrent_yy,,-91.85,,,-0.34,,-48.57,-62.86,-48.78,-49.27,-45.39,-38.63,4.84,29.91,42.53,76.98,-3.19,-20.01,-27.34,-29.36,-20.60,-5.58,-20.84
EVEBITDACurrent_sy,,-4.60,,,0.44,,-34.70,-42.31,-5.07,-8.05,5.97,7.92,-9.18,-8.04,24.07,-3.59,-1.83,8.24,-29.74,-3.39,19.18,13.38,21.77
EVEBITDACurrent_qq,,,,17.49,-35.48,-16.58,-18.65,-15.16,-11.03,-17.37,-12.44,-4.65,51.98,2.38,-3.93,18.40,-16.86,-15.41,-12.74,15.10,-6.54,0.58,-26.84
EVEBITDACurrent_sq,,,,10.96,-31.98,2.14,-15.30,-1.96,11.92,-1.06,-2.39,-0.16,-5.81,0.19,31.69,-22.41,-4.10,10.47,-14.52,6.68,18.31,5.09,-8.19
ROE,,,,,,,,,,,,,,,,,,,,,,,
ROE_yy,,423.80,,,-23.08,,60.28,104.13,132.40,32.67,24.42,-18.91,-40.44,-41.28,-74.35,-73.78,-34.44,18.22,124.80,150.75,40.04,-49.71,-18.02
ROE_sy,,-17.65,,,46.85,,-4.39,-4.58,0.51,44.08,-24.43,-33.01,-11.63,-23.76,13.13,4.82,-24.02,-13.51,-33.52,2.93,22.09,9.16,42.62
ROE_qq,,,,-4.02,-8.86,64.74,11.23,22.24,3.76,-5.96,4.31,-20.33,-23.78,-7.28,-54.44,-18.57,90.60,67.19,-13.37,-9.17,6.45,-39.95,41.20
ROE_sq,,,,7.97,-8.46,-28.43,35.16,7.76,-3.57,2.59,-29.11,-4.47,27.19,-11.49,5.19,-11.48,-7.81,0.76,-19.14,37.05,9.35,-9.91,5.64
ROA,,,,,,,,,,,,,,,,,,,,,,,
ROA_yy,,352.98,,,-21.81,,69.47,100.72,148.24,26.93,20.41,-16.32,-48.82,-57.13,-79.07,-79.39,-41.01,33.28,149.30,181.40,54.48,-48.04,-21.89
ROA_sy,,-3.60,,,40.03,,13.10,7.10,-23.05,19.18,1.65,-16.58,-20.95,-20.84,-26.04,-36.39,-14.15,19.67,2.20,54.33,8.14,-24.23,13.11
ROA_qq,,,,5.11,-14.88,82.86,3.58,24.49,5.27,-6.50,-1.74,-13.49,-35.60,-21.69,-52.03,-14.79,84.30,76.91,-10.27,-3.81,1.17,-40.49,34.88
ROA_sq,,,,24.49,38.11,-37.09,4.56,17.89,-0.77,-2.57,-10.82,-3.25,-5.96,-2.44,-16.67,-16.80,26.92,35.98,-28.83,25.64,-11.06,-4.73,6.25
OPM,,,,,,,,,,,,,,,,,,,,,,,
OPM_yy,,-1.34,,,-35.29,,40.40,85.60,139.39,61.81,53.91,26.40,-20.55,-31.47,-50.85,-65.39,-41.79,-24.90,-23.41,0.74,-10.53,-17.13,38.43
OPM_sy,,-18.06,,,-18.11,,42.78,60.20,21.88,30.04,29.17,-0.52,12.23,-31.49,-35.10,-19.46,-14.41,19.25,-7.46,-5.77,-21.15,-24.66,-0.77
OPM_qq,,,,-8.59,-14.20,51.98,17.79,20.83,10.67,2.73,12.04,-0.76,-30.43,-11.40,-19.64,-30.12,17.00,14.32,-18.05,-8.09,3.91,5.88,36.89
OPM_sq,,,,1.42,16.20,15.62,4.78,13.79,-11.60,23.37,4.08,-12.37,-0.26,-24.69,-1.40,8.76,5.98,4.93,-23.48,10.74,-11.32,0.26,0.78
ROS,,,,,,,,,,,,,,,,,,,,,,,
ROS_yy,,-28.92,,,-34.56,,81.27,150.00,183.52,50.80,47.38,-0.61,-30.38,-37.28,-76.59,-78.64,-43.07,15.71,115.21,138.15,35.00,-53.21,-17.99
ROS_sy,,-29.00,,,-11.18,,-14.66,5.07,10.84,29.18,-9.42,-17.08,-18.30,-42.40,-29.66,-16.35,13.32,9.17,-16.96,-15.41,-18.57,-10.92,17.28
ROS_qq,,,,-6.05,-18.10,86.52,26.31,29.57,-7.12,-0.79,23.44,-12.62,-34.94,-10.63,-53.93,-20.28,73.41,81.67,-14.31,-11.78,-1.70,-37.04,50.20
ROS_sq,,,,-13.71,-21.64,2.45,23.21,6.23,-17.34,19.40,-13.61,-2.75,-18.55,-15.83,5.50,15.65,10.34,-18.91,-19.75,17.80,6.22,-11.30,5.66
RS,,,,,,,,,,,,,,,,,,,,,,,
RS_yy,,22.22,,,-36.22,,15.01,40.55,127.36,64.92,56.59,23.10,-24.87,-40.26,-59.47,-71.24,-52.09,-21.46,-27.06,-3.90,-21.35,-49.36,26.11
RS_sy,,-40.75,,,6.17,,32.32,33.78,36.19,23.99,12.21,15.40,38.55,21.24,-8.73,0.88,-33.90,-12.75,0.12,-9.76,-14.90,-28.43,-3.72
RS_qq,,,,-2.21,-29.73,40.23,19.34,19.51,13.68,1.72,13.32,-6.05,-30.63,-19.11,-23.13,-33.33,15.58,32.58,-28.60,-12.17,-5.41,-14.64,77.82
RS_sq,,,,-0.34,4.56,23.91,2.48,0.76,6.44,12.81,-7.26,3.63,27.79,-1.28,-30.18,14.53,-16.27,30.31,-19.88,3.23,-21.03,9.59,7.78
GPM,,,,,,,,,,,,,,,,,,,,,,,
GPM_yy,,-28.46,,,-39.78,,52.67,98.61,196.94,70.30,71.03,29.79,-32.23,-37.67,-73.70,-80.38,-46.35,-0.99,83.17,135.78,43.91,-36.45,-8.48
GPM_sy,,-44.76,,,-6.80,,-0.89,9.51,20.36,22.65,9.42,-10.06,-17.93,-35.48,-41.91,-26.74,17.54,23.10,-8.29,10.29,-15.05,-2.10,18.08
GPM_qq,,,,-4.22,-24.13,74.01,20.74,24.60,13.43,-0.21,21.26,-5.45,-40.77,-8.21,-48.84,-29.45,61.93,69.41,-5.35,-9.19,-1.17,-25.20,36.32
GPM_sq,,,,-4.22,-23.67,11.40,21.69,5.83,-16.10,13.51,8.57,-13.01,-23.44,-10.77,-2.24,9.70,22.83,-6.54,-27.17,31.92,-5.39,7.70,-12.16
RBS,,,,,,,,,,,,,,,,,,,,,,,
RBS_yy,,,,,,,,,,,,,-7.63,66.69,531.69,349.30,-5.06,-1.66,-2.95,-1.16,-4.74,-8.34,-1.26
RBS_sy,,,,,,,,,,,,,-5.47,3.49,-10.53,-2.08,11.31,20.83,35.29,19.53,-14.09,-25.51,-16.71
RBS_qq,,,,,,,,,,-45.54,-74.16,-344.54,368.39,-1.73,-2.06,-3.49,2.21,1.79,-3.34,-1.71,-1.49,-2.06,4.13
RBS_sq,,,,,,,,,,8.12,3.12,-2.74,-12.82,18.37,-10.85,6.45,-0.91,28.50,-0.18,-5.96,-28.78,11.43,11.61
ROPA,,,,,,,,,,,,,,,,,,,,,,,
ROPA_yy,,527.41,,,-22.73,,31.39,48.70,109.95,36.19,25.71,6.57,-41.55,-53.19,-56.15,-66.63,-39.68,-13.53,-11.07,19.19,2.26,-7.76,31.56
ROPA_sy,,-13.33,,,1.49,,5.12,2.26,35.35,45.08,13.11,17.68,-19.06,-12.29,6.46,-5.32,-4.78,-7.57,-25.58,-10.41,-17.69,-7.67,20.17
ROPA_qq,,,,2.48,-11.08,49.32,-3.44,15.98,25.55,-3.14,-10.87,-1.68,-31.14,-22.44,-16.50,-25.16,24.47,11.17,-14.12,0.30,6.79,0.28,22.48
ROPA_sq,,,,4.53,2.54,-10.38,9.43,1.69,35.73,-3.93,-14.69,5.79,-6.65,4.11,3.54,-5.91,-6.12,1.06,-16.64,13.27,-13.75,13.37,8.49
ZNPO,,,,,,,,,,,,,,,,,,,,,,,
ZNPO_yy,,,,,543.34,,538.13,92.04,-62.71,-66.95,-67.43,-12.72,-9.14,-10.54,-65.39,-77.97,-58.29,-23.68,43.75,89.35,72.95,-25.83,-8.19
