,2007/Q4,2008/Q4,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
WKCurrent_qq,,,,-100.00,,9.39,10.62,-100.00,,-0.09,1.43,-100.00,,0.85,-40.63,2.04,4.70,-0.13,-0.26,0.20,4.76,-0.13,-4.49,0.43,3.29,0.11,-0.48,0.56,2.91,-2.08,-3.00,-1.33,-2.33,-4.50,-2.80,-2.65,0.68,-0.28,-0.24
WKCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CWKCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CWKCurrent_yy,,-27.31,,,-33.25,,-10.58,,-46.15,-41.03,-35.69,,-8.12,-9.01,55.50,,56.34,57.90,-6.03,-4.30,-4.37,-4.36,-0.13,-0.34,1.07,0.82,-3.24,-3.38,-3.01,-0.84,1.73,3.69,9.24,12.03,11.80,13.32,9.92,5.25,2.56
CWKCurrent_sy,,-30.98,,,-11.23,,-26.81,,-17.10,6.38,18.98,,16.43,3.40,0.18,,-2.47,1.64,-1.01,-7.21,2.97,-3.64,-4.92,-8.22,-8.12,-4.73,-3.77,-4.15,-10.66,-16.49,-6.35,-0.81,5.21,11.91,2.49,1.66,2.38,1.07,13.10
CWKCurrent_qq,,,,,,-8.58,-9.61,,,0.11,-1.43,,,-0.86,68.47,-2.01,-4.48,0.13,0.26,-0.21,-4.55,0.14,4.70,-0.42,-3.20,-0.11,0.49,-0.57,-2.82,2.12,3.09,1.35,2.38,4.73,2.88,2.73,-0.69,0.28,0.26
CWKCurrent_sq,,,,,,-12.22,-6.25,,,12.64,4.86,,,0.03,1.59,3.19,-6.99,4.25,-1.06,-3.28,3.22,-2.45,-2.37,-6.63,3.33,1.15,-1.39,-7.00,-3.69,-5.46,10.59,-1.50,2.16,0.56,1.28,-2.29,2.89,-0.73,13.34
WKGrahamCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WKGrahamCurrent_yy,,-71.84,,,91.85,,70.72,,1150.19,448.44,1267.04,,35.65,34.25,-39.35,,-41.10,-43.46,25.04,15.15,20.02,18.08,-4.88,-5.07,-6.75,6.74,25.64,29.19,23.07,1.58,-7.06,-9.73,-34.94,-41.27,-36.12,-40.56,-25.47,-15.76,-15.25
WKGrahamCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WKGrahamCurrent_qq,,,,100.00,,-220.11,69.93,100.00,,6.21,0.72,-100.00,,5.11,-54.50,6.75,15.35,0.91,0.63,-1.69,20.23,-0.73,-18.93,-1.88,18.09,13.63,-4.57,0.88,12.50,-6.21,-12.70,-2.02,-18.91,-15.34,-5.03,-8.83,1.68,-4.31,-4.46
WKGrahamCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CWKGrahamCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CWKGrahamCurrent_yy,,,,,,,,,,,,,-26.28,-25.50,64.87,,69.78,76.86,-20.02,-13.15,-16.68,-15.32,5.12,5.33,7.24,-6.30,-20.41,-22.59,-18.74,-1.56,7.59,10.78,53.69,70.28,56.55,68.25,34.19,18.71,18.00
CWKGrahamCurrent_sy,,,,,,,,,,,,,30.57,71.38,9.49,,13.17,-17.89,-4.85,18.44,-12.02,-5.78,-9.72,-32.54,-10.57,-3.02,6.59,30.97,7.70,-16.55,-0.41,-7.61,-0.19,43.59,19.73,14.58,19.10,16.89,18.55
CWKGrahamCurrent_qq,,,,,,,,,,-5.85,-0.70,,,-4.86,119.75,-6.33,-13.31,-0.89,-0.63,1.72,-16.82,0.73,23.36,1.92,-15.32,-11.99,4.79,-0.88,-11.11,6.61,14.54,2.06,23.32,18.13,5.30,9.69,-1.65,4.50,4.67
CWKGrahamCurrent_sq,,,,,,,,,,-19.66,25.25,,,5.45,-19.98,-1.85,36.65,-23.49,-7.27,22.17,1.51,-18.07,-11.15,-8.70,34.55,-11.15,-2.34,12.17,10.65,-31.16,16.55,4.06,19.54,-0.96,-2.81,-0.42,24.25,-2.79,-1.44
PCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCurrent_yy,,55.28,,,7.46,,-2.92,-3.86,22.27,36.36,50.27,52.06,0.79,-27.10,-48.18,-46.05,-49.25,-47.28,-39.54,-36.72,-33.72,-17.61,-0.94,13.05,44.15,36.97,27.17,7.15,-3.26,-17.12,-23.98,-17.28,-28.68,-19.55,-17.64,-20.37,-4.69,9.20,22.66
PCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCurrent_qq,,,,-12.50,4.28,4.39,1.92,-13.35,32.62,16.43,12.32,-12.32,-12.09,-15.79,-20.16,-8.72,-17.30,-12.53,-8.44,-4.47,-13.38,8.74,10.10,9.01,10.45,3.33,2.22,-8.15,-0.28,-11.47,-6.24,-0.06,-14.03,-0.14,-4.01,-3.37,2.89,14.42,7.82
PCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPCurrent_yy,,-35.59,,,-6.94,,3.04,4.01,-18.20,-26.63,-33.46,-34.25,-0.80,37.16,92.99,85.37,97.02,89.64,65.34,58.06,50.88,21.37,0.96,-11.55,-30.63,-26.99,-21.36,-6.65,3.37,20.67,31.52,20.86,40.24,24.30,21.43,25.60,4.92,-8.42,-18.48
CPCurrent_sy,,-19.38,,,21.43,,8.84,-1.77,-5.62,-10.99,-24.33,-26.59,-24.86,-24.96,-10.96,1.87,32.02,50.99,61.96,54.27,4.13,-22.94,-37.93,-39.84,-36.24,-23.27,-18.07,-14.81,-5.87,-9.11,-4.50,-3.97,51.22,79.88,83.42,98.79,-2.79,15.55,-24.27
CPCurrent_qq,,,,14.31,-4.11,-4.23,-1.84,15.39,-24.58,-14.11,-10.98,14.02,13.78,18.76,25.26,9.52,20.93,14.31,9.21,4.70,15.44,-8.04,-9.16,-8.28,-9.46,-3.22,-2.15,8.87,0.26,12.97,6.65,0.05,16.34,0.12,4.19,3.49,-2.81,-12.61,-7.25
CPCurrent_sq,,,,5.02,-0.92,2.65,1.90,-5.21,-4.80,-3.20,-13.37,-8.04,-2.56,-3.33,2.79,5.20,26.29,10.56,10.26,0.20,-14.76,-18.18,-11.19,-2.88,-9.67,-1.52,-5.17,0.99,-0.18,-4.92,-0.35,1.55,57.18,13.10,1.61,10.06,-23.14,34.43,-33.41
ZCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZCurrent_yy,,44.25,,,12.71,,37.37,-1.26,25.29,-16.47,-28.19,31.60,-9.67,6.56,-402.39,-393.79,-416.49,-425.15,110.79,108.24,108.22,107.80,-30.11,-5.14,-42.49,-36.71,25.46,22.10,79.45,-25.45,-105.59,-144.02,-260.29,-542.21,-3854.14,-435.47,-16.76,52.89,80.55
ZCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZCurrent_qq,,,,-20.17,13.24,30.10,16.79,-42.61,43.69,-13.26,0.40,5.17,-1.37,2.32,-384.91,-2.18,-6.25,-5.12,109.46,-21.99,6.04,-0.23,-15.32,5.89,-35.71,9.79,67.86,3.06,-5.51,-54.39,-112.59,-711.60,-244.04,-25.82,-12.55,-9.91,24.98,49.23,53.54
ZCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZCurrent_yy,,-30.67,,,-11.28,,-27.20,1.27,-20.19,19.71,39.26,-24.01,10.71,-6.15,,,,,,,,,43.07,5.42,73.87,58.06,-20.27,-18.09,-44.29,34.13,,,,,,,,,
CZCurrent_sy,,-15.90,,,20.27,,25.55,30.89,56.43,40.04,34.26,36.25,-2.96,30.65,,,,,,,,,-24.09,-45.99,14.23,36.15,-13.86,-2.31,-43.96,-47.91,,,,,,,,,
CZCurrent_qq,,,,25.27,-11.69,-23.14,-14.38,74.26,-30.40,15.29,-0.40,-4.91,1.39,-2.26,,,,,,28.20,-5.68,0.20,18.09,-5.54,55.57,-8.91,-40.44,-2.96,5.81,119.30,,,,,,,,,
CZCurrent_sq,,,,15.02,7.68,-1.08,2.48,19.91,28.68,-11.45,-1.75,21.69,-8.35,19.22,,,,,,12.46,-33.95,-13.07,17.55,-19.98,39.70,3.61,-25.63,-9.25,-19.86,-3.70,,,,,,,,,
ZOCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZOCurrent_yy,,39.87,,,7.21,,-9.32,-12.37,14.18,-12.47,-21.52,26.92,-9.68,8.84,-160.37,-165.72,-192.57,-203.99,135.38,129.07,108.29,106.46,-83.95,-89.57,47.38,79.69,561.32,1216.03,91.57,-5.09,-100.85,-131.72,-253.17,-448.74,-22462.07,-522.12,-17.40,56.07,88.45
ZOCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZOCurrent_qq,,,,-38.91,10.02,15.13,17.19,-40.97,43.35,-11.74,5.08,-4.53,2.01,6.36,-158.28,-3.94,-43.67,-19.49,119.83,-14.59,-59.05,-6.92,-50.71,-44.49,478.75,13.49,81.38,10.47,-15.75,-43.78,-101.62,-4031.03,-306.84,-28.01,-4.87,-13.91,23.23,52.10,72.42
ZOCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZOCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZOCurrent_yy,,-28.51,,,-6.72,,10.28,14.11,-12.42,14.25,27.41,-21.21,10.72,-8.13,,,,,,,,,523.00,857.97,-32.15,-44.32,-84.88,-92.40,-47.81,5.37,,,,,,,,,
CZOCurrent_sy,,-34.71,,,18.63,,16.03,21.81,57.68,34.33,71.61,34.05,18.95,21.37,,,,,,,,,-41.78,-51.10,11.01,-1.42,-10.43,-3.35,-47.59,-43.44,,,,,,,,,
CZOCurrent_qq,,,,63.70,-9.10,-13.14,-14.67,69.38,-30.24,13.31,-4.83,4.74,-1.97,-5.98,,,,,,17.10,144.17,7.39,102.90,80.06,-82.71,-11.87,-44.89,-9.47,18.69,77.93,,,,,,,,,
CZOCurrent_sq,,,,12.89,-4.77,9.60,-1.53,18.51,23.27,-6.63,25.80,-7.43,9.39,-4.73,,,,,,-8.63,-39.33,-2.71,7.95,-23.26,37.74,-13.60,-1.92,-17.20,-25.31,-6.76,,,,,,,,,
EVCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVCurrent_yy,,-28.68,,,98.70,,-13.66,,-103.18,-96.56,-65.41,,1782.29,1038.92,-20.84,-56.05,-28.25,-37.54,-10.19,-48.60,-43.54,-37.12,7.39,191.27,60.47,47.59,-41.75,-35.46,-71.35,-28.83,113.51,66.70,523.72,235.18,60.81,10.29,19.11,33.73,44.78
EVCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVCurrent_qq,,,,-35.02,9.46,13.70,6.76,-24.74,-103.48,222.98,972.56,117.58,-41.38,-16.74,-25.45,20.79,-4.29,-27.52,7.19,-30.88,5.14,-19.28,83.07,87.48,-42.08,-25.76,-27.74,107.72,-74.29,84.40,116.78,62.18,-3.79,-0.91,4.01,11.23,3.90,11.26,12.60
EVCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVPCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVPCurrent_yy,,-54.09,,,85.01,,-11.06,4.01,-102.62,-97.46,-77.00,-34.25,1756.14,1455.00,52.81,-18.52,41.31,18.44,48.56,-18.82,-14.77,-23.62,8.42,157.69,11.26,7.70,-54.17,-39.76,-70.36,-14.08,180.72,101.58,773.87,316.39,95.24,38.48,24.99,22.48,18.02
EVPCurrent_sy,,-18.10,,,6.65,,13.10,-5.24,23.43,0.53,51.24,-18.16,-11.75,-2.89,-34.14,61.69,99.81,25.71,37.75,13.81,-4.64,-16.03,12.29,-11.77,-6.14,-1.08,-29.27,-37.15,-53.23,-38.13,-36.57,26.82,65.59,66.64,68.77,0.92,-20.32,-18.27,-9.08
EVPCurrent_qq,,,,-25.74,4.98,8.89,4.78,-13.16,-102.65,205.26,850.00,148.25,-33.29,-1.17,-6.65,32.38,15.70,-17.17,17.10,-27.67,21.47,-25.77,66.23,71.92,-47.55,-28.14,-29.26,125.97,-74.19,108.27,131.11,62.27,11.88,-0.76,8.36,15.10,0.99,-2.76,4.42
EVPCurrent_sq,,,,5.65,-23.03,42.45,-2.36,-11.49,0.26,16.02,46.89,-52.10,8.11,27.66,-0.38,17.60,33.60,-19.68,9.17,-2.85,11.94,-29.27,45.98,-23.67,19.08,-25.45,4.38,-32.17,-11.37,-1.39,6.99,35.63,15.71,-0.76,8.36,-18.90,-8.64,1.80,20.54
EVEBITCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVEBITCurrent_yy,,-49.01,,,85.35,,-4.79,14.11,-102.79,-96.07,-55.93,-21.21,1960.47,946.60,-231.13,-166.87,-177.51,-160.07,353.85,276.82,781.42,1073.54,569.07,2690.15,8.88,-17.81,-91.19,-95.09,-85.05,-25.01,-25210.94,-625.47,-507.29,-196.09,99.29,82.27,-1.45,-204.39,-1153.06
EVEBITCurrent_sy,,2.33,,,-12.74,,-1.76,37.20,22.83,32.03,51.14,7.92,46.22,21.43,-8.51,14.47,-30.11,-72.70,66.05,45.05,70.64,290.61,-13.97,7.93,-5.89,1.25,1.89,10.81,-18.98,-40.29,-49.48,-58.60,-14.90,16.87,119.15,239.27,-14.42,13.20,-58.61
EVEBITCurrent_qq,,,,6.36,-0.50,-1.25,-8.90,27.48,-102.43,239.16,920.81,127.90,-42.53,-21.72,-227.90,-16.21,33.39,39.33,640.52,-19.05,156.71,-13.33,271.47,237.57,-89.98,-34.57,-60.18,88.05,-69.48,228.15,-13434.47,96.06,76.35,22.58,0.82,2.36,-35.32,-132.29,-308.27
EVEBITCurrent_sq,,,,-34.96,15.98,42.58,-8.66,-9.17,3.84,53.26,4.56,-35.14,40.69,27.28,-21.23,-18.85,-14.10,-50.29,379.21,-29.11,1.06,13.78,5.54,-11.06,-11.89,22.41,6.21,-3.27,-35.57,-9.79,-10.13,-20.74,32.43,23.89,68.53,22.70,-66.59,63.87,-38.37
EVEBITDACurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVEBITDACurrent_yy,,-47.47,,,92.01,,2.38,18.80,-102.97,-95.80,-55.48,-18.84,1936.54,970.17,-322.08,-212.49,-215.57,-184.48,198.01,164.95,643.12,912.61,1058.69,4299.51,8.88,-20.30,-90.97,-94.18,-85.05,-25.13,7901.08,-728.79,-507.29,-200.02,-102.34,84.27,-1.45,-200.32,-1053.19
EVEBITDACurrent_sy,,-13.09,,,2.41,,-38.65,1.24,37.32,29.52,74.94,44.31,5.08,26.73,-27.64,-3.43,-19.50,-15.34,70.33,45.71,94.06,32.28,-11.41,5.59,-14.74,2.26,-8.98,-11.64,-33.21,-39.88,-38.15,-42.42,58.79,38.46,119.01,153.46,-40.53,1.54,-32.12
EVEBITDACurrent_qq,,,,7.09,2.06,-3.52,-2.90,24.26,-102.55,236.11,930.30,126.53,-42.19,-20.69,-313.80,-14.74,40.61,42.02,348.05,-23.96,396.67,-13.25,253.69,188.71,-87.71,-36.50,-59.91,86.17,-68.45,217.97,4184.20,-114.63,79.56,21.91,-0.29,1.73,-31.82,-131.17,-285.11
EVEBITDACurrent_sq,,,,-49.11,-4.55,29.10,-2.16,-16.03,29.48,21.76,32.15,-30.73,-5.72,46.84,-24.54,-7.56,-21.41,54.44,51.82,-20.93,4.66,5.27,1.68,-5.76,-15.49,26.27,-9.49,-8.52,-36.12,13.66,-6.88,-14.83,76.15,-0.89,47.29,-1.43,-58.67,69.22,-1.53
ROE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROE_yy,,4.85,,,-24.77,,22.83,,-32.53,-50.76,-53.84,,-16.96,-2.99,-570.43,,-594.65,-613.28,110.13,107.89,107.86,107.47,-30.20,-5.57,-41.97,-36.24,21.50,17.94,74.31,-26.26,-105.76,-145.62,-275.28,-596.59,-4266.67,-507.76,-28.33,50.39,80.07
ROE_sy,,-9.80,,,-22.76,,1.20,,-41.20,-36.63,-35.14,,8.38,-30.94,-18.03,,-55.31,-29.44,-60.84,-64.16,8.32,6.91,87.22,103.50,45.12,33.17,9.97,43.98,16.81,42.86,-15.86,-26.45,-35.68,-42.31,12.41,13.92,26.62,68.22,8.96
ROE_qq,,,,,,18.94,5.59,,,-13.19,-1.02,,,1.43,-579.95,-0.13,-1.48,-5.25,109.48,-22.06,1.16,,-11.47,5.44,-37.84,9.88,68.71,2.35,-8.12,-53.51,-113.17,-711.11,-252.97,-31.69,-15.82,-12.89,25.47,49.09,53.47
ROE_sq,,,,,,-6.55,-4.67,,,0.70,-2.41,,,-35.83,15.82,-11.36,-32.17,1.32,-35.72,-18.86,105.00,,12.56,-11.81,46.19,-8.24,-7.05,15.47,18.60,12.23,-45.26,0.94,3.71,0.67,6.67,2.29,15.27,33.75,-30.91
ROA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROA_yy,,3.24,,,8.42,,34.30,,-7.89,-35.64,-45.56,,2.57,24.89,-575.29,,-578.97,-574.36,111.63,108.56,108.32,107.74,-30.05,-0.70,-38.46,-32.45,31.18,24.03,78.41,-21.08,-105.80,-147.58,-280.89,-581.99,-4415.00,-500.00,-20.95,52.19,80.40
ROA_sy,,-12.65,,,-14.72,,11.10,,-34.90,-23.33,-16.54,,-14.70,-42.54,-39.12,,-87.33,-107.77,-91.75,-66.26,454.67,1294.74,1051.28,289.09,9.38,-0.22,9.35,51.17,13.41,42.16,17.31,-26.74,-20.93,-39.44,-27.43,-33.76,6.86,18.46,-39.23
ROA_qq,,,,,,34.74,21.97,,,-5.86,3.19,,,14.62,-492.71,-3.06,-3.24,-13.52,109.63,-24.20,0.35,5.59,-12.91,7.60,-37.81,15.91,69.12,1.74,-10.54,-48.73,-112.42,-735.00,-240.12,-36.62,-16.37,-10.96,31.44,46.00,52.29
ROA_sq,,,,,,4.13,-16.13,,,22.62,-8.70,,,-17.40,-3.27,-31.08,-76.99,-150.67,202.63,182.05,278.18,9.13,-1.10,-4.68,6.31,-0.44,8.39,31.77,-20.25,24.81,-10.56,-17.71,-13.92,-4.41,7.18,-24.88,38.85,5.96,-45.02
OPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPM_yy,,-9.93,,,-0.27,,-6.60,-8.88,-6.61,-35.80,-47.79,-16.56,-10.38,49.23,-216.55,-221.86,-282.36,-297.26,158.45,145.98,112.52,107.82,-83.73,-90.81,1.90,31.67,418.52,1131.71,98.60,14.35,-101.19,-138.42,-314.52,-533.21,-25560.00,-679.90,-23.25,59.71,90.57
OPM_sy,,2.71,,,-1.71,,-24.79,-6.07,-8.20,8.74,-17.13,-21.89,-30.50,-34.52,-17.77,-35.67,-46.48,-58.60,-50.00,-40.59,26.10,64.53,41.85,3.33,-2.93,4.95,17.62,114.25,60.38,49.66,29.64,-14.68,-18.59,-26.43,-20.85,-28.53,-43.64,-53.52,-93.33
OPM_qq,,,,-30.15,5.44,10.33,14.94,-31.86,8.07,-24.15,-6.52,8.89,16.08,26.30,-173.01,-13.85,-73.71,-36.62,121.63,-10.44,-52.69,-14.69,-55.00,-49.38,424.39,10.23,77.22,20.24,-15.45,-36.53,-101.85,-3780.00,-372.16,-28.17,-9.28,-17.93,25.38,58.10,74.42
OPM_sq,,,,-10.58,-1.25,-7.97,-7.46,11.67,-3.48,9.02,-29.47,5.25,-14.12,2.72,-11.43,-17.66,-28.55,-20.55,6.98,-2.17,51.67,3.66,-7.77,-28.74,42.47,12.08,3.37,29.80,6.65,4.59,-10.46,-14.57,1.76,-5.49,-3.67,-22.86,-19.75,-22.05,-86.18
ROS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROS_yy,,-7.15,,,4.96,,41.55,2.70,2.49,-38.72,-52.18,-13.42,-10.44,46.09,-683.06,-644.53,-723.71,-716.72,117.84,113.03,112.40,109.47,-29.42,-16.27,-60.07,-53.82,-1.24,14.07,85.53,-9.92,-107.29,-153.14,-324.59,-649.08,-4741.38,-573.42,-22.53,56.81,84.12
ROS_sy,,0.87,,,-16.92,,-15.55,-20.39,-18.06,5.25,-7.08,-12.67,-6.92,-40.79,-17.53,-44.46,-77.85,-101.30,-82.62,-57.02,160.27,6866.67,274.47,89.54,12.11,-5.42,13.07,55.17,34.98,61.72,60.05,18.44,-12.35,-24.64,-40.97,-24.58,-39.29,-23.93,-44.68
ROS_qq,,,,-8.75,8.65,24.63,14.57,-33.80,8.42,-25.49,-10.59,19.85,12.16,21.54,-456.86,-11.93,-28.47,-20.18,110.32,-18.21,22.27,-8.23,-23.09,-2.98,-41.69,6.14,64.46,12.06,-5.16,-48.46,-113.30,-717.24,-300.84,-26.00,-17.29,-13.68,27.07,55.58,56.87
ROS_sq,,,,10.29,-6.29,-14.00,-4.98,3.97,-3.54,10.45,-16.11,-2.29,2.81,-29.74,16.85,-34.20,-58.99,-104.11,1666.67,62.77,148.37,6.84,-13.30,-17.61,46.90,-9.86,3.65,13.07,27.78,8.00,2.58,-16.33,-5.44,-7.14,-19.66,6.91,-23.88,16.34,-41.57
RS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS_yy,,0.42,,,-11.61,,0.16,-16.36,-10.32,-29.56,-43.98,-7.00,2.82,67.07,55.90,55.19,-35.10,-70.27,-56.57,-66.36,-75.71,-75.67,-113.03,-127.86,-140.00,-105.49,380.65,304.46,820.97,5700.00,-98.28,-179.91,-298.43,-498.57,-39833.33,-669.95,-24.80,58.69,93.04
RS_sy,,30.01,,,8.28,,-34.47,-20.52,-15.43,-23.01,-33.70,-43.33,-42.70,-45.57,-25.98,-19.88,-67.73,-24.12,-14.72,-19.66,143.05,-4.91,19.03,28.27,27.31,98.91,26.39,37.04,25.07,14.34,-12.06,13.11,-30.01,-28.08,-16.39,-53.17,-10.93,-29.24,-65.20
RS_qq,,,,-20.99,7.68,0.28,17.40,-34.02,15.46,-21.23,-6.64,9.53,27.66,27.98,-12.88,9.03,-46.61,-41.38,27.27,-15.55,-61.44,-41.29,-168.13,-80.65,44.64,91.94,3580.00,31.61,95.20,-37.36,-98.93,-6200.00,-384.70,-25.82,-6.81,-18.20,21.43,58.36,82.00
RS_sq,,,,-11.89,-1.79,-14.66,-11.26,6.85,4.51,-22.31,-23.59,-8.66,5.66,-26.19,3.92,-1.13,-57.44,73.54,16.80,-6.86,28.74,-32.10,46.20,0.37,27.78,6.09,-7.10,8.82,16.62,-3.01,-28.55,39.97,-27.84,-0.33,-16.94,-21.60,37.24,-20.82,-59.15
GPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPM_yy,,-0.20,,,0.90,,35.20,5.74,9.67,-31.82,-45.67,-11.97,-12.24,41.09,-499.61,-497.03,-580.41,-579.21,120.36,116.38,110.31,107.80,-52.07,-58.88,-57.76,-55.63,27.24,98.72,126.47,55.33,-93.99,-135.05,-296.54,-477.78,-5600.00,-828.83,-21.70,58.74,88.93
GPM_sy,,7.12,,,-12.85,,-23.53,-11.54,-18.90,0.48,-5.54,-12.09,-14.21,-39.48,-21.53,-39.19,-66.99,-92.06,-59.48,-71.63,85.24,808.00,64.89,188.61,7.17,21.59,11.83,28.07,48.70,43.12,39.23,,-19.00,-22.78,-19.61,-6.51,-48.15,-51.80,-92.10
GPM_qq,,,,-10.56,7.77,21.92,15.06,-30.05,11.77,-24.21,-8.31,13.34,11.43,21.85,-359.68,-12.61,-34.83,-21.54,111.03,-9.39,-15.11,-8.07,-32.21,-22.26,-12.82,-3.43,94.42,21.41,-0.65,-33.77,-92.48,-808.70,-457.06,-27.31,-9.43,-19.68,27.01,56.83,70.65
GPM_sq,,,,-4.07,0.17,-12.20,-9.36,10.97,-8.16,8.78,-14.79,3.27,-10.37,-23.26,10.48,-19.97,-51.35,-81.55,464.00,-43.97,217.72,-9.56,2.42,-1.94,17.98,2.60,-5.80,12.31,36.99,-1.25,-8.35,-19.34,10.96,-5.86,-4.59,-6.19,-38.46,-12.50,-84.35
RBS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
