,2010/Q4,2011/Q4,2012/Q4,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
OSF,1250,1020,1310,1330,1370,1280,1400,1290,1430,1510,1530,1500,1460,1650,1620,1340,1410,1580,1510,1440,1370,1380
NetDebt,739746924000,810767598000,395171000000,455668982000,515476000000,552127070000,500892339000,530132348000,529898824000,618983976000,632279752000,583802000000,583806859000,643377247000,651194354000,625106000000,609388000000,728419000000,773911000000,765561000000,796141000000,950072000000
NetDebtEBITDA,9590,5400,3210,3800,4770,5300,4560,4230,4420,5080,4720,3780,3190,3060,3030,2140,2060,2400,2510,2870,2650,3140
DebtFin,518918574000,571247187000,168676000000,209624051000,227954000000,254394673000,282315907000,240723635000,306944981000,375088898000,371288682000,302924000000,325188945000,378548075000,369366253000,313847000000,320003000000,435599000000,460937000000,417936000000,492471000000,635632000000
DebtFinEBITDA,6730,3810,1370,1750,2110,2440,2570,1920,2560,3080,2770,1960,1780,1800,1720,1070,1080,1430,1490,1570,1640,2100
SP1,340,340,720,680,610,650,650,640,630,560,570,600,630,560,580,660,680,570,570,610,650,530
SP2,980,1010,1020,1070,1000,1010,1030,1060,1040,1000,1000,980,1010,940,960,1030,1030,970,980,990,1080,950
CAR,100,230,250,250,150,120,170,460,240,130,160,290,270,120,120,320,270,110,70,180,110,100
QR,590,730,740,890,710,780,850,890,890,720,720,680,810,570,640,900,900,660,710,690,980,620
CR,920,1050,1070,1270,1010,1020,1090,1210,1170,990,1010,940,1040,790,840,1110,1130,900,940,970,1350,860
PP,120,230,270,250,150,130,270,460,380,230,160,290,280,130,140,320,270,110,70,180,110,100
RCLR,460,490,450,630,510,600,550,410,460,450,530,360,480,420,480,400,490,460,480,430,670,430
KP,-20,10,20,50,0,10,20,40,30,0,0,-10,10,-50,-40,20,30,-20,-10,-10,60,-40
PKKO,-30,10,20,70,0,10,30,70,50,0,0,-20,10,-80,-60,50,50,-40,-20,-10,120,-70
RN,8590,8600,9950,8520,8540,7260,7590,8050,8220,9160,9050,9190,8930,8960,8720,8450,8450,8630,8740,8680,8350,7880
CRN,42000,42000,37000,43000,43000,50000,48000,45000,44000,40000,40000,40000,41000,41000,42000,43000,43000,42000,42000,42000,44000,46000
CPZ,93000,86000,81000,68000,76000,87000,84000,87000,87000,85000,87000,89000,90000,92000,97000,98000,97000,93000,91000,91000,87000,94000
RZ,10600,11690,11410,11780,11920,11700,12680,12520,12770,12660,11780,12190,12360,12300,12740,12990,13000,13370,13010,12110,11000,10380
CRZ,34000,31000,32000,31000,31000,31000,29000,29000,29000,29000,31000,30000,30000,30000,29000,28000,28000,27000,28000,30000,33000,35000
RMO,4310,4070,4210,4210,4250,3860,3980,3860,3740,3840,3840,4019,4080,4230,4200,3950,3880,3940,3910,4100,4080,3860
RMT,1080,1350,1440,1420,1380,1300,1310,1290,1220,1160,1110,1080,1090,1090,1060,1060,1060,1090,1100,1110,1130,1120
RM,860,1010,1080,1060,1040,980,990,970,920,890,860,850,860,870,850,840,830,850,860,880,890,870
COP,76000,73000,69000,74000,74000,81000,77000,74000,73000,69000,71000,70000,71000,71000,71000,71000,71000,69000,70000,72000,77000,81000
CSP,-17000,-13000,-12000,6000,-2000,-6000,-7000,-13000,-14000,-16000,-16000,-19000,-19000,-21000,-26000,-27000,-26000,-24000,-21000,-19000,-10000,-13000
