,2012/Q4,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
WKGrahamCurrent,,,,,,,,,,,,,,,,,,,,
WKGrahamCurrent_yy,,-734.98,,,,-13.27,1.58,-1.32,-15.28,-14.23,49.67,54.06,45.53,51.29,-17.89,-30.90,-9.45,-18.97,-19.31,-19.10
WKGrahamCurrent_sy,,,,,,,,,,,,,,,,,,,,
WKGrahamCurrent_qq,,,-10.49,-0.24,3.65,-6.14,3.99,-3.19,-9.62,-5.18,57.69,5.82,-29.97,5.95,-2.39,-4.57,-8.67,-2.24,-2.68,-4.40
WKGrahamCurrent_sq,,,,,,,,,,,,,,,,,,,,
CWKGrahamCurrent,,,,,,,,,,,,,,,,,,,,
CWKGrahamCurrent_yy,,,,,,,,,,,,,,,,,,,,
CWKGrahamCurrent_sy,,,,,,,,,,,,,,,,,,,,
CWKGrahamCurrent_qq,,,,,,,,,,,,,,,,,,,,
CWKGrahamCurrent_sq,,,,,,,,,,,,,,,,,,,,
PCurrent,,,,,,,,,,,,,,,,,,,,
PCurrent_yy,,1717.81,,,,171.04,85.55,54.06,38.15,33.25,12.99,-15.12,-15.01,-20.20,-3.85,23.51,31.64,28.62,21.31,18.30
PCurrent_sy,,,,,,,,,,,,,,,,,,,,
PCurrent_qq,,,55.95,32.74,16.00,12.87,6.76,10.21,4.02,8.87,-9.47,-17.21,4.15,2.22,9.08,6.35,11.01,-0.12,2.88,3.71
PCurrent_sq,,,,,,,,,,,,,,,,,,,,
CPCurrent,,,,,,,,,,,,,,,,,,,,
CPCurrent_yy,,-94.50,,,,-63.11,-46.10,-35.09,-27.61,-24.96,-11.50,17.80,17.66,25.33,4.00,-19.03,-24.04,-22.25,-17.57,-15.47
CPCurrent_sy,,17.35,,,,0.27,-14.47,-21.00,-30.96,-25.31,-22.18,-9.01,-2.73,7.76,6.94,6.33,-1.41,-6.95,6.82,3.03
CPCurrent_qq,,,-35.88,-24.66,-13.80,-11.40,-6.33,-9.26,-3.87,-8.16,10.47,20.77,-3.98,-2.17,-8.33,-5.97,-9.92,0.12,-2.80,-3.58
CPCurrent_sq,,,13.19,-5.52,7.28,-12.61,-3.44,-12.73,-6.25,-5.45,0.61,2.04,0.22,4.73,-0.16,1.46,-7.08,-1.15,14.63,-2.15
ZCurrent,,,,,,,,,,,,,,,,,,,,
ZCurrent_yy,,1042.86,,,,1309.09,247.63,122.45,111.62,238.60,115.32,34.50,-22.37,-85.11,-88.93,-113.57,-108.62,-130.49,-141.79,161.57
ZCurrent_sy,,,,,,,,,,,,,,,,,,,,
ZCurrent_qq,,,412.12,85.80,31.53,12.59,26.34,18.89,25.13,80.15,-19.66,-25.73,-27.78,-65.44,-40.30,-191.07,54.12,-22.22,18.18,234.19
ZCurrent_sq,,,,,,,,,,,,,,,,,,,,
CZCurrent,,,,,,,,,,,,,,,,,,,,
CZCurrent_yy,,,,,,-92.87,-71.23,-55.02,-52.72,-70.47,-53.56,-25.63,28.78,572.16,802.18,,,,,
CZCurrent_sy,,,,,,-0.65,-37.68,-4.97,-8.97,0.04,6.85,-16.93,-1.37,-1.13,20.85,,,,,
CZCurrent_qq,,,-80.38,-46.22,-23.94,-11.14,-20.86,-15.91,-20.05,-44.51,24.46,34.68,38.44,189.63,67.06,,,,,
CZCurrent_sq,,,10.10,-7.22,-6.30,3.80,-30.94,41.48,-10.24,14.07,-26.24,10.00,6.56,14.35,-9.84,,,,,
ZOCurrent,,,,,,,,,,,,,,,,,,,,
ZOCurrent_yy,,344.44,,,,1430.00,129.92,76.12,63.68,94.06,52.88,-5.55,-35.81,-64.92,-66.43,-75.21,-71.31,-56.16,-42.22,49.82
ZOCurrent_sy,,,,,,,,,,,,,,,,,,,,
ZOCurrent_qq,,,599.17,57.21,22.74,13.40,5.07,20.43,14.08,34.45,-17.23,-25.60,-22.47,-26.51,-20.80,-45.05,-10.29,12.30,4.38,42.48
ZOCurrent_sq,,,,,,,,,,,,,,,,,,,,
CZOCurrent,,,,,,,,,,,,,,,,,,,,
CZOCurrent_yy,,-77.50,,,,-93.44,-56.51,-43.19,-38.92,-48.47,-34.58,5.87,55.77,185.06,198.03,303.56,248.80,128.02,72.96,-33.28
CZOCurrent_sy,,-9.27,,,,-22.07,-33.54,-25.01,-11.36,5.24,-26.83,13.94,3.72,-22.33,68.22,19.50,-6.50,39.02,10.97,-6.92
CZOCurrent_qq,,,-85.65,-36.41,-18.49,-11.84,-4.82,-16.94,-12.37,-25.62,20.83,34.43,28.94,36.11,26.33,82.03,11.44,-11.02,-4.18,-29.78
CZOCurrent_sq,,,-1.20,-19.05,-16.01,16.02,-15.75,-8.66,-0.72,37.74,-41.42,42.24,-9.64,3.15,26.88,1.04,-29.29,53.36,1.28,-15.25
EVCurrent,,,,,,,,,,,,,,,,,,,,
EVCurrent_yy,,94.08,,,,9.38,1.29,10.31,17.59,15.89,-22.71,-29.75,-29.25,-28.83,12.75,14.53,10.19,11.76,7.58,9.03
EVCurrent_sy,,,,,,,,,,,,,,,,,,,,
EVCurrent_qq,,,5.03,2.27,-0.86,2.71,-2.73,11.38,5.68,1.23,-35.13,1.23,6.44,1.83,2.77,2.82,2.41,3.28,-1.08,4.21
EVCurrent_sq,,,,,,,,,,,,,,,,,,,,
EVPCurrent,,,,,,,,,,,,,,,,,,,,
EVPCurrent_yy,,-89.32,,,,-59.65,-45.41,-28.40,-14.87,-13.03,-31.60,-17.24,-16.75,-10.80,17.27,-7.27,-16.30,-13.11,-11.32,-7.84
EVPCurrent_sy,,-6.41,,,,-25.31,-33.03,-26.22,-30.59,-4.28,21.08,9.90,18.60,5.80,-3.00,1.82,-1.43,12.99,25.94,10.09
EVPCurrent_qq,,,-32.66,-22.95,-14.54,-9.00,-8.89,1.06,1.60,-7.03,-28.34,22.27,2.20,-0.38,-5.79,-3.32,-7.75,3.40,-3.84,0.47
EVPCurrent_sq,,,4.23,-8.70,0.94,-22.24,-6.55,0.59,-5.04,7.23,18.21,-8.70,2.47,-4.34,8.38,-4.16,-0.79,9.65,20.80,-16.22
EVEBITCurrent,,,,,,,,,,,,,,,,,,,,
EVEBITCurrent_yy,,-56.33,,,,-92.83,-55.94,-37.33,-28.18,-40.28,-49.44,-25.62,10.21,102.89,236.04,362.17,284.36,154.83,86.06,-27.25
EVEBITCurrent_sy,,4.72,,,,-22.87,-37.22,-0.12,-8.21,-15.52,-12.29,-13.65,-19.16,-7.01,50.34,7.99,41.31,37.25,26.38,12.94
EVEBITCurrent_qq,,,-84.93,-34.97,-19.20,-9.45,-7.42,-7.49,-7.39,-24.71,-21.62,36.08,37.24,38.61,29.82,87.16,14.13,-8.10,-5.22,-26.82
EVEBITCurrent_sq,,,-14.72,-11.03,-3.47,5.30,-30.58,41.53,-11.28,-3.09,-27.92,39.33,-16.93,11.47,16.53,0.09,8.70,8.27,7.30,-10.56
EVEBITDACurrent,,,,,,,,,,,,,,,,,,,,
EVEBITDACurrent_yy,,104.64,,,,-85.59,-62.97,-50.87,-43.07,-26.59,-42.39,-19.84,-1.20,18.80,84.69,65.10,44.87,34.08,15.78,-7.10
EVEBITDACurrent_sy,,0.44,,,,-5.07,-8.05,5.97,7.92,-9.18,-8.04,24.07,-3.59,-1.83,8.24,-29.74,-3.39,19.18,13.38,21.77
EVEBITDACurrent_qq,,,-64.74,-30.18,-18.41,-28.24,-9.41,-7.37,-5.47,-7.45,-28.92,28.89,16.52,11.28,10.50,15.22,2.24,3.00,-4.57,-7.55
EVEBITDACurrent_sq,,,2.14,-15.30,-1.96,11.92,-1.06,-2.39,-0.16,-5.81,0.19,31.69,-22.41,-4.10,10.47,-14.52,6.68,18.31,5.09,-8.19
ROE,,,,,,,,,,,,,,,,,,,,
ROE_yy,,112.08,,,,1192.31,210.77,73.10,49.47,66.43,-2.97,-19.32,-46.78,-85.62,-87.55,-113.58,-108.57,-130.35,-140.98,160.00
ROE_sy,,46.85,,,,0.51,44.08,-24.43,-33.01,-11.63,-23.76,13.13,4.82,-24.02,-13.51,-33.52,2.93,22.09,9.16,42.62
ROE_qq,,,400.00,78.46,28.97,12.30,20.24,-0.59,11.35,25.04,-29.90,-17.35,-26.54,-66.22,-39.30,-190.16,53.64,-19.61,18.03,232.00
ROE_sq,,,-28.43,35.16,7.76,-3.57,2.59,-29.11,-4.47,27.19,-11.49,5.19,-11.48,-7.81,0.76,-19.14,37.05,9.35,-9.91,5.64
ROA,,,,,,,,,,,,,,,,,,,,
ROA_yy,,175.86,,,,1209.09,235.85,87.63,60.78,104.51,52.53,30.49,-18.54,-80.14,-87.11,-112.84,-108.08,-127.35,-138.57,157.38
ROA_sy,,40.03,,,,-23.05,19.18,1.65,-16.58,-20.95,-20.84,-26.04,-36.39,-14.15,19.67,2.20,54.33,8.14,-24.23,13.11
ROA_qq,,,381.82,83.02,31.44,12.94,23.61,2.25,12.64,43.66,-7.81,-12.52,-29.68,-64.97,-40.17,-187.14,55.74,-18.52,15.62,229.63
ROA_sq,,,-37.09,4.56,17.89,-0.77,-2.57,-10.82,-3.25,-5.96,-2.44,-16.67,-16.80,26.92,35.98,-28.83,25.64,-11.06,-4.73,6.25
OPM,,,,,,,,,,,,,,,,,,,,
OPM_yy,,-75.51,,,,462.11,23.87,14.24,18.50,45.69,35.27,11.30,-24.45,-56.05,-65.10,-79.96,-78.19,-65.85,-52.28,26.80
OPM_sy,,-18.11,,,,21.88,30.04,29.17,-0.52,12.23,-31.49,-35.10,-19.46,-14.41,19.25,-7.46,-5.77,-21.15,-24.66,-0.77
OPM_qq,,,346.70,18.44,5.75,0.47,-1.57,9.24,9.69,23.52,-8.61,-10.12,-25.54,-28.14,-27.42,-48.40,-18.95,12.50,1.43,37.10
OPM_sq,,,15.62,4.78,13.79,-11.60,23.37,4.08,-12.37,-0.26,-24.69,-1.40,8.76,5.98,4.93,-23.48,10.74,-11.32,0.26,0.78
ROS,,,,,,,,,,,,,,,,,,,,
ROS_yy,,151.44,,,,416.80,87.50,44.23,53.09,154.33,90.59,58.42,-8.57,-81.38,-88.48,-110.94,-106.62,-123.86,-134.52,152.45
ROS_sy,,-11.18,,,,10.84,29.18,-9.42,-17.08,-18.30,-42.40,-29.66,-16.35,13.32,9.17,-16.96,-15.41,-18.57,-10.92,17.28
ROS_qq,,,226.40,40.20,13.29,-0.31,18.42,7.84,20.24,65.62,-11.26,-10.36,-30.60,-66.26,-45.10,-185.12,58.04,-21.67,20.55,229.31
ROS_sq,,,2.45,23.21,6.23,-17.34,19.40,-13.61,-2.75,-18.55,-15.83,5.50,15.65,10.34,-18.91,-19.75,17.80,6.22,-11.30,5.66
RS,,,,,,,,,,,,,,,,,,,,
RS_yy,,-165.54,,,,136.28,279.94,675.14,1235.23,462.92,110.02,-1.51,-44.26,-93.21,-101.77,-116.63,-124.89,-250.00,-434.78,111.04
RS_sy,,6.17,,,,36.19,23.99,12.21,15.40,38.55,21.24,-8.73,0.88,-33.90,-12.75,0.12,-9.76,-14.90,-28.43,-3.72
RS_qq,,,53.26,49.71,150.87,203.41,131.84,60.74,18.09,27.91,-13.51,-24.62,-33.16,-84.43,-122.55,-608.70,,6.13,19.61,114.63
RS_sq,,,23.91,2.48,0.76,6.44,12.81,-7.26,3.63,27.79,-1.28,-30.18,14.53,-16.27,30.31,-19.88,,-21.03,9.59,7.78
GPM,,,,,,,,,,,,,,,,,,,,
GPM_yy,,-94.51,,,,636.89,24.55,20.75,37.14,117.69,93.21,56.88,-2.10,-75.57,-81.67,-99.87,-101.98,-100.84,-95.91,7800.00
GPM_sy,,-6.80,,,,20.36,22.65,9.42,-10.06,-17.93,-35.48,-41.91,-26.74,17.54,23.10,-8.29,10.29,-15.05,-2.10,18.08
GPM_qq,,,490.98,14.29,5.22,3.69,-0.11,10.80,19.50,64.59,-11.34,-10.03,-25.43,-58.93,-33.47,-99.37,-1250.00,82.61,425.00,1115.38
GPM_sq,,,11.40,21.69,5.83,-16.10,13.51,8.57,-13.01,-23.44,-10.77,-2.24,9.70,22.83,-6.54,-27.17,31.92,-5.39,7.70,-12.16
RBS,,,,,,,,,,,,,,,,,,,,
RBS_yy,,,,,,,,,,,,,,,,,,,,
RBS_sy,,,,,,,,,,,,,,,,,,,,
RBS_qq,,,,,,,,,,,,,,,,,,,,
RBS_sq,,,,,,,,,,,,,,,,,,,,
ROPA,,,,,,,,,,,,,,,,,,,,
ROPA_yy,,-63.06,,,,1287.80,122.05,48.40,24.20,17.05,8.39,-8.11,-32.69,-53.30,-60.98,-76.40,-72.73,-59.81,-46.96,40.46
ROPA_sy,,1.49,,,,35.35,45.08,13.11,17.68,-19.06,-12.29,6.46,-5.32,-4.78,-7.57,-25.58,-10.41,-17.69,-7.67,20.17
ROPA_qq,,,541.46,54.75,22.85,13.80,2.64,3.42,2.81,7.25,-4.95,-12.32,-24.68,-25.60,-20.58,-46.96,-12.98,9.65,4.80,40.46
ROPA_sq,,,-10.38,9.43,1.69,35.73,-3.93,-14.69,5.79,-6.65,4.11,3.54,-5.91,-6.12,1.06,-16.64,13.27,-13.75,13.37,8.49
ZNPO,,,,,,,,,,,,,,,,,,,,
ZNPO_yy,,191.59,,,,965.31,163.61,19.80,32.31,422.22,609.05,654.56,-1708.78,-68.89,-92.43,-107.92,98.16,-139.62,-151.56,144.65
ZNPO_sy,,-36.82,,,,33.97,-28.11,-19.58,-40.73,-27.08,24.28,32.59,62.10,7.94,-27.00,-56.13,-61.41,4.57,-8.49,111.12
ZNPO_qq,,,372.45,128.51,-9.31,8.81,16.91,3.85,0.16,329.46,58.73,10.52,-313.55,108.30,-61.35,-215.48,50.40,-78.96,49.70,200.00
ZNPO_sq,,,33.24,1.66,5.49,-6.24,-28.50,13.72,-22.26,15.36,21.85,21.33,-4.95,-23.18,-17.59,-27.10,-16.39,108.17,-27.88,68.19
ZFI,,,,,,,,,,,,,,,,,,,,
ZFI_yy,,15.36,,,,6.59,1.38,1.98,-0.49,-29.02,-49.44,-27.00,-15.94,37.32,498.50,64.03,53.02,100.26,-62.31,31.06
ZFI_sy,,-7.56,,,,-10.46,-18.94,7.31,1.72,6.16,-8.62,-8.75,-2.27,-11.91,17.76,14.20,9.43,13.18,-5.82,9.82
ZFI_qq,,,3.47,-0.02,0.80,2.22,-1.59,0.57,-1.65,-27.08,-29.90,45.20,13.25,19.12,205.53,-60.20,5.65,55.89,-42.49,38.37
ZFI_sq,,,22.31,-25.05,6.39,-8.19,10.73,-0.78,0.85,-4.18,-4.69,-0.92,8.00,-13.63,27.42,-3.92,3.49,-10.67,6.03,12.04
DTAR,,,,,,,,,,,,,,,,,,,,
DTAR_yy,,-27.46,,,,-0.46,-3.92,-5.12,-6.33,-13.45,-31.92,-35.40,-29.61,-26.56,-4.60,8.08,4.03,9.81,8.00,5.09
DTAR_sy,,-4.96,,,,-8.16,1.53,-1.66,4.25,13.05,18.46,23.15,16.66,-5.71,-6.29,-6.75,-14.83,5.82,-0.02,-4.97
DTAR_qq,,,2.26,-1.31,-1.18,-0.18,-1.30,-2.55,-2.44,-7.77,-22.37,-7.52,6.31,-3.78,0.84,4.78,2.33,1.56,-0.81,1.95
DTAR_sq,,,-10.46,9.70,-2.84,-3.77,-1.00,6.26,2.99,4.35,3.74,10.47,-2.44,-15.66,3.09,9.92,-10.89,4.79,-2.60,4.48
CG,,,,,,,,,,,,,,,,,,,,
CG_yy,,-88.44,,,,-1.02,-11.05,-12.48,-12.72,-29.44,-56.72,-60.13,-54.07,-46.58,-8.09,14.20,8.12,19.82,14.62,9.46
CG_sy,,-9.54,,,,3.44,16.43,11.62,9.25,12.33,-1.16,49.64,1.45,-15.53,5.73,-22.14,-2.28,12.20,2.93,1.57
CG_qq,,,7.04,-3.69,-3.27,-0.74,-3.81,-5.24,-3.53,-19.75,-41.01,-12.69,11.12,-6.66,1.49,8.49,5.21,3.43,-2.91,3.61
CG_sq,,,-13.70,6.86,3.79,8.07,-2.87,2.45,1.58,11.12,-14.53,55.11,-31.13,-7.48,6.97,14.23,-13.57,6.23,-1.86,12.72
LDER,,,,,,,,,,,,,,,,,,,,
LDER_yy,,-93.19,,,,28.11,-15.58,-20.05,-11.90,-42.30,-62.02,-60.75,-60.59,-39.82,18.88,3.73,33.99,-3.46,-7.42,-0.60
LDER_sy,,36.32,,,,-12.35,-16.10,18.03,40.74,40.09,49.40,60.09,34.95,-3.91,16.53,-9.88,-11.68,3.39,1.86,13.44
LDER_qq,,,10.34,22.50,-27.46,30.65,-27.29,16.01,-20.07,-14.42,-52.14,19.88,-19.74,30.70,-5.48,4.61,3.68,-5.83,-9.35,12.31
LDER_sq,,,-3.83,-11.41,-18.28,25.90,-7.95,24.63,-2.56,25.32,-1.83,33.55,-17.86,-10.77,19.06,3.28,-19.50,4.46,17.29,15.02
PZAT,,,,,,,,,,,,,,,,,,,,
PZAT_yy,,108.20,,,,-16.04,14.75,9.32,6.97,36.93,44.01,68.19,68.28,21.42,-5.99,2.42,-23.08,10.16,14.03,6.01
PZAT_sy,,2.75,,,,-8.11,6.13,-14.45,-13.68,4.92,-9.57,4.89,0.05,-40.42,-36.42,-24.58,-27.23,21.91,5.67,4.97
PZAT_qq,,,-4.52,-20.14,35.26,-18.59,30.50,-23.92,32.34,4.21,37.24,-11.14,32.41,-24.81,6.25,-3.19,-0.54,7.68,9.99,-10.00
PZAT_sq,,,-8.78,6.42,0.50,-5.82,5.37,-14.22,1.40,14.46,-9.17,-0.51,-3.27,-31.83,-3.08,18.01,-6.67,14.20,-15.98,17.22
PELDR,,,,,,,,,,,,,,,,,,,,
PELDR_yy,,-9.08,,,,-1.94,-2.63,1.06,-0.07,3.42,21.85,16.26,6.46,12.64,-8.34,-6.30,1.15,-7.17,-6.80,-5.28
PELDR_sy,,3.26,,,,-3.11,9.96,-2.38,-1.10,2.08,-10.18,-3.52,-4.41,-3.69,1.26,-1.62,3.10,1.27,7.02,1.55
PELDR_qq,,,2.34,-1.25,0.11,-3.08,1.62,2.49,-1.01,0.30,19.73,-2.20,-9.36,6.13,-2.57,-0.02,-2.15,-2.60,-2.18,1.61
PELDR_sq,,,-5.26,5.23,-2.11,-0.71,7.52,-6.58,-0.84,2.48,-5.39,0.35,-1.75,3.25,-0.52,-2.51,2.96,1.42,5.12,-7.49
TSF,,,,,,,,,,,,,,,,,,,,
TSF_yy,,-19.26,,,,14.56,-0.74,-3.96,1.06,-6.21,10.74,11.37,10.66,14.46,8.84,-4.32,4.42,-9.31,-7.83,-4.18
TSF_sy,,0.26,,,,1.45,-4.12,-0.75,-0.04,1.43,-0.53,-8.92,-3.04,1.07,3.73,9.94,4.03,-4.21,-6.24,-6.01
TSF_qq,,,0.43,14.44,-13.82,15.67,-12.98,10.71,-9.32,7.35,2.75,11.34,-9.89,11.03,-2.29,-2.13,-1.66,-3.57,-0.69,1.75
TSF_sq,,,6.65,-0.97,-2.19,-1.80,0.79,2.52,-1.50,-0.35,-1.15,-6.13,4.86,3.87,1.45,-0.51,-0.77,-4.36,-0.70,-0.26
ZKO,,,,,,,,,,,,,,,,,,,,
ZKO_yy,,-23.74,,,,22.90,-4.32,-28.53,-19.37,-50.77,-64.51,-44.43,-33.67,-18.75,44.80,17.65,-0.42,-1.28,2.65,9.68
ZKO_sy,,-0.61,,,,-1.25,-16.37,6.79,10.78,13.32,28.98,16.78,12.40,0.83,3.36,18.67,2.70,8.60,-1.32,-15.66
ZKO_qq,,,2.44,-0.32,-8.54,31.59,-20.25,-25.54,3.18,-19.65,-42.51,16.59,23.16,-1.57,2.44,-5.27,4.24,-2.41,6.52,1.22
ZKO_sq,,,5.81,-11.37,-3.07,8.63,-10.39,13.17,0.56,11.12,1.99,2.46,-3.21,-0.32,4.55,17.64,-16.23,5.41,-5.01,0.55
OSF,,,,,,,,,,,,,,,,,,,,
OSF_yy,,374.77,,,,20.10,3.43,-18.45,-11.07,-33.50,-34.95,-6.76,2.89,9.23,34.47,9.08,-3.25,-7.36,-2.26,4.28
OSF_sy,,0.71,,,,1.24,4.87,7.48,4.84,-0.63,-4.01,-4.52,-5.75,-4.10,-1.37,2.38,0.92,-5.78,-1.11,-1.96
OSF_qq,,,-2.15,1.98,-5.40,27.23,-15.74,-19.59,3.15,-4.85,-17.57,15.25,13.83,1.02,1.47,-6.51,0.95,-3.27,7.06,-0.25
OSF_sq,,,-2.79,-5.15,2.19,7.44,0.71,-2.80,-0.32,1.83,-2.72,-3.32,-1.60,3.61,0.06,0.36,-3.01,-3.27,5.03,-0.50
NetDebt,6568476000,58588450000,65785704000,65768101000,64902143000,64381304000,65170987000,73739010000,85969335000,101256000000,65820260000,73423000000,83117000000,77976000000,81607000000,86746000000,94140000000,97986000000,97084000000,101128000000
NetDebt_yy,,,,,,,,,,,,,,,,,,,,
NetDebt_sy,,,,,,,,,,,,,,,,,,,,
NetDebt_qq,,,,,,,,,,,,,,,,,,,,
NetDebt_sq,,,,,,,,,,,,,,,,,,,,
NetDebtEBITDA,,,,,,,,,,,,,,,,,,,,
NetDebtEBITDA_yy,,121.31,,,,-85.52,-63.78,-50.07,-40.51,-12.04,-41.89,-29.79,-10.06,-10.02,62.58,70.31,48.89,50.75,28.04,-0.67
NetDebtEBITDA_sy,,-0.91,,,,5.44,9.15,-14.06,-12.55,-5.73,-3.22,4.64,-3.72,-6.51,-11.83,-13.39,-14.73,12.32,19.96,-2.46
NetDebtEBITDA_qq,,,-62.31,-31.75,-18.79,-30.70,-5.72,-5.89,-3.25,2.47,-37.72,13.72,23.93,2.52,12.53,19.12,8.34,3.80,-4.42,-7.59
NetDebtEBITDA_sq,,,1.07,29.70,0.87,-20.26,4.64,2.12,2.63,-14.04,7.42,10.41,-5.57,-16.54,1.32,8.46,-7.03,9.94,8.21,-11.82
DebtFin,2173483000,31923341000,35011691000,36475118000,35906553000,37679983000,35846165000,43272549000,51097873000,54763000000,27227423000,35013000000,40334000000,41945000000,44426000000,47023000000,49308000000,52485000000,51403000000,55572000000
DebtFin_yy,,,,,,,,,,,,,,,,,,,,
DebtFin_sy,,,,,,,,,,,,,,,,,,,,
DebtFin_qq,,,,,,,,,,,,,,,,,,,,
DebtFin_sq,,,,,,,,,,,,,,,,,,,,
DebtFinEBITDA,,,,,,,,,,,,,,,,,,,,
DebtFinEBITDA_yy,,135.09,,,,-84.45,-62.57,-47.16,-36.09,-18.72,-56.30,-42.94,-26.57,-10.51,113.95,93.60,60.71,50.11,24.53,0.70
DebtFinEBITDA_sy,,-47.99,,,,42.69,13.50,-24.67,-33.35,-11.11,52.18,44.80,47.12,26.73,-11.39,-51.95,-25.45,-0.07,50.56,82.15
DebtFinEBITDA_qq,,,-63.18,-28.88,-18.99,-26.68,-11.40,0.40,-2.01,-6.76,-52.36,31.08,26.11,13.65,13.88,18.61,4.69,6.16,-5.52,-4.09
DebtFinEBITDA_sq,,,5.45,61.78,16.39,-28.14,-16.13,7.37,2.98,-4.16,43.60,2.16,4.63,-17.44,0.41,-44.60,62.33,10.67,51.28,-32.98
SP1,,,,,,,,,,,,,,,,,,,,
SP1_yy,,522.12,,,,-2.29,8.08,14.09,10.30,35.06,83.32,67.81,55.12,34.44,-7.13,-7.29,-2.83,-6.15,-4.80,-4.92
SP1_sy,,-0.90,,,,-2.27,8.98,-12.84,-9.69,-6.43,-22.12,-15.85,-10.24,1.59,8.13,0.62,-3.12,-8.58,-4.42,3.57
SP1_qq,,,-4.49,2.31,3.40,-3.29,5.64,8.00,-0.02,18.41,43.39,-1.14,-7.59,2.63,-0.94,-1.31,-3.15,-0.88,0.49,-1.44
SP1_sq,,,-1.89,11.74,-4.72,-6.44,9.41,-10.63,-1.27,-3.07,-8.93,-3.44,5.31,9.69,-3.06,-10.15,1.39,3.51,1.35,-2.63
SP2,,,,,,,,,,,,,,,,,,,,
SP2_yy,,-19.91,,,,11.32,-0.66,1.06,3.86,3.25,29.03,15.34,12.01,11.95,-2.61,-6.27,5.42,-7.14,-6.84,-5.08
SP2_sy,,0.09,,,,-1.17,7.77,-3.12,-1.61,3.85,-6.69,-6.80,-1.13,-2.52,0.39,-1.00,-1.15,-0.23,4.86,3.01
SP2_qq,,,0.40,14.28,-12.76,11.22,-10.41,16.26,-10.35,10.57,11.96,3.93,-12.93,10.50,-2.60,0.02,-2.08,-2.66,-2.29,1.91
SP2_sq,,,-4.00,9.16,-5.44,-0.26,4.69,-1.88,-3.97,5.27,-5.93,-1.99,1.87,3.79,-3.12,-3.35,1.71,4.76,1.82,-5.05
CAR,,,,,,,,,,,,,,,,,,,,
CAR_yy,,-90.21,,,,,51.83,7.42,-0.93,,1229.72,507.18,354.21,72.14,-78.25,-47.54,-44.34,-72.37,-56.39,-80.14
CAR_sy,,-10.11,,,,,54.49,35.09,26.54,,-7.74,-18.75,19.55,-8.04,6.36,-22.03,-34.28,-8.11,-31.44,-9.07
CAR_qq,,,-38.11,105.49,-35.91,,,45.38,-40.88,369.63,229.45,-33.62,-55.78,77.98,-58.38,60.14,-53.08,-11.65,-34.31,-27.07
CAR_sq,,,-5.43,17.56,-22.54,,,2.79,-27.44,29.81,-4.70,-9.48,6.76,-0.15,10.23,-33.64,-10.01,39.60,-17.76,-11.98
QR,,,,,,,,,,,,,,,,,,,,
