,2007/Q4,2008/Q4,2009/Q4,2010/Q4,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
CZCurrent_sy,,,,21.48,,,11.26,,,,,,,,,,,,-0.65,-37.68,-4.97,-8.97,0.04,,,-1.37,-1.13,,,-7.01,,,
CZCurrent_qq,,,,,,-33.18,-28.70,981.22,,,,,,,,-43.26,-89.83,-1.88,3.53,-2.19,1008.34,61.01,327.29,,,,-68.74,-44.12,-10.94,109.98,,,
CZCurrent_sq,,,,,,13.79,80.70,-4.17,,,,,,,,10.10,-7.22,-6.30,3.80,-30.94,41.48,-10.24,14.07,,,,14.35,-9.84,10.83,-18.62,,,
ZOCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZOCurrent_yy,,-80.53,526.62,58.61,,,13.50,,-117.43,-153.22,-199.68,-291.44,-72.39,135.26,181.06,220.64,2553.03,3511.44,583.86,471.34,-89.76,-93.84,-97.85,-102.97,-97.48,3.02,395.98,640.80,5989.36,60.29,-143.57,-153.63,-220.75
ZOCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZOCurrent_qq,,,,,,9.26,16.06,-57.56,-132.38,-233.64,-117.39,18.49,70.84,168.24,399.80,21.31,492.91,0.46,-5.36,1.35,-89.37,-39.64,-66.90,-239.95,109.00,2370.21,59.35,52.59,1.38,-34.98,-143.31,-87.84,-128.27
ZOCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZOCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZOCurrent_yy,,413.32,-84.03,-36.97,,,-11.88,,,,,,,,,,,-97.23,-85.38,-82.50,876.19,1525.23,4551.45,,3863.96,-3.00,-79.86,,-98.35,-37.60,,,
CZOCurrent_sy,,-21.20,-34.82,39.45,,,-30.07,,,,,,,,,,,-57.16,-22.07,-33.54,-25.01,-11.36,5.24,,13.94,3.72,-22.33,,19.50,-6.50,,,
CZOCurrent_qq,,,,,,-8.45,-13.84,135.65,,,,,,,-79.97,-17.58,-83.13,-0.46,5.66,-1.33,840.71,65.72,202.39,,,-95.94,-37.21,-34.49,-1.35,53.78,,,
CZOCurrent_sq,,,,,,-8.86,2.18,-12.24,,,,,,,-36.23,-1.20,-19.05,-16.01,16.02,-15.75,-8.66,-0.72,37.74,,,-9.64,3.15,26.88,1.04,-29.29,,,
EVCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVCurrent_yy,,1.24,0.41,-1.04,,,-1.08,,11.65,2.21,18.45,14.76,22.98,0.34,2.19,2.34,-7.07,-11.70,-24.43,-23.58,-16.08,18.11,23.03,25.59,19.31,12.05,7.71,8.78,6.83,4.49,3.48,0.41,1.27
EVCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVCurrent_qq,,,,,,9.17,0.27,2.06,-0.07,-0.06,16.20,-1.12,7.09,-18.45,18.33,-0.97,-2.75,-22.52,1.27,0.15,6.79,9.05,5.49,2.23,1.45,2.42,1.40,3.25,-0.37,0.18,0.42,0.18,0.49
EVCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVPCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVPCurrent_yy,,-25.18,-14.90,-13.19,,,17.32,,-1.53,-8.62,8.95,6.11,12.86,-9.10,-10.63,-10.98,-19.17,-19.43,-26.89,-25.00,-16.57,12.69,12.03,11.30,2.96,-4.44,-7.66,-6.81,-8.17,-10.36,-12.50,-15.41,-14.58
