,2005/Q4,2006/Q4,2007/Q4,2008/Q4,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
RN,6520,5140,4590,3940,4310,4470,4540,4290,4290,4800,4420,4350,3920,4019,3950,3860,3820,3860,4030,4170,4350,4340,4019,3930,3950,4190,4640,4750,4960,4810,4910,4990,4940,5010,4990,5060,5100,5110,5090,5080,5120
CRN,56000,71000,80000,93000,85000,82000,80000,85000,85000,76000,83000,84000,93000,91000,92000,94000,96000,95000,90000,88000,84000,84000,91000,93000,92000,87000,79000,77000,74000,76000,74000,73000,74000,73000,73000,72000,72000,71000,72000,72000,71000
CPZ,22000,19000,24000,74000,52000,50000,38000,34000,36000,32000,33000,37000,42000,41000,49000,51000,55000,54000,55000,56000,58000,61000,65000,66000,65000,61000,55000,53000,49000,47000,43000,38000,38000,41000,43000,47000,48000,45000,42000,41000,42000
RZ,3600,2140,1840,1670,1680,1700,1560,1570,1720,2050,2200,2270,2180,2170,2270,2230,2380,2390,2340,2300,2190,2130,2000,1860,1910,1950,2000,2020,1960,1860,1820,1900,1890,1980,2000,1930,1940,1850,1910,1920,1850
CRZ,101000,171000,198000,219000,217000,214000,234000,233000,212000,178000,166000,161000,167000,168000,161000,164000,154000,152000,156000,159000,167000,171000,183000,196000,191000,187000,182000,181000,186000,197000,200000,192000,193000,184000,182000,189000,188000,197000,191000,190000,197000
RMO,1350,1320,1450,1440,1290,1340,1120,1000,1020,1150,1180,1190,1150,1180,1160,1120,1140,1160,1160,1170,1160,1150,1130,1140,1210,1270,1370,1420,1490,1480,1470,1490,1420,1400,1370,1340,1350,1320,1400,1420,1400
RMT,2300,2720,2470,1630,1660,1730,1660,1690,1780,1990,1900,1820,1690,1730,1790,1770,1810,1850,1850,1810,1690,1550,1370,1250,1220,1210,1220,1220,1200,1140,1130,1170,1150,1180,1170,1120,1130,1090,1130,1140,1110
RM,850,890,920,770,730,750,670,630,650,730,730,720,690,700,700,690,700,710,710,710,690,660,620,590,610,620,650,660,670,650,640,660,630,640,630,610,610,600,630,630,620
COP,157000,242000,278000,312000,302000,296000,314000,318000,297000,254000,249000,245000,260000,259000,253000,258000,250000,247000,246000,247000,251000,255000,274000,289000,283000,274000,261000,258000,260000,273000,274000,265000,267000,257000,255000,261000,260000,268000,263000,262000,268000
CSP,135000,223000,254000,238000,250000,246000,276000,284000,261000,222000,216000,208000,218000,218000,204000,207000,195000,193000,191000,191000,193000,194000,209000,223000,218000,213000,206000,205000,211000,226000,231000,227000,229000,216000,212000,214000,212000,223000,221000,221000,226000
