,2006/Q4,2007/Q4,2008/Q4,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
NetDebtEBITDA,2930,2810,4090,,3330,3020,3740,,4059,4190,9050,,4720,4340,5140,,5020,4660,4300,3740,3320,3480,4330,4019,3280,3170,3880,4210,3430,3650,3770,3390,2580,2680,3160,2540,2870,3490,3320
DebtFin,24793000000,16752000000,38880000000,,23825000000,30981000000,22438000000,,28034000000,33058000000,135417000000,,126249000000,125316000000,130726000000,,107563000000,108178000000,96179000000,85782000000,58708400000,84088000000,77339000000,85833400000,85056000000,86188100000,74371900000,80983300000,80786700000,86287600000,70315100000,71110400000,69250600000,73617100000,75068000000,67021500000,47571400000,67942200000,76095400000
DebtFinEBITDA,1360,1000,2200,,1500,1860,1500,,2000,2370,6570,,3570,3200,3640,,3560,3530,2910,2420,1680,2290,2110,2260,2210,2270,1960,2260,2290,2410,1850,1690,1510,1470,1500,1280,920,1290,1370
SP1,1250,1600,1110,,1420,1500,1750,,1910,1980,760,,820,840,830,,870,900,900,930,960,1070,1000,1040,1060,1100,1010,1050,1060,1100,1050,1120,1140,1210,1110,1170,1060,1120,1100
SP2,1610,1810,1190,,1470,1550,1770,,1930,2000,1290,,1240,1280,1240,,1250,1260,1240,1250,1270,1380,1260,1280,1280,1290,1180,1310,1370,1400,1330,1320,1360,1450,1340,1440,1290,1340,1350
CAR,30,70,30,,70,60,60,,70,10,80,,50,30,30,,140,70,60,150,290,80,60,50,60,30,100,100,90,130,100,70,110,120,110,180,160,60,100
QR,810,750,480,,600,660,630,,590,630,780,,690,750,670,,600,690,720,880,790,700,490,520,500,630,530,630,700,780,670,610,610,730,580,930,580,540,580
CR,1320,1400,1090,,1270,1330,1460,,1530,1590,1720,,1670,1720,1510,,1600,1730,1650,1660,1630,1680,1390,1430,1530,1560,1240,1480,1980,1840,1610,1520,1760,1800,1480,1850,1450,1440,1460
PP,30,70,30,,80,80,60,,70,10,80,,50,30,30,,140,70,60,150,290,80,60,50,60,30,100,100,90,130,100,70,110,120,110,180,160,60,100
RCLR,780,680,450,,520,580,570,,520,630,700,,650,710,650,,450,630,660,730,500,620,430,470,440,600,430,530,610,650,560,540,500,610,470,750,420,480,480
KP,170,210,60,,150,170,220,,250,270,170,,150,170,140,,150,160,150,150,160,170,140,140,150,160,90,160,210,210,180,160,200,220,170,230,150,160,170
PKKO,-8830,-25090,-8160,,-16840,-19210,-28050,,-33000,-34620,-47980,,-29330,-29300,-25410,,-24760,-25220,-22760,-23830,-24270,-25440,-22200,-23500,-23430,-23860,-14620,-25700,-31090,-31680,-19110,-15350,-13860,-15370,-13200,-18610,-14270,-18370,-19720
RN,4680,5520,4770,4720,4780,4970,4730,5070,5180,5020,4880,5430,5330,5180,4990,4890,5130,5410,5850,5610,5560,5570,5510,5570,5570,5520,5500,5370,5470,5590,5740,5860,6060,6120,6090,6010,5850,5760,5670
CRN,78000,66000,76000,77000,76000,73000,77000,72000,70000,73000,75000,67000,68000,71000,73000,75000,71000,67000,62000,65000,66000,65000,66000,66000,66000,66000,66000,68000,67000,65000,64000,62000,60000,60000,60000,61000,62000,63000,64000
CPZ,100000,98000,171000,151000,137000,134000,139000,129000,127000,127000,120000,108000,103000,102000,110000,112000,118000,117000,108000,106000,104000,105000,120000,134000,137000,139000,139000,138000,126000,121000,109000,106000,107000,107000,113000,105000,113000,123000,125000
RZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMO,2760,2680,1940,2040,2080,2100,1940,2080,1990,1880,1870,2090,2120,2090,2060,2020,1940,1950,2029,2080,2100,2100,1940,1810,1780,1790,1850,1850,1910,1920,1970,2020,2040,2040,1980,2029,1980,1930,1920
RMT,6900,7600,4150,4660,4850,4650,4450,4770,4860,4880,2240,2490,1710,1370,1360,1330,1320,1300,1270,1300,1320,1390,1440,1490,1520,1560,1590,1600,1630,1670,1700,1730,1790,1860,1890,1940,1960,1960,1990
RM,1970,1980,1320,1360,1390,1450,1350,1450,1410,1360,1020,1140,950,830,820,800,780,780,780,800,810,830,820,810,810,840,860,860,880,890,910,930,950,970,970,990,980,970,980
COP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
