,2012/Q4,2013/Q4,2014/Q4,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
CWKGrahamCurrent_sy,,-49.14,11.40,8.02,,,,5.93,54.40,36.01,2.10,51.46,33.74,-10.53
CWKGrahamCurrent_qq,,,,,-7.95,-26.87,4.08,-3.74,-2.93,14.56,-6.54,-11.24,-5.43,12.27
CWKGrahamCurrent_sq,,,,,-41.59,20.52,42.52,5.59,-14.87,6.16,6.99,56.64,-24.83,-28.98
PCurrent,,,,,,,,,,,,,,
PCurrent_yy,,29.45,13.11,23.96,,,,-14.20,-18.27,-1.87,13.81,32.32,36.58,37.71
PCurrent_sy,,,,,,,,,,,,,,
PCurrent_qq,,,,,8.84,-15.21,-4.08,-3.08,3.69,1.81,11.24,12.68,7.03,2.64
PCurrent_sq,,,,,,,,,,,,,,
CPCurrent,,,,,,,,,,,,,,
CPCurrent_yy,,-22.75,-11.59,-19.33,,,,16.56,22.35,1.90,-12.14,-24.43,-26.79,-27.39
CPCurrent_sy,,9.17,5.63,-4.68,,,,25.80,31.55,42.77,15.18,-9.09,9.94,-0.56
CPCurrent_qq,,,,,-8.12,17.94,4.26,3.18,-3.56,-1.77,-10.11,-11.25,-6.57,-2.58
CPCurrent_sq,,,,,-10.45,1.28,25.48,10.54,-6.36,9.92,1.23,-12.75,13.25,-0.58
ZCurrent,,,,,,,,,,,,,,
ZCurrent_yy,,105.50,34.62,28.02,,,,-23.60,-23.25,-12.66,-13.73,19.26,32.39,66.35
ZCurrent_sy,,,,,,,,,,,,,,
ZCurrent_qq,,,,,3.49,-26.15,2.38,-2.35,3.95,-15.96,1.13,34.99,15.40,5.59
ZCurrent_sq,,,,,,,,,,,,,,
CZCurrent,,,,,,,,,,,,,,
CZCurrent_yy,,-51.33,-25.74,-21.87,,,,30.88,30.31,14.53,15.91,-16.16,-24.47,-39.89
CZCurrent_sy,,25.04,87.91,-42.61,,,,45.20,146.88,89.97,45.95,50.06,33.34,-51.40
CZCurrent_qq,,,,,-3.37,35.40,-2.31,2.41,-3.80,19.00,-1.13,-25.92,-13.33,-5.30
CZCurrent_sq,,,,,-26.00,21.57,30.24,23.93,25.81,-6.46,0.06,27.43,11.79,-65.91
ZOCurrent,,,,,,,,,,,,,,
ZOCurrent_yy,,40.15,21.35,26.11,,,,-23.62,-28.14,-15.94,-14.46,20.67,37.36,72.97
ZOCurrent_sy,,,,,,,,,,,,,,
ZOCurrent_qq,,,,,7.27,-27.38,0.85,-2.77,0.91,-15.04,2.62,37.16,14.86,6.98
ZOCurrent_sq,,,,,,,,,,,,,,
CZOCurrent,,,,,,,,,,,,,,
CZOCurrent_yy,,-28.66,-17.59,-20.69,,,,30.92,39.15,18.98,16.91,-17.13,-27.20,-42.20
CZOCurrent_sy,,-9.99,58.98,-26.36,,,,17.41,209.93,175.58,90.51,31.71,-44.33,-26.48
CZOCurrent_qq,,,,,-6.78,37.68,-0.84,2.86,-0.92,17.73,-2.56,-27.09,-12.95,-6.53
CZOCurrent_sq,,,,,-27.42,7.73,41.30,6.29,91.57,-4.21,-2.32,-26.52,-19.03,26.49
EVCurrent,,,,,,,,,,,,,,
EVCurrent_yy,,-4.99,-0.38,-1.43,,,,-12.94,-13.09,19.81,8.60,15.76,5.70,4.15
EVCurrent_sy,,,,,,,,,,,,,,
EVCurrent_qq,,,,,2.41,-22.70,10.66,-0.63,2.23,6.57,0.31,5.92,-6.65,5.00
EVCurrent_sq,,,,,,,,,,,,,,
EVPCurrent,,,,,,,,,,,,,,
EVPCurrent_yy,,-26.61,-11.92,-20.48,,,,1.47,6.33,22.10,-4.57,-12.52,-22.61,-24.37
EVPCurrent_sy,,-2.68,-3.12,-4.72,,,,31.17,39.83,53.21,43.66,-15.63,10.14,1.32
EVPCurrent_qq,,,,,-5.91,-8.84,15.37,2.54,-1.40,4.68,-9.83,-6.00,-12.77,2.29
EVPCurrent_sq,,,,,-6.24,7.70,5.75,22.84,-0.05,18.00,-0.84,-27.86,30.48,8.56
EVEBITCurrent,,,,,,,,,,,,,,
EVEBITCurrent_yy,,-32.22,-17.91,-21.83,,,,13.98,20.94,42.55,26.98,-4.07,-23.05,-39.80
EVEBITCurrent_sy,,124.36,129.39,-119.58,,,,-55.83,-28.25,-78.74,-140.27,251.97,281.84,212.34
EVEBITCurrent_qq,,,,,-4.53,6.43,9.73,2.22,1.30,25.46,-2.26,-22.77,-18.74,-1.85
EVEBITCurrent_sq,,,,,22.76,17.61,26.62,-233.66,36.43,-14.83,1.35,311.04,-23.94,-29.06
EVEBITDACurrent,,,,,,,,,,,,,,
EVEBITDACurrent_yy,,-32.16,-17.70,-27.66,,,,8.76,15.52,32.81,16.94,-7.48,-22.83,-36.71
EVEBITDACurrent_sy,,81.07,98.86,-112.22,,,,545.91,590.75,-28.64,-29.25,-7.48,-28.26,252.93
EVEBITDACurrent_qq,,,,,-6.19,4.27,9.47,1.56,-0.35,19.87,-3.60,-19.65,-16.89,-1.68
EVEBITDACurrent_sq,,,,,-0.48,-77.99,23.01,423.84,10.58,-146.66,22.64,331.81,-14.25,-0.54
ROE,,,,,,,,,,,,,,
ROE_yy,,64.95,33.84,-69.60,,,,-35.02,-34.57,-14.77,-15.79,13.04,24.53,56.89
ROE_sy,,-43.75,217.54,-166.67,,,,4.97,93.32,-64.54,-253.51,172.97,625.27,188.79
ROE_qq,,,,,1.12,-31.38,-0.47,-5.90,1.82,-10.63,-1.67,26.33,12.16,12.60
ROE_sq,,,,,-88.12,58.59,59.57,-201.75,86.77,-919.78,13.15,162.28,-4.78,72.38
ROA,,,,,,,,,,,,,,
ROA_yy,,170.02,-0.09,-57.76,,,,-33.24,-35.08,-18.92,-20.57,6.22,20.37,53.73
ROA_sy,,-47.12,187.13,-216.55,,,,34.62,16.91,-152.63,-401.64,122.17,125.71,163.80
ROA_qq,,,,,3.06,-34.58,5.62,-6.24,0.22,-18.30,3.47,25.39,13.57,4.34
ROA_sq,,,,,0.30,54.90,59.87,-262.30,-26.70,-37.14,20.31,116.01,46.94,240.28
OPM,,,,,,,,,,,,,,
OPM_yy,,8.34,7.29,1.69,,,,-10.94,-12.06,-14.31,-24.87,-8.83,0.55,25.61
OPM_sy,,10.32,18.55,-131.04,,,,-54.10,24.70,39.51,30.30,246.01,311.83,165.23
OPM_qq,,,,,-1.42,-14.37,5.16,0.32,-2.66,-16.56,-7.79,21.73,7.35,4.24
OPM_sq,,,,,-51.84,-200.94,27.94,53.20,25.80,-141.76,16.98,198.04,7.65,-25.55
ROS,,,,,,,,,,,,,,
ROS_yy,,58.67,19.03,3.28,,,,-10.95,-6.07,-11.02,-24.23,-9.85,-3.10,20.85
ROS_sy,,-7.95,15.67,-243.16,,,,-6.90,52.10,-127.22,-461.52,130.93,202.81,217.39
ROS_qq,,,,,-4.94,-12.88,6.75,0.73,0.26,-17.47,-9.11,19.86,7.77,2.93
ROS_sq,,,,,-18.13,29.34,63.67,-252.48,47.06,-235.16,10.21,119.42,75.94,282.67
RS,,,,,,,,,,,,,,
RS_yy,,9.00,8.83,-0.05,,,,-7.12,-8.37,-13.64,-25.74,-11.88,-3.34,23.35
RS_sy,,148.35,-17.48,-192.03,,,,20.65,-31.28,18.66,-25.00,18.63,31.25,67.72
RS_qq,,,,,-1.42,-12.68,5.81,1.97,-2.74,-17.70,-9.01,20.99,6.69,5.02
RS_sq,,,,,14.70,-59.38,56.50,-34.17,-41.12,1.25,33.15,12.66,-19.24,53.64
GPM,,,,,,,,,,,,,,
GPM_yy,,64.05,20.05,2.43,,,,-9.48,-9.79,-13.59,-25.54,-10.16,-2.19,23.40
GPM_sy,,-14.29,15.05,-226.36,,,,24.93,-183.46,-14.44,-194.70,201.48,222.50,239.81
GPM_qq,,,,,-1.71,-13.45,5.79,0.58,-2.04,-17.10,-8.83,21.36,6.64,4.59
GPM_sq,,,,,81.21,-608.66,69.61,-85.56,29.06,-186.11,21.75,163.90,-14.37,226.53
RBS,,,,,,,,,,,,,,
RBS_yy,,,,,,,,,,,,,,
RBS_sy,,,,,,,,,,,,,,
RBS_qq,,,,,,,,,,,,,,
RBS_sq,,,,,,,,,,,,,,
ROPA,,,,,,,,,,,,,,
ROPA_yy,,84.18,-9.98,-58.38,,,,-33.31,-39.15,-22.01,-21.25,7.56,24.82,59.96
ROPA_sy,,8.86,17.59,-149.78,,,,39.01,24.60,24.63,-2.51,382.35,207.22,118.09
ROPA_qq,,,,,6.80,-35.64,4.01,-6.73,-2.55,-17.51,5.03,27.40,13.08,5.71
ROPA_sq,,,,,-11.21,-143.95,34.05,65.91,-37.50,-143.85,10.31,193.89,-47.79,-58.85
ZNPO,,,,,,,,,,,,,,
ZNPO_yy,,-72.70,6.34,304.01,,,,-50.49,-82.51,158.31,411.43,-303.63,126.44,-51.84
ZNPO_sy,,-19.09,-44.53,175.30,,,,-6.23,94.47,-29.23,-31.95,-12.38,-13.66,9.76
ZNPO_qq,,,,,155.99,-79.73,-3.29,-1.33,-9.58,199.35,91.49,-139.29,200.55,-36.34
ZNPO_sq,,,,,-33.66,105.39,-13.82,-20.14,37.57,-25.26,-17.12,2.82,35.55,-4.98
ZFI,,,,,,,,,,,,,,
ZFI_yy,,742.88,93.83,,,,,,113.93,-1732.35,-219.78,-117.42,-110.22,319.90
ZFI_sy,,13.95,33.82,,,,,,-15.28,2.41,-12.52,-22.45,12.04,1.91
ZFI_qq,,,,,,102.59,299.44,28.82,4.68,-403.04,70.69,81.26,38.59,6621.37
ZFI_sq,,,,,,-14.43,-2.87,8.13,-5.73,3.43,-17.03,-4.14,36.20,-5.92
DTAR,,,,,,,,,,,,,,
DTAR_yy,,-72.07,168.17,-72.02,,,,-24.42,8.25,34.65,73.55,75.24,35.15,9.78
DTAR_sy,,-23.94,5.44,-8.56,,,,-8.37,-11.30,-1.73,-2.77,-0.65,-19.39,-19.75
DTAR_qq,,,,,-17.40,52.46,-42.89,5.09,18.30,89.65,-26.39,6.11,-8.76,54.04
DTAR_sq,,,,,3.58,-7.16,-0.35,-4.38,0.28,2.85,-1.40,-2.30,-18.64,2.40
CG,,,,,,,,,,,,,,
CG_yy,,-82.94,259.32,-79.87,,,,-26.42,8.94,41.54,83.71,86.53,40.08,12.00
CG_sy,,-43.23,44.03,-35.76,,,,-5.94,-21.46,-10.37,-14.39,-17.17,-33.17,-17.34
CG_qq,,,,,-18.90,59.84,-46.14,5.39,20.07,107.68,-30.10,7.01,-9.83,66.05
CG_sq,,,,,7.85,-12.65,0.49,-0.65,-9.94,-0.32,-4.02,-3.87,-27.34,23.30
LDER,,,,,,,,,,,,,,
LDER_yy,,,,38.10,,,,-29.31,46.15,293.33,164.06,443.90,231.58,5.65
LDER_sy,,,,3.92,,,,-35.03,-13.89,-22.74,-10.97,-9.77,-21.11,-8.87
LDER_qq,,,,,-32.76,15.38,42.22,-35.94,39.02,210.53,-4.52,31.95,-15.25,-1.06
LDER_sq,,,,,-22.38,-5.62,-0.93,-10.49,2.88,-15.32,14.17,-9.28,-10.06,-2.18
PZAT,,,,,,,,,,,,,,
PZAT_yy,,,,-67.43,,,,99.37,5.88,-53.67,-45.52,-80.04,-69.63,-6.90
PZAT_sy,,,,23.20,,,,-9.38,-18.61,17.23,-9.91,-3.93,11.91,-9.88
PZAT_qq,,,,,40.70,-21.45,-15.24,112.83,-25.28,-65.63,-0.32,-22.02,13.68,5.35
PZAT_sq,,,,,7.65,-16.21,-4.71,5.43,-3.31,20.68,-26.77,12.43,12.63,-2.82
PELDR,,,,,,,,,,,,,,
PELDR_yy,,,,-47.86,,,,18.77,15.39,-10.28,-1.17,4.32,5.87,6.11
PELDR_sy,,,,-8.81,,,,4.52,8.87,5.76,0.93,-4.49,2.70,18.15
PELDR_qq,,,,,3.69,22.12,-6.19,-0.02,0.74,-5.05,3.33,5.54,2.24,-4.83
PELDR_sq,,,,,-7.29,7.29,-1.94,7.15,-3.43,4.22,-6.42,1.40,3.84,19.91
TSF,,,,,,,,,,,,,,
TSF_yy,,,,39.22,,,,2.48,-0.55,-3.65,-4.60,-4.34,-2.13,-1.85
TSF_sy,,,,13.30,,,,1.43,-1.42,4.11,-0.33,4.82,7.11,2.89
TSF_qq,,,,,1.70,-4.59,6.26,-0.61,-1.31,-7.55,5.21,-0.34,0.97,-7.30
TSF_sq,,,,,3.76,-2.74,2.84,-2.26,0.84,2.72,-1.55,2.79,3.05,-1.34
ZKO,,,,,,,,,,,,,,
ZKO_yy,,-80.42,199.20,-49.70,,,,-35.61,-7.51,42.49,67.95,62.42,26.57,3.13
ZKO_sy,,-20.05,-1.03,23.54,,,,19.13,15.91,-7.36,22.20,-22.02,-31.57,-20.51
ZKO_qq,,,,,-19.30,20.21,-36.52,4.56,15.92,85.19,-25.18,1.12,-9.67,50.90
ZKO_sq,,,,,15.36,0.91,-7.69,10.85,12.25,-19.35,21.77,-29.26,-1.50,-6.31
OSF,,,,,,,,,,,,,,
OSF_yy,,-75.29,-14.39,-73.56,,,,-23.53,6.56,26.35,64.16,66.51,32.27,9.31
OSF_sy,,5.40,5.91,-12.35,,,,-7.31,-9.30,-7.12,-6.67,2.43,-10.43,2.92
OSF_qq,,,,,-16.22,46.62,-40.50,4.64,16.75,73.83,-22.70,6.14,-7.26,43.66
OSF_sq,,,,,1.42,1.12,-1.03,-8.68,-0.76,3.55,-0.55,0.23,-13.22,18.99
NetDebt,8974000000,-1880000000,3012000000,-141000000,653000000,-13766000000,-10940000000,-10787000000,-7962000000,-743000000,227000000,3601000000,-1757000000,2735000000
NetDebt_yy,,,,,,,,,,,,,,
NetDebt_sy,,,,,,,,,,,,,,
NetDebt_qq,,,,,,,,,,,,,,
NetDebt_sq,,,,,,,,,,,,,,
NetDebtEBITDA,,,,,,,,,,,,,,
NetDebtEBITDA_yy,,-114.96,232.36,-103.44,,,,-8117.60,-1494.34,94.02,102.24,126.68,83.88,323.58
NetDebtEBITDA_sy,,-13.07,83.20,-140.74,,,,24.83,10.88,21.85,-150.96,130.01,-33.80,46.22
NetDebtEBITDA_qq,,,,,524.00,-2546.42,21.38,-0.77,28.06,89.50,129.38,1102.19,-143.45,245.68
NetDebtEBITDA_sq,,,,,-11.06,12.47,45.45,-41.74,-31.67,23.24,-75.19,116.95,-687.02,69.15
DebtFin,-7000000,-3745000000,-4016000000,-5029000000,-3342000000,-22766000000,-15911000000,-16355000000,-14774000000,-10026000000,-9786000000,-5210000000,-10652000000,-6831000000
DebtFin_yy,,,,,,,,,,,,,,
DebtFin_sy,,,,,,,,,,,,,,
DebtFin_qq,,,,,,,,,,,,,,
DebtFin_sq,,,,,,,,,,,,,,
DebtFinEBITDA,,,,,,,,,,,,,,
DebtFinEBITDA_yy,,-38985.71,11.40,8.11,,,,-249.61,-405.64,51.18,33.78,74.54,47.36,58.60
DebtFinEBITDA_sy,,1920.72,62.58,-107.78,,,,-9.01,38.26,-145.76,-3509.56,-134.20,-59.09,60.05
DebtFinEBITDA_qq,,,,,39.12,-690.67,30.86,-5.05,11.96,23.66,6.21,59.61,-82.04,39.96
DebtFinEBITDA_sq,,,,,-74.63,17.00,87.92,-522.43,1.09,-230.37,-77.48,59.61,32.81,17.04
SP1,,,,,,,,,,,,,,
SP1_yy,,26.14,-71.38,-47.46,,,,18.73,15.25,-11.36,-2.21,2.58,4.49,6.00
SP1_sy,,22.71,1.59,-8.32,,,,7.95,9.12,4.11,-0.52,-1.67,8.36,9.59
SP1_qq,,,,,3.83,22.00,-6.34,0.07,0.79,-6.17,3.33,4.97,2.67,-4.81
SP1_sq,,,,,-5.71,6.27,1.04,6.63,-4.69,1.39,-3.45,5.40,5.03,2.54
SP2,,,,,,,,,,,,,,
SP2_yy,,25.14,-71.25,-47.38,,,,18.53,15.45,-10.20,-1.18,4.43,5.87,6.11
SP2_sy,,9.51,-5.21,-6.37,,,,-0.99,9.37,4.85,0.93,1.07,2.60,17.63
SP2_qq,,,,,3.64,22.07,-6.16,-0.16,0.95,-5.05,3.26,5.52,2.33,-4.83
SP2_sq,,,,,-7.49,7.78,-1.94,1.26,2.19,3.33,-5.61,1.40,3.73,18.47
CAR,,,,,,,,,,,,,,
CAR_yy,,9213.27,-70.65,87.47,,,,172.65,143.43,-53.26,-65.94,-72.30,-38.97,-20.59
CAR_sy,,405.38,-60.94,-7.93,,,,87.85,-39.24,0.18,-41.71,-52.31,10.80,-53.54
CAR_qq,,,,,-15.98,171.65,32.38,-9.76,-24.98,-47.84,-3.53,-26.61,65.27,-32.14
CAR_sq,,,,,51.77,-34.46,0.84,87.29,-50.91,8.05,-41.32,53.22,14.06,-54.70
QR,,,,,,,,,,,,,,
QR_yy,,491.43,-64.48,82.63,,,,60.36,8.66,-32.58,-45.56,-34.89,-16.13,-6.49
QR_sy,,86.65,-39.08,0.81,,,,-17.76,-5.05,-17.99,-15.88,17.02,-12.59,-18.97
QR_qq,,,,,25.25,-15.34,58.66,-4.69,-15.13,-47.47,28.12,13.99,9.32,-41.43
QR_sq,,,,,-17.04,22.50,-17.28,-2.18,-4.22,5.81,-15.14,36.07,-28.45,-1.91
CR,,,,,,,,,,,,,,
CR_yy,,405.79,-66.30,108.30,,,,54.96,9.81,-25.48,-37.88,-31.34,-13.50,-3.54
CR_sy,,89.22,-36.73,-13.29,,,,2.38,3.62,-1.48,-9.87,5.54,-5.12,-0.95
CR_qq,,,,,22.78,-17.89,66.38,-7.61,-13.00,-44.28,38.68,2.13,9.60,-37.86
CR_sq,,,,,-0.77,3.14,-6.68,7.19,0.43,-1.94,-14.62,25.53,-9.72,2.36
PP,,,,,,,,,,,,,,
PP_yy,,9213.27,-70.65,87.47,,,,172.65,143.43,-53.26,-65.94,-72.30,-38.97,-20.59
PP_sy,,383.42,-61.81,-7.93,,,,87.85,-39.24,17.45,3.82,-52.12,28.23,9.55
PP_qq,,,,,-15.98,171.65,32.38,-9.76,-24.98,-47.84,-3.53,-26.61,65.27,-32.14
PP_sq,,,,,51.77,-34.46,0.84,87.29,-50.91,26.67,-10.86,-13.62,31.47,8.22
RCLR,,,,,,,,,,,,,,
RCLR_yy,,305.16,-60.95,76.27,,,,18.69,-21.96,-1.99,-25.14,-0.95,0.97,4.41
RCLR_sy,,86.75,-23.20,8.14,,,,-21.88,0.95,2.80,-20.85,12.72,-4.23,-28.88
RCLR_qq,,,,,41.35,-58.11,98.86,0.79,-7.06,-47.39,51.88,33.36,-5.26,-45.59
RCLR_sq,,,,,-22.38,6.42,18.80,-20.39,0.30,8.37,-8.53,13.38,-14.79,-19.52
KP,,,,,,,,,,,,,,
KP_yy,,393.85,-41.26,-21.44,,,,28.60,19.26,-14.17,-5.82,0.11,3.71,4.93
KP_sy,,232.94,-33.47,9.40,,,,-70.63,-42.24,-32.40,-62.06,164.99,160.57,171.72
KP_qq,,,,,7.51,21.10,-0.47,-0.76,-0.29,-12.85,9.21,5.49,3.29,-11.82
KP_sq,,,,,-57.32,35.97,13.23,-55.31,-16.07,59.14,-36.45,212.15,-17.47,65.95
PKKO,,,,,,,,,,,,,,
PKKO_yy,,-191.76,15.25,81.87,,,,-21.96,-32.86,32.41,30.57,28.16,15.23,9.42
PKKO_sy,,115.98,530.00,-106.83,,,,-677.89,176.46,16.19,142.90,14.89,-1030.58,9.81
PKKO_qq,,,,,17.06,-55.44,6.21,-0.87,9.65,20.93,3.65,-4.38,-6.61,15.51
PKKO_sq,,,,,11.96,-2099.21,110.62,-478.42,108.65,-2510.54,130.77,-232.59,5.38,-133.61
RN,,,,,,,,,,,,,,
RN_yy,,48.97,-19.24,-9.96,,,,-13.12,-14.25,-15.58,-9.20,-5.47,-6.32,-3.33
RN_sy,,20.38,-5.53,-4.14,,,,-5.87,-7.07,1.72,13.76,19.67,18.67,6.75
RN_qq,,,,,1.22,-3.72,-3.74,-7.38,-0.10,-5.21,3.53,-3.56,-1.00,-2.19
RN_sq,,,,,-0.35,-6.32,0.26,0.58,-1.62,2.54,12.12,5.80,-2.44,-7.75
CRN,120000,81000,100000,111000,109000,114000,118000,127000,128000,135000,130000,135000,136000,139000
CRN_yy,,-32.50,23.46,11.00,,,,14.41,17.43,18.42,10.17,6.30,6.25,2.96
CRN_sy,,-15.13,3.96,4.29,,,,5.94,7.27,-1.28,-12.39,-16.38,-15.25,-6.49
CRN_qq,,,,,-1.80,4.59,3.51,7.63,0.79,5.47,-3.70,3.85,0.74,2.21
CRN_sq,,,,,0.46,6.36,,-0.85,1.72,-2.12,-11.26,-5.37,3.09,8.00
CPZ,123000,20000,64000,44000,38000,46000,45000,47000,49000,54000,55000,55000,55000,57000
CPZ_yy,,-83.74,220.00,-31.25,,,,6.82,28.95,17.39,22.22,17.02,12.24,5.56
CPZ_sy,,42.34,-29.74,32.12,,,,-21.27,-21.28,-0.66,15.71,0.35,6.67,-5.96
CPZ_qq,,,,,-13.64,21.05,-2.17,4.44,4.26,10.20,1.85,,,3.64
CPZ_sq,,,,,-5.25,-11.37,-7.89,1.79,-5.26,11.85,7.28,,,-1.39
RZ,,,,,,,,,,,,,,
RZ_yy,,,,,,,,,,,,,,
RZ_sy,,,,,,,,,,,,,,
RZ_qq,,,,,,,,,,,,,,
RZ_sq,,,,,,,,,,,,,,
CRZ,,,,,,,,,,,,,,
CRZ_yy,,,,,,,,,,,,,,
CRZ_sy,,,,,,,,,,,,,,
CRZ_qq,,,,,,,,,,,,,,
CRZ_sq,,,,,,,,,,,,,,
RMO,,,,,,,,,,,,,,
RMO_yy,,19.33,-6.41,-21.44,,,,-35.52,-42.74,-24.14,-10.19,10.14,20.89,18.18
RMO_sy,,1.24,-5.79,-15.50,,,,-8.45,-5.58,-1.97,7.75,15.21,11.84,5.90
RMO_qq,,,,,5.40,-23.53,-8.59,-12.48,-6.40,1.31,8.21,7.33,2.75,-0.96
RMO_sq,,,,,0.34,-1.39,0.32,-7.77,3.49,2.37,10.27,-1.39,0.46,-3.06
RMT,,,,,,,,,,,,,,
RMT_yy,,31.05,-67.82,-84.50,,,,-6.51,-14.89,-14.67,0.54,20.34,28.91,34.59
RMT_sy,,0.56,-7.52,-36.43,,,,2.16,-24.77,-18.77,-33.20,-27.97,-24.27,-17.66
RMT_qq,,,,,9.28,-1.95,-6.67,-6.51,-0.52,-1.70,9.97,11.90,6.57,2.64
RMT_sq,,,,,23.92,-18.63,13.12,-10.44,-8.74,-12.14,-6.96,-3.44,-4.05,-4.47
RM,,,,,,,,,,,,,,
RM_yy,,70.07,-16.08,-57.87,,,,-21.44,-29.64,-19.61,-5.12,14.86,24.54,25.49
RM_sy,,6.82,-13.29,-13.35,,,,-7.80,-16.15,-23.08,-35.71,-18.50,-15.32,-6.80
RM_qq,,,,,7.61,-12.59,-7.62,-9.59,-3.63,-0.13,9.03,9.45,4.49,0.64
RM_sq,,,,,3.12,-4.18,8.34,-13.88,-6.22,-12.09,-9.44,9.17,-2.56,-3.25
COP,,,,,,,,,,,,,,
COP_yy,,,,,,,,,,,,,,
COP_sy,,,,,,,,,,,,,,
COP_qq,,,,,,,,,,,,,,
COP_sq,,,,,,,,,,,,,,
CSP,,,,,,,,,,,,,,
CSP_yy,,,,,,,,,,,,,,
CSP_sy,,,,,,,,,,,,,,
CSP_qq,,,,,,,,,,,,,,
CSP_sq,,,,,,,,,,,,,,
