,2006/Q4,2007/Q4,2008/Q4,2009/Q4,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
EVEBITDACurrent,930,4690,6120,4050,7820,660,4510,2950,4230,450,2810,4710,8840,2300,28320,6560,7800,19000,37750,85410,-24250,-42200,-27400,-11700,-57990,-51530,-33320,17760,14650,14700,8640,26790,94680,24440,574210,12630,6720
DTAR,510,570,750,670,610,,590,600,600,,500,480,510,,470,490,530,550,560,580,600,590,630,640,630,660,650,630,630,620,620,630,580,580,570,570,530
CG,1050,1340,3050,2100,1560,,1470,1510,1480,,990,910,1030,,880,950,1140,1210,1290,1400,1470,1450,1670,1750,1720,1900,1880,1690,1700,1630,1660,1680,1370,1370,1310,1320,1140
LDER,350,720,1200,1110,810,,960,890,880,,760,790,930,,570,590,900,500,680,730,790,820,1270,1310,1010,1080,1130,1100,1320,1290,1290,1300,1020,1020,930,960,860
PZAT,3760,1930,2270,1570,1810,,1580,1150,1230,,1420,1430,1410,,2420,2460,1740,3240,2560,2250,2210,2190,1540,1500,2070,2080,1940,1830,1550,1550,1580,1560,1670,1660,1710,1690,1850
PELDR,1030,1230,780,1160,1190,,1230,1780,1650,,1500,1440,1330,,1030,1000,1070,840,870,950,950,930,1080,1080,900,880,910,980,1070,1080,1060,1060,1100,1110,1100,1090,1070
TSF,660,740,540,680,710,,790,750,760,,880,940,950,,830,820,890,680,730,720,720,740,850,840,740,720,740,780,860,870,860,860,850,850,840,840,870
ZKO,1420,1430,2470,3520,2980,,2990,3390,2390,,1990,1370,1790,,2480,2720,3190,2960,3510,2460,2460,2940,2980,2880,3530,3670,3550,3160,3220,3170,3370,3240,2600,2530,2400,2490,2790
OSF,1090,1020,880,1940,1960,,1870,3190,2090,,1690,1100,1230,,1630,1700,1790,1650,1830,1340,1310,1500,1410,1340,1580,1540,1510,1470,1480,1500,1560,1500,1410,1380,1360,1390,1610
NetDebt,108217000000,167542000000,401526000000,433070000000,488621000000,,479107000000,552794000000,561937000000,,452603000000,310154000000,339566000000,,390435000000,428897000000,503365000000,523850000000,548743000000,507582000000,519872000000,569201000000,632546000000,638069000000,612003000000,636167000000,625170000000,568344000000,575143000000,554013000000,567025000000,553719000000,443884000000,446937000000,444737000000,443205000000,409250000000
