,2009/Q4,2010/Q4,2011/Q4,2012/Q4,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
CWKCurrent_qq,,,,,,-2.41,-1.98,-1.29,-2.12,-2.01,-1.66,-0.55,-4.82,0.26,-0.32,-0.36,2.27,3.05,-2.01,-2.73,-1.17,1.56,-1.97,-4.26
CWKCurrent_sq,,,,,,15.52,-1.85,-1.66,-8.54,1.81,-2.84,-1.46,-6.13,7.69,-1.74,0.18,-7.21,-0.90,-8.95,4.69,0.39,1.77,-3.32,1.52
WKGrahamCurrent,,,,,,,,,,,,,,,,,,,,,,,,
WKGrahamCurrent_yy,,44.22,76.54,546.48,,121.01,,,-46.16,-78.42,-102.56,-134.77,-100.33,-271.09,-993.74,36.24,-8269.05,38.93,100.95,123.57,145.95,52.98,2004.00,1009.29
WKGrahamCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,
WKGrahamCurrent_qq,,,,,,-16.53,-4.60,-30.75,-2.37,-66.54,-111.30,-841.75,99.07,-17164.29,27.75,45.10,-22.22,-25.97,101.13,1256.00,138.20,-228.92,150.53,614.92
WKGrahamCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,
CWKGrahamCurrent,,,,,,,,,,,,,,,,,,,,,,,,
CWKGrahamCurrent_yy,,,,,,-54.75,,,85.74,363.38,,,,,,,,,,,,,-95.21,-90.98
CWKGrahamCurrent_sy,,,,,,-2.34,,,32.79,-14.43,,,,,,,,,,,,,-7.20,-13.67
CWKGrahamCurrent_qq,,,,,,19.81,4.83,44.39,2.43,198.89,,,,,,,,,,-92.58,-57.99,,,-86.02
CWKGrahamCurrent_sq,,,,,,84.86,-46.51,31.11,2.43,19.13,,,,,,,,,,13.35,-10.04,,,5.44
PCurrent,,,,,,,,,,,,,,,,,,,,,,,,
PCurrent_yy,,26.71,46.63,8.85,,25.08,,,-24.07,-27.83,-27.39,-10.57,64.51,67.05,57.88,24.74,-55.33,-63.15,-53.83,-35.66,51.33,138.72,114.53,92.75
PCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,
PCurrent_qq,,,,,,3.62,1.26,-8.55,-20.87,-1.51,1.88,12.64,45.57,0.01,-3.72,-11.00,-47.87,-17.50,20.62,24.04,22.61,30.13,8.40,11.44
PCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,
CPCurrent,,,,,,,,,,,,,,,,,,,,,,,,
CPCurrent_yy,,-21.08,-31.80,-8.14,,-20.05,,,31.70,38.56,37.73,11.83,-39.22,-40.13,-36.65,-19.84,123.85,171.36,116.58,55.43,-33.91,-58.11,-53.39,-48.12
CPCurrent_sy,,-2.81,-7.08,-4.85,,-7.09,,,20.80,16.76,10.56,3.44,-20.25,-24.01,-23.40,-28.24,-7.91,-8.14,-14.36,-7.33,-18.17,-18.54,-7.77,-8.59
CPCurrent_qq,,,,,,-3.49,-1.25,9.34,26.39,1.53,-1.84,-11.22,-31.30,,3.87,12.35,91.83,21.23,-17.10,-19.38,-18.44,-23.15,-7.76,-10.26
CPCurrent_sq,,,,,,7.31,3.76,-0.35,8.88,3.72,-1.75,-6.76,-16.06,,-0.96,-12.66,7.71,-1.42,-7.67,-5.48,-4.89,-1.86,4.53,-6.32
ZCurrent,,,,,,,,,,,,,,,,,,,,,,,,
ZCurrent_yy,,-34.74,-23.70,162.85,,14.73,,,-29.26,-42.63,-44.27,-27.22,55.14,27.88,11.87,-33.38,-117.14,-152.12,-138.51,-108.92,260.28,196.52,254.66,1422.33
ZCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,
ZCurrent_qq,,,,,,19.45,0.35,-8.19,-35.71,-3.13,-2.53,19.89,37.04,-20.15,-14.73,-28.60,-135.25,-142.87,36.99,83.46,733.20,46.25,0.96,41.43
ZCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,
CZCurrent,,,,,,,,,,,,,,,,,,,,,,,,
CZCurrent_yy,,53.25,31.08,-61.96,,-12.84,,,41.35,74.31,79.43,37.40,-35.54,-21.81,-10.61,50.10,,,,,,,,
CZCurrent_sy,,108.18,-59.58,89.57,,-32.20,,,13.74,31.42,33.81,-9.71,-17.81,-23.77,-39.88,-22.72,,,,,,,,
CZCurrent_qq,,,,,,-16.28,-0.34,8.92,55.55,3.24,2.58,-16.59,-27.03,25.22,17.28,40.06,,,,,,-31.62,-0.95,-29.30
CZCurrent_sq,,,,,,5.68,-5.47,13.06,0.71,22.10,-3.75,-23.71,-8.32,13.25,-24.09,-1.95,,,,,,-4.22,-9.12,-12.35
ZOCurrent,,,,,,,,,,,,,,,,,,,,,,,,
ZOCurrent_yy,,-29.06,-26.93,127.39,,13.12,,,-26.90,-48.07,-47.81,-39.01,35.32,33.76,17.41,-24.67,-121.07,-154.49,-140.20,-99.02,271.31,225.56,301.48,9135.00
ZOCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,
ZOCurrent_qq,,,,,,18.40,-1.65,-5.42,-33.62,-15.89,-1.16,10.54,47.27,-16.87,-13.24,-29.08,-141.19,-114.98,35.99,101.74,7066.67,57.56,2.72,-20.38
ZOCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,
CZOCurrent,,,,,,,,,,,,,,,,,,,,,,,,
CZOCurrent_yy,,40.95,36.83,-56.02,,-11.60,,,36.81,92.57,91.62,63.96,-26.11,-25.23,-14.83,32.75,,,,10094.77,,,,-98.92
CZOCurrent_sy,,58.78,-42.60,32.30,,6.92,,,-13.78,0.59,11.29,-6.10,-19.16,-15.10,-29.13,-35.56,,,,32.34,,,,-17.83
CZOCurrent_qq,,,,,,-15.53,1.67,5.73,50.66,18.89,1.17,-9.53,-32.10,20.30,15.25,41.01,,,,,-98.61,-36.54,-2.64,25.58
CZOCurrent_sq,,,,,,-19.08,-7.02,8.49,5.61,-5.59,2.88,-8.46,-9.07,-0.85,-14.12,-16.76,,,,,11.74,-19.86,-0.43,-7.84
EVCurrent,,,,,,,,,,,,,,,,,,,,,,,,
EVCurrent_yy,,-6.38,3.16,-11.54,,-26.39,,,49.60,37.27,11.14,0.79,-0.11,23.94,10.58,7.34,-2.22,6.58,-6.68,-2.25,17.84,31.52,42.73,12.04
EVCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,
EVCurrent_qq,,,,,,-9.97,38.32,11.41,7.83,-17.39,11.98,1.04,6.87,2.50,-0.09,-1.91,-2.66,11.73,-12.52,2.74,17.35,24.70,-5.07,-19.35
EVCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,
EVPCurrent,,,,,,,,,,,,,,,,,,,,,,,,
EVPCurrent_yy,,-26.11,-29.64,-18.74,,-41.15,,,97.03,90.23,53.07,12.71,-39.28,-25.81,-29.96,-13.95,118.87,189.21,102.14,51.91,-22.13,-44.91,-33.47,-41.87
EVPCurrent_sy,,9.11,-11.93,-8.37,,-7.69,,,22.10,17.48,18.52,5.94,-12.26,-14.27,-11.33,-16.55,-7.27,-6.70,-14.39,-11.55,0.63,-6.90,-9.42,-2.06
EVPCurrent_qq,,,,,,-13.12,36.60,21.82,36.28,-16.11,9.91,-10.29,-26.59,2.50,3.76,10.22,86.72,35.43,-27.48,-17.17,-4.28,-4.18,-12.42,-27.63
EVPCurrent_sq,,,,,,7.84,-0.94,10.25,3.67,3.77,-0.07,-1.46,-14.14,1.39,3.36,-7.25,-4.59,2.01,-5.16,-4.18,8.55,-5.62,-7.73,3.60
EVEBITCurrent,,,,,,,,,,,,,,,,,,,,,,,,
EVEBITCurrent_yy,,31.96,41.16,-61.09,,-34.93,,,104.67,164.34,112.97,65.26,-26.19,-7.33,-5.82,42.50,-564.00,-295.56,-332.14,9864.91,168.79,204.75,170.84,-98.79
EVEBITCurrent_sy,,37.55,-23.36,51.04,,-9.78,,,-20.70,-13.68,-25.29,-18.63,-5.41,-3.17,-14.85,-19.12,-38.38,-24.37,-7.05,-2.62,36.88,-1.20,-9.87,-10.67
EVEBITCurrent_qq,,,,,,-23.95,40.63,17.80,62.46,-1.78,13.30,-8.59,-27.44,23.31,15.15,38.31,-336.27,48.03,-36.69,6037.13,-98.37,-20.86,-7.57,1.28
EVEBITCurrent_sq,,,,,,-21.92,10.80,-4.76,-3.75,-15.01,-4.11,3.74,11.88,-12.99,-15.67,-1.47,-14.76,6.79,3.63,3.23,19.81,-22.92,-5.46,2.31
EVEBITDACurrent,,,,,,,,,,,,,,,,,,,,,,,,
EVEBITDACurrent_yy,,31.96,41.16,-69.60,,-31.29,,,74.45,96.86,52.54,22.36,-30.56,-13.69,-18.72,-3.97,151.43,304.98,151.14,54.90,-39.19,-63.01,-44.37,-26.94
EVEBITDACurrent_sy,,41.50,-32.99,18.57,,2.19,,,-10.81,10.40,1.73,14.15,-5.00,-23.55,-26.82,-39.30,-21.55,-6.21,7.96,14.86,-1.74,-16.82,-17.98,-17.29
EVEBITDACurrent_qq,,,,,,-21.87,38.77,14.24,40.84,-11.83,7.53,-8.36,-20.07,9.59,1.26,8.27,109.27,76.51,-37.20,-33.22,-17.85,7.39,-5.57,-12.30
EVEBITDACurrent_sq,,,,,,-12.89,2.36,-0.12,0.16,7.82,-5.68,12.07,-16.64,-13.23,-9.72,-7.05,7.73,3.75,3.92,-1.10,-7.84,-12.18,2.47,-0.28
ROE,,,,,,,,,,,,,,,,,,,,,,,,
ROE_yy,,-44.11,-31.22,36.24,,0.67,,,-34.60,-46.78,-48.08,-31.73,41.42,19.47,5.80,-36.86,-117.44,-154.48,-139.59,-109.06,255.61,192.52,248.10,1334.04
ROE_sy,,-6.65,79.79,-19.85,,-22.02,,,0.88,-28.41,-11.84,13.13,19.14,27.46,6.39,1.28,1.92,11.24,23.75,13.98,6.53,0.57,3.44,2.32
ROE_qq,,,,,,16.57,-1.63,-9.41,-37.04,-5.15,-4.03,19.13,30.41,-19.87,-15.02,-28.90,-136.03,-150.27,38.25,83.74,719.15,48.80,-1.15,35.51
ROE_sq,,,,,,17.55,-8.93,-7.91,2.34,-16.59,12.16,18.16,7.78,-10.77,-6.38,12.48,8.46,-2.60,4.15,3.60,1.37,-8.05,7.11,2.48
ROA,,,,,,,,,,,,,,,,,,,,,,,,
ROA_yy,,-44.84,-15.57,49.68,,1.19,,,-42.07,-48.50,-49.13,-38.26,21.47,6.43,3.86,-29.70,-120.28,-156.73,-138.95,-108.51,242.74,179.38,221.35,1214.29
ROA_sy,,26.88,106.75,-19.06,,-36.45,,,10.26,-21.57,-19.17,6.49,-2.49,36.25,34.98,43.40,13.17,9.50,-11.01,0.30,11.28,-18.33,-9.88,-0.91
ROA_qq,,,,,,14.15,-7.59,-12.37,-37.34,1.47,-8.71,6.36,23.29,-11.09,-10.92,-28.01,-135.56,-148.72,38.83,84.27,696.43,38.32,-6.49,44.44
ROA_sq,,,,,,13.87,4.57,-21.48,17.93,-19.00,7.77,3.45,7.98,13.17,6.77,9.90,-14.78,9.50,-13.23,23.88,-5.45,-19.64,-4.25,36.20
OPM,,,,,,,,,,,,,,,,,,,,,,,,
OPM_yy,,-44.01,-50.16,108.94,,-9.58,,,-3.73,-28.07,-28.14,-31.79,-17.72,-19.93,-25.60,-39.59,-147.12,-247.92,-187.03,-98.55,213.27,152.58,193.95,4955.56
OPM_sy,,-21.30,60.40,-38.60,,-16.82,,,37.60,15.04,-3.15,3.16,-4.35,27.22,43.95,26.53,28.04,-4.38,-5.69,-0.33,-5.37,-3.00,-6.28,-11.99
OPM_qq,,,,,,14.24,-2.87,3.43,-16.12,-14.64,-2.97,-1.81,1.17,-16.92,-9.84,-20.28,-178.90,-160.82,46.95,101.33,6066.67,21.08,-5.21,-28.57
OPM_sq,,,,,,12.95,13.56,-0.43,7.74,-5.57,-4.39,6.05,-0.11,25.61,8.17,-6.78,1.09,-6.20,6.70,-1.49,-4.02,-3.84,3.09,-7.49
ROS,,,,,,,,,,,,,,,,,,,,,,,,
ROS_yy,,-48.51,-47.97,141.46,,-8.24,,,-6.82,-20.51,-23.26,-18.59,-5.74,-23.45,-29.13,-46.58,-138.41,-241.45,-183.47,-113.84,205.88,140.43,172.05,787.50
ROS_sy,,-4.47,102.34,-31.98,,-26.37,,,6.88,-11.22,-8.33,20.66,8.04,40.52,60.88,31.11,13.40,23.28,-1.01,-13.66,0.84,-26.82,-12.54,-0.81
ROS_qq,,,,,,15.27,-0.90,0.38,-18.74,-1.67,-4.33,6.50,-5.91,-20.14,-11.44,-19.72,-167.65,-194.12,47.74,86.69,617.50,12.32,-6.88,27.02
ROS_sq,,,,,,-5.31,10.89,-5.65,7.89,-21.35,14.50,24.19,-3.40,2.30,31.08,1.21,-16.45,11.22,5.26,-11.72,-2.42,-19.29,25.81,0.12
RS,,,,,,,,,,,,,,,,,,,,,,,,
RS_yy,,-50.37,-45.98,108.01,,-0.24,,,-14.11,-31.66,-31.75,-36.33,-11.40,-9.27,-18.49,-32.97,-134.82,-225.97,-164.38,-86.48,262.06,162.86,229.73,578.79
RS_sy,,-10.04,59.16,-41.30,,-23.24,,,6.27,16.11,-5.08,-8.72,1.84,16.99,21.42,20.22,12.79,3.58,18.56,5.91,18.61,2.96,-2.94,6.93
RS_qq,,,,,,10.39,-1.99,5.54,-24.78,-12.17,-2.12,-1.53,4.67,-10.06,-12.06,-19.03,-154.37,-225.38,55.06,117.01,551.52,26.20,-7.25,-10.99
RS_sq,,,,,,-6.01,17.50,5.67,-8.95,2.70,-3.95,1.62,1.59,17.97,-0.31,0.62,-4.69,8.34,14.12,-10.12,6.74,-5.95,7.57,-0.98
GPM,,,,,,,,,,,,,,,,,,,,,,,,
GPM_yy,,-53.73,-53.62,151.00,,-6.35,,,-7.25,-26.15,-28.10,-25.00,-9.03,-18.47,-23.43,-43.69,-148.76,-246.60,-185.94,-111.71,191.78,138.27,163.33,877.14
GPM_sy,,-9.02,58.85,-23.78,,-27.05,,,6.56,2.84,-6.05,-2.82,-7.50,28.18,57.14,41.67,30.27,24.78,3.48,-11.14,3.16,-26.25,-11.46,10.73
GPM_qq,,,,,,13.93,-1.41,1.51,-18.64,-9.29,-4.02,5.88,-1.32,-18.70,-9.86,-22.14,-185.45,-144.42,47.16,89.39,770.00,1.92,-12.55,30.14
GPM_sq,,,,,,-15.99,7.95,7.24,9.57,-18.92,-1.38,10.92,4.29,12.35,20.91,,-4.10,7.62,0.26,-14.13,11.33,-23.06,20.37,7.39
RBS,,,,,,,,,,,,,,,,,,,,,,,,
RBS_yy,,-47.77,-36.03,79.14,,2.23,,,2.10,-2.70,-3.11,-6.94,-11.75,-23.06,-24.77,-27.51,-47.70,-60.64,-36.94,-5.50,75.90,154.51,55.68,4.46
RBS_sy,,-4.91,-16.02,-4.63,,8.33,,,-31.57,0.59,28.80,26.41,8.27,8.05,14.52,19.67,17.64,-9.08,-11.77,-26.09,-10.89,-0.22,-4.49,15.05
RBS_qq,,,,,,6.52,-0.77,0.13,-3.53,1.52,-1.19,-3.83,-8.52,-11.49,-3.38,-7.34,-33.99,-33.40,54.80,38.87,22.85,-3.63,-5.31,-6.82
RBS_sq,,,,,,-26.76,-25.38,-0.29,25.58,7.67,-4.46,-2.14,7.55,7.45,1.26,2.26,5.73,-16.96,-1.73,-14.34,27.48,-7.02,-5.94,3.19
ROPA,,,,,,,,,,,,,,,,,,,,,,,,
ROPA_yy,,-40.01,-19.09,29.48,,-0.28,,,-40.04,-53.38,-52.42,-48.31,5.75,11.43,9.05,-20.27,-124.79,-159.16,-140.69,-99.15,253.42,203.10,257.71,8500.00
ROPA_sy,,-4.31,63.17,-10.93,,-49.14,,,2.34,6.65,5.02,4.60,9.23,16.28,5.15,22.88,23.46,13.45,-1.07,2.11,-9.62,2.24,19.64,11.94
ROPA_qq,,,,,,13.13,-9.42,-9.77,-35.16,-12.03,-7.55,-1.99,32.66,-7.30,-9.52,-28.34,-141.24,-121.23,37.77,101.49,7366.67,48.66,-4.80,-18.61
ROPA_sq,,,,,,-5.84,14.54,-5.81,0.73,-1.87,12.79,-6.19,5.19,4.46,2.00,9.63,5.69,-4.00,-11.06,13.15,-6.45,8.60,4.08,5.87
ZNPO,,,,,,,,,,,,,,,,,,,,,,,,
ZNPO_yy,,16.90,21001.02,-99.45,,30.21,,,-133.38,9.00,101.04,111.64,132.11,182.42,459.56,333.32,20.41,-62.71,-126.09,-103.41,-275.61,-121.17,50.47,-4624.24
ZNPO_sy,,171.68,40.16,-47.83,,-38.51,,,13.87,93.65,71.92,35.39,16.91,-20.06,23.69,8.85,45.18,22.68,1.27,6.51,-15.64,-5.04,3.94,-11.57
ZNPO_qq,,,,,,-63.99,-2903.53,88.90,70.22,217.58,-73.19,23.99,-17.85,934.24,-46.89,-3.98,-77.17,220.34,-137.16,87.44,-1074.51,61.38,13.08,-1098.15
ZNPO_sq,,,,,,-14.93,-3.55,27.19,9.12,44.66,-14.38,0.16,-5.77,-1.09,32.50,-11.86,25.69,-16.42,9.37,-7.30,-0.45,-5.92,19.72,-21.13
ZFI,,,,,,,,,,,,,,,,,,,,,,,,
ZFI_yy,,-64.31,-178.83,212.26,,64.07,,,203.72,375.41,13.76,-78.98,-52.24,-67.56,14.22,-1815.62,,-111.75,-90.35,106.15,,1169.26,1237.80,-3.83
ZFI_sy,,20.93,-26.11,-9.83,,21.77,,,13.62,-3.81,0.60,7.36,-12.64,-12.08,-0.68,-12.33,,2.52,-24.78,2.56,,-8.85,30.60,-14.43
ZFI_qq,,,,,,-8.89,57.77,363.37,-54.40,42.62,-62.25,-14.38,3.60,-3.12,32.92,-1386.00,,,209.21,719.31,158.66,-53.80,36.64,-41.10
ZFI_sq,,,,,,4.52,-8.25,5.78,12.01,-11.51,-4.05,12.89,-8.86,-10.94,8.39,-0.35,,,-20.47,35.86,5.82,-20.28,13.95,-10.98
DTAR,,,,,,,,,,,,,,,,,,,,,,,,
DTAR_yy,,1.41,-23.87,-16.55,,-1.19,,,27.25,7.66,3.76,16.23,24.07,21.70,3.34,-15.17,-18.47,-5.57,3.02,10.34,13.37,22.99,28.73,14.50
DTAR_sy,,16.39,-12.04,-5.88,,-1.46,,,10.98,8.81,2.64,8.93,-2.71,-9.67,-6.21,-2.28,7.22,4.29,0.06,1.79,3.42,4.88,13.34,7.68
DTAR_qq,,,,,,4.82,13.65,6.34,0.46,-11.33,9.53,19.12,7.24,-13.02,-6.99,-2.22,3.06,0.74,1.47,4.72,5.90,9.29,6.21,-6.85
DTAR_sq,,,,,,7.13,2.94,-2.00,2.70,5.03,-2.90,4.00,-8.28,-2.47,0.82,8.35,0.64,-5.14,-3.26,10.22,2.25,-3.81,4.54,4.72
CG,,,,,,,,,,,,,,,,,,,,,,,,
CG_yy,,2.76,-38.01,-24.00,,-1.75,,,43.40,11.43,5.88,28.57,44.80,36.33,5.36,-23.92,-29.66,-8.97,4.90,17.31,23.38,43.11,57.00,26.95
CG_sy,,34.06,-13.78,-15.45,,-2.56,,,31.26,13.32,1.91,9.25,-9.76,-17.17,-6.21,-3.00,6.28,3.20,-3.88,3.16,8.28,3.45,13.66,7.33
CG_qq,,,,,,6.91,20.98,10.06,0.73,-16.92,14.96,33.64,13.45,-21.78,-11.15,-3.50,4.89,1.22,2.38,7.91,10.32,17.41,12.33,-12.74
CG_sq,,,,,,19.77,4.53,-4.07,9.30,3.40,-6.00,2.84,-9.72,-5.09,6.45,6.36,-1.09,-7.85,-0.85,14.14,3.82,-11.97,8.94,7.79
LDER,,,,,,,,,,,,,,,,,,,,,,,,
LDER_yy,,-16.97,-20.08,-53.52,,-5.69,,,38.73,38.88,26.56,49.70,52.03,36.25,28.57,1.19,-8.41,-7.43,-13.66,-14.77,-12.62,-7.44,-5.31,-10.02
LDER_sy,,40.42,-30.73,9.06,,2.53,,,15.16,25.94,8.84,-10.64,1.74,11.77,-6.25,3.41,-5.01,-10.10,6.80,11.57,4.40,-14.91,-28.05,-21.22
LDER_qq,,,,,,10.14,13.35,4.28,6.56,10.26,3.30,23.35,8.22,-1.18,-2.53,-2.92,-2.05,-0.12,-9.10,-4.16,0.42,5.80,-7.01,-8.93
LDER_sq,,,,,,-8.60,16.48,10.69,-2.28,-0.04,0.66,-9.11,11.25,9.82,-15.57,0.25,2.20,3.93,0.30,4.74,-4.37,-15.30,-15.19,14.69
PZAT,,,,,,,,,,,,,,,,,,,,,,,,
PZAT_yy,,0.65,7.33,10.67,,-1.17,,,-19.95,-19.51,-8.65,-22.96,-25.95,-17.21,-18.11,-3.57,10.16,2.26,7.28,14.26,12.27,11.78,11.94,10.56
PZAT_sy,,6.66,26.04,-6.79,,-6.19,,,-18.96,-25.29,-17.81,6.49,6.34,11.93,9.76,-4.29,5.83,6.94,-13.34,-7.60,-21.42,-17.86,8.33,0.73
PZAT_qq,,,,,,-3.80,-10.97,0.77,-7.26,-3.27,1.04,-15.01,-10.86,8.15,-0.05,0.08,1.83,0.40,4.86,6.59,0.05,-0.04,5.01,5.28
PZAT_sq,,,,,,4.65,-4.62,-7.85,-11.89,-3.52,4.92,19.39,-12.01,1.55,2.89,4.10,-2.70,2.61,-16.62,11.00,-17.25,7.25,9.98,3.21
PELDR,,,,,,,,,,,,,,,,,,,,,,,,
PELDR_yy,,12.76,7.98,-1.55,,13.38,,,-12.19,-12.44,-16.10,-7.83,4.34,-1.04,3.62,3.05,-10.77,-0.98,0.53,-0.79,1.67,-0.52,-1.33,2.84
PELDR_sy,,-3.49,0.89,5.64,,-2.24,,,-4.54,-1.18,-0.10,0.12,2.92,1.14,4.47,1.68,3.96,-0.44,-1.07,0.52,-4.26,4.12,5.24,5.35
PELDR_qq,,,,,,-5.61,0.09,-7.50,0.47,-5.88,-4.10,1.63,13.74,-10.74,0.42,1.07,-1.51,-0.94,1.95,-0.25,0.92,-3.07,1.11,3.97
PELDR_sq,,,,,,-2.00,-0.25,-1.67,-0.69,1.46,0.84,-1.45,2.08,-0.30,4.16,-4.08,4.36,-4.51,3.50,-2.54,-0.59,3.84,4.61,-2.43
TSF,,,,,,,,,,,,,,,,,,,,,,,,
TSF_yy,,-7.84,14.28,-7.68,,-0.39,,,-6.32,2.49,2.51,-1.49,-5.85,-4.08,4.00,11.82,13.34,1.75,-5.24,-9.42,-10.96,-15.64,-19.00,-11.80
TSF_sy,,-10.48,-0.62,4.08,,1.83,,,-2.46,-0.81,4.47,-6.80,-0.26,2.91,2.33,8.97,1.14,-1.88,-6.99,-7.70,-3.35,-4.09,-2.14,-2.43
TSF_qq,,,,,,-0.54,-4.09,-2.68,0.91,8.81,-4.07,-6.47,-3.56,10.85,4.01,0.56,-2.25,-0.48,-3.13,-3.88,-3.91,-5.72,-6.98,4.67
TSF_sq,,,,,,-2.64,-3.70,2.30,1.70,-1.00,1.42,-8.74,8.84,2.15,0.85,-2.82,1.03,-0.90,-4.41,-3.56,5.79,-1.67,-2.46,-3.85
ZKO,,,,,,,,,,,,,,,,,,,,,,,,
ZKO_yy,,-34.39,-16.46,-25.65,,-15.81,,,33.30,35.70,37.61,30.14,21.54,20.45,7.86,-1.24,5.71,-3.18,-8.13,-5.43,-7.26,-4.89,-0.88,-6.20
ZKO_sy,,3.95,-8.57,-15.55,,5.91,,,6.86,5.70,9.14,8.68,6.74,6.46,-5.49,-1.30,-4.54,-3.94,2.14,-1.13,2.87,-5.25,-6.47,-5.32
ZKO_qq,,,,,,10.01,7.86,11.27,0.96,11.99,9.38,5.23,-5.71,10.99,-2.04,-3.66,0.93,1.65,-7.05,-0.83,-1.03,4.25,-3.13,-6.15
ZKO_sq,,,,,,1.15,3.46,0.22,1.90,0.04,6.82,-0.20,0.08,-0.21,-5.17,4.21,-3.20,0.42,0.83,0.88,0.71,-7.51,-0.47,2.12
OSF,,,,,,,,,,,,,,,,,,,,,,,,
OSF_yy,,-21.46,-2.60,-12.78,,-5.04,,,13.61,12.03,10.21,8.04,6.00,8.18,3.40,0.42,2.38,-0.94,-3.66,-2.34,-2.79,-2.71,0.02,-0.28
OSF_sy,,0.59,1.07,-3.59,,1.98,,,2.51,2.21,2.02,0.41,-1.19,-1.40,-2.55,0.13,2.40,-1.10,4.19,0.44,-0.60,0.35,-1.80,-0.29
OSF_qq,,,,,,3.41,6.03,3.34,0.27,1.97,4.31,1.31,-1.63,4.07,-0.30,-1.61,0.28,0.69,-3.04,-0.26,-0.18,0.78,-0.32,-0.56
OSF_sq,,,,,,1.06,-0.52,1.46,0.50,0.77,-0.71,-0.14,-1.10,0.55,-1.87,2.61,1.14,-2.89,3.38,-1.09,0.10,-1.97,1.17,0.43
NetDebt,21285000000,23603000000,18256000000,21608000000,21599000000,20700000000,43874000000,50951000000,51736000000,44053000000,53148000000,64627000000,76165000000,61546000000,59644000000,55464000000,54271000000,59713000000,56680000000,64204000000,74961000000,89269000000,100530000000,85696000000
NetDebt_yy,,,,,,,,,,,,,,,,,,,,,,,,
NetDebt_sy,,,,,,,,,,,,,,,,,,,,,,,,
NetDebt_qq,,,,,,,,,,,,,,,,,,,,,,,,
NetDebt_sq,,,,,,,,,,,,,,,,,,,,,,,,
NetDebtEBITDA,,,,,,,,,,,,,,,,,,,,,,,,
NetDebtEBITDA_yy,,56.30,5.84,-59.32,,-31.21,,,179.31,205.18,66.26,53.98,2.34,-2.71,-17.51,-23.22,83.23,268.65,155.75,83.43,-28.73,-57.95,-30.87,-12.97
