,2004/Q4,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
RN,3760,4210,4280,4120,4630,4440,4340,4260,4890,5320,5400,5340,5390,4950,4580,4400,4700,5000,5280,5620,5620,5420,5470,5640,6020,6260,5990,5640,5440,4420,4120,3390,2820,2780,2680,2920,2930,3200,3160,3040,3070,3170,3510,3910,4190,3960,3640,3250,2900,2810,2690,2580
CRN,97000,87000,85000,89000,79000,82000,84000,86000,75000,69000,68000,68000,68000,74000,80000,83000,78000,73000,69000,65000,65000,67000,67000,65000,61000,58000,61000,65000,67000,83000,89000,108000,129000,131000,136000,125000,125000,114000,116000,120000,119000,115000,104000,93000,87000,92000,100000,112000,126000,130000,136000,141000
CPZ,146000,122000,115000,110000,97000,103000,106000,109000,95000,100000,107000,115000,114000,118000,128000,136000,127000,124000,117000,108000,108000,116000,120000,122000,115000,119000,128000,143000,150000,187000,210000,265000,320000,318000,333000,299000,292000,255000,251000,256000,250000,259000,231000,211000,207000,196000,192000,198000,198000,201000,226000,254000
RZ,14090,19720,30270,51240,57400,48960,46960,40820,46680,41380,33790,28410,28320,31700,37750,49400,53780,57250,58620,64120,64420,50720,42570,36270,39410,46570,48900,58600,60810,54430,55890,50720,45070,45630,44980,47720,47030,57210,71220,87590,123920,109080,110290,110070,104510,112700,105250,88750,72620,66920,57690,46420
CRZ,26000,19000,12000,7000,6000,7000,8000,9000,8000,9000,11000,13000,13000,12000,10000,7000,7000,6000,6000,6000,6000,7000,9000,10000,9000,8000,7000,6000,6000,7000,7000,7000,8000,8000,8000,8000,8000,6000,5000,4000,3000,3000,3000,3000,3000,3000,3000,4000,5000,5000,6000,8000
RMO,2100,2540,2500,2410,2710,2480,2480,2450,2810,2730,2560,2400,2420,2390,2280,2180,2330,2340,2360,2470,2470,2310,2250,2270,2430,2510,2480,2330,2230,1820,1660,1360,1160,1180,1140,1220,1190,1290,1240,1200,1200,1140,1250,1330,1340,1400,1440,1360,1290,1240,1130,1080
RMT,4059,5060,5510,5960,6700,7370,8270,9080,10410,11010,10930,10720,10810,10390,9950,9260,9900,8590,7410,6750,6760,6470,6470,7010,7490,8140,8530,8790,8730,7300,6670,5200,4250,4120,4000,4330,4250,5170,5310,5630,6210,6050,6780,7200,7300,7560,7490,7620,7710,8020,8010,7590
RM,1380,1690,1720,1720,1930,1850,1910,1930,2210,2190,2070,1960,1980,1940,1850,1770,1890,1840,1790,1810,1810,1700,1670,1720,1830,1920,1920,1840,1780,1460,1330,1080,910,910,870,930,910,1030,1010,990,1000,960,1050,1120,1130,1180,1200,1150,1110,1070,990,950
COP,123000,106000,97000,96000,85000,89000,92000,95000,83000,78000,79000,81000,81000,86000,90000,90000,85000,79000,75000,71000,71000,74000,76000,75000,70000,66000,68000,71000,73000,90000,96000,115000,137000,139000,144000,133000,133000,120000,121000,124000,122000,118000,107000,96000,90000,95000,103000,116000,131000,135000,142000,149000
CSP,-23000,-16000,-18000,-14000,-12000,-14000,-14000,-14000,-12000,-22000,-28000,-34000,-33000,-32000,-38000,-46000,-42000,-45000,-42000,-37000,-37000,-42000,-44000,-47000,-45000,-53000,-60000,-72000,-77000,-97000,-114000,-150000,-183000,-179000,-189000,-166000,-159000,-135000,-130000,-132000,-128000,-141000,-124000,-115000,-117000,-101000,-89000,-82000,-67000,-66000,-84000,-105000
