,2009/Q4,2010/Q4,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
PZAT,,,,,10,,120,690,180,,2029,1440,570,2320,2890,3890,3020,2480,4950,17240,190,190,210,270,320,300,280,260,260,1250
PELDR,,3230,,2800,2780,2440,10530,7140,3840,2430,2820,2280,2400,1800,1840,1820,1950,1900,1500,2130,1000,1170,1210,920,900,940,1000,1040,1040,870
TSF,,920,,960,970,910,980,980,980,930,970,970,950,900,950,960,960,900,940,970,670,880,890,700,770,780,790,820,820,630
ZKO,1340,120,,180,140,150,20,30,40,120,50,50,100,220,110,90,100,200,170,60,1330,1800,1560,1730,2460,2009,1480,1410,1320,1080
OSF,1190,370,,460,370,360,250,190,150,290,140,120,240,380,190,170,180,380,250,120,1070,1290,1200,1090,1560,1320,1050,1040,1010,870
NetDebt,183800000,-1428370000,396000000,-5422930000,-5777000000,-6565520000,-61537000000,-60138000000,-52544370000,-38772630000,-43951100000,-41550300000,-35618200000,-16159000000,-15005100000,-20428200000,-20651600000,-28253300000,-13576800000,-32268000000,67179000000,69861000000,58035000000,95246000000,82796000000,73617000000,53920000000,48791000000,47274000000,32711000000
NetDebtEBITDA,-200,-670,190,-1600,-1150,-1170,-6970,-8010,-6540,-4410,-4640,-3960,-2920,-1160,-990,-1410,-1330,-1570,-740,-1420,5520,3750,2410,1860,1350,1080,710,900,800,710
DebtFin,-34800000,-1663310000,,-6802550000,-6934000000,-8095220000,-63084000000,-58450000000,-52351420000,-44790460000,-39778600000,-38373700000,-36013400000,-25380100000,-19260100000,-24197500000,-25367100000,-39433900000,-19979700000,-19931000000,71420000000,56554000000,54436000000,40001000000,71633000000,55880000000,43537000000,40023000000,38572000000,20995000000
DebtFinEBITDA,40,-790,,-2009,-1380,-1450,-7140,-7790,-6520,-5100,-4200,-3660,-2950,-1820,-1270,-1670,-1630,-2190,-1100,-880,5870,3040,2270,780,1170,820,580,740,650,450
SP1,890,3180,,2570,2600,2430,10520,7120,3750,2420,2820,2220,2380,1740,1780,1760,1890,1850,1450,2080,800,720,770,630,640,660,710,740,760,810
SP2,890,3190,,2790,2780,2440,10530,7140,3810,2430,2820,2230,2400,1740,1790,1770,1900,1860,1460,2090,960,1150,1200,920,890,930,1000,1040,1040,860
CAR,600,6930,,13030,16280,5340,42570,38480,40120,7580,16140,16410,7780,2620,4400,6280,5740,3640,3190,6590,150,1350,1790,650,320,680,1230,1820,1570,590
QR,750,8080,,16550,21510,6780,44190,42540,43740,8480,20850,18680,11130,3550,6650,8470,8870,4040,3960,14340,790,2440,3320,1220,1110,1670,2540,3320,3460,1070
CR,750,8600,,16900,22190,6780,44630,42910,44740,8480,21440,20120,11780,4700,9860,11250,11270,5090,5920,18060,1020,2560,3420,1220,1170,1700,2570,3390,3550,1080
PP,600,6930,,13390,16680,5340,42570,40750,42100,7580,18880,18850,8860,2690,4470,6370,5740,3640,3190,11680,370,1350,2040,810,650,830,1610,2050,1830,730
RCLR,150,1300,,3210,4790,1440,1620,1790,1200,900,1970,590,2270,1130,2770,2830,3740,630,1260,3370,520,1210,1390,410,520,870,970,1340,1720,350
KP,-80,630,-40,620,620,530,890,840,730,550,630,540,550,380,420,420,450,410,290,510,10,140,180,40,20,70,130,150,150,20
PKKO,4630,-9120,1970,-27610,-30020,-29130,28000,-146360,-103850,-66340,-14860,-93690,-99590,-67380,-67680,-65440,-62930,-45380,-23920,-32080,-800,-15280,-16960,-3540,-830,-1990,-3160,-3430,-3610,-560
RN,4310,13090,4990,3420,3690,4340,4800,4690,5400,4200,3810,4790,3330,3070,2940,2670,2750,3490,4210,4760,3550,3990,4490,4450,6230,7240,7680,8870,8180,7590
CRN,85000,28000,73000,107000,99000,84000,76000,78000,68000,87000,96000,76000,109000,119000,124000,137000,133000,105000,87000,77000,103000,91000,81000,82000,59000,50000,47000,41000,45000,48000
CPZ,572000,21000,32000,33000,32000,31000,36000,41000,44000,74000,74000,70000,76000,82000,75000,69000,59000,53000,52000,45000,150000,113000,93000,128000,88000,80000,80000,48000,39000,63000
RZ,,,,,,,8200,,,,-3350,,,,,,,,,,,,,,,,,,,
CRZ,,,,,,,45000,,,,-109000,,,,,,,,,,,,,,,,,,,
RMO,860,1980,1670,910,900,900,420,290,240,210,240,300,360,420,540,640,760,840,960,1000,990,1460,1800,1870,2490,2950,3070,3770,3580,2950
RMT,280,4900,6430,2160,1920,1620,1760,1550,1100,740,620,540,560,570,610,640,690,800,800,910,660,700,770,650,680,730,720,820,880,850
RM,210,1410,900,700,610,610,340,240,200,160,170,190,220,240,290,320,360,410,440,480,390,470,540,480,540,580,590,680,710,660
COP,,,,,,,121000,,,,-13000,,,,,,,,,,,,,,,,,,,
CSP,,,,,,,85000,,,,-87000,,,,,,,,,,,,,,,,,,,
