,2008/Q4,2009/Q4,2010/Q4,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
ZCurrent_qq,,,,,1.68,-6.53,-0.41,7.43,1.29,1.03,4.69,-4.55,-1.26,6.68,0.04,-3.92,-3.15,2.09,2.54,0.38,4.92,3.50,1.46,1.11,5.74,-3.07,3.78,-3.00,-2.50,3.28,4.69,12.95
ZCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZCurrent_yy,,2.03,-0.38,,,-6.62,,-1.65,-1.27,-8.66,-13.11,-2.20,0.33,-5.00,-0.58,-1.24,0.69,5.22,2.66,-1.73,-9.30,-10.53,-9.58,-10.23,-10.92,-4.89,-7.02,-3.08,5.11,-1.35,-2.21,-16.02
CZCurrent_sy,,13.05,9.37,,,-21.11,,-1.17,-9.22,-6.36,10.88,-12.70,-16.55,-28.26,-31.21,-8.03,3.56,44.63,47.28,19.68,6.02,-15.01,-18.39,-11.75,-16.78,-4.89,-18.06,-9.96,1.02,-21.02,-8.54,-10.98
CZCurrent_qq,,,,,-1.65,6.99,0.41,-6.91,-1.28,-1.01,-4.48,4.77,1.28,-6.27,-0.04,4.07,3.25,-2.05,-2.48,-0.38,-4.69,-3.38,-1.44,-1.10,-5.42,3.16,-3.64,3.09,2.56,-3.17,-4.48,-11.47
CZCurrent_sq,,,,,7.47,-2.66,-11.23,6.42,-1.28,0.39,5.12,-16.21,-5.63,-13.69,0.80,12.03,6.26,20.53,2.64,-8.96,-5.87,-3.38,-1.44,-1.56,-11.23,10.43,-15.09,8.18,-0.41,-13.67,-1.66,5.28
ZOCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZOCurrent_yy,,-29.42,-1.98,,,10.18,,3.93,-5.59,2.84,8.49,-5.96,5.59,11.50,7.00,10.42,-1.12,-8.52,-7.65,-3.82,7.93,14.77,17.44,16.88,18.23,5.96,6.97,4.79,-6.91,5.05,4.10,19.74
ZOCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZOCurrent_qq,,,,,3.95,-6.46,-1.14,8.12,-5.57,1.89,4.30,-6.28,6.02,7.59,0.09,-3.29,-5.06,-0.46,1.04,0.73,6.54,5.85,3.39,0.24,7.77,-5.13,4.38,-1.80,-4.26,7.05,3.44,12.94
ZOCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZOCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
