,2010/Q4,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
SP2,3500,4150,,5020,4990,3240,,2970,1860,2150,1800,1710,1120,1330,1130,1230,1070,870,850,890,920,700,710,720,740,750,850,770,710,210
CAR,120,240,,150,1360,440,,0,460,460,450,0,450,630,390,10,20,10,20,10,0,10,70,10,10,150,10,40,50,10
QR,2640,1970,,3420,3120,1820,,1680,1720,2040,1770,1720,1110,1360,1140,1190,1070,460,740,850,910,520,560,500,500,410,350,350,400,130
CR,2640,1970,,3420,3120,1820,,1680,1720,2040,1780,1740,1120,1380,1140,1190,1070,460,740,850,910,520,560,550,540,430,380,380,430,160
PP,1870,1060,,2600,2300,1460,,1280,1420,1570,1420,1410,930,1090,840,760,570,160,270,370,320,130,150,190,150,270,200,180,180,80
RCLR,770,900,,800,810,360,,390,290,450,350,330,190,290,300,420,490,300,460,470,590,390,420,350,380,160,180,200,250,80
KP,490,310,,590,570,370,,330,280,350,280,270,60,150,60,90,30,-290,-100,-70,-40,-230,-210,-210,-200,-310,-270,-330,-330,-730
PKKO,-685060,-271900,,-314320,-320160,-213510,,-166270,-99200,-137990,-105810,-102300,-25890,-91600,-56260,-507000,-281670,2137170,335800,184800,114310,418650,366280,200030,177120,350970,210930,316060,333060,436220
RN,410,370,320,340,160,210,160,130,140,190,200,310,440,640,700,610,390,230,180,720,820,940,1100,460,900,990,1060,1440,970,730
CRN,886000,974000,1127000,1070000,2234000,1745000,2328000,2906000,2567000,1950000,1810000,1170000,820000,568000,519000,595000,932000,1595000,1982000,505000,444000,389000,332000,785000,407000,368000,344000,253000,378000,499000
CPZ,1150000,1082000,1253000,1240000,2640000,2948000,3934000,6110000,7220000,5172000,4867000,3301000,2487000,1984000,1892000,2017000,2473000,4177000,4762000,1195000,1019000,810000,711000,1789000,1061000,1183000,1343000,1153000,1924000,2822000
RZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMO,120,170,150,120,50,50,40,30,30,40,40,60,90,120,140,150,120,90,90,390,510,600,720,320,630,600,580,740,460,390
RMT,470,660,570,530,250,260,190,150,110,120,110,120,150,170,180,170,150,90,70,260,280,310,360,140,210,210,190,230,160,120
RM,90,110,90,80,40,40,30,20,20,30,30,40,60,70,80,80,70,40,40,150,170,200,240,100,160,150,130,150,100,80
COP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
