,2007/Q4,2008/Q4,2009/Q4,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
DebtFin,-1668000000,-1467000000,-16725000000,,-6816000000,-2536000000,4283000000,,10310000000,-1513000000,-723000000,14224000000,13783000000,-357000000,13267000000,13237000000,10903000000,9960000000,9064000000,8266000000,6261000000,3493000000,2215000000,3896000000,1938000000,39000000,3869000000,1864000000,817000000,79000000,1682000000,629000000,-2545000000,-6810000000,653000000
DebtFinEBITDA,-720,-410,-4240,,-1790,-690,1160,,2070,-330,-260,5580,-34290,490,6340,3280,1960,1610,1430,1210,1010,490,290,520,240,10,480,230,110,10,240,80,-240,-550,50
SP1,1000,1080,1650,,1210,1090,1050,,890,890,780,750,700,700,720,740,770,780,790,830,890,930,920,920,940,990,950,1000,1020,1070,1010,1070,1130,1210,1280
SP2,1100,1160,1730,,1320,1160,1170,,1130,1100,1030,970,920,910,930,950,960,980,980,1010,1080,1120,1090,1100,1110,1160,1120,1160,1170,1220,1160,1210,1260,1340,1400
CAR,980,910,4270,,1640,760,160,,400,200,80,30,20,30,20,30,50,60,30,60,130,440,430,310,550,620,320,390,460,410,320,370,580,700,220
QR,2009,2840,5150,,2740,2860,2400,,1600,1620,1140,850,650,630,680,730,790,860,870,1050,1420,1620,1360,1450,1390,1680,1390,1660,1550,1720,1460,1630,1730,1740,2150
CR,2050,2880,5170,,2770,2920,2460,,1630,1660,1160,870,670,650,700,760,810,880,890,1080,1460,1660,1390,1490,1410,1700,1420,1700,1580,1760,1480,1660,1760,1770,2180
PP,980,910,4270,,1640,760,160,,400,200,80,30,20,30,20,30,50,60,30,60,130,440,430,310,560,630,320,390,470,410,320,370,580,700,230
RCLR,800,1600,700,,920,1680,1750,,880,980,1050,810,630,600,660,700,730,780,830,980,1290,1180,930,1140,830,1040,1050,1240,1050,1240,1060,1210,1110,1010,1880
KP,80,130,380,,210,130,130,,100,80,30,-20,-70,-80,-60,-50,-30,-20,-20,10,60,90,70,80,80,120,90,110,120,140,110,140,160,190,230
PKKO,240,350,1330,,590,320,290,,220,160,40,-40,-90,-90,-80,-60,-40,-20,-20,10,60,90,70,70,80,100,70,80,80,100,70,90,110,130,150
RN,7990,5350,6780,7870,6340,5620,4480,4800,4740,4770,4830,5300,5580,6060,6790,7320,7720,7840,7960,8109,7830,7770,7750,7670,8039,8220,8130,8080,7980,7790,7850,7750,7680,7580,6700
CRN,46000,68000,54000,46000,58000,65000,82000,76000,77000,76000,76000,69000,65000,60000,54000,50000,47000,47000,46000,45000,47000,47000,47000,48000,45000,44000,45000,45000,46000,47000,47000,47000,48000,48000,54000
CPZ,57000,43000,77000,50000,57000,59000,60000,56000,61000,70000,78000,75000,77000,80000,80000,77000,71000,65000,61000,55000,49000,45000,44000,43000,46000,46000,45000,44000,42000,41000,41000,41000,41000,44000,43000
RZ,237130,243030,191650,211390,223420,210990,206310,261940,207180,196640,205650,212550,244120,261910,262450,268190,281700,306500,324890,347240,323830,311160,297250,290910,316920,335990,355530,365680,362530,360210,356870,354570,340890,327230,319520
CRZ,2000,2000,2000,2000,2000,2000,2000,1000,2000,2000,2000,2000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
RMO,3130,2980,920,1180,1350,1690,2270,2430,2850,2890,3170,3750,4580,5600,6350,6820,7110,7160,7230,7340,7030,6550,6000,5750,5420,5340,5440,5390,5470,5520,5510,5440,5300,4920,4660
RMT,580,750,840,950,880,770,760,810,820,840,870,960,980,1080,1120,1160,1210,1230,1260,1310,1400,1490,1580,1680,1760,1860,2020,2120,2260,2430,2510,2690,2830,2950,3110
RM,490,600,440,530,530,530,570,610,640,650,680,760,810,900,950,990,1030,1050,1080,1110,1160,1210,1250,1300,1330,1380,1470,1520,1600,1690,1730,1800,1840,1850,1860
COP,48000,70000,56000,48000,60000,67000,84000,77000,79000,78000,78000,71000,66000,61000,55000,51000,48000,48000,47000,46000,48000,48000,48000,49000,46000,45000,46000,46000,47000,48000,48000,48000,49000,49000,55000
CSP,-9000,27000,-21000,-2000,3000,8000,24000,21000,18000,8000,0,-4000,-11000,-19000,-25000,-26000,-23000,-17000,-14000,-9000,-1000,3000,4000,6000,0,-1000,1000,2000,5000,7000,7000,7000,8000,5000,12000
