,2007/Q4,2008/Q4,2009/Q4,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QR,1340,1890,5460,1720,790,990,,1050,700,650,700,690,480,720,770,640,540,710,830,590,590,580,660,490,410,550,550,290,310,380,470,280,310,280
CR,2370,2540,8070,2510,1320,1500,,1680,1540,1170,1230,1300,1210,1380,1520,1440,1380,1420,1650,1350,1340,1360,1440,1220,1110,1090,1120,590,690,630,1060,530,710,510
PP,330,1220,3330,910,300,20,,60,20,0,0,40,0,30,0,0,0,0,20,10,0,0,10,10,0,10,0,20,0,10,10,10,0,0
RCLR,990,660,2110,850,470,910,,950,610,590,610,640,410,670,700,560,450,670,660,390,460,510,550,340,280,430,450,190,210,310,400,210,180,190
KP,170,250,360,190,70,100,,120,90,50,60,60,40,90,110,100,90,110,150,80,90,100,110,60,30,30,40,-200,-130,-190,20,-240,-110,-250
PKKO,260,530,740,470,140,210,,250,180,110,140,150,100,260,310,260,220,240,310,160,190,210,220,120,60,60,80,-360,-240,-360,40,-400,-180,-490
RN,8630,7330,6950,7310,6580,5430,5630,5090,4840,4470,3930,3950,4070,4059,4390,4480,4580,4800,4900,5170,5010,5400,5560,5610,6220,6360,6380,6330,6190,6030,6010,5970,6150,6250
CRN,42000,50000,53000,50000,55000,67000,65000,72000,75000,82000,93000,92000,90000,90000,83000,81000,80000,76000,75000,71000,73000,68000,66000,65000,59000,57000,57000,58000,59000,61000,61000,61000,59000,58000
CPZ,43000,75000,25000,84000,91000,93000,90000,93000,91000,117000,138000,152000,157000,152000,135000,137000,134000,127000,126000,129000,134000,134000,137000,140000,140000,143000,151000,177000,195000,218000,223000,220000,215000,242000
RZ,6090,5450,4440,3960,5430,5360,5790,5430,4570,3700,3370,3190,3120,2970,3050,2810,2770,2930,2920,3010,2960,2880,2880,2650,2770,3020,3080,3470,3650,3960,3740,4080,4070,3590
CRZ,60000,67000,82000,92000,67000,68000,63000,67000,80000,99000,108000,114000,117000,123000,120000,130000,132000,125000,125000,121000,123000,127000,127000,138000,132000,121000,119000,105000,100000,92000,97000,89000,90000,102000
RMO,3600,1910,1820,1880,2270,2340,2430,2610,2550,2210,1940,1870,1900,1870,1990,1920,1910,2000,1960,1950,1900,1920,1950,1950,2040,2120,2140,2210,2240,2310,2260,2350,2390,2210
RMT,1450,1370,1250,900,950,990,1020,1090,1050,950,850,770,760,740,810,840,940,1040,1080,1050,1040,1040,1040,1040,1050,1050,1040,1030,1030,1050,1070,1100,1080,920
RM,1030,800,740,610,670,690,720,770,740,660,590,550,540,530,570,590,630,680,690,680,670,670,680,680,690,700,700,700,710,720,730,750,740,650
COP,102000,117000,135000,142000,122000,135000,128000,139000,155000,181000,201000,206000,207000,213000,203000,211000,212000,201000,200000,192000,196000,195000,193000,203000,191000,178000,176000,163000,159000,153000,158000,150000,149000,160000
CSP,59000,42000,110000,58000,31000,42000,38000,46000,64000,64000,63000,54000,50000,61000,68000,74000,78000,74000,74000,63000,62000,61000,56000,63000,51000,35000,25000,-14000,-36000,-65000,-65000,-70000,-66000,-82000
