,2006/Q4,2007/Q4,2008/Q4,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
RN,9630,8680,7260,6840,7190,7500,7610,7810,7730,8140,9130,9570,10400,8660,7410,7650,8610,10510,12130,11270,10600,9870,9710,8180,8090,7760,7420,8189,7830,7710,7470,7370,7280,6290,5910,5550,5430,6140,6780,7220
CRN,38000,42000,50000,53000,51000,49000,48000,47000,47000,45000,40000,38000,35000,42000,49000,48000,42000,35000,30000,32000,34000,37000,38000,45000,45000,47000,49000,45000,47000,47000,49000,50000,50000,58000,62000,66000,67000,59000,54000,51000
CPZ,82000,86000,141000,129000,121000,105000,105000,111000,114000,136000,148000,147000,136000,134000,135000,146000,138000,122000,105000,90000,82000,86000,93000,91000,90000,89000,83000,84000,91000,92000,95000,94000,90000,90000,97000,105000,104000,114000,112000,114000
RZ,27890,23830,12580,10930,11030,11410,11050,10780,10470,7060,4250,3760,4210,3940,4090,4210,4360,4890,6400,7250,8370,8310,7670,7380,7020,6670,6420,9250,9650,10980,13390,10770,12570,13450,13030,11720,11290,10890,10990,10600
CRZ,13000,15000,29000,33000,33000,32000,33000,34000,35000,52000,86000,97000,87000,93000,89000,87000,84000,75000,57000,50000,44000,44000,48000,49000,52000,55000,57000,39000,38000,33000,27000,34000,29000,27000,28000,31000,32000,34000,33000,34000
RMO,3110,3350,2990,2880,2990,2640,2240,1960,1730,1810,1950,2160,2350,2200,2040,1860,1970,2170,2430,2580,2630,2450,2330,2260,2140,2090,2110,2140,2160,2260,2360,2500,2490,2470,2260,2000,1980,1990,2240,2560
RMT,520,600,480,470,490,520,520,510,500,480,510,550,600,640,650,650,650,670,670,670,680,640,610,600,570,560,560,560,580,590,590,560,550,540,500,460,440,410,420,420
RM,440,510,410,410,420,440,420,400,390,380,410,440,470,490,490,480,490,510,520,530,540,510,490,470,450,440,440,440,460,470,470,460,450,440,410,370,360,340,350,360
COP,51000,57000,79000,86000,84000,81000,81000,81000,82000,97000,126000,135000,122000,135000,138000,135000,126000,110000,87000,82000,78000,81000,86000,94000,97000,102000,106000,84000,85000,80000,76000,84000,79000,85000,90000,97000,99000,93000,87000,85000
CSP,-31000,-29000,-62000,-43000,-37000,-24000,-24000,-30000,-32000,-39000,-22000,-12000,-14000,1000,3000,-11000,-12000,-12000,-18000,-8000,-4000,-5000,-7000,3000,7000,13000,23000,0,-6000,-12000,-19000,-10000,-11000,-5000,-7000,-8000,-5000,-21000,-25000,-29000
