,2004/Q4,2011/Q4,2012/Q4,2013/Q4,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
EVEBITDACurrent_yy,-1.52,,-51.59,-27.87,-23.71,,,,-30.22,-20.26,-0.50,9.52,-14.79,1.12,-10.05,-17.90,11.48,-20.89,-34.04
EVEBITDACurrent_sy,42.25,,15.72,16.81,20.34,,,,-21.89,-12.89,-4.35,1.87,-1.29,3.12,-5.70,2.56,4.69,-5.84,-14.57
EVEBITDACurrent_qq,,,,,,-5.14,-14.55,-7.66,-6.79,8.41,6.63,1.64,-27.48,28.65,-5.15,-7.23,-1.53,-8.70,-20.92
EVEBITDACurrent_sq,,,,,,-4.68,-4.80,-7.66,-6.79,6.30,4.54,-1.66,-9.68,11.06,-4.41,6.96,-7.81,-0.11,-13.28
ROE,,,,,,,,,,,,,,,,,,,
ROE_yy,-68.54,,84.36,17.78,-21.86,,,,9.86,16.22,-16.62,-1.61,18.98,-22.09,-15.33,-8.12,-32.71,5.42,34.38
ROE_sy,20.72,,-3.28,-7.56,-14.69,,,,-16.83,1.89,17.62,119.60,9.65,1.44,-26.43,-27.14,10.52,13.41,22.55
ROE_qq,,,,,,8.65,20.46,-15.69,-0.44,14.94,-13.57,-0.52,20.40,-24.74,-6.08,7.96,-11.83,17.92,19.72
ROE_sq,,,,,,-6.85,21.64,-56.82,70.00,14.12,40.41,-19.38,-15.12,5.58,1.83,-20.16,28.75,8.35,10.04
ROA,,,,,,,,,,,,,,,,,,,
ROA_yy,-33.06,,95.57,25.24,-19.90,,,,25.16,5.52,-18.76,-17.57,,-19.87,-11.94,-1.48,-30.54,4.69,19.89
ROA_sy,47.50,,28.48,-14.78,-19.36,,,,-28.32,0.38,1.01,132.86,,25.86,15.72,-34.05,-17.91,-27.19,-23.41
ROA_qq,,,,,,13.87,9.49,-4.27,4.86,-3.99,-15.70,-2.87,27.21,-23.07,-7.37,8.68,-10.32,15.96,6.08
ROA_sq,,,,,,-6.09,12.98,-52.70,42.86,31.50,13.69,9.03,-9.20,11.82,4.53,-37.86,13.02,-0.82,9.96
OPM,,,,,,,,,,,,,,,,,,,
OPM_yy,-334.43,,50.55,-12.37,1.18,,,,40.03,65.41,10.51,-1.97,-4.15,-47.24,-32.37,-19.87,-30.57,19.10,30.43
OPM_sy,15.71,,-17.08,5.68,,,,,-12.27,11.76,17.40,27.34,-21.46,-24.21,0.36,0.77,36.83,12.73,1.25
OPM_qq,,,,,,5.65,18.24,1.06,10.92,24.79,-21.01,-10.35,8.46,-31.31,1.26,6.23,-6.03,17.83,10.89
OPM_sq,,,,,,-14.29,-6.47,-14.88,28.57,9.20,-1.75,-7.68,-20.70,5.37,30.09,-7.30,7.68,-13.19,16.84
ROS,,,,,,,,,,,,,,,,,,,
ROS_yy,-340.63,,53.03,-4.55,0.21,,,,43.69,70.83,9.31,-3.14,-2.16,-44.72,-37.09,-24.15,-39.03,2.52,22.94
ROS_sy,19.34,,6.97,15.58,-40.69,,,,-9.09,14.52,67.42,150.00,43.64,12.68,17.84,-2.82,1.27,0.62,-31.65
ROS_qq,,,,,,4.35,25.79,0.47,8.95,24.06,-19.51,-10.97,10.05,-29.90,-8.40,7.34,-11.54,17.87,9.84
ROS_sq,,,,,,2.48,-10.89,-23.08,29.41,29.09,30.28,14.86,-25.65,1.27,36.25,-5.28,-22.52,0.62,-7.45
RS,,,,,,,,,,,,,,,,,,,
RS_yy,-1476.73,,95.90,-5.02,-10.13,,,,3.10,-13.79,-8.35,-14.31,-22.50,-19.09,-15.94,5.01,12.47,46.74,82.39
RS_sy,49.88,,6.11,3.18,-10.13,,,,2.94,-10.34,-6.26,-9.12,-18.25,-2.62,3.34,-0.98,6.80,17.24,35.19
