,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3
CWKCurrent_qq,,-28.40,-37.74,-6.18,132.10,-14.72,-7.48,37.30,-6.71,-21.93,-1.35,-6.61,-8.54,-3.20,-0.83,-6.39,,-11.87,11.11,-0.30,-0.30,-0.30,-0.61,-0.92
CWKCurrent_sq,,-13.63,30.47,8.72,5.55,-10.83,-0.19,-3.58,5.27,-3.46,11.02,-8.79,-0.21,-3.56,2.77,-0.30,,-10.80,0.05,-1.06,6.86,-10.95,2.62,0.22
WKGrahamCurrent,,,,,,,,,,,,,,,,,,,,,,,,
WKGrahamCurrent_yy,,,,,-38.96,167.86,204.80,-82.51,8.88,7.46,-20.63,54.13,68.03,16.85,28.75,31.97,-31.70,3.02,-31.53,-36.15,3.25,-11.28,-1.49,7.16
WKGrahamCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,
WKGrahamCurrent_qq,,-228.68,19.13,428.70,-82.16,43.06,24.89,-45.14,11.07,41.19,-7.76,6.54,21.10,-1.82,1.63,9.21,-37.33,48.10,-32.45,1.84,1.35,27.26,-25.00,10.78
WKGrahamCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,
CWKGrahamCurrent,,,,,,,,,,,,,,,,,,,,,,,,
CWKGrahamCurrent_yy,,,,,63.88,,,472.61,-8.14,-6.88,26.02,-35.14,-40.50,-14.43,-22.33,-24.25,46.41,-2.92,46.02,56.64,-3.14,12.72,1.48,-6.59
CWKGrahamCurrent_sy,,,,,61.22,,,62.13,1.68,20.05,-24.76,-47.64,-23.00,-21.77,-7.49,59.98,37.82,37.70,36.04,8.02,-8.84,8.63,-18.85,7.45
CWKGrahamCurrent_qq,,,,,461.00,-30.10,-19.89,82.30,-10.00,-29.15,8.41,-6.18,-17.43,1.89,-1.59,-8.50,59.59,-32.44,48.02,-1.85,-1.32,-21.37,33.25,-9.65
CWKGrahamCurrent_sq,,,,,39.46,-25.75,56.23,0.21,-12.54,-12.33,-2.08,-30.26,28.62,-10.94,15.79,20.61,10.81,-11.02,14.40,-4.24,-6.48,6.03,-14.54,26.81
PCurrent,,,,,,,,,,,,,,,,,,,,,,,,
PCurrent_yy,,,,,7.57,-21.44,-20.11,-63.89,-76.19,-70.67,-52.63,76.60,180.84,191.96,102.68,75.53,51.28,59.32,67.87,60.32,49.82,26.87,9.52,1.51
PCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,
PCurrent_qq,,21.08,-8.41,-24.87,29.11,-11.58,-6.86,-66.04,-14.87,8.94,50.41,26.61,35.37,13.25,4.42,9.65,16.67,19.27,10.02,4.72,9.03,1.01,-5.03,-2.94
PCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,
CPCurrent,,,,,,,,,,,,,,,,,,,,,,,,
CPCurrent_yy,,,,,-7.33,27.23,24.88,176.98,320.47,241.56,111.49,-43.38,-64.38,-65.78,-50.72,-43.12,-33.85,-37.32,-40.44,-37.50,-33.33,-20.79,-8.64,-1.29
CPCurrent_sy,,,,,16.59,-9.65,-7.91,-10.62,-19.32,-22.87,-14.56,-30.30,-11.59,-21.15,-7.08,19.20,60.65,44.69,51.90,33.91,-14.62,7.96,-4.48,-18.29
CPCurrent_qq,,-17.67,9.42,33.01,-22.66,13.02,7.41,195.02,17.40,-8.19,-33.49,-21.01,-26.15,-11.80,-4.23,-8.82,-14.11,-16.43,-8.99,-4.32,-8.39,-0.70,4.96,3.38
CPCurrent_sq,,22.43,-22.21,22.11,0.26,-5.12,-20.72,18.52,-9.50,-9.30,-12.17,-3.32,14.78,-19.11,3.51,24.03,54.69,-27.14,8.67,9.33,-1.37,-7.87,-3.85,-6.48
ZCurrent,,,,,,,,,,,,,,,,,,,,,,,,
ZCurrent_yy,,,,,-78.70,-195.06,-1113.31,127.71,368.40,195.45,177.93,305.21,41.67,32.14,8.33,9.41,-43.68,-52.13,-39.69,-71.40,-66.08,-74.79,-71.12,-37.25
ZCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,
ZCurrent_qq,,22.97,-89.06,-835.41,121.54,-648.73,-16.58,120.11,264.13,11.82,-4.81,4.55,27.31,4.29,-21.97,5.60,-34.46,-11.36,-1.68,-49.93,-22.28,-34.12,12.66,8.79
ZCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,
CZCurrent,,,,,,,,,,,,,,,,,,,,,,,,
CZCurrent_yy,,,,,369.43,,,,-78.65,,,-75.33,-29.42,-24.32,-7.70,-8.58,77.59,108.96,65.83,249.68,194.85,296.69,246.17,59.34
CZCurrent_sy,,,,,-1.33,,,,-37.16,,,-3.72,34.17,-1.40,-5.57,-9.17,-2.97,5.75,28.04,26.12,-20.42,-20.52,-11.77,23.03
CZCurrent_qq,,-18.67,814.68,,,,,,-72.54,-10.57,5.09,-4.38,-21.46,-4.11,28.17,-5.29,52.58,12.82,1.72,99.70,28.66,51.79,-11.24,-8.08
CZCurrent_sq,,-13.12,48.80,,,,,,-9.72,23.82,-9.54,-4.79,25.82,-9.01,-13.37,-8.42,34.41,-0.83,4.89,-9.79,-15.19,-0.96,16.44,25.78
ZOCurrent,,,,,,,,,,,,,,,,,,,,,,,,
ZOCurrent_yy,,,,,291.82,281.20,742.63,234.54,-7.59,5.88,-51.26,24.00,57.25,43.46,10.90,5.29,-43.57,-43.19,-28.84,-61.09,-55.01,-72.62,-65.94,-5.30
ZOCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,
ZOCurrent_qq,,,,8.69,260.51,-2.71,121.05,-56.85,-0.41,11.47,1.75,9.79,26.28,1.69,-21.34,4.23,-32.32,2.39,-1.48,-43.01,-21.75,-37.68,22.54,58.48
ZOCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,
CZOCurrent,,,,,,,,,,,,,,,,,,,,,,,,
CZOCurrent_yy,,,,,-74.48,-73.77,-88.14,-70.10,8.19,-5.54,105.25,-19.37,-36.42,-30.33,-9.83,-5.01,77.24,76.08,40.51,157.02,122.30,265.19,193.66,5.60
CZOCurrent_sy,,,,,15.02,34.53,-38.14,-24.04,-46.61,-30.76,-8.00,-30.67,59.58,6.11,-13.92,2.83,-9.01,17.69,20.81,40.08,2.45,-22.75,-4.55,-5.26
CZOCurrent_qq,,,,-8.01,-72.25,2.78,-54.77,131.82,0.40,-10.27,-1.73,-8.93,-20.83,-1.67,27.18,-4.06,47.74,-2.32,1.49,75.49,27.78,60.47,-18.39,-36.90
CZOCurrent_sq,,,,-14.94,-16.42,-1.33,-11.81,4.44,-41.25,27.95,17.18,-21.29,35.22,-14.93,-4.94,-5.97,19.66,10.03,-2.41,9.02,-12.49,-17.03,20.58,8.21
EVCurrent,,,,,,,,,,,,,,,,,,,,,,,,
EVCurrent_yy,,,,,112.02,,-418.52,-147.77,-3042.05,-347.29,100.65,134.03,213.46,221.60,18878.12,3160.71,154.47,173.47,184.68,121.12,172.16,77.24,31.98,20.70
EVCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,
EVCurrent_qq,,311.75,,,-94.32,1661.36,-418.52,85.00,-249.63,-48.05,100.83,687.50,1065.67,58.67,30.29,35.30,-9.03,70.52,35.63,5.10,11.97,11.05,1.00,-3.89
EVCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,
EVPCurrent,,,,,,,,,,,,,,,,,,,,,,,,
EVPCurrent_yy,,,,,111.01,27.23,-498.56,-232.37,-12683.33,-944.86,101.32,119.29,140.40,141.65,9600.00,1753.52,68.20,71.58,69.54,37.99,81.68,39.74,20.51,18.89
EVPCurrent_sy,,,,,35.17,-1.28,14.39,5.48,-19.91,-7.54,-10.88,-21.04,-11.92,-24.48,-0.98,35.21,68.24,62.57,43.16,12.27,-9.64,-8.30,-9.24,-12.81
EVPCurrent_qq,,275.23,9.42,33.01,-95.68,1925.00,-442.80,55.82,-310.33,-35.96,100.54,545.45,759.15,40.16,24.80,23.34,-22.04,42.98,23.31,0.39,2.64,9.98,6.34,-0.96
EVPCurrent_sq,,16.84,-19.18,12.68,27.04,-14.67,-6.35,3.91,-3.55,-1.49,-9.74,-7.94,7.60,-15.53,18.35,25.72,33.88,-18.38,4.22,-1.42,7.75,-17.17,3.16,-5.30
EVEBITCurrent,,,,,,,,,,,,,,,,,,,,,,,,
EVEBITCurrent_yy,,,,,103.08,-73.77,-137.80,-114.28,-3272.27,-333.54,101.33,127.44,172.16,184.76,17070.73,2997.97,350.99,381.39,300.06,468.31,504.92,547.29,287.58,27.45
EVEBITCurrent_sy,,,,,25.55,41.97,-38.13,-20.72,-38.70,-30.01,-11.12,9.80,49.48,8.50,7.22,-9.69,-13.43,21.14,15.54,24.05,-17.38,-21.78,-21.67,11.04
EVEBITCurrent_qq,,311.72,,-8.01,-98.42,1704.20,-244.11,65.26,-251.16,-32.82,100.82,619.51,823.39,56.02,65.65,29.82,34.42,66.54,37.66,84.41,43.08,78.20,-17.57,-39.36
EVEBITCurrent_sq,,-14.01,,-39.30,15.43,-2.77,-9.18,-22.22,-10.75,11.03,15.32,-3.92,21.49,-19.40,13.96,-19.07,16.46,12.79,8.69,-13.11,-22.43,6.78,8.85,23.17
EVEBITDACurrent,,,,,,,,,,,,,,,,,,,,,,,,
EVEBITDACurrent_yy,,,,,106.44,-45.17,-197.66,-146.31,-4651.35,-425.11,101.39,125.70,166.75,180.45,17027.27,2935.02,285.10,299.51,240.27,287.13,297.87,230.74,138.23,35.72
EVEBITDACurrent_sy,,,,,14.09,3.32,-47.25,-38.39,-33.04,-17.05,11.28,-14.16,-6.35,-14.88,-5.65,2.33,17.96,6.49,21.69,26.37,-17.91,-13.57,20.04,1.60
EVEBITDACurrent_qq,,311.75,,-18.17,-96.28,1702.70,-278.11,61.20,-265.29,-28.77,100.76,618.18,848.52,55.20,61.99,27.26,20.35,61.01,37.97,44.79,23.69,33.85,-0.62,-17.52
EVEBITDACurrent_sq,,-0.05,,0.52,-14.73,-9.49,-32.01,17.42,-7.33,12.13,-8.79,-9.42,1.10,1.92,1.09,-1.75,16.53,-7.99,15.52,2.03,-24.30,-3.11,60.43,-13.64
ROE,,,,,,,,,,,,,,,,,,,,,,,,
ROE_yy,,,,,-79.34,-209.91,-1841.72,169.70,373.51,188.40,176.92,172.08,-6.81,7.70,-11.02,-10.06,-49.33,-60.81,-44.72,-72.12,-67.04,-72.20,-71.56,-38.51
ROE_sy,,,,,-30.81,-18.65,15.81,77.69,36.39,50.00,-7.14,-17.71,-11.84,-8.88,50.00,21.62,25.60,-10.66,-39.66,-35.25,-13.86,12.66,13.91,-0.13
ROE_qq,,-12.01,-93.20,-790.73,149.95,-568.14,-7.83,127.64,239.34,-12.61,-6.17,-2.22,16.23,1.00,-22.48,-1.17,-34.51,-21.89,9.34,-50.15,-22.58,-34.11,11.86,7.77
ROE_sq,,-21.34,-9.81,-13.28,12.46,-7.52,28.40,33.06,-13.68,1.71,-20.51,17.93,-7.52,5.12,30.84,-4.38,-4.50,-25.23,-11.63,2.60,27.05,-2.21,-10.65,-10.05
ROA,,,,,,,,,,,,,,,,,,,,,,,,
ROA_yy,,,,,-81.38,-198.59,-1908.77,173.22,530.11,219.88,171.10,183.64,-6.14,2.39,-16.44,-14.81,-68.55,-69.82,-63.43,-78.60,-65.90,-74.80,-69.42,-40.62
ROA_sy,,,,,-24.85,-27.89,-4.60,47.49,60.80,30.15,6.35,-15.70,-22.22,-2.74,30.53,6.33,10.66,-7.14,-24.15,-33.39,-7.71,2.38,-28.04,13.14
ROA_qq,,-10.08,-91.54,-692.98,141.27,-575.99,-55.27,124.01,255.15,-9.44,-7.91,-4.23,17.52,-1.21,-24.85,-2.37,-56.61,-5.20,-8.94,-42.86,-30.86,-29.94,10.48,10.95
ROA_sq,,9.22,-18.26,-5.95,-10.50,4.80,8.14,45.41,-2.43,-15.17,-11.63,15.27,-9.98,6.08,18.59,-6.10,-6.32,-10.98,-3.14,-17.54,29.81,-1.25,-31.92,29.66
OPM,,,,,,,,,,,,,,,,,,,,,,,,
OPM_yy,,,,,264.31,384.62,955.29,826.83,288.07,260.93,2.90,-29.80,-44.01,-50.87,-45.29,-40.02,-62.72,-64.35,-57.62,-75.69,-69.94,-78.38,-68.85,-6.86
OPM_sy,,,,,-37.64,-32.62,11.82,72.24,113.95,89.66,36.29,4.60,-12.61,-12.10,-9.53,2.51,-10.07,-5.32,7.70,10.54,26.14,29.30,-9.38,-12.62
OPM_qq,,-17.31,8.97,44.71,179.40,9.99,137.30,27.09,16.99,2.30,-32.35,-13.29,-6.71,-10.22,-24.66,-4.95,-42.01,-14.13,-10.46,-45.48,-28.29,-38.25,29.03,63.00
OPM_sq,,-5.29,-23.58,-20.24,8.04,2.33,26.82,22.85,34.21,-9.29,-8.87,-5.72,12.13,-8.77,-6.20,6.83,-1.63,-3.94,6.70,9.65,12.25,-1.54,-25.22,5.73
ROS,,,,,,,,,,,,,,,,,,,,,,,,
ROS_yy,,,,,-80.20,-220.96,-1367.21,176.78,1868.34,425.51,264.55,129.37,-49.55,-54.73,-46.54,-37.65,-62.75,-69.95,-64.04,-82.14,-77.31,-80.07,-73.62,-38.46
ROS_sy,,,,,-52.56,-41.95,-17.12,124.37,86.58,71.24,45.81,-13.52,-11.23,-28.44,-6.16,-7.44,-0.40,9.55,18.93,5.33,13.89,26.26,-40.94,-33.97
ROS_qq,,1.59,-88.05,-1077.87,116.68,-720.60,-25.18,159.25,327.62,2.63,-36.72,-17.41,-5.95,-7.89,-25.27,-3.68,-43.82,-25.68,-10.60,-52.15,-28.63,-34.73,18.35,11.63
ROS_sq,,-7.45,-32.38,-31.27,10.29,13.26,-3.47,86.08,-8.29,3.95,-17.81,10.37,-5.86,-16.21,7.78,8.86,1.31,-7.84,17.01,-3.59,9.54,2.18,-45.27,7.79
RS,,,,,,,,,,,,,,,,,,,,,,,,
RS_yy,,,,,244.30,-142.15,10.41,695.91,262.13,666.39,94.47,-35.94,-50.13,-56.55,-53.57,-36.02,-59.59,-62.27,-61.54,-86.74,-78.72,-91.10,-61.43,83.89
RS_sy,,,,,-14.48,-14.13,44.84,76.87,87.24,54.79,-2.88,14.21,-1.05,0.27,38.67,21.00,4.45,-2.68,-13.58,-30.28,-0.96,22.55,-16.95,-15.77
RS_qq,,436.08,-24.56,-67.45,161.54,-165.62,297.62,134.66,19.00,2.64,-32.15,-22.70,-7.36,-10.59,-27.49,6.51,-41.49,-16.50,-26.09,-63.27,-6.11,-65.09,220.34,75.13
RS_sq,,10.91,-18.60,-11.65,7.21,11.37,37.29,7.89,13.50,-7.93,-13.86,26.88,-1.66,-6.70,19.13,10.70,-15.11,-13.07,5.79,-10.69,20.58,7.57,-28.31,-9.42
GPM,,,,,,,,,,,,,,,,,,,,,,,,
GPM_yy,,,,,-84.57,-236.79,-185.04,149.71,2334.68,460.37,295.79,245.53,-47.10,-53.90,-46.42,-39.03,-61.13,-63.21,-55.04,-73.25,-71.48,-80.79,-79.65,-30.65
GPM_sy,,,,,-47.17,-37.52,-24.50,164.93,120.70,87.34,69.47,-8.28,-11.92,-18.81,-7.09,-13.47,-9.69,0.82,7.56,25.58,28.84,32.36,-27.89,-36.31
GPM_qq,,-21.68,-157.86,-170.47,112.59,-794.22,-20.57,147.17,516.69,2.75,-34.50,-16.75,-5.59,-10.46,-23.86,-5.27,-39.82,-15.24,-6.95,-43.63,-35.84,-42.91,-1.42,92.09
GPM_sq,,-15.02,-14.57,-49.55,44.24,0.50,3.23,77.04,20.16,-14.69,-6.62,-4.18,15.40,-21.36,6.85,-10.76,20.44,-12.22,14.00,4.19,23.57,-9.81,-37.90,-7.97
RBS,,,,,,,,,,,,,,,,,,,,,,,,
RBS_yy,,,,,,,,,,,,,,-54.84,-48.20,-36.05,-47.79,-48.41,-47.15,-60.95,-29.30,-28.52,-11.52,28.43
RBS_sy,,,,,,,,,,,,,,14.80,19.76,17.11,-2.06,-8.67,-7.21,6.14,18.13,17.41,4.94,-9.94
RBS_qq,,,,,,,,,,,-22.87,-16.40,-26.39,-4.85,-11.53,3.21,-39.91,-5.97,-9.38,-23.73,8.77,-4.93,12.18,10.71
RBS_sq,,,,,,,,,,,-1.82,0.17,12.54,3.73,2.42,-2.04,-5.88,-3.27,4.05,12.04,4.75,-3.85,-7.00,-3.84
ROPA,,,,,,,,,,,,,,,,,,,,,,,,
ROPA_yy,,,,,243.23,295.78,1407.98,784.69,24.29,32.90,-55.53,-13.20,4.12,11.23,-14.47,-18.01,-68.50,-64.15,-56.85,-70.90,-54.67,-72.60,-64.01,-10.70
ROPA_sy,,,,,-24.24,-0.15,-5.92,67.80,51.96,11.49,6.62,-11.17,-0.77,0.40,28.42,-9.97,-18.75,-14.08,-27.57,-21.03,0.64,3.67,-7.01,3.84
ROPA_qq,,-26.84,-22.73,-12.18,591.39,-15.64,194.42,-48.48,-2.87,-9.80,-1.48,0.56,16.51,-3.64,-24.25,-3.59,-55.24,9.68,-8.82,-34.97,-30.29,-33.71,19.77,61.32
ROPA_sq,,-1.11,-3.75,-17.76,-3.22,30.33,-9.31,46.69,-12.36,-4.38,-13.27,22.20,-2.10,-3.24,10.93,-14.33,-11.64,2.32,-6.48,-6.59,12.60,5.40,-16.11,4.31
ZNPO,,,,,,,,,,,,,,,,,,,,,,,,
ZNPO_yy,,,,,-95.29,-122.63,-297.41,-200.73,1465.81,677.04,614.02,482.84,-184.27,-137.73,-136.17,-144.99,166.11,-371.08,223.38,45.15,-122.66,94.87,-110.54,33.24
ZNPO_sy,,,,,-60.05,-14.83,-30.33,32.56,103.63,6.95,9.48,26.06,-24.31,-11.87,46.71,-29.31,-7.91,1.96,-36.13,-48.28,27.80,6.43,41.59,158.25
ZNPO_qq,,22.97,-89.07,-177.88,144.98,-690.92,4.64,-18.64,334.21,117.77,-15.05,-11.64,-151.55,2.50,18.57,-9.92,175.76,-794.69,121.33,-148.86,68.69,-57.15,56.17,-209.60
ZNPO_sq,,-20.82,-1.47,-37.75,-17.74,68.82,-19.40,18.44,26.36,-11.34,-17.49,36.38,-24.13,3.24,37.35,-34.29,-1.16,14.30,-13.96,-46.79,144.23,-4.81,14.46,-2.95
ZFI,,,,,,,,,,,,,,,,,,,,,,,,
ZFI_yy,,,,,15.34,3.53,5.46,,,-74.97,-57.23,,,-2948.37,-535.69,-681.99,-83.75,113.38,149.87,125.72,-158.94,56.67,,-35.17
ZFI_sy,,,,,23.65,-60.92,-29.43,,,123.63,23.37,,,-42.86,-4.87,-8.36,-2.02,109.76,34.28,-14.16,3.15,-35.66,,19.20
ZFI_qq,,,,7.22,7.58,-10.24,1.86,,,,74.02,59.03,490.90,-274.18,73.38,-112.44,116.50,43.44,-0.80,9.58,-137.80,481.29,,
ZFI_sq,,,,-11.79,-18.45,-47.99,88.61,,,,4.06,11.38,-24.25,-34.91,73.23,7.30,-19.01,39.35,10.89,-31.41,-2.68,-13.08,,
DTAR,,,,,,,,,,,,,,,,,,,,,,,,
DTAR_yy,,,,,23.90,-0.76,-12.20,19.51,-34.07,-42.16,5.97,-15.76,-6.77,16.84,25.69,17.48,109.44,56.24,77.55,47.32,-2.03,12.82,-11.65,-5.09
DTAR_sy,,,,,10.77,17.16,13.97,8.03,-9.64,1.30,11.14,22.69,17.13,12.43,15.49,2.44,6.66,7.60,2.89,-1.21,1.77,-5.13,-2.10,-13.15
DTAR_qq,,23.49,-37.44,2.11,57.05,-1.09,-44.64,38.98,-13.36,-13.23,1.42,10.48,-4.11,8.74,9.10,3.27,70.95,-18.88,23.98,-14.31,13.69,-6.59,-2.90,-7.95
DTAR_sq,,-13.10,-2.70,2.26,28.11,-8.09,-5.35,-3.07,7.16,3.03,3.85,7.00,2.31,-1.10,6.67,-5.08,6.52,-0.24,2.01,-8.87,9.73,-6.99,5.26,-19.15
CG,,,,,,,,,,,,,,,,,,,,,,,,
CG_yy,,,,,37.44,10.56,-15.57,13.66,-50.46,-57.33,14.71,-19.21,-7.42,22.90,33.81,24.06,237.44,102.77,168.46,91.88,-5.30,24.47,-17.69,-1.39
CG_sy,,,,,11.50,13.79,14.98,10.92,-7.57,9.61,18.48,35.25,21.60,11.74,22.39,2.72,8.84,9.34,-0.33,-3.18,1.27,-3.99,0.54,-20.39
CG_qq,,20.87,-49.66,18.91,89.95,-2.77,-61.56,60.09,-17.21,-16.25,3.34,12.76,-5.14,11.19,12.51,4.54,158.02,-33.19,48.96,-25.28,27.35,-12.19,-1.50,-10.48
CG_sq,,-14.70,-6.45,-0.79,40.84,-12.95,-5.47,-4.29,17.36,3.23,2.18,9.26,5.52,-5.14,11.91,-8.30,11.81,-4.71,2.01,-10.92,16.95,-9.66,6.83,-29.47
LDER,,,,,,,,,,,,,,,,,,,,,,,,
LDER_yy,,,,,1251.81,,-91.45,-88.00,-99.76,,1300.00,95.06,1611.11,27.97,195.60,191.77,255.19,255.19,199.44,273.54,39.67,24.31,-80.45,-75.84
LDER_sy,,,,,-5.09,,23.97,15.79,-28.98,,-4.35,21.01,36.81,-13.34,56.70,24.37,17.64,56.63,-23.21,-2.82,44.98,-15.17,-19.98,-39.94
LDER_qq,,,,344.08,452.74,,,523.08,-88.89,1488.89,27.27,-13.19,-2.53,18.83,193.99,-14.31,18.66,18.83,147.85,6.89,-55.63,5.76,-61.01,32.06
LDER_sq,,,,-0.28,15.36,,,-6.86,-29.24,68.58,-13.90,17.82,-20.00,6.79,55.67,-6.49,-24.33,42.18,-23.67,18.34,12.89,-16.82,-28.00,-11.18
PZAT,,,,,,,,,,,,,,,,,,,,,,,,
PZAT_yy,,,,,-95.97,,,8.81,2542.63,,,383.13,-38.86,72.16,-46.25,-53.40,-55.32,-69.08,-67.83,-72.28,-40.91,-22.33,373.74,211.53
PZAT_sy,,,,,10.57,,,7.21,-11.18,,,0.45,1.08,4.36,-2.92,-7.01,-51.64,-20.52,-30.94,-8.12,-19.40,-17.32,10.70,-22.82
PZAT_qq,,,,,-61.84,,,,826.65,-63.42,13.69,25.35,17.27,3.01,-64.50,8.67,12.44,-28.71,-63.07,-6.36,139.67,-6.29,125.24,-38.42
PZAT_sq,,,,,23.04,,,,1.93,0.11,1.75,-3.26,2.57,3.37,-5.35,-7.33,-46.66,69.89,-17.77,23.29,-53.20,74.27,10.10,-14.04
PELDR,,,,,,,,,,,,,,,,,,,,,,,,
PELDR_yy,,,,,-12.67,,,-73.51,-15.93,,-27.55,-6.15,5.25,-3.02,9.85,10.51,-29.98,-15.37,-20.88,-21.12,5.29,1.41,2.91,9.60
PELDR_sy,,,,,-16.76,,,-2.53,7.29,,-1.79,-4.26,1.15,-0.60,-0.49,-2.84,-10.25,-11.78,1.61,1.09,-1.26,-0.58,-16.10,-5.53
PELDR_qq,,,,,-68.90,,,-22.07,-1.31,5.04,-10.31,0.95,10.67,-3.21,1.59,1.55,-29.87,16.98,-5.02,1.25,-6.39,12.66,-3.62,7.83
PELDR_sq,,,,,-6.29,,,3.13,3.15,-0.10,-7.59,0.53,8.99,-1.83,-7.49,-1.83,0.68,-3.51,6.55,-2.34,-1.66,-2.84,-10.09,9.97
TSF,,,,,,,,,,,,,,,,,,,,,,,,
TSF_yy,,,,,20.49,,2.55,-0.72,-2.99,,-6.00,5.04,2.16,-4.57,-2.81,-2.44,-35.52,-19.42,-27.13,-13.96,5.58,-8.00,-4.61,-14.49
TSF_sy,,,,,-1.53,,-3.95,-5.93,-0.83,,-4.77,-5.05,-1.25,-3.36,-1.65,2.38,4.84,10.40,10.19,6.52,-1.02,-2.88,-1.45,5.28
TSF_qq,,,,-9.68,6.33,,,-12.56,3.90,5.01,-1.47,-2.29,1.05,-1.91,0.35,-1.92,-33.21,22.58,-9.26,15.81,-18.04,6.81,-5.91,3.81
TSF_sq,,,,1.59,-10.27,,,-0.50,-5.40,2.79,-1.58,-0.79,-1.62,0.59,0.16,3.28,0.74,5.93,-0.03,-0.15,-6.39,3.94,1.45,6.66
ZKO,,,,,,,,,,,,,,,,,,,,,,,,
ZKO_yy,,,,,47.71,,,79.30,-30.61,-35.61,27.50,-12.33,-9.72,16.30,14.20,7.59,96.33,48.85,69.50,55.73,-1.26,8.07,-3.62,-1.72
ZKO_sy,,,,,10.84,,,26.35,-3.62,15.24,6.90,7.82,16.84,11.89,-0.48,13.18,2.37,8.76,12.22,1.28,1.76,-0.10,-3.54,-7.10
ZKO_qq,,,,,129.58,-8.41,-45.42,56.22,-11.15,-15.00,8.07,7.42,-8.51,9.50,6.12,1.20,66.95,-16.98,20.84,-7.02,5.86,-9.14,7.78,-5.19
ZKO_sq,,,,,29.66,-13.54,18.00,-4.48,-1.09,3.37,9.47,-3.66,7.18,-1.01,-2.64,9.57,-3.05,5.17,0.45,-1.11,-2.60,3.24,-3.00,-4.76
OSF,,,,,,,,,,,,,,,,,,,,,,,,
OSF_yy,,,,,-8.15,,,-54.13,-14.55,-27.51,-12.86,-13.72,-4.65,11.33,23.13,16.69,35.89,23.98,21.49,9.43,0.71,6.06,12.67,21.95
OSF_sy,,,,,-1.98,,,-0.35,1.24,-2.20,5.86,6.17,1.28,3.06,-1.42,-3.21,3.47,0.20,6.20,-0.16,-6.47,-3.07,-5.86,0.48
