,2004/Q4,2005/Q4,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1
ZOCurrent,1070,1060,1240,1410,1490,1770,2440,2910,3590,4010,4210,4870,4330,3590,2740,1870,1900,1810,1960,1600,1930,2400,2320,2680,2740,2560,1250,1030,590,300,980,1050,1230,950,830,690,550,580,770,880,850,730,710,690,850,1060,1170,1380
CZOCurrent,9200,9280,7950,6980,6620,5580,4040,3390,2740,2460,2340,2020,2280,2750,3600,5290,5190,5430,5020,6140,5110,4110,4250,3680,3590,3850,7920,9570,16790,33370,10100,9430,8029,10330,11820,14370,17850,16940,12760,11220,11630,13580,13970,14330,11580,9300,8430,7160
EVCurrent,11330,12920,14400,14380,14800,9290,9250,15010,16770,21700,21560,20930,20580,20120,18970,18290,18330,18410,18580,18950,19140,18500,18450,17990,17070,16490,16030,15510,14530,1810,4560,4050,13330,12790,13180,12520,14640,13720,13670,13930,15120,15670,15450,16520,16010,16070,15990,16410
EVPCurrent,1430,1400,1210,1120,890,550,450,660,660,810,740,680,660,670,670,710,730,760,760,750,740,710,750,720,670,640,1200,1490,1950,460,360,310,1050,1010,1000,930,1070,960,920,900,930,960,900,910,840,790,790,790
EVEBITCurrent,10560,12150,11610,10180,9930,5260,3790,5150,4670,5420,5130,4290,4750,5600,6930,9810,9650,10140,9450,11810,9930,7710,7950,6710,6220,6430,12870,15050,24750,6130,4670,3880,10860,13400,15800,18240,26510,23560,17690,15850,17840,21580,21890,24000,18800,15160,13670,11910
EVEBITDACurrent,8610,9570,9120,8119,7390,4140,3040,4240,3970,4690,4450,3780,4100,4710,5610,7360,7410,7820,7520,9120,8010,6500,6690,5750,5330,5380,10500,12150,18400,4290,3510,2940,8540,9850,11230,12130,16580,14690,11880,11030,11970,13670,13230,13960,11480,9830,9130,8340
DTAR,580,620,690,660,690,350,380,580,560,570,560,530,500,500,470,430,440,460,450,440,430,430,420,400,460,430,380,390,380,230,250,230,500,430,450,420,530,510,520,520,560,560,600,600,600,590,590,580
CG,1380,1660,2190,2000,2200,540,610,1360,1280,1320,1280,1130,1010,990,890,760,800,840,810,790,760,770,730,680,870,760,620,640,650,300,340,300,1050,770,840,740,1170,1060,1090,1100,1300,1310,1540,1560,1540,1500,1470,1440
LDER,390,870,460,400,430,90,120,120,250,470,410,360,370,330,300,270,270,260,240,200,180,150,70,60,150,130,50,70,70,50,110,80,230,230,160,150,290,270,290,250,290,340,300,340,330,380,360,670
PZAT,1620,890,1910,2110,2140,4740,3100,3230,1610,810,980,950,890,920,990,900,960,950,1030,1200,1350,1520,3630,3770,1910,2110,5780,3860,2420,2950,2110,2500,2060,1960,2029,2080,1270,1390,1410,1560,1650,1410,1950,1700,1610,1350,1450,720
