,2009/Q4,2010/Q4,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
CZCurrent_sy,,-17.82,,,-8.12,,,,,,,,,,,,87.91,,,,,,,,,,,,,,
CZCurrent_qq,,,,,,,,-62.48,,,,,,146.10,,,,,,,,,,,,,,,,-47.83,-88.18
CZCurrent_sq,,,,,,,,-23.83,,,,,,12.90,,,,,,,,,,,,,,,,11.79,-65.91
ZOCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZOCurrent_yy,,62.05,,,-41.66,,391.23,177.25,-318.87,-415.49,-305.87,-181.60,161.71,139.71,137.31,73.68,-28.57,-60.00,-61.76,100.00,-1196.64,-3386.82,-4810.26,,9.52,4.77,11.71,26.15,113.27,116.22,139.40
ZOCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZOCurrent_qq,,,,-85.09,268.25,-38.17,51.25,-50.90,-576.69,10.88,1.30,80.54,460.53,-42.65,-7.27,-113.73,1078.57,-67.88,-11.36,-100.00,,3.74,-27.02,-4.62,29.26,-1.31,-17.76,12.49,112.71,23.84,186.03
ZOCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZOCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZOCurrent_yy,,-38.27,,,71.39,,,,,,,,,,,,40.12,150.28,161.62,,,,,,,,,,,,
CZOCurrent_sy,,-22.84,,,-3.74,,,,,,,,,,,,58.98,141.28,119.81,,,,,,,,,,,,
CZOCurrent_qq,,,,,,61.86,-33.92,103.53,,,,,,74.35,7.86,,,211.41,12.75,,,,,,,,,,,-19.25,-65.04
CZOCurrent_sq,,,,,,10.41,3.74,-9.33,,,,,,-3.17,20.82,,,46.96,10.07,,,,,,,,,,,-19.03,26.49
EVCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVCurrent_yy,,26.25,,,-11.71,,55.78,-22.24,-9.14,-29.31,-27.70,-11.75,15.07,3.31,-7.71,-21.36,-11.70,37.30,-35.76,33.62,68.28,1.78,154.95,41.74,-30.53,-11.21,-16.47,-15.60,-33.21,-30.57,-30.37
EVCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVCurrent_qq,,,,63.90,-14.08,13.18,-2.26,-18.20,0.40,-11.95,-0.03,-0.14,30.91,-20.95,-10.69,-14.91,46.99,22.92,-58.22,77.00,85.12,-25.65,4.66,-1.59,-9.27,-4.98,-1.54,-0.57,-28.20,-1.22,-1.27
EVCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVPCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVPCurrent_yy,,21.19,,,-21.59,,19.36,-36.89,1.12,-5.77,6.52,10.10,18.71,20.81,5.13,7.51,-0.45,32.17,-47.54,-3.63,32.67,-32.37,102.40,16.38,-18.58,12.01,18.71,23.18,-6.05,5.44,
EVPCurrent_sy,,-9.46,,,-10.47,,3.83,-10.80,0.22,-5.97,-9.67,-16.14,-2.68,-13.60,8.30,26.97,-3.12,9.86,-1.74,-2.14,-4.72,-4.84,4.67,8.75,31.17,39.83,53.21,43.66,-15.63,10.14,
