,2010/Q4,2011/Q4,2012/Q4,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
PZAT,1580,,2580,2460,2580,2420,2340,2250,2060,1930,1880,1900,1900,1950,1890,1960,1970,1780,1850,1800,1820,1620
PELDR,950,,1010,1100,1050,1030,1020,990,1000,1010,990,1000,990,970,980,950,950,950,960,980,970,980
TSF,880,,880,930,910,900,920,870,910,920,930,920,920,900,910,880,860,860,890,890,900,920
ZKO,9100,200,3750,2280,2850,3230,4310,3960,5660,5980,8220,6560,7140,8039,8020,6850,5840,6630,7610,6040,7330,9000
OSF,2960,200,2330,1620,1920,2029,2590,2210,2970,2980,3900,3180,3400,3750,3740,3150,2670,2690,3340,2650,3230,3490
NetDebt,722204000000,-4645000000,534353000000,508910000000,464311000000,563303000000,637497000000,703572000000,769843000000,854048000000,955746000000,989587000000,1038855000000,1068375000000,1059290000000,1113669000000,1053635000000,1218080000000,1195746000000,1171007000000,1210037000000,1392055000000
NetDebtEBITDA,7010,43820,-6080,11740,16920,-539050,33150,-17790,-7260,-9710,-14310,9450,5710,5050,6720,8920,50640,-104230,14690,-256459,9780,6870
DebtFin,718239000000,,514083000000,471407000000,405859000000,518351000000,584770000000,635773000000,691739000000,805208000000,912114000000,951945000000,994931000000,1037628000000,1040981000000,1086467000000,1023514000000,1094853000000,1161885000000,1114559000000,1158356000000,1202028000000
DebtFinEBITDA,6970,,-5850,10870,14790,-496030,30410,-16079,-6520,-9150,-13660,9090,5470,4900,6610,8710,49200,-93690,14280,-244100,9360,5930
SP1,330,1010,620,710,670,630,600,560,530,500,470,480,480,470,470,460,460,410,440,440,440,390
SP2,950,1010,1010,1100,1050,1030,1020,990,1000,1010,990,1000,990,970,980,950,950,950,960,980,970,980
CAR,170,,430,1530,1910,1510,1430,1000,960,1100,740,1130,870,780,890,740,810,790,880,1170,1070,1410
QR,290,5100,580,4990,2200,1760,1820,1170,1340,1700,1420,1560,1370,1000,1220,880,970,950,1160,1380,1370,1800
CR,630,5100,1060,5750,2570,2040,2220,1320,1600,1920,1670,1690,1450,1000,1220,880,970,950,1160,1380,1370,1800
PP,220,3220,470,1660,1970,1560,1500,1040,1020,1360,970,1290,1040,820,1000,770,830,820,920,1220,1120,1480
RCLR,60,330,110,3330,230,200,320,130,320,340,440,270,340,180,230,110,130,140,240,160,250,330
KP,-50,10,10,130,80,60,50,30,30,40,30,30,20,0,10,-10,0,0,10,30,20,30
PKKO,,,980,23230,13690,12380,7800,6060,5930,7070,4650,4260,2640,0,1100,-1010,-250,-360,820,1940,1480,2170
RN,4480,,2470,760,750,780,820,2270,2250,2320,2310,2410,2560,2990,3490,3750,4210,4130,3960,4110,4130,4260
CRN,81000,,148000,483000,484000,469000,447000,161000,162000,157000,158000,152000,143000,122000,104000,97000,87000,88000,92000,89000,88000,86000
CPZ,1270000,,1292000,726000,756000,701000,669000,803000,736000,628000,581000,449000,419000,426000,424000,501000,567000,620000,620000,548000,468000,366000
RZ,,,120,270,300,300,400,310,360,460,510,890,1310,2029,3440,6050,142280,,,,,
CRZ,,,2936000,1351000,1205000,1231000,918000,1191000,1021000,800000,712000,410000,278000,180000,106000,60000,3000,,,,,
RMO,460,,270,250,210,190,200,240,290,350,400,470,520,620,660,670,650,600,600,610,660,720
RMT,40,,40,30,30,30,30,30,30,40,40,40,40,50,50,50,50,50,50,60,60,60
RM,40,,30,30,30,20,30,30,30,30,40,40,40,40,50,50,50,50,50,50,50,50
COP,,,3084000,1834000,1689000,1700000,1365000,1352000,1183000,957000,870000,562000,421000,302000,210000,157000,90000,,,,,
CSP,,,1792000,1108000,933000,999000,696000,549000,447000,329000,289000,113000,2000,-124000,-214000,-344000,-477000,,,,,
