,2009/Q4,2010/Q4,2011/Q4,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
CWKCurrent_sy,,16.58,-15.85,,,20.41,,,,-23.56,95.68,44.73,31.23,-5.06,-35.07,-14.00,-6.45,-15.74,-14.23,-12.21,-14.74,-6.90,-7.48,-6.12,-4.59,-5.70,-5.90,1.05
CWKCurrent_qq,,,,,,,-14.17,1.61,-0.37,-2.18,-0.82,1.94,-1.75,-1.05,-4.07,0.54,-1.98,-2.37,-0.77,-1.65,-1.22,-3.56,-0.18,8.82,-2.39,-0.41,-1.10,2.18
CWKCurrent_sq,,,,,,,-45.20,2.70,-0.70,36.78,40.28,-24.04,-9.96,-1.05,-4.07,0.61,-2.05,-10.87,-2.35,2.98,-4.87,-2.68,-2.96,4.49,-3.32,-3.81,-3.16,12.21
WKGrahamCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WKGrahamCurrent_yy,,-198000.00,-562.76,,,19.08,,,,14.30,4.99,4.43,2.93,-2.43,-0.71,-0.52,1.36,7.84,9.03,13.21,13.57,15.21,14.25,-3.57,-2.19,-9.66,-9.71,-1.44
WKGrahamCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WKGrahamCurrent_qq,,,,,,,10.85,-1.28,2.49,2.66,1.15,-1.87,0.96,-2.71,2.81,-1.68,2.81,4.03,4.08,2.99,3.22,5.86,2.99,-17.18,4.51,-1.03,2.94,-8.34
WKGrahamCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CWKGrahamCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CWKGrahamCurrent_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CWKGrahamCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CWKGrahamCurrent_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CWKGrahamCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCurrent_yy,,,,,,71.72,,4.61,3.27,7.21,10.55,16.24,16.79,9.51,11.02,4.61,-0.29,0.75,-0.81,3.07,4.18,4.84,12.31,13.43,15.27,15.85,5.73,5.25
PCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCurrent_qq,,,,,5.24,2.72,-2.58,-0.67,3.89,6.64,0.46,4.44,4.39,-0.01,1.85,-1.59,-0.51,1.03,0.28,2.27,0.56,1.67,7.42,3.29,2.19,2.18,-1.97,2.82
PCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPCurrent_yy,,,,,,-41.76,,-4.41,-3.16,-6.72,-9.55,-13.97,-14.38,-8.68,-9.94,-4.41,0.29,-0.75,0.82,-2.99,-4.01,-4.61,-10.96,-11.85,-13.25,-13.68,-5.41,-4.98
CPCurrent_sy,,,,,,-10.32,,4.83,8.02,-1.28,56.02,35.08,25.26,5.02,-17.49,-4.41,0.29,-11.91,-9.13,-11.25,-9.86,3.53,-2.19,-2.75,-6.95,-9.10,-2.75,-3.68
CPCurrent_qq,,,,,-4.99,-2.65,2.65,0.67,-3.74,-6.23,-0.46,-4.25,-4.20,0.02,-1.83,1.63,0.50,-1.02,-0.27,-2.22,-0.56,-1.64,-6.91,-3.19,-2.14,-2.12,2.00,-2.75
CPCurrent_sq,,,,,0.26,30.53,-20.93,1.31,3.31,19.29,24.95,-12.28,-4.20,0.02,-1.83,1.63,0.50,-12.15,1.27,-0.74,2.07,0.90,-4.32,-1.31,-2.33,-1.43,2.37,-2.26
ZCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZCurrent_yy,,-375.00,563.16,,,143.18,,-51.69,-44.09,146.73,72.86,216.56,150.00,-55.87,-37.60,-18.71,31.75,266.95,222.19,210.15,92.02,45.61,17.37,-18.91,-7.01,-15.18,-6.83,9.65
ZCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZCurrent_qq,,,,,6.77,-38.33,30.84,-43.93,23.57,172.16,-8.33,2.69,-2.41,-51.96,29.61,33.77,58.17,33.80,13.80,28.78,-2.08,1.47,-8.27,-11.03,12.30,-7.45,0.76,4.70
ZCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZCurrent_yy,,,,,,-59.03,,107.48,79.02,-59.52,-42.06,-68.52,-60.03,126.19,60.02,23.05,-24.22,-72.69,-68.93,-67.76,-47.88,-31.33,-14.80,23.38,7.51,17.86,7.33,-8.82
CZCurrent_sy,,,,,,-65.46,,142.81,183.38,238.29,296.14,195.02,122.33,-32.03,-66.36,-66.79,-70.06,-53.22,-46.90,-26.58,-11.17,31.46,57.69,32.16,18.60,-10.07,-13.08,8.76
CZCurrent_qq,,,,,-6.33,62.22,-23.75,79.07,-19.17,-63.32,9.13,-2.71,2.62,107.60,-22.79,-25.18,-36.81,-25.19,-12.16,-22.35,2.15,-1.44,8.98,12.44,-10.98,8.04,-0.76,-4.48
CZCurrent_sq,,,,,13.29,52.22,35.44,3.96,32.23,81.71,58.59,-22.58,-0.35,-44.45,-21.50,-23.57,-10.17,-13.19,-10.90,5.67,8.68,28.47,6.88,-11.44,-2.47,-2.58,3.30,10.81
ZOCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZOCurrent_yy,,-650.00,1383.33,,,277.92,,-16.81,-33.16,6.25,9.69,35.94,37.05,-29.04,-15.07,-13.52,2.97,55.42,42.02,59.13,34.03,-0.53,-10.05,-30.89,-21.34,3.18,11.68,35.61
ZOCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZOCurrent_qq,,,,,19.83,-8.09,-8.52,-17.43,-3.73,46.12,-5.56,2.33,-2.95,-24.34,13.04,4.19,15.56,14.20,3.28,16.75,-2.68,-15.24,-6.60,-10.29,10.77,11.18,1.09,8.93
ZOCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZOCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZOCurrent_yy,,,,,,-73.51,,20.23,49.60,-5.92,-8.85,-26.45,-27.03,40.92,17.72,15.62,-2.90,-35.63,-29.60,-37.15,-25.39,0.51,11.21,44.70,27.15,-3.07,-10.45,-26.29
CZOCurrent_sy,,,,,,6.30,,123.07,165.33,18.53,32.70,21.53,-13.07,-7.07,-38.73,-48.00,-48.49,-53.88,-40.28,-17.83,-8.13,38.51,59.74,36.44,25.46,-2.36,-3.39,11.48
CZOCurrent_qq,,,,,-16.54,8.81,9.32,21.09,3.86,-31.58,5.92,-2.29,3.05,32.13,-11.52,-4.02,-13.46,-12.41,-3.23,-14.32,2.72,18.00,7.08,11.49,-9.74,-10.04,-1.08,-8.24
CZOCurrent_sq,,,,,11.37,92.97,-2.09,6.00,32.47,-13.79,9.62,-2.91,-5.24,-7.84,-27.73,-17.60,-6.13,-17.50,-6.42,13.38,4.95,24.39,7.92,-3.16,-3.50,-3.20,6.78,11.75
EVCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVCurrent_yy,,12.45,70.29,,,-6.48,,78.51,79.08,-1.54,-0.91,-2.79,-2.25,-1.18,-2.83,-3.45,-1.95,-5.18,-2.39,0.19,-2.53,-2.32,-1.24,-5.91,1.64,-3.48,3.20,6.45
EVCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVCurrent_qq,,,,,,79.05,-0.86,0.57,0.32,-1.56,-0.22,-1.34,0.88,-0.47,-1.90,-1.98,2.45,-3.75,0.99,0.61,-0.32,-3.55,2.11,-4.15,7.67,-8.41,9.18,-1.13
EVCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVPCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVPCurrent_yy,,,,,,-45.54,,70.62,73.42,-8.16,-10.36,-16.36,-16.31,-9.76,-12.48,-7.71,-1.66,-5.88,-1.59,-2.81,-6.44,-6.84,-12.06,-17.04,-11.82,-16.69,-2.40,1.13
EVPCurrent_sy,,,,,,4.07,,13.38,46.68,13.49,175.61,162.76,111.31,18.93,-9.19,-7.56,-9.65,-36.77,-32.84,-33.73,-32.11,1.60,2.37,4.25,13.40,-4.76,1.45,-1.00
EVPCurrent_qq,,,,,-4.99,74.31,1.76,1.24,-3.43,-7.69,-0.68,-5.54,-3.37,-0.46,-3.68,-0.39,2.97,-4.73,0.70,-1.62,-0.88,-5.14,-4.94,-7.19,5.37,-10.38,11.37,-3.84
EVPCurrent_sq,,,,,-6.97,128.57,-48.05,2.64,20.35,76.85,26.16,-2.14,-3.21,-0.46,-3.68,-0.39,-5.40,-30.34,2.31,-1.71,-3.09,4.26,3.09,0.09,5.41,-12.44,9.81,-2.33
EVEBITCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVEBITCurrent_yy,,84.79,113.18,,,-75.23,,114.62,167.90,-7.37,-9.68,-28.50,-28.67,39.27,14.39,11.63,-4.79,-38.97,-31.28,-37.03,-27.28,-1.82,9.83,36.16,29.24,-6.44,-7.59,-21.54
EVEBITCurrent_sy,,906.22,-36.14,,,-2.34,,125.37,199.65,26.63,85.36,38.66,-8.26,-19.25,-50.35,-40.79,-46.54,-46.65,-30.98,-18.17,-3.01,23.89,38.52,20.37,8.19,-11.11,-12.66,13.34
EVEBITCurrent_qq,,,,,-16.54,94.82,8.38,21.78,4.19,-32.64,5.68,-3.60,3.95,31.51,-13.20,-5.92,-11.34,-15.70,-2.27,-13.80,2.39,13.81,9.33,6.87,-2.81,-17.61,8.00,-9.27
EVEBITCurrent_sq,,,,,9.17,143.59,-16.65,1.68,45.15,2.93,22.01,-23.94,-3.97,-9.40,-24.98,-9.28,-13.30,-9.58,-2.94,7.56,2.75,15.50,8.51,-6.53,-7.65,-5.11,6.63,21.29
EVEBITDACurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVEBITDACurrent_yy,,83.86,108.24,,,-73.58,,88.04,126.33,-2.34,-2.80,-15.16,-12.31,24.20,5.50,1.85,-10.13,-31.33,-24.77,-29.37,-22.57,-3.41,4.94,21.69,20.35,-6.26,-4.38,-13.83
EVEBITDACurrent_sy,,6.64,-12.16,,,39.50,,65.97,100.50,-2.02,75.38,60.87,22.58,-22.04,-39.90,-37.86,-42.12,-30.59,-22.72,-15.30,-5.10,15.27,17.81,10.57,9.68,-14.57,-9.48,11.12
EVEBITDACurrent_qq,,,,,-15.87,86.73,6.25,12.66,1.26,-19.43,5.74,-1.66,4.66,14.12,-10.18,-5.07,-7.64,-12.81,-1.59,-10.87,1.25,8.77,6.91,3.36,0.13,-15.28,9.05,-6.85
EVEBITDACurrent_sq,,,,,5.49,146.59,-35.27,-1.44,27.44,20.51,15.86,-9.59,-2.89,-23.36,-10.69,-6.51,-9.55,-8.09,-0.55,2.47,1.33,11.64,1.64,-3.83,0.51,-13.05,7.69,18.06
ROE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROE_yy,,99.70,188.89,,,127.27,,,,110.00,69.78,212.50,142.41,-56.43,-40.58,-23.75,23.50,237.70,207.49,189.84,80.55,35.28,9.74,-16.18,-4.80,-10.41,-2.48,7.69
ROE_sy,,143.27,247.44,,,-25.40,,,,-26.00,-33.49,-53.60,-34.75,29.42,82.52,191.00,213.01,19.48,34.96,16.75,-9.39,-30.47,-39.39,-43.75,-29.23,-12.84,-7.03,1.05
ROE_qq,,,,,,,12.50,-43.11,23.44,165.82,-9.05,4.71,-4.25,-52.22,24.04,34.36,55.08,30.66,12.94,26.65,-3.39,-2.11,-8.37,-3.26,9.72,-7.87,-0.27,6.83
ROE_sq,,,,,,,-32.15,0.23,-26.22,47.48,-39.02,-30.07,3.75,192.53,-14.00,11.49,11.60,11.66,-2.86,-3.55,-13.39,-14.32,-15.32,-10.48,8.96,5.52,-9.67,-2.71
ROA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROA_yy,,99.77,169.77,,,156.67,,,,135.06,71.58,211.11,135.29,-57.46,-37.42,-20.24,32.50,266.23,219.61,205.22,84.91,40.43,10.74,-20.54,-5.87,-15.91,-8.03,6.77
ROA_sy,,170.43,324.38,,,22.69,,,,-30.76,-44.57,-62.94,-41.91,-10.79,69.44,197.52,219.40,44.05,58.82,40.27,24.69,-10.13,-31.30,-43.18,-36.10,-17.49,-18.87,-18.37
ROA_qq,,,,,,,23.38,-43.16,25.93,166.18,-9.94,3.07,-4.76,-51.88,32.47,31.37,58.21,33.02,15.60,25.46,-4.16,1.02,-8.84,-9.97,13.54,-9.76,-0.30,4.52
ROA_sq,,,,,,,-35.63,0.37,-36.51,68.79,-48.46,-32.89,-0.50,159.20,-2.11,17.84,6.82,16.90,7.93,4.07,-5.04,-15.74,-17.49,-13.93,6.78,8.80,-18.87,-13.40
OPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPM_yy,,,,,,119.85,,-20.49,-35.25,-0.87,-0.74,16.89,17.27,-35.20,-23.46,-17.30,3.27,54.32,43.07,54.48,28.71,-5.08,-19.90,-39.14,-31.69,-10.89,5.73,28.85
OPM_sy,,,,,,-24.92,,-36.71,-25.62,9.24,3.79,40.00,43.22,10.93,22.35,12.38,8.75,21.79,39.88,26.13,11.53,-12.02,-28.15,-34.21,-22.78,-11.59,-9.70,-5.62
OPM_qq,,,,,13.78,-10.56,-6.08,-16.82,-7.33,36.93,-5.95,-2.05,-7.03,-24.34,11.08,5.84,16.09,13.07,2.98,14.29,-3.27,-16.62,-13.10,-13.16,8.56,8.78,3.11,5.82
OPM_sq,,,,,-9.42,-5.05,-11.53,-16.82,6.44,39.46,-15.94,12.20,8.89,8.02,-7.29,3.06,5.37,20.98,6.48,-7.08,-6.83,-4.57,-13.04,-14.92,9.36,9.26,-11.18,-11.07
ROS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROS_yy,,,,,,41.67,,-53.96,-46.10,129.41,56.14,173.44,115.79,-59.49,-43.82,-22.29,31.71,262.03,225.00,200.74,84.72,39.16,4.62,-28.36,-19.30,-26.88,-12.06,4.10
ROS_sy,,,,,,-8.33,,-62.47,-61.96,-0.80,3.44,-35.20,-29.44,3.62,89.37,197.97,192.00,37.09,29.65,16.35,27.40,-12.46,-25.17,-28.11,-19.12,-12.46,-11.93,-14.56
ROS_qq,,,,,1.44,-39.72,34.12,-43.86,18.75,156.58,-8.72,-1.69,-6.29,-51.83,26.58,36.00,58.82,32.41,13.64,25.85,-2.44,-0.25,-14.57,-13.82,9.90,-9.63,2.75,2.01
ROS_sq,,,,,-19.51,-23.16,-41.92,4.47,-18.42,100.40,-39.44,-34.55,-11.17,194.29,10.68,2.98,-12.95,38.16,4.67,-7.58,-4.69,-5.07,-10.52,-11.21,7.23,2.75,-9.98,-13.86
RS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS_yy,,,,,,128.57,,-18.23,-32.86,-22.57,-23.84,-10.15,-11.76,-13.90,5.34,14.25,41.60,57.55,42.40,49.25,29.19,-12.23,-21.52,-40.06,-38.48,-6.78,-3.92,15.87
RS_sy,,,,,,-17.02,,-41.55,-35.11,8.34,-4.34,32.67,50.82,8.39,32.17,18.97,11.39,28.76,45.61,30.98,22.55,-12.96,-27.76,-22.53,-11.66,-0.76,-1.67,-25.71
RS_qq,,,,,14.26,-9.00,-6.08,-16.27,-6.18,4.94,-7.62,-1.21,-7.86,2.40,13.02,7.14,14.19,13.94,2.15,12.30,-1.15,-22.59,-8.66,-14.23,1.44,17.30,-5.86,3.43
RS_sq,,,,,-15.48,-8.47,-9.76,-16.27,-6.18,52.82,-20.32,16.14,6.66,9.83,-2.84,4.53,-0.14,26.96,9.87,-5.97,-6.57,-9.83,-8.81,0.83,6.55,1.29,-9.64,-23.82
GPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPM_yy,,,,,,20.93,,-56.32,-56.37,153.85,62.59,181.93,144.94,-57.20,-41.84,-23.08,29.36,226.55,200.72,183.89,73.76,11.38,-17.46,-47.36,-37.14,-21.90,-5.22,36.43
GPM_sy,,,,,,-15.67,,-44.51,-49.92,6.35,1.02,-30.87,17.55,-5.88,76.91,144.27,82.82,51.72,55.79,40.16,28.27,-8.96,-26.18,-31.55,-19.94,-11.41,-14.75,-18.32
GPM_qq,,,,,7.37,-49.02,41.35,-43.54,7.23,196.63,-9.47,-2.09,-6.84,-48.17,23.01,29.50,56.67,30.85,13.28,22.25,-4.11,-16.12,-16.06,-22.03,14.50,4.22,1.87,12.23
GPM_sq,,,,,-11.71,-8.54,-37.81,10.50,-20.32,94.21,-40.92,-24.39,35.50,55.49,11.05,4.40,1.41,29.04,14.03,-6.07,-7.19,-8.41,-7.54,-12.91,8.55,1.35,-11.03,-16.56
RBS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RBS_yy,,,,,,101.04,,12.38,3.69,13.08,6.19,4.14,-1.13,-6.77,,7.48,18.67,25.31,23.33,23.32,16.08,-1.04,-11.41,-21.37,-22.59,-8.76,-1.85,8.02
RBS_sy,,,,,,-5.38,,-20.65,-15.57,16.91,-2.69,12.42,13.90,-1.07,,15.46,18.57,21.82,29.26,26.29,19.54,2.58,-11.88,-9.66,-5.11,2.65,5.15,-6.83
RBS_qq,,,,,10.89,-2.43,4.22,-0.33,2.32,6.40,-2.13,-2.26,-2.86,0.33,4.98,5.05,7.25,5.94,3.32,5.04,0.96,-9.69,-7.50,-6.76,-0.61,6.45,-0.51,2.61
RBS_sq,,,,,-5.43,-11.36,-6.61,1.34,0.63,22.75,-22.26,17.08,1.96,6.61,4.14,2.00,4.70,9.53,10.50,-0.34,-0.89,-6.01,-5.07,2.17,4.10,1.67,-2.76,-9.48
ROPA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROPA_yy,,99.66,300.00,,,299.24,,,,0.76,9.09,33.07,28.84,-31.64,-15.24,-14.51,3.56,55.10,41.49,56.05,29.29,-4.09,-15.08,-32.34,-20.47,2.04,10.18,32.16
ROPA_sy,,482.42,187.64,,,-21.78,,,,-12.26,-14.52,-9.53,48.40,-4.95,15.88,33.16,25.85,60.03,63.70,42.48,17.30,-21.82,-32.55,-49.52,-38.87,-20.32,-17.27,-3.52
ROPA_qq,,,,,,,-14.42,-16.19,-1.85,43.13,-7.34,2.24,-4.97,-24.06,14.88,3.12,15.12,13.74,4.80,13.73,-4.62,-15.62,-7.22,-9.38,12.11,8.25,0.18,8.70
ROPA_sq,,,,,,,-19.54,1.59,-31.56,56.85,-21.62,7.52,12.26,0.46,-4.44,23.56,6.10,27.75,-2.25,7.54,-12.65,-14.85,-15.67,-19.52,5.77,11.00,-12.44,-6.14
ZNPO,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZNPO_yy,,-86.44,-69.80,,,386.79,,30.91,141.81,75.87,-35.04,73.71,-19.18,-71.82,-68.37,-53.48,0.43,163.54,363.67,675.94,248.28,162.31,43.32,-65.48,-46.50,-56.15,-31.46,56.42
ZNPO_sy,,42.97,337.18,,,27.03,,-26.26,5.88,-21.19,-17.03,-39.67,-59.98,-38.55,2.23,53.36,156.78,61.89,62.86,51.54,24.97,15.85,5.18,-12.02,-21.44,-35.75,-33.36,-5.09
ZNPO_qq,,,,,-3.43,74.32,146.66,-68.47,78.38,26.79,-8.90,-15.69,-17.00,-55.79,2.25,24.00,79.18,16.01,79.90,107.51,-19.57,-12.63,-1.71,-50.02,24.64,-28.38,53.63,14.06
ZNPO_sq,,,,,-22.60,42.78,-35.81,3.96,11.13,6.28,-32.42,-24.41,-26.28,63.18,12.42,13.40,23.43,2.88,13.10,5.52,1.80,-4.63,2.68,-11.74,-9.10,-22.01,6.51,25.70
ZFI,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZFI_yy,,,-37.37,,,-12.94,,-8540.23,,-1420.76,71.77,113.72,,110.47,4.52,11.05,24.67,15.60,2.45,78.86,-56.80,-37.03,14.65,-63.67,235.96,-23.50,-38.72,30.20
ZFI_sy,,,-25.10,,,34.54,,-5.16,,-24.81,27.98,21.28,,65.43,25.42,13.79,14.91,-28.98,1.21,3.71,-20.58,1.92,-3.20,-18.98,25.08,-7.18,-18.52,14.21
ZFI_qq,,,,,825.88,-22.15,16.74,-1103.01,,,115.18,-19.90,-1.76,-12.33,51.51,-14.89,10.28,-18.71,34.27,48.58,-73.37,18.51,144.47,-52.91,146.27,-73.02,95.85,0.04
ZFI_sq,,,,,10.26,16.34,-33.19,10.66,,,13.73,4.86,-1.32,40.57,-13.78,-4.86,-0.35,-13.12,22.87,-2.51,-23.69,11.50,16.69,-18.40,17.82,-17.26,2.43,14.38
DTAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTAR_yy,,34.05,17.16,,,-6.85,,,,-7.38,-1.04,0.47,2.46,1.67,-3.68,-3.83,-5.37,-6.01,-3.43,-4.01,-1.96,-3.17,-0.90,4.68,0.89,5.69,5.17,0.69
DTAR_sy,,35.69,-0.79,,,-4.26,,,,-12.25,34.99,41.58,21.65,11.12,3.21,7.27,8.37,-5.33,-8.36,-14.33,-12.77,-10.45,-2.33,0.51,6.79,12.83,6.70,6.66
DTAR_qq,,,,,,,-5.66,-0.02,-1.69,-0.12,0.81,1.50,0.26,-0.89,-4.50,1.34,-1.34,-1.56,-1.88,0.73,0.76,-2.77,0.42,6.40,-2.88,1.85,-0.07,1.87
DTAR_sq,,,,,,,-32.16,0.22,12.46,14.77,4.35,5.11,-3.36,4.83,-3.07,9.24,-2.37,-8.42,-6.17,2.11,-0.59,-5.99,2.34,5.08,5.62,-0.66,-3.22,5.04
CG,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CG_yy,,77.82,50.26,,,-17.72,,,,-17.10,-2.42,1.13,5.89,3.97,-8.22,-8.68,-11.97,-13.14,-7.33,-8.67,-4.28,-6.70,-1.89,10.69,1.97,12.80,11.62,1.57
CG_sy,,84.05,6.01,,,-12.50,,,,-23.35,78.22,86.39,33.23,17.94,1.04,16.46,18.40,-10.43,-11.74,-25.67,-21.43,-19.22,-8.81,-0.76,10.89,24.99,16.15,20.31
CG_qq,,,,,,,-13.43,-0.05,-3.90,-0.30,1.90,3.59,0.63,-2.12,-10.04,3.06,-3.00,-3.41,-4.03,1.58,1.66,-5.85,0.91,14.61,-6.35,4.15,-0.15,4.30
CG_sq,,,,,,,-52.96,0.33,30.47,24.48,9.38,4.92,-6.74,10.19,-6.29,20.93,-5.19,-16.64,-7.66,1.84,0.22,-14.30,4.25,10.84,11.99,-3.41,-3.12,14.80
LDER,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LDER_yy,,,33.23,,,-9.16,,,,-21.44,-7.50,-20.60,2.82,5.35,-1.39,10.14,-18.33,-22.46,-19.65,-11.41,-7.71,-2.46,-1.84,-3.57,9.30,8.22,18.83,4.79
LDER_sy,,,-58.43,,,29.15,,,,-46.58,139.70,40.33,61.71,47.12,-12.04,53.03,17.44,-4.17,-16.09,-24.59,-28.89,-7.69,-8.67,5.34,30.47,25.43,36.40,57.87
LDER_qq,,,,,,,-16.72,1.93,-3.12,-4.47,-1.93,-12.52,25.46,-2.12,-8.21,-2.28,-6.98,-7.07,-4.88,7.74,-3.10,-1.78,-4.28,5.84,9.83,-2.75,5.10,-6.66
LDER_sq,,,,,,,-59.16,0.14,8.79,20.08,83.22,-41.37,25.37,9.24,9.54,2.00,-3.79,-10.86,-4.08,-8.34,-9.27,15.72,-5.10,5.73,12.38,11.25,3.19,22.38
PZAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PZAT_yy,,,-58.58,,,-6.85,,,,8.42,4.84,22.77,-4.83,-3.74,0.91,-9.62,21.09,21.33,17.59,2.86,-0.89,-7.31,-6.99,4.87,-8.54,-2.75,-11.75,-4.87
PZAT_sy,,,39.32,,,-17.08,,,,19.55,-22.04,-13.70,-29.34,-26.80,-15.85,-32.66,-29.40,21.37,26.06,41.45,35.98,13.80,9.75,0.08,-13.00,-11.84,-15.65,-13.59
PZAT_qq,,,,,,,4.63,-1.17,1.64,3.16,1.17,15.74,-21.21,4.34,6.06,3.66,5.55,4.55,2.79,-9.32,1.71,-2.22,3.15,2.24,-11.30,3.97,-6.39,10.20
PZAT_sq,,,,,,,34.85,5.77,18.82,-29.46,-12.07,17.09,-2.72,-26.92,1.09,-6.30,2.00,25.63,5.00,5.14,-1.95,5.13,1.26,-4.13,-14.76,6.53,-3.11,-1.78
PELDR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PELDR_yy,,,0.64,,,10.15,,,,2.32,-0.84,-7.89,3.93,2.26,1.13,7.07,-6.07,-5.05,-4.12,2.68,4.31,7.67,7.12,-4.04,2.36,-1.64,3.11,2.45
PELDR_sy,,,19.13,,,5.81,,,,2.36,-4.15,-6.11,-4.33,-3.87,-1.87,1.79,2.04,6.10,6.62,2.68,3.92,1.22,1.73,1.34,2.57,0.02,1.35,-1.94
