,2010/Q4,2011/Q4,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
SP2,290,340,5140,4030,2830,2610,2150,2220,2040,3820,2990,2830,2050,6570,4010,2610,2490,2500,1690,1340,1310,960,1770,1770,1620,1210
CAR,110,70,33110,24830,13360,36780,10990,6720,5760,9720,2080,1660,1120,7390,5710,4520,23100,25260,1560,1360,1220,220,4470,2960,2620,760
QR,160,80,34180,25130,14000,38040,10650,8170,8640,11880,1550,1250,880,7140,5700,4650,27890,30810,1850,1570,1940,380,4690,3180,2690,800
CR,310,220,34480,25600,14160,38650,11320,8630,9170,12380,2510,2180,1460,8080,6560,5580,27890,31000,3070,2029,2730,850,5520,4340,4050,1390
PP,110,70,33110,24830,13360,36780,10990,6720,5760,9720,2080,1660,1120,7390,5710,4520,23100,25260,1560,1360,1220,240,4500,2980,2640,770
RCLR,200,150,1370,760,630,1280,310,460,540,490,90,60,50,190,240,310,510,650,280,170,720,80,190,130,120,30
KP,-540,-560,790,730,620,610,510,510,480,690,460,420,240,760,660,540,580,590,340,200,210,-30,400,380,340,120
PKKO,2930,3160,6520,-44450,-26450,-17760,-2340,-11510,-9270,-25600,-19640,-19320,-14880,-161530,-152630,-133580,-126310,-129030,-70400,45290,-20100,1230,-13680,-7900,-6920,-2560
RN,50,,,,,,,,,,,,,,,,,,,300,220,240,310,190,400,460
CRN,8054000,,,,,,,,,,,,,,,,,,,1216000,1675000,1492000,1195000,1893000,902000,801000
CPZ,40241000,,,,,,,,,,,,,,,,,,,4920000,4803000,5634000,4833000,7688000,7275000,8621000
RZ,,,,,,,-859780,,,,,,,,,,,,,290,290,270,270,130,120,140
CRZ,,,,,,,0,,,,,,,,,,,,,1268000,1242000,1353000,1361000,2814000,3104000,2703000
RMO,30,,,,,,,,,,,,,,,,,,,20,20,30,30,20,10,10
RMT,10,,,,,,,,,,,,,,,,,,,20,20,20,20,10,10,10
RM,10,,,,,,,,,,,,,,,,,,,10,10,10,10,10,10,10
COP,,,,,,,,,,,,,,,,,,,,2484000,2917000,2845000,2556000,4707000,4006000,3504000
CSP,,,,,,,,,,,,,,,,,,,,-2436000,-1886000,-2789000,-2277000,-2981000,-3269000,-5117000
