,2006/Q4,2007/Q4,2008/Q4,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
RCLR,610,500,430,220,300,480,440,380,510,330,420,310,350,830,740,460,700,590,620,370,510,300,350,360,520,460,380,370,480,670,570,630,570,340,490,610,530,310,420,400
KP,50,-10,-30,-80,160,240,190,160,150,90,60,0,-40,30,60,50,50,0,0,-50,-40,-60,-60,-70,50,-10,10,-10,10,60,80,70,100,30,40,30,20,0,10,20
PKKO,110,-20,-80,-280,680,970,760,650,590,380,240,-10,-170,130,240,200,170,10,10,-190,-190,-240,-250,-260,170,-30,20,-30,40,140,190,160,210,110,140,100,60,-30,60,140
RN,9340,8490,7570,7820,7830,8189,8310,8410,8400,8440,8340,8170,8020,7390,7300,7220,7140,7250,7160,7030,6120,6240,6180,5950,6500,6330,6450,6800,6990,7360,7460,7330,7610,7400,7420,6790,5910,6010,5700,6230
CRN,39000,43000,48000,47000,47000,45000,44000,43000,43000,43000,44000,45000,46000,49000,50000,51000,51000,50000,51000,52000,60000,58000,59000,61000,56000,58000,57000,54000,52000,50000,49000,50000,48000,49000,49000,54000,62000,61000,64000,59000
CPZ,64000,85000,113000,161000,158000,150000,135000,113000,97000,106000,108000,117000,131000,110000,95000,89000,78000,83000,88000,97000,119000,136000,152000,160000,149000,140000,134000,123000,124000,108000,97000,86000,78000,100000,102000,111000,128000,127000,140000,142000
RZ,18360,15400,20760,14490,14120,13580,14450,14470,15500,14610,15700,17720,17910,20300,19930,16050,16250,17010,15670,16210,15750,13310,13320,14140,14720,14250,13170,11720,10890,16920,17150,19850,21020,15740,18140,18780,18490,11890,11420,10580
CRZ,20000,24000,18000,25000,26000,27000,25000,25000,24000,25000,23000,21000,20000,18000,18000,23000,22000,21000,23000,23000,23000,27000,27000,26000,25000,26000,28000,31000,34000,22000,21000,18000,17000,23000,20000,19000,20000,31000,32000,34000
RMO,3900,4500,3810,2910,2040,1510,1520,1390,1500,1630,1820,2050,2360,3050,3490,3400,3350,3340,3460,3780,3550,3380,3210,3100,2970,2970,2830,2800,2960,3010,2950,2870,2700,2380,2480,2480,2430,2550,2440,2440
RMT,780,710,750,740,750,720,730,690,660,630,600,550,490,520,560,610,670,650,610,600,600,600,600,600,590,580,550,530,500,540,560,600,630,610,620,630,610,590,540,530
RM,650,620,620,590,550,490,490,460,460,450,450,440,410,440,490,520,560,540,520,520,510,510,510,500,490,490,460,440,430,450,470,500,510,480,500,500,490,480,440,430
COP,59000,67000,66000,72000,73000,72000,69000,68000,67000,68000,67000,66000,66000,67000,68000,74000,73000,71000,74000,75000,83000,85000,86000,87000,81000,84000,85000,85000,86000,72000,70000,68000,65000,72000,69000,73000,82000,92000,96000,93000
CSP,-5000,-18000,-47000,-89000,-85000,-78000,-66000,-45000,-30000,-38000,-41000,-51000,-65000,-43000,-27000,-15000,-5000,-12000,-14000,-22000,-36000,-51000,-66000,-73000,-68000,-56000,-49000,-38000,-38000,-36000,-27000,-18000,-13000,-28000,-33000,-38000,-46000,-35000,-44000,-49000
