,2006/Q4,2007/Q4,2008/Q4,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
PP,110,290,830,980,1510,910,890,530,340,160,10,90,60,80,30,100,10,490,50,110,230,530,690,640,320,300,330,240,270,290,610,420,390,230,330,,100,210,340,210
RCLR,2070,1020,2290,2460,2480,1110,1000,1220,1070,1000,1130,970,960,990,1100,1120,1140,1040,1270,1220,1670,1070,1200,1310,1230,1110,1060,1240,1130,1110,1070,1120,1290,1300,1060,,1210,1150,990,1100
KP,530,260,640,690,750,520,380,330,230,110,90,50,70,50,100,160,150,300,230,230,410,350,310,300,210,190,180,190,180,180,240,210,250,240,180,,180,150,140,150
PKKO,110,100,340,400,440,370,310,170,280,50,40,30,30,-880,-1990,-2710,-2190,-8960,-8970,-6790,-24820,-60280,-52850,-57920,-24870,-20700,-15330,-12850,-9480,-8870,-8410,-6810,-7340,-8320,-5670,,-5550,-4580,-3150,-2870
RN,5720,4380,2600,2570,2650,2590,3260,3520,3680,3880,3560,4150,4220,4390,4720,4790,4830,5560,5010,4590,4610,4080,4500,4980,5150,5080,4820,4430,4380,4320,4350,4450,4400,4330,4270,4280,4010,4180,4140,4260
CRN,64000,83000,140000,142000,138000,141000,112000,104000,99000,94000,103000,88000,86000,83000,77000,76000,76000,66000,73000,80000,79000,89000,81000,73000,71000,72000,76000,82000,83000,85000,84000,82000,83000,84000,86000,85000,91000,87000,88000,86000
CPZ,31000,81000,82000,71000,56000,72000,73000,81000,90000,88000,94000,84000,86000,82000,77000,74000,69000,60000,62000,67000,63000,72000,67000,59000,59000,60000,65000,71000,74000,75000,74000,74000,73000,70000,72000,70000,76000,76000,79000,77000
RZ,,,,,,,,,,,,,112410,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRZ,,,,,,,,,,,,,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMO,5280,3230,1890,1820,1760,1560,1830,1960,2220,2700,2890,3600,3790,4019,4290,4330,4460,4730,4350,4010,3950,3320,3220,3320,3460,3580,3510,3380,3360,3330,3240,3210,3120,3100,3120,3180,3100,3270,3270,3370
RMT,141340,42670,43070,36030,30790,29820,19760,13140,10400,8760,8490,9470,10530,11110,12440,13510,14710,18030,21390,24280,25100,25970,11160,7800,6350,5340,4920,4480,4500,4520,4330,4400,4230,4250,4090,4120,3940,3690,3680,3780
RM,5090,3000,1810,1730,1660,1480,1670,1710,1830,2060,2160,2610,2790,2950,3190,3280,3420,3750,3610,3440,3410,2940,2500,2330,2240,2140,2050,1930,1920,1920,1850,1860,1800,1790,1770,1790,1740,1730,1730,1780
COP,,,,,,,,,,,,,89000,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSP,,,,,,,,,,,,,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,
