,2005/Q4,2006/Q4,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
NetDebtEBITDA,,3660,4980,5070,5000,,17160,17170,15180,,10560,11190,12590,,4800,4680,6930,,166230,-91400,100370,,10320,6580,5660,4630,11550,12450,19950,77500,-20740,-14790,-22730,-34580,11340,11950,12700,8360,3600,2510,3280,3750,13600,14380,12040
DebtFin,57298000000,65022000000,177263000000,177763000000,191348000000,,238386000000,256089000000,260179000000,,185893000000,154794000000,121339000000,,81970000000,76143000000,116217000000,,108424000000,114842000000,122267000000,,145753000000,144721000000,122818000000,114438000000,107080000000,87807000000,135879000000,139951000000,160832000000,175262000000,184484000000,183914000000,145580000000,108755000000,120589000000,137759000000,157036000000,157903000000,194573000000,248914000000,146368000000,126773000000,132850000000
DebtFinEBITDA,,1680,3490,3470,3510,,12650,12660,10970,,6590,5880,5350,,2440,2250,4040,,74980,-37930,41250,,5390,3730,2950,2380,5530,5460,10950,40750,-10600,-7580,-10990,-17090,5370,4260,4590,3510,1840,1570,2150,3320,6740,7050,4510
SP1,190,1720,99080,92220,72760,,75030,76060,59010,,27400,29850,21430,,19780,16880,18680,,16990,17440,16420,,12160,12160,13950,13500,9910,9970,9970,9760,8900,8790,9240,8760,9870,9780,14800,14110,16400,16680,16200,15600,12950,12420,13770
SP2,3140,3380,155700,150220,117220,,113270,96640,71640,,35550,35960,25450,,22560,21530,27690,,21810,22430,21320,,16239,16170,18310,17860,13220,12820,13910,13980,13760,13300,14130,13160,14680,14130,18940,19050,23310,23550,25900,24860,19620,18060,20720
CAR,300,500,430,450,380,,200,100,70,,260,200,220,,480,630,800,,450,380,330,,280,290,470,500,440,500,490,470,500,340,340,340,540,500,290,350,300,420,270,360,340,400,310
QR,-10,120,490,370,260,,350,0,140,,340,270,250,,550,710,1100,,510,440,410,,470,530,670,780,760,800,600,570,580,450,460,430,660,590,450,480,640,840,1030,970,880,540,440
CR,2380,3130,3480,3800,3620,,2970,2230,2110,,2950,2670,2610,,3280,5510,5130,,3410,3100,3060,,4310,5080,4300,5000,5650,4920,5850,6000,5470,4530,3840,3750,4300,3790,2820,3060,3140,3530,4600,4360,3580,3500,2770
PP,300,500,430,450,380,,200,100,70,,260,200,220,,480,630,1010,,450,380,340,,280,290,470,500,440,530,510,480,520,360,370,360,560,530,330,390,320,430,300,430,360,460,370
RCLR,210,280,380,310,260,,140,80,70,,80,70,30,,70,80,90,,60,60,70,,190,240,200,270,310,270,90,100,60,90,90,70,100,70,120,90,160,410,250,90,100,80,70
KP,460,540,710,730,720,,660,550,520,,650,610,600,,670,790,780,,680,660,650,,730,760,730,760,770,750,780,780,770,730,700,690,730,700,620,650,660,690,760,750,690,690,620
PKKO,,5090,6120,6400,6080,,10110,8050,6160,,6360,5480,5200,,2550,2680,3420,,7140,10390,7220,,3900,3220,2890,2690,3510,3150,3560,4090,4600,5060,5110,3940,2770,2640,2290,2280,1350,1140,1300,1420,2540,2780,2360
RN,,2590,3010,2590,2660,2910,1860,2380,3730,3540,5300,6240,7740,13210,17300,23020,19320,10810,8390,5260,6470,7140,8990,8550,7800,8210,5580,5760,6510,7210,8590,10560,9560,11470,15930,16140,13800,13430,17110,12550,11830,11340,6350,9650,15330
CRN,,141000,121000,141000,137000,126000,197000,153000,98000,103000,69000,59000,47000,28000,21000,16000,19000,34000,44000,69000,56000,51000,41000,43000,47000,44000,65000,63000,56000,51000,42000,35000,38000,32000,23000,23000,26000,27000,21000,29000,31000,32000,57000,38000,24000
CPZ,,507000,375000,420000,433000,397000,861000,1049000,1059000,1117000,907000,814000,777000,455000,374000,283000,240000,430000,599000,1067000,894000,810000,417000,284000,223000,198000,259000,245000,235000,259000,320000,409000,457000,409000,267000,279000,289000,283000,195000,166000,148000,140000,265000,304000,291000
RZ,,180,230,180,150,170,80,80,100,100,120,130,130,240,290,330,320,180,130,80,110,130,220,270,310,340,260,290,280,240,220,180,180,220,310,320,340,360,540,660,690,680,380,330,380
CRZ,,2047000,1573000,2067000,2399000,2182000,4380000,4446000,3814000,3723000,3016000,2838000,2780000,1539000,1249000,1102000,1158000,2006000,2895000,4474000,3238000,2824000,1654000,1338000,1187000,1074000,1390000,1253000,1311000,1511000,1698000,2026000,2067000,1682000,1170000,1149000,1078000,1026000,678000,550000,532000,537000,962000,1113000,956000
RMO,,230,330,260,230,250,120,120,150,140,170,180,170,290,350,380,340,190,140,90,130,140,260,330,360,400,280,300,290,250,210,170,170,210,340,330,350,380,590,710,720,690,350,300,370
RMT,,910,3420,7200,44040,48060,21810,20820,22780,21610,15300,11790,8300,14160,13940,11800,10180,5690,4019,2930,3930,4340,6800,7250,7380,8189,5430,5420,4770,3850,3190,2610,2720,3440,5700,5860,6810,8270,14810,20950,21870,22000,10460,8490,10230
RM,,180,300,260,230,250,120,120,140,140,170,170,170,290,340,370,330,190,130,90,120,140,250,310,340,380,270,290,280,240,190,160,160,200,320,320,340,360,570,690,690,670,340,290,350
COP,,2188000,1694000,2208000,2536000,2308000,4577000,4599000,3912000,3826000,3085000,2897000,2827000,1567000,1270000,1118000,1177000,2040000,2939000,4543000,3294000,2875000,1695000,1381000,1234000,1118000,1455000,1316000,1367000,1562000,1740000,2061000,2105000,1714000,1193000,1172000,1104000,1053000,699000,579000,563000,569000,1019000,1151000,980000
CSP,,1681000,1319000,1788000,2103000,1911000,3716000,3550000,2853000,2709000,2178000,2083000,2050000,1112000,896000,835000,937000,1610000,2340000,3476000,2400000,2065000,1278000,1097000,1011000,920000,1196000,1071000,1132000,1303000,1420000,1652000,1648000,1305000,926000,893000,815000,770000,504000,413000,415000,429000,754000,847000,689000
