,2007/Q4,2008/Q4,2009/Q4,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
ZOCurrent,590,880,1170,1680,1540,1480,1920,1810,2100,2210,2220,2280,2410,2440,2180,2210,2110,2120,1990,1400,-2020,-2340,-2600,-2320,800,760,740,590,370,500,1180,1590,2120,2290,2450
CZOCurrent,23650,15840,11950,8320,9100,9440,7300,7720,6660,6340,6320,6140,5820,5750,6420,6340,6650,6600,7040,10030,,,,,17490,18340,18880,23870,37570,27850,11850,8810,6610,6120,5710
EVCurrent,14140,13750,14920,14000,11570,13700,13660,14000,13550,13800,13850,14000,13640,13170,13310,13580,13600,13780,13820,13610,13370,13600,13610,14020,13710,13770,13350,13670,13810,13350,13200,13630,13020,13070,12800
EVPCurrent,2890,2530,3600,3020,2880,3200,2680,2630,2300,2190,2029,1930,1730,1570,1640,1630,1750,1830,1920,2130,2510,2940,3200,3090,2250,1920,1630,1520,1490,1400,1260,1260,1090,1060,1000
EVEBITCurrent,23890,15560,12730,8320,7520,9240,7120,7720,6440,6250,6250,6140,5670,5410,6110,6150,6460,6490,6950,9750,-6630,-5820,-5230,-6040,17130,18030,18010,23300,37050,26570,11170,8580,6150,5710,5220
EVEBITDACurrent,23890,15560,9780,6070,6300,7640,6080,6460,5460,5250,5180,5030,4600,4300,4620,4570,4630,4570,4800,5920,-11810,-8620,-7120,-8130,9640,9130,8370,8960,10830,9830,6720,5900,4670,4460,4130
DTAR,210,190,340,,130,140,170,,120,110,140,,100,110,150,140,170,180,170,180,240,180,150,160,320,320,330,320,280,250,270,210,330,300,310
CG,270,240,510,,150,160,210,,140,120,160,,110,120,180,170,210,210,200,210,320,220,180,190,470,480,500,470,390,340,380,270,500,440,460
LDER,10,0,210,,50,40,40,,20,20,10,,20,20,30,30,40,40,40,40,20,20,30,30,90,40,40,40,20,20,20,20,20,20,70
PZAT,14450,264670,310,,380,450,680,,1090,2090,3360,,1900,1460,1160,900,720,590,520,450,1800,1130,870,760,2610,5780,5030,4920,7620,7260,7430,7110,7290,5870,1790
PELDR,1220,1340,1370,,2360,2280,1960,,1860,1850,1570,,1640,1700,1340,1370,1430,1670,1760,1530,1580,1660,1750,1800,1010,1100,1140,1140,1100,1230,1310,1220,1140,1270,1410
TSF,780,800,800,,910,900,860,,890,900,870,,910,910,870,890,860,860,870,860,770,840,870,870,750,700,690,710,730,760,740,800,670,700,720
ZKO,620,500,820,,220,230,310,,240,220,320,,230,240,460,430,430,370,340,400,470,370,320,330,1250,1110,1040,1030,810,730,690,610,800,740,700
OSF,720,650,920,,490,500,580,,440,390,490,,370,390,590,550,600,580,560,590,730,590,510,540,1160,1050,1010,1010,870,820,820,730,900,850,850
NetDebt,3031000000,2524000000,5637000000,,-7363000000,-8547000000,-5159000000,,-6752000000,-5960000000,-264000000,,-2883000000,-3223000000,2634000000,3510000000,5426528000,6386000000,6637346000,6007283000,6082404000,4389659000,3460805000,4885080000,11660664000,12235097000,11304180000,11590157000,10538630000,7786915000,8682784000,7312997000,13824698000,12035066000,12328785000
NetDebtEBITDA,1570,880,1130,,-990,-1170,-570,,-670,-560,-20,,-240,-260,230,290,450,520,570,640,-1320,-680,-450,-700,2020,2000,1740,1870,2009,1390,1070,770,1200,1000,970
DebtFin,461000000,-810000000,2993000000,,-9891000000,-1224000000,-1384000000,,-1830000000,-795000000,-617000000,,-1449000000,-3377000000,-2813000000,-1705000000,-1621079000,-895000000,-732899000,-1602638000,-2548446000,-1616559000,-1578213000,100217000,-1170470000,-954360000,-2628414000,-1359780000,-799460000,-2662351000,-3300889000,-1533279000,-4043297000,-3810965000,-4955207000
DebtFinEBITDA,240,-280,600,,-1330,-170,-150,,-180,-70,-60,,-120,-270,-240,-140,-140,-70,-60,-170,550,250,200,-10,-200,-160,-410,-220,-150,-480,-410,-160,-350,-320,-390
SP1,1170,1290,1130,,2250,2190,1880,,1820,1810,1530,,1620,1630,1270,1290,1380,1580,1660,1470,1550,1560,1610,1640,930,950,980,990,1080,1130,1180,1190,1120,1160,1210
SP2,1180,1290,1370,,2360,2280,1950,,1860,1840,1550,,1640,1660,1300,1330,1430,1640,1720,1530,1580,1600,1650,1700,1010,980,1020,1030,1100,1160,1210,1220,1140,1180,1300
CAR,80,280,180,,3580,870,600,,780,510,320,,410,840,600,410,280,190,120,260,310,300,370,110,160,120,230,150,90,280,290,190,240,270,350
QR,1510,1840,2090,,6730,5950,3870,,4940,5220,3270,,5070,4610,2300,2720,2860,3230,3540,3090,2240,2800,3330,3300,970,710,780,800,1320,1280,1310,1770,1310,1260,1450
CR,1650,2000,2090,,6730,5980,3900,,4940,5290,3340,,5070,4830,2510,2940,2860,3340,3690,3090,2240,2980,3710,3700,970,980,1050,1070,1320,1480,1530,1770,1310,1440,1700
PP,160,280,220,,3580,3480,2120,,2740,2620,1120,,1960,1960,600,410,280,190,120,260,310,300,370,110,160,120,230,150,90,280,290,190,240,270,350
RCLR,1200,1120,1050,,2910,2420,1740,,2120,2600,2140,,3030,2510,1680,2130,2550,3110,3510,2750,1850,2660,3310,3520,760,830,780,890,1150,1160,1190,1440,1020,1100,1290
KP,130,190,220,,520,500,420,,410,410,310,,360,360,200,220,260,330,360,300,280,320,350,360,-10,-10,20,20,80,110,140,150,100,120,180
PKKO,190,300,680,,2960,2560,1800,,1530,1420,840,,850,840,390,440,580,830,950,800,620,710,800,850,-20,-10,30,40,130,180,220,230,180,220,330
RN,3800,4490,3410,3810,1610,1750,2090,2180,2490,2600,2730,2900,3000,3220,3430,3600,3060,2430,1840,1450,1200,1120,1140,1240,1890,2390,2950,3650,3470,3500,3590,3660,3650,3430,3250
CRN,96000,81000,107000,96000,226000,209000,175000,167000,146000,140000,134000,126000,122000,113000,106000,101000,119000,150000,198000,252000,304000,326000,319000,293000,193000,153000,124000,100000,105000,104000,102000,100000,100000,106000,112000
CPZ,80000,72000,102000,92000,78000,79000,77000,74000,71000,67000,59000,55000,48000,45000,45000,44000,54000,62000,69000,84000,112000,125000,127000,110000,92000,101000,114000,122000,116000,107000,93000,82000,86000,93000,96000
RZ,11954000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRZ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMO,2750,2520,1700,1910,700,730,890,930,1060,1190,1400,1480,1710,1880,2000,2200,2110,2009,1650,1330,1080,1000,1000,1110,1680,2100,2480,2920,2860,2830,2920,2960,2870,2680,2520
RMT,1390,1530,1200,1340,1110,1150,1310,1360,1360,1330,1350,1430,1490,1510,1420,1440,1320,1290,1250,1110,1000,920,890,1050,1190,1220,1230,1220,1310,1390,1560,1640,1740,1730,1720
RM,920,950,700,790,430,450,530,550,600,630,690,730,800,840,830,870,810,790,710,610,520,480,470,540,700,770,820,860,900,930,1020,1060,1080,1050,1020
COP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
