,2005/Q4,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
RCLR,620,3550,830,640,,470,550,590,,350,380,360,,440,510,540,,530,580,600,,610,670,600,650,760,770,810,780,1180,1040,1070,1230,1010,1330,1340,1000,1340,1380,1380,1200,1390,1750,1310,1050,1050,1430,1530
KP,-210,590,440,380,,100,100,140,,-120,-140,-110,,-90,-80,-60,,-90,-70,-100,,-60,-80,-130,-90,-40,-20,20,80,110,90,50,90,20,120,130,80,130,130,120,100,150,190,110,50,60,190,220
PKKO,-100,1380,880,420,,50,40,50,,-70,-80,-70,,-70,-80,-60,,-100,-80,-120,,-80,-90,-130,-100,-40,-30,20,90,-2070,-6660,2660,1320,-690,-10650,-3750,-7040,-3940,-510,1290,880,-4130,-5150,-200,-570,-1190,-3710,-4140
RN,5110,1860,1910,2980,5470,11030,11450,11850,11970,11630,12070,11280,11820,9810,7150,5840,5380,4680,4500,4180,4260,4080,3940,4090,4100,4050,3860,3650,3620,3510,3720,3950,3970,4050,3880,3560,3350,3370,3380,3330,3250,3000,2820,2840,2860,2900,2990,2920
CRN,71000,196000,191000,123000,67000,33000,32000,31000,30000,31000,30000,32000,31000,37000,51000,62000,68000,78000,81000,87000,86000,89000,93000,89000,89000,90000,94000,100000,101000,104000,98000,92000,92000,90000,94000,103000,109000,108000,108000,110000,112000,122000,130000,129000,128000,126000,122000,125000
CPZ,116000,95000,117000,97000,53000,56000,59000,58000,57000,67000,74000,90000,85000,95000,115000,126000,137000,148000,147000,153000,150000,149000,147000,142000,141000,134000,135000,133000,129000,121000,106000,92000,82000,83000,81000,83000,95000,88000,87000,87000,85000,91000,92000,93000,95000,101000,103000,101000
RZ,,,13960,18800,36110,43370,75400,65680,66090,58950,54300,44530,48140,32369,20130,22600,19780,23180,39540,34490,36380,38700,38640,48060,44020,49600,53750,57320,64500,,2110,4460,9760,,4400,-150,4560,,-29840,16450,16430,,,-39020,-2680,,,
CRZ,,,26000,19000,10000,8000,5000,6000,6000,6000,7000,8000,8000,11000,18000,16000,18000,16000,9000,11000,10000,9000,9000,8000,8000,7000,7000,6000,6000,,173000,82000,37000,,83000,-2393000,80000,,-12000,22000,22000,,,-9000,-136000,,,
RMO,4270,1770,1260,1560,2870,3970,4570,5140,5190,5300,5700,5460,5720,5020,3910,3440,3170,2920,2930,2900,2960,2920,3010,3200,3250,3370,3200,2970,2750,2670,2800,3080,3380,3530,3510,3190,2920,2960,2970,3000,3020,2750,2610,2590,2620,2680,2760,2700
RMT,6070,5450,4150,5700,10470,8960,8200,6890,6960,5210,4210,3110,3260,2810,2360,2300,2120,1990,1940,1830,1870,1870,1840,1850,1800,1830,1820,1860,1910,1840,1880,1850,1830,1760,1750,1700,1700,1910,1900,1940,1940,1770,1750,1710,1690,1910,2210,2660
RM,2510,1340,970,1230,2250,2750,2930,2950,2970,2630,2420,1980,2080,1800,1470,1380,1270,1180,1170,1120,1140,1140,1140,1170,1160,1180,1160,1140,1130,1090,1130,1150,1190,1150,1150,1090,1060,1160,1160,1180,1180,1080,1050,1030,1030,1110,1230,1340
COP,,,217000,142000,77000,41000,37000,37000,36000,37000,37000,40000,39000,48000,69000,78000,86000,94000,90000,98000,96000,98000,102000,97000,97000,97000,101000,106000,107000,,271000,174000,129000,,177000,-2290000,189000,,96000,132000,134000,,,120000,-8000,,,
CSP,,,100000,45000,24000,-15000,-22000,-21000,-21000,-30000,-37000,-50000,-46000,-47000,-46000,-48000,-51000,-54000,-57000,-55000,-54000,-51000,-45000,-45000,-44000,-37000,-34000,-27000,-22000,,165000,82000,47000,,96000,-2373000,94000,,9000,45000,49000,,,27000,-103000,,,
