,2010/Q4,2011/Q4,2012/Q4,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
EVCurrent,43160,55100,54760,51200,50360,48310,48880,44130,45580,44320,47460,61510,63200,59070,65600,66220,66220,63130,68830,69300,66780,66460,67630,69480
EVPCurrent,400,430,460,450,450,440,450,440,470,470,520,680,680,610,650,650,670,650,690,690,650,630,630,630
EVEBITCurrent,67310,5720,6900,7600,42720,19000,13030,12940,5440,16420,25060,20740,25280,47320,-76780,-9300,-7360,-21410,-45950,28870,19090,19200,14080,12780
EVEBITDACurrent,3320,2580,3090,3230,4970,4310,3950,3780,2760,3940,4440,5060,5060,5050,6270,13090,18340,6090,5800,4420,4010,4080,3870,3880
DTAR,460,440,430,410,400,390,370,350,350,400,380,450,430,450,460,470,470,500,490,490,480,500,490,480
CG,840,820,770,700,680,650,590,540,540,690,600,820,760,830,860,880,890,1000,970,950,930,990,950,940
LDER,460,420,440,400,360,340,310,300,300,350,340,490,440,480,470,490,520,640,620,600,570,630,600,590
PZAT,2790,2880,2750,2910,3150,3310,3570,3840,3800,3470,3490,2890,3150,2980,3100,3020,2860,2260,2320,2350,2440,2240,2300,2350
PELDR,1050,1080,1120,1130,1120,1140,1130,1090,1110,1060,1070,1000,1000,990,960,940,960,1080,1070,1070,1060,1100,1090,1090
TSF,790,770,800,810,800,800,820,830,830,790,840,820,820,810,790,790,810,820,820,820,810,820,820,820
ZKO,1890,1550,1530,1460,1420,1330,1330,1480,1400,1620,1780,2490,2510,2570,2740,2950,2900,2100,2080,2080,2050,1950,1980,1960
OSF,1350,1180,1190,1180,1170,1130,1150,1240,1200,1270,1420,1670,1740,1720,1790,1870,1840,1380,1380,1400,1380,1320,1350,1350
NetDebt,1598342000000,1669599000000,1561982000000,1448156000000,1433298000000,1279618000000,1257203000000,1316668000000,1244745000000,1549478000000,1606775000000,2631701000000,2545903000000,2488275000000,2680693000000,2637012000000,2631007000000,2491117000000,2433108000000,2450656000000,2440146000000,2526335000000,2491764000000,2539232000000
NetDebtEBITDA,2840,1810,2029,2110,3260,2640,2340,2520,1680,3080,3360,4840,4550,4750,5720,11640,16270,5370,4580,3490,3270,3470,3190,3170
DebtFin,136882000000,654284000000,639592000000,485285000000,448813000000,360307000000,384992000000,185043000000,249963000000,193534000000,333919000000,963458000000,1039123000000,854266000000,1146513000000,1174277000000,1174230000000,1035910000000,1290983000000,1312266000000,1199186000000,1184921000000,1237636000000,1320471000000
DebtFinEBITDA,240,710,830,710,1020,740,720,350,340,380,700,1770,1860,1630,2450,5180,7260,2230,2430,1870,1610,1630,1580,1650
SP1,720,760,780,810,820,850,860,840,860,780,790,670,700,670,650,630,630,660,660,670,680,670,680,690
SP2,1050,1080,1120,1130,1120,1140,1130,1090,1110,1060,1070,1000,1000,990,960,940,960,1080,1070,1070,1060,1100,1090,1090
CAR,490,120,180,260,240,250,190,400,410,380,350,190,130,230,110,130,140,650,390,290,320,430,340,220
QR,1060,1240,1450,1510,1430,1500,1510,1410,1490,1150,1190,880,830,800,700,670,730,1220,1200,1190,1150,1270,1270,1230
CR,1160,1320,1530,1600,1510,1570,1590,1500,1590,1260,1310,1000,940,910,800,770,840,1320,1310,1310,1260,1400,1390,1360
PP,490,610,830,840,810,890,820,650,770,660,490,200,130,240,110,130,150,650,610,570,540,640,610,550
RCLR,530,600,600,620,600,570,600,670,680,470,630,630,660,560,550,510,560,550,540,590,580,600,610,620
KP,30,70,100,100,90,110,100,80,90,50,50,0,-10,-20,-40,-50,-30,60,60,60,50,70,70,70
PKKO,-290,-740,-1280,-1470,-1400,-1620,-1530,-1130,-1380,-750,-680,0,140,220,510,520,330,-630,-600,-590,-520,-840,-800,-770
RN,9440,7960,8400,8119,7820,7660,7710,7540,7440,7450,7340,6810,6560,6510,6340,6640,6740,6670,6970,7000,7010,6900,6870,6830
CRN,39000,46000,43000,45000,47000,48000,47000,48000,49000,49000,50000,54000,56000,56000,58000,55000,54000,55000,52000,52000,52000,53000,53000,53000
CPZ,72000,77000,73000,74000,77000,80000,79000,80000,78000,82000,82000,90000,93000,91000,97000,97000,100000,101000,97000,93000,92000,91000,89000,89000
RZ,,,,,,,,,,,,,,,,,,,,,,,,
CRZ,,,,,,,,,,,,,,,,,,,,,,,,
RMO,4330,3590,3290,3150,3050,2920,2940,2970,2980,3020,3160,3210,3510,3930,4150,4410,4420,3890,3570,3280,3050,3030,3050,3050
RMT,1390,1440,1270,1220,1190,1170,1160,1110,1070,1020,980,910,890,890,890,900,890,870,890,920,940,960,980,1000
RM,1050,1030,920,880,860,830,830,810,790,760,750,710,710,720,730,750,740,710,720,720,720,730,740,750
COP,,,,,,,,,,,,,,,,,,,,,,,,
CSP,,,,,,,,,,,,,,,,,,,,,,,,
