,2004/Q4,2005/Q4,2006/Q4,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
RCLR,450,530,850,500,,1600,600,620,,1220,1150,1140,,890,830,770,,810,540,670,,770,710,670,690,640,680,580,400,490,600,640,640,630,490,560,490,460,300,280,250,500,380,340,490,470,460,510
KP,-30,60,220,200,,510,270,270,,190,200,200,,120,90,80,,40,-20,30,,-10,0,-30,-20,-20,-10,-30,-40,-50,-30,-10,-10,-10,-20,40,100,110,100,-60,-70,70,80,10,80,80,70,70
PKKO,-40,70,340,170,,1170,720,680,,490,530,570,,380,260,210,,100,-40,50,,-20,10,-130,-90,-70,-60,-150,-210,-240,-170,-30,-40,-50,-80,170,450,460,380,-230,-250,350,340,30,230,180,140,130
RN,4770,4590,3530,4370,4350,2600,3170,3410,3710,3280,2380,1760,1550,1550,1500,1630,1770,1810,2330,2780,2630,2930,2900,3030,3180,3420,3300,3160,3530,3400,2840,2930,2770,2800,3240,3390,3600,4540,5460,6040,6670,4910,4760,5110,4770,5180,5320,5010
CRN,77000,80000,103000,83000,84000,140000,115000,107000,98000,111000,153000,208000,236000,236000,244000,223000,206000,202000,157000,131000,139000,125000,126000,120000,115000,107000,110000,116000,104000,107000,129000,125000,132000,130000,113000,108000,101000,80000,67000,60000,55000,74000,77000,71000,77000,70000,69000,73000
CPZ,171000,150000,122000,129000,130000,137000,133000,119000,109000,125000,145000,177000,202000,225000,262000,268000,248000,251000,221000,195000,207000,191000,175000,169000,163000,157000,165000,179000,180000,199000,241000,228000,221000,210000,188000,185000,185000,160000,147000,163000,177000,213000,210000,194000,180000,166000,156000,150000
RZ,8820,8280,5940,12050,5370,7250,7110,7640,16990,8330,9140,8910,8160,7360,6720,5790,6280,6810,8160,10650,9680,10490,9910,14720,15310,15380,17040,14530,15090,15960,16470,12830,9720,8150,5940,4480,3550,3220,3170,3260,3510,2730,2530,2670,2760,2960,3180,3260
CRZ,41000,44000,61000,30000,68000,50000,51000,48000,21000,44000,40000,41000,45000,50000,54000,63000,58000,54000,45000,34000,38000,35000,37000,25000,24000,24000,21000,25000,24000,23000,22000,28000,38000,45000,61000,82000,103000,113000,115000,112000,104000,134000,144000,137000,132000,123000,115000,112000
RMO,2290,2140,1640,1660,1650,1020,1080,1070,1160,1350,1300,1140,1010,960,910,1010,1090,1160,1460,1760,1660,1910,2029,2340,2460,2610,2550,2350,2430,2340,1900,1930,1890,1880,2080,1980,1700,1660,1550,1610,1860,1600,1620,1680,1650,1790,1930,1940
RMT,1970,2330,1490,1650,1640,1720,1320,1130,1230,1110,1080,900,800,680,570,590,640,610,680,680,640,650,660,570,540,470,410,370,350,310,320,340,370,430,440,450,430,460,470,460,480,440,510,630,770,900,1000,1090
RM,1060,1120,780,830,820,640,590,550,600,610,590,500,440,400,350,370,400,400,460,490,460,480,500,450,440,400,350,320,300,270,270,280,310,350,360,370,340,360,360,360,380,350,390,450,520,590,650,700
COP,118000,124000,164000,113000,152000,190000,166000,155000,119000,155000,193000,249000,281000,286000,298000,286000,264000,256000,202000,165000,177000,160000,163000,145000,139000,131000,131000,141000,128000,130000,151000,153000,170000,175000,174000,190000,204000,193000,182000,172000,159000,208000,221000,208000,209000,193000,184000,185000
CSP,-53000,-26000,42000,-16000,22000,53000,33000,36000,10000,30000,48000,72000,79000,61000,36000,18000,16000,5000,-19000,-30000,-30000,-31000,-12000,-24000,-24000,-26000,-34000,-38000,-52000,-69000,-90000,-75000,-51000,-35000,-14000,5000,19000,33000,35000,9000,-18000,-5000,11000,14000,29000,27000,28000,35000
