,2008/Q4,2009/Q4,2010/Q4,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
EVPCurrent_yy,,11.17,-17.28,,,-1.70,,0.14,-32.75,-10.49,-54.09,-18.87,188.99,-53.05,114.26,-24.26,-47.64,-44.83,-55.68,-11.79,31.69,214.58,116.56,17.78,-16.01,-17.69,21.71,29.34,34.00,47.70,7.37,8.44
EVPCurrent_sy,,-3.36,-11.95,,,5.28,,-10.11,12.32,-2.64,-3.95,-3.12,6.47,-6.41,-6.74,-13.92,-19.48,-25.31,-33.03,-26.22,-30.59,-4.28,21.08,9.90,18.60,5.80,-3.00,1.82,-1.43,12.99,25.94,10.09
EVPCurrent_qq,,,,,-45.45,81.81,-28.30,40.81,-63.36,141.98,-63.22,148.85,30.50,-60.68,67.82,-12.04,-9.79,-58.57,34.82,75.06,34.68,-1.03,-7.19,-4.79,-3.96,-3.01,37.24,1.17,-0.50,6.91,-0.23,2.18
EVPCurrent_sq,,,,,-21.41,10.03,6.03,-1.95,-1.80,-4.63,4.60,-1.09,7.91,-16.17,4.23,-8.70,0.94,-22.24,-6.55,0.59,-5.04,7.23,18.21,-8.70,2.47,-4.34,8.38,-4.16,-0.79,9.65,20.80,-16.22
EVEBITCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVEBITCurrent_yy,,10.96,-50.74,,,2.84,,-0.71,-32.55,-16.10,-56.82,-19.42,182.71,-51.71,127.11,-22.22,-44.76,-43.71,-52.50,-1.71,39.44,276.01,153.82,55.15,25.58,632.42,-2699.51,-1916.38,479.94,254.50,209.46,75.71
EVEBITCurrent_sy,,-39.53,-27.84,,,6.00,,-2.82,100.26,50.07,0.85,35.39,4.41,4.72,-1.28,-8.88,-18.85,-22.87,-37.22,-0.12,-8.21,-15.52,-12.29,-13.65,-19.16,-7.01,50.34,7.99,41.31,37.25,26.38,12.94
EVEBITCurrent_qq,,,,,-44.77,81.91,-29.33,39.86,-62.48,126.27,-63.63,160.97,31.63,-61.35,71.05,-10.62,-6.53,-60.61,44.33,84.97,32.60,6.22,-2.58,13.07,7.33,519.51,-445.78,20.99,134.27,278.69,6.76,-117.53
EVEBITCurrent_sq,,,,,-31.79,47.42,34.62,-28.21,40.56,10.47,-9.53,-3.62,8.40,10.80,-14.72,-11.03,-3.47,5.30,-30.58,41.53,-11.28,-3.09,-27.92,39.33,-16.93,11.47,16.53,0.09,8.70,8.27,7.30,-10.56
EVEBITDACurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVEBITDACurrent_yy,,6.96,-46.31,,,2.26,,-0.70,-32.67,-16.33,-57.06,-19.93,182.94,-51.35,129.31,-21.75,-44.63,-44.05,-53.30,-3.65,37.07,265.52,146.93,46.27,14.96,206.01,710.86,722.55,235.50,90.56,-25.70,-370.44
EVEBITDACurrent_sy,,-20.02,-32.29,,,23.94,,88.48,73.50,-4.60,29.78,-7.95,18.63,0.44,-24.73,-34.70,-42.31,-5.07,-8.05,5.97,7.92,-9.18,-8.04,24.07,-3.59,-1.83,8.24,-29.74,-3.39,19.18,13.38,21.77
EVEBITDACurrent_qq,,,,,-45.00,82.28,-29.21,39.91,-62.71,126.53,-63.67,160.86,31.78,-61.05,71.25,-10.99,-6.74,-60.64,42.93,83.66,32.67,4.96,-3.45,8.79,4.27,179.40,155.85,10.36,-57.47,58.69,-0.24,-501.67
EVEBITDACurrent_sq,,,,,-6.47,46.12,0.18,37.66,-13.90,-19.66,36.29,-2.36,10.96,-31.98,2.14,-15.30,-1.96,11.92,-1.06,-2.39,-0.16,-5.81,0.19,31.69,-22.41,-4.10,10.47,-14.52,6.68,18.31,5.09,-8.19
