,2006/Q4,2007/Q4,2008/Q4,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
ROA_yy,,-69.62,159.90,-106.86,,,,350.00,74.47,-978.26,,-2201.11,-2417.07,-440.84,,25.81,28.74,69.38,46.33,32.86,68.76,-25.56,65.58,104.03,104.96,113.93,137.95,476.32,1638.10,296.58,272.30,127.85,25.21,-9.70,-36.30,-22.24,-32.60,-10.98
ROA_sy,,42.81,-12.65,-14.72,,,,-34.90,-23.33,-16.54,,-14.70,-42.54,-39.12,,-87.33,-107.77,-91.75,-66.26,454.67,1294.74,1051.28,289.09,9.38,-0.22,9.35,51.17,13.41,42.16,17.31,-26.74,-20.93,-39.44,-27.43,-33.76,6.86,18.46,-39.23
ROA_qq,,,,,230.56,-2.13,,,-8.89,-592.68,,,-0.48,-15.00,3.39,33.54,3.49,50.59,-69.36,16.86,55.10,-98.58,53.57,109.74,-44.74,457.14,26.50,47.97,66.67,27.12,18.75,-9.44,-8.42,-8.32,-16.23,10.54,-20.62,21.10
ROA_sq,,,,,4.13,-16.13,,,22.62,-8.70,,,-17.40,-3.27,-31.08,-76.99,-150.67,202.63,182.05,278.18,9.13,-1.10,-4.68,6.31,-0.44,8.39,31.77,-20.25,24.81,-10.56,-17.71,-13.92,-4.41,7.18,-24.88,38.85,5.96,-45.02
OPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPM_yy,,-38.76,24.29,-69.30,,,,46.96,10.38,-132.44,-235.97,-679.53,-662.85,-1999.57,-613.83,19.93,-36.30,-24.83,-5.68,-61.46,78.64,37.28,30.84,187.25,201.59,200.58,177.06,22.72,476.94,150.93,219.80,24.83,-5.48,-26.05,-45.85,-35.90,-46.34,-23.85
OPM_sy,,31.93,2.71,-1.71,,,,-8.20,8.74,-17.13,-21.89,-30.50,-34.52,-17.77,-35.67,-46.48,-58.60,-50.00,-40.59,26.10,64.53,41.85,3.33,-2.93,4.95,17.62,114.25,60.38,49.66,29.64,-14.68,-18.59,-26.43,-20.85,-28.53,-43.64,-53.52,-93.33
OPM_qq,,,,,39.13,-11.38,-14.53,39.44,4.50,-126.05,-258.26,-494.30,-1.49,2.84,-21.81,33.34,-72.76,11.01,-3.12,-1.85,77.14,-161.30,-13.70,228.49,-73.39,158.71,-12.88,104.62,25.11,12.52,11.02,-20.13,-5.27,-11.96,-18.70,-5.46,-20.70,24.95
OPM_sq,,,,,-7.97,-7.46,11.67,-3.48,9.02,-29.47,5.25,-14.12,2.72,-11.43,-17.66,-28.55,-20.55,6.98,-2.17,51.67,3.66,-7.77,-28.74,42.47,12.08,3.37,29.80,6.65,4.59,-10.46,-14.57,1.76,-5.49,-3.67,-22.86,-19.75,-22.05,-86.18
ROS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROS_yy,,-51.44,66.30,-112.24,,,,257.43,8.79,-802.58,-1422.69,-2457.51,-2886.87,-440.96,-357.24,-16.31,-91.41,-15.68,-116.33,-39.79,57.87,4.56,79.64,140.17,118.13,148.66,182.05,-24.00,444.61,65.94,134.83,114.19,19.95,-10.21,-36.26,-29.57,-37.08,-11.22
ROS_sy,,40.08,0.87,-16.92,,,,-18.06,5.25,-7.08,-12.67,-6.92,-40.79,-17.53,-44.46,-77.85,-101.30,-82.62,-57.02,160.27,6866.67,274.47,89.54,12.11,-5.42,13.07,55.17,34.98,61.72,60.05,18.44,-12.35,-24.64,-40.97,-24.58,-39.29,-23.93,-44.68
ROS_qq,,,,,222.97,-14.84,-23.23,95.80,-15.02,-650.00,-44.54,-248.98,-0.46,-6.76,-22.17,11.23,-65.32,35.48,-128.45,42.64,50.17,-46.16,51.26,213.19,-77.51,292.19,-17.82,4.84,61.17,19.50,16.30,-4.37,-9.74,-10.55,-17.45,5.68,-19.37,26.23
ROS_sq,,,,,-14.00,-4.98,3.97,-3.54,10.45,-16.11,-2.29,2.81,-29.74,16.85,-34.20,-58.99,-104.11,1666.67,62.77,148.37,6.84,-13.30,-17.61,46.90,-9.86,3.65,13.07,27.78,8.00,2.58,-16.33,-5.44,-7.14,-19.66,6.91,-23.88,16.34,-41.57
RS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS_yy,,-36.57,2.45,-63.14,,,,30.09,-3.56,-134.42,-196.75,-443.89,-373.41,-578.35,-231.26,43.18,-111.21,-180.33,-242.52,21.99,81.49,96.50,104.84,168.02,290.48,1576.92,636.09,298.61,119.00,42.07,51.47,-1.37,-20.63,-21.43,-32.69,-23.18,-18.02,-21.36
RS_sy,,13.57,30.01,8.28,,,,-15.43,-23.01,-33.70,-43.33,-42.70,-45.57,-25.98,-19.88,-67.73,-24.12,-14.72,-19.66,143.05,-4.91,19.03,28.27,27.31,98.91,26.39,37.04,25.07,14.34,-12.06,13.11,-30.01,-28.08,-16.39,-53.17,-10.93,-29.24,-65.20
RS_qq,,,,,39.32,-9.45,-16.67,23.74,3.29,-132.32,-134.25,-339.83,17.88,19.82,-14.39,24.56,-205.25,-6.41,-39.77,82.82,27.59,79.88,293.49,141.28,102.79,56.00,-3.57,30.66,11.41,1.20,2.82,-14.92,-10.35,0.18,-11.92,-2.89,-4.32,-3.90
