,2009/Q4,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
ZCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZCurrent_yy,,,,,,-89.75,-58.55,21.03,15.28,189.43,-84.50,334.84,68.72,38.13,224.31,-89.55,-54.71,-72.33,-27.72,,,,,,,,,231.17,226.68,,,51.21,-49.60,
CZCurrent_sy,,,,,,8.10,-39.90,11.26,30.51,53.22,22.04,-29.58,-26.54,-19.73,-8.72,-8.94,0.29,9.50,-0.44,,,,,,,,,-1.13,20.85,,,28.44,33.44,
CZCurrent_qq,,,24.44,-87.08,-13.70,-26.11,403.10,-62.27,-17.81,85.52,-73.07,958.72,-68.11,51.88,-36.76,-65.87,38.17,-7.22,65.19,,,,,,4.19,1.53,8.83,187.64,2.78,,,,-65.74,3.71
CZCurrent_sq,,,104.66,-2.39,-18.31,-33.76,13.79,80.70,-4.17,-22.24,-9.37,4.26,-0.03,-15.02,3.05,4.02,10.10,-7.22,-6.30,,,,,,-26.24,10.00,6.56,14.35,-9.84,,,,-6.33,-13.99
ZOCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZOCurrent_yy,,,,-116.03,,-179.49,-179.49,100.00,100.00,100.00,13.07,,,,125.33,,,-25.13,-264.58,0.58,25.59,-61.97,564.56,1037.54,1099.37,895.51,261.72,-73.88,-76.17,-119.87,-241.24,-28.98,127.15,370.78
ZOCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZOCurrent_qq,,,,-116.03,-29.38,,,100.00,,,,100.00,,,151.34,-457.29,-24.20,45.07,32.48,-115.82,7.04,-19.56,293.67,335.56,-0.91,-4.83,-11.94,-68.55,-9.58,-179.34,-526.04,115.81,189.21,-5.42
ZOCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZOCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZOCurrent_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,-72.37,282.86,319.66,,,40.85,-55.98,
CZOCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,3.72,-22.33,68.22,,,39.02,10.97,
CZOCurrent_qq,,,,,,,,,,,,,,,,,,,,,,,,-77.06,0.91,5.08,13.55,217.97,10.61,,,,-65.43,5.71
CZOCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,37.74,-41.42,42.24,-9.64,3.15,26.88,,,,1.28,-15.25
EVCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVCurrent_yy,,,,0.11,,,,0.09,,,,,,,,2.09,,,,-2.37,,1.44,4.02,9.74,8.46,3.06,-9.41,-12.13,-11.04,-6.81,4.40,-49.51,-46.17,-45.85
EVCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVCurrent_qq,,,,-0.09,0.09,,,,,,,,,,,2.09,-2.05,,,-0.33,0.33,1.44,2.54,5.16,-0.84,-3.61,-9.87,2.00,0.38,0.98,0.97,-50.67,7.01,1.59
EVCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVPCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVPCurrent_yy,,,,137.97,,-78.54,-85.67,-91.27,-88.73,405.80,398.49,164.13,55.77,-55.43,-55.43,,,206.67,251.50,,,,-98.55,-99.20,-99.21,,-28.98,63.36,44.56,73.26,480.41,-42.48,-51.15,-50.93
EVPCurrent_sy,,,,-11.95,,23.74,32.35,5.28,9.66,-10.11,12.32,-2.64,-3.95,-3.12,6.47,,,-13.92,-19.48,,,,-30.59,-4.28,21.08,,18.60,5.80,-3.00,1.82,-1.43,12.99,25.94,10.09
EVPCurrent_qq,,,52.00,38.08,-22.55,-86.80,1.47,-15.89,,492.68,,-55.43,-41.03,69.57,,,,,14.62,-0.33,0.33,,,-44.86,-0.84,-3.61,34.75,26.84,-12.26,15.53,351.40,-87.43,-25.48,16.04
EVPCurrent_sq,,,-26.53,38.31,1.80,19.61,-21.41,10.03,,-1.95,,-4.63,4.60,-1.09,,,,,0.94,-22.24,-6.55,,,7.23,18.21,-8.70,2.47,-4.34,8.38,-4.16,-0.79,9.65,20.80,-16.22
EVEBITCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVEBITCurrent_yy,,,,53.72,,64.23,64.23,,,,-15.05,,,,493.62,,,19.86,-160.80,1.84,-34.50,37.48,122.44,111.72,110.85,112.96,-74.97,236.42,273.31,-569.25,-173.92,-28.87,-76.31,119.98
EVEBITCurrent_sy,,,,-27.84,,236.95,16.53,,,,100.26,,,,4.41,,,-8.88,-18.85,-22.87,-37.22,-0.12,-8.21,-15.52,-12.29,-13.65,-19.16,-7.01,50.34,7.99,41.31,37.25,26.38,12.94
EVEBITCurrent_qq,,,,53.82,22.55,,,,,,,,,,294.60,-128.62,21.11,-82.39,-47.64,53.80,-8.10,15.22,152.99,-75.87,0.06,1.29,2.34,224.35,11.03,-227.33,83.88,412.09,-63.01,7.40
EVEBITCurrent_sq,,,,62.06,-14.89,,,,,,,,,,8.40,10.80,-14.72,-11.03,-3.47,5.30,-30.58,41.53,-11.28,-3.09,-27.92,39.33,-16.93,11.47,16.53,0.09,8.70,8.27,7.30,-10.56
EVEBITDACurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVEBITDACurrent_yy,,,,51.54,,62.55,62.55,,,,-9.87,,,,493.62,,,7.31,-173.65,8.85,-27.59,44.83,118.14,111.44,110.57,112.68,-74.45,236.07,272.38,-573.25,-173.99,-28.98,-76.25,119.81
EVEBITDACurrent_sy,,,,-32.29,,50.18,0.73,,,,73.50,,,,18.63,,,-34.70,-42.31,-5.07,-8.05,5.97,7.92,-9.18,-8.04,24.07,-3.59,-1.83,8.24,-29.74,-3.39,19.18,13.38,21.77
EVEBITDACurrent_qq,,,,51.64,22.55,,,,,,,,,,294.60,-131.52,22.63,-95.30,-54.62,60.98,-8.30,15.56,150.85,-75.40,0.06,1.29,2.50,223.52,10.87,-228.72,83.97,410.50,-62.92,7.38
EVEBITDACurrent_sq,,,,18.76,42.67,,,,,,,,,,10.96,-31.98,2.14,-15.30,-1.96,11.92,-1.06,-2.39,-0.16,-5.81,0.19,31.69,-22.41,-4.10,10.47,-14.52,6.68,18.31,5.09,-8.19
ROE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROE_yy,,,,568.83,,1030.75,74.00,-63.60,-40.00,-71.06,164.61,-79.44,-51.33,,-73.66,571.97,107.79,,4.51,-152.46,-145.81,-166.35,-130.98,280.66,285.55,348.14,504.29,-79.86,-75.14,-109.51,-275.33,-47.41,48.68,325.79
ROE_sy,,,,16.23,,35.78,-65.26,-44.29,-47.91,-43.92,7.25,-17.65,47.06,,80.74,46.85,-15.03,,-4.58,0.51,44.08,-24.43,-33.01,-11.63,-23.76,13.13,4.82,-24.02,-13.51,-33.52,2.93,22.09,9.16,42.62
ROE_qq,,,154.01,492.21,-26.54,2.32,-60.91,23.90,21.09,-50.65,257.35,-90.37,186.70,,,145.57,-11.35,-11.12,-45.98,-223.26,22.57,-28.72,74.78,818.77,-20.48,72.14,-58.91,-64.19,-1.85,-165.85,-657.59,110.74,177.46,
ROE_sq,,,108.26,-8.50,-25.93,-3.81,-46.72,46.74,-30.74,3.57,1.89,12.67,23.69,,,-8.46,-28.43,35.16,7.76,-3.57,2.59,-29.11,-4.47,27.19,-11.49,5.19,-11.48,-7.81,0.76,-19.14,37.05,9.35,-9.91,
ROA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROA_yy,,,,509.34,,956.69,22.95,-61.52,-34.86,-68.23,247.97,-77.47,-51.42,,-71.34,592.24,111.38,,-1.30,-146.50,-145.22,-160.54,-128.45,261.19,213.58,161.42,560.73,-73.30,-57.45,-145.26,-268.70,-45.80,50.31,330.46
ROA_sy,,,,-1.42,,112.65,-54.57,-36.36,-40.83,-62.55,-26.74,-3.60,39.85,,73.46,40.03,-16.09,,7.10,-23.05,19.18,1.65,-16.58,-20.95,-20.84,-26.04,-36.39,-14.15,19.67,2.20,54.33,8.14,-24.23,13.11
ROA_qq,,,180.25,373.07,-19.31,-1.22,-67.39,48.06,36.58,-51.83,257.21,-90.41,194.46,,,131.60,-10.08,-14.06,-44.85,-209.11,12.56,-15.06,74.08,718.15,-38.39,-37.78,94.43,-64.18,-1.80,-166.19,-624.62,111.51,172.32,1.49
ROA_sq,,,95.68,-7.18,-22.18,50.44,-58.20,30.03,-27.64,-4.80,-18.22,71.09,4.99,,,38.11,-37.09,4.56,17.89,-0.77,-2.57,-10.82,-3.25,-5.96,-2.44,-16.67,-16.80,26.92,35.98,-28.83,25.64,-11.06,-4.73,6.25
OPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPM_yy,,,,-414.24,,40.00,59.95,,,,-333.30,,,,111.32,,,-282.69,-678.16,,-281.81,,106.47,106.85,107.32,,183.74,-51.45,-61.29,-136.92,-885.16,-19.13,106.22,345.56
OPM_sy,,,,-2.71,,66.32,38.12,,,,-37.87,,,,37.69,,,42.78,60.20,,30.04,,-0.52,12.23,-31.49,,-19.46,-14.41,19.25,-7.46,-5.77,-21.15,-24.66,-0.77
OPM_qq,,,-52.00,-198.98,,86.80,-1.47,,,,,,,,151.39,,,-216.97,22.37,-115.73,7.19,,,128.51,-0.90,-4.85,31.69,-60.90,-20.98,-190.75,-2700.23,104.03,101.50,8.06
OPM_sq,,,-8.87,77.56,,-2.30,-24.32,,,,,,,,1.42,,,4.78,13.79,-11.60,23.37,,,-0.26,-24.69,-1.40,8.76,5.98,4.93,-23.48,10.74,-11.32,0.26,0.78
ROS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROS_yy,,,,3549.39,,109.30,-65.44,-92.80,-90.23,74.76,3116.88,-39.26,-7.68,-67.74,-86.26,,-638.17,1008.32,386.34,,-52.89,,-100.42,101.76,101.74,,641.63,-43.85,-50.27,-134.70,-871.07,-24.69,80.13,388.74
