,2005/Q4,2006/Q4,2007/Q4,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
EVEBITCurrent,19450,10340,9910,8840,14160,15220,21820,43210,56310,-69300,-57090,-22030,99210,25670,2630,-23380,96640,54910,51390,19180,17330,15820,17980,12550,10210,9320,6730,6680,6540,6200,6530,5900,5520,6100,5850,5710,5610,5760,5680,6440,6180,5390
EVEBITDACurrent,12280,8039,7750,7000,9930,10450,13970,20500,24200,127750,155960,-26780,39540,14420,1710,-25490,92020,50720,46970,13650,12520,11720,12790,9780,8230,7750,5830,5820,5710,5450,5700,5240,4940,5490,5340,5170,5080,5190,5110,5850,5540,4810
DTAR,340,400,330,250,250,250,,240,260,260,,210,610,610,,380,610,610,,620,610,620,640,640,630,630,620,640,640,650,670,640,630,680,680,670,680,680,670,700,690,700
CG,510,670,490,330,340,330,,320,360,360,,260,1580,1560,,600,1550,1590,,1660,1540,1620,1790,1790,1690,1710,1630,1790,1810,1870,2040,1780,1700,2130,2080,2020,2080,2130,2000,2340,2260,2330
LDER,120,210,140,100,100,110,,120,140,150,,70,710,690,,60,660,780,,460,390,390,530,650,610,860,480,710,800,830,870,570,540,690,650,470,470,590,470,550,910,790
PZAT,5260,2930,3860,4980,4990,3930,,4170,3280,3020,,4490,1410,1420,,450,1180,990,,1630,1820,1810,1360,1080,1130,780,1380,960,820,810,710,1080,1110,880,890,1270,1230,1000,1180,1620,930,1030
PELDR,1670,1890,1640,1650,1670,2560,,2070,2480,1900,,1800,1210,1210,,980,1300,1410,,1180,1170,1180,1270,1420,1440,1720,1420,1770,1940,1960,2160,1860,1890,2090,2150,1890,1950,2170,2050,890,1140,1120
TSF,740,720,760,830,820,830,,850,840,820,,850,660,660,,660,650,690,,550,550,530,550,590,600,690,560,610,640,640,620,570,570,540,540,490,480,510,490,460,590,540
ZKO,610,650,610,500,500,580,,580,670,960,,1310,1360,1340,,1150,1220,1200,,1170,1140,1130,1130,1100,1080,1050,1030,980,960,960,940,920,900,920,900,900,890,890,880,1460,1420,1350
OSF,900,1010,890,740,760,1340,,1070,1460,1600,,2200,960,960,,1070,950,950,,940,960,950,940,950,960,970,990,1020,1030,1040,1080,1090,1110,1140,1170,1160,1190,1210,1220,840,850,840
NetDebt,2650000000,3464000000,3203000000,2961000000,3127000000,3956000000,,4616000000,7199000000,7693000000,,4757000000,154135000000,150437000000,,7742000000,199241000000,199464000000,,219124000000,210312000000,234030000000,266493000000,273126000000,268426000000,279204000000,277753000000,319622000000,337910000000,361827000000,416540000000,387763000000,390057000000,509689000000,528408000000,535998000000,574339000000,589176000000,602470000000,748699000000,742901000000,778415000000
NetDebtEBITDA,1430,1230,1090,1130,1700,2220,,5360,9370,52330,,-6150,63720,24190,,-7920,156150,80530,,10870,9660,9900,12070,9020,7740,6900,5390,5760,5780,5670,6160,5440,5240,6470,6350,6120,6360,6510,6550,7250,6810,6340
DebtFin,-1253000000,-1350000000,-1249000000,-791000000,-934000000,-590000000,,-1512000000,-600000000,-404000000,,1521000000,76458000000,70464000000,,5721000000,98232000000,106458000000,,112433000000,109915000000,114249000000,119472000000,133423000000,122805000000,151169000000,137701000000,160593000000,171191000000,185527000000,222884000000,210864000000,205021000000,269307000000,281411000000,289856000000,296012000000,306710000000,307640000000,441469000000,440960000000,427275000000
DebtFinEBITDA,-680,-480,-430,-300,-510,-330,,-1750,-780,-2750,,-1970,31610,11330,,-5860,76980,42980,,5580,5050,4830,5410,4410,3540,3730,2670,2890,2930,2910,3290,2960,2750,3420,3380,3310,3280,3390,3340,4280,4040,3480
SP1,1490,1560,1440,1500,1520,2320,,1840,2180,1650,,1680,710,720,,930,780,790,,810,840,850,830,860,890,930,960,1030,1070,1080,1150,1190,1230,1240,1300,1290,1330,1370,1400,570,600,630
SP2,1670,1890,1640,1650,1670,2560,,2070,2480,1900,,1800,1210,1210,,980,1300,1410,,1180,1170,1180,1270,1420,1440,1720,1420,1770,1940,1960,2150,1860,1890,2090,2150,1890,1950,2170,2050,890,1140,1120
CAR,580,680,650,520,480,390,,500,220,140,,250,0,30,,10,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,10,10
QR,1310,1440,1300,1520,1570,1610,,1930,1740,1000,,780,690,680,,950,830,940,,730,700,750,890,1060,1060,1440,1040,1330,1530,1610,1560,1300,1260,1340,1390,1240,1250,1340,1300,670,900,880
CR,2160,2250,2250,2910,2820,2570,,2790,2410,1760,,1050,1340,1340,,960,1430,1650,,1190,1180,1170,1260,1430,1450,1920,1380,1680,1870,1860,1860,1600,1620,1610,1620,1450,1450,1560,1490,890,1180,1120
PP,580,680,650,520,480,390,,500,220,140,,250,20,50,,10,0,30,,40,40,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,10,10
RCLR,720,710,600,1010,990,1170,,1420,1470,810,,530,670,630,,940,820,900,,690,650,750,890,1060,1060,1430,1040,1320,1510,1610,1560,1290,1260,1340,1390,1240,1240,1340,1290,670,890,870
KP,300,340,300,330,330,260,,270,230,120,,10,110,120,,-10,150,200,,80,80,80,120,170,180,290,170,270,310,310,330,260,270,280,290,230,230,270,250,-60,70,60
PKKO,170,230,210,270,290,280,,410,410,210,,10,2180,4320,,-90,14040,19630,,-5240,-4800,-4970,-7560,-11190,-11540,-18740,-10710,-18640,-22050,-22540,-23790,-20070,-21010,-26750,-30720,-22090,-22950,-26470,-24510,6580,-6990,-4740
RN,11700,9580,12470,8180,7920,7150,6680,5080,3840,3920,4080,5260,4450,4230,5870,110,10,370,930,3930,4170,4010,4080,4090,3940,4140,4360,4050,3780,3430,3180,3140,3140,3100,2950,2830,2660,2580,2530,2700,2840,2830
CRN,31000,38000,29000,45000,46000,51000,55000,72000,95000,93000,90000,69000,82000,86000,62000,3393000,53100000,992000,394000,93000,88000,91000,89000,89000,93000,88000,84000,90000,97000,107000,115000,116000,116000,118000,124000,129000,137000,142000,144000,135000,128000,129000
CPZ,43000,53000,49000,53000,49000,48000,52000,59000,69000,76000,73000,72000,123000,134000,96000,5143000,71098000,1150000,457000,118000,121000,130000,119000,106000,99000,81000,74000,75000,73000,78000,76000,79000,82000,87000,93000,99000,106000,109000,113000,123000,126000,141000
RZ,8230,6790,6350,5020,5010,5120,4780,4910,5250,5150,5340,7010,730,250,120,100,90,80,80,,,,,,,,,,,,,,,,,,,,,,,
CRZ,44000,54000,57000,73000,73000,71000,76000,74000,70000,71000,68000,52000,499000,1444000,3170000,3823000,4276000,4819000,4819000,,,,,,,,,,,,,,,,,,,,,,,
RMO,3890,3040,3340,2840,2780,2750,2560,2250,2050,2090,2180,2840,2200,2050,2840,50,0,210,530,2230,2340,2380,2560,2740,2790,3040,3240,3060,2930,2770,2620,2600,2570,2520,2420,2360,2270,2210,2180,2260,2320,2250
RMT,4850,4900,3850,3350,3030,3020,2820,2470,2350,1900,1970,1920,1690,1650,2290,40,0,210,530,2380,2610,2790,3090,3490,3720,4270,4730,4830,5080,5190,5560,5780,5910,6290,6380,6560,6710,6770,6770,4800,3630,2790
RM,2160,1880,1790,1540,1450,1310,1220,1000,840,750,780,790,900,900,1240,20,0,100,260,1150,1230,1280,1400,1530,1600,1770,1920,1870,1860,1810,1780,1790,1790,1800,1760,1740,1690,1670,1650,1540,1420,1250
COP,75000,92000,86000,118000,119000,122000,131000,146000,165000,164000,158000,121000,581000,1530000,3232000,7216000,57376000,5811000,5213000,,,,,,,,,,,,,,,,,,,,,,,
CSP,32000,39000,37000,65000,70000,74000,79000,87000,96000,88000,85000,49000,458000,1396000,3136000,2073000,-13722000,4661000,4756000,,,,,,,,,,,,,,,,,,,,,,,
