,2004/Q4,2005/Q4,2006/Q4,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
WKGrahamCurrent_yy,,14.18,54.03,,190.90,,,,-9.66,-9.89,-10.56,,-30.30,-25.28,-34.35,,-16.52,-10.63,-11.08,,-18.56,-20.98,-20.91,,5.69,10.22,-7.58,6.35,4.65,-10.06,34.68,30.68,-20.76,11.43,-3.52,-3.05,27.46,15.42,-22.51,-21.88,-70.98,-61.32,-102.28,-101.05,-142.30,-142.43,-2557.27
WKGrahamCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WKGrahamCurrent_qq,,,,,,-8.35,-5.99,-100.00,,-8.59,-6.68,-100.00,,-2.00,-18.01,-100.00,,4.92,-18.43,-100.00,,1.80,-18.37,1.52,25.27,6.17,-31.55,16.82,23.27,-8.76,2.50,13.36,-25.26,28.31,-11.26,13.91,-1.73,16.19,-40.41,14.83,-63.49,54.86,-103.51,47.27,-1375.86,-55.32,-119.86
WKGrahamCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CWKGrahamCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CWKGrahamCurrent_yy,,-12.41,-35.08,,-65.62,,,,10.69,10.98,11.81,,43.49,33.83,52.34,,19.79,11.89,12.46,,22.78,26.54,26.44,,-5.39,-9.28,8.20,-5.97,-4.44,11.19,-25.75,-23.48,26.19,-10.26,3.65,3.15,-21.54,-13.35,29.05,28.01,244.59,158.52,,,,,
CWKGrahamCurrent_sy,,20.12,-32.19,,-34.22,,,,3.94,-1.63,8.10,,4.98,13.00,6.03,,-1.19,-1.68,-2.40,,-6.01,-6.21,-5.55,,25.62,22.41,3.83,51.06,-6.35,-6.37,15.42,-25.44,21.26,48.07,25.49,6.25,-21.42,-21.26,6.60,38.31,104.20,63.57,,,,,
CWKGrahamCurrent_qq,,,,,,9.11,6.36,,,9.39,7.16,,,2.03,21.98,,,-4.69,22.59,,,-1.77,22.50,-1.50,-20.17,-5.81,46.09,-14.40,-18.87,9.60,-2.44,-11.78,33.79,-22.06,12.68,-12.21,1.77,-13.93,67.83,-12.92,173.95,-35.43,,,,,
CWKGrahamCurrent_sq,,,,,,-12.46,7.48,,,-17.15,18.11,,,-10.82,10.83,,,-11.27,10.02,,,-11.46,10.80,-8.54,40.02,-13.73,-6.02,33.05,-13.20,-13.74,15.85,-14.05,41.17,5.33,-1.82,-27.22,4.40,5.55,32.92,-5.57,54.14,-15.45,,,,,
PCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
