,2004/Q4,2005/Q4,2006/Q4,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
CR,1580,960,2550,3790,2580,4840,3030,3200,3020,2850,1770,1520,1460,1790,1240,1280,1400,1990,1590,1370,1610,1790,1550,1310,1270,1550,2320,1410,1400,1640,,1470,86160,16680,80,2140,2260,2310,2580,2550,56930,13900,169200,247950,292920,24130,23670,9010
PP,210,100,820,2430,1540,3170,1700,980,910,830,170,170,40,50,20,50,90,190,60,20,70,10,170,110,80,80,140,80,140,230,,200,85590,15620,0,2050,2170,2240,2520,2490,55940,13820,168140,246520,291590,24100,23030,8970
RCLR,1080,470,780,650,510,890,540,910,890,1090,760,620,710,950,680,680,790,1070,950,790,1000,1190,820,590,540,670,1020,700,690,640,,1270,580,1060,80,80,90,70,60,60,980,70,900,1270,1190,30,630,30
KP,80,-10,290,480,350,390,320,260,240,200,110,80,80,90,40,60,80,120,90,80,120,120,110,90,80,130,220,120,120,140,1000,0,990,310,-190,310,540,570,610,610,980,930,990,1000,1000,930,960,320
PKKO,100,-10,210,620,490,480,400,290,300,290,160,130,110,110,50,70,90,120,90,80,120,120,100,100,100,150,250,150,160,170,870,0,220,220,-620,,,,,,,,,6830,6790,6270,6420,
RN,6660,15540,12270,13540,12700,12500,12370,12420,11940,9770,9060,8690,8750,9240,8980,8990,8730,8850,8790,8420,8230,7610,7490,7260,7090,7080,6770,6190,5700,5860,3370,3110,2420,1110,970,370,430,410,420,170,150,200,250,22810,30140,38080,15980,-680
CRN,55000,23000,30000,27000,29000,29000,30000,29000,31000,37000,40000,42000,42000,39000,41000,41000,42000,41000,42000,43000,44000,48000,49000,50000,51000,52000,54000,59000,64000,62000,108000,117000,151000,328000,378000,998000,849000,890000,878000,2164000,2423000,1866000,1475000,16000,12000,10000,23000,-540000
CPZ,51000,49000,43000,41000,47000,46000,49000,45000,40000,46000,45000,52000,54000,53000,56000,55000,55000,53000,49000,50000,48000,50000,52000,59000,73000,81000,81000,85000,86000,85000,69000,57000,38000,2000,2050000,8451000,8055000,10801000,11583000,31390000,30566000,23083000,13314000,48000,53000,33000,55000,-2052000
RZ,21980,17820,8210,8930,8270,8670,8140,7680,6760,5770,5930,6150,7150,7730,8360,9500,10340,10740,11250,10830,10990,11080,10580,8940,7010,5770,4960,4680,4770,4840,5110,4390,2970,,,,,,,,,,,,,,,
CRZ,17000,20000,44000,41000,44000,42000,45000,48000,54000,63000,62000,59000,51000,47000,44000,38000,35000,34000,32000,34000,33000,33000,35000,41000,52000,63000,74000,78000,76000,75000,71000,83000,123000,,,,,,,,,,,,,,,
RMO,4550,7700,4370,3560,2780,2520,2260,2540,2680,2630,3070,3230,3720,4250,4400,4710,4770,4840,4900,4790,4810,4670,4460,4030,3550,3220,2970,2790,2670,2690,2250,2220,1770,920,50,20,20,20,10,0,0,0,0,190,150,150,150,-10
RMT,1370,3710,3930,4150,3570,3130,2760,2400,2029,1640,1470,1320,1330,1350,1350,1460,1550,1640,1710,1730,1800,1820,1840,1860,1810,1810,1830,1800,1790,1800,2460,2330,2430,2150,10,10,20,20,80,580,2250,2480,4130,377450,334740,18170,18280,-30
RM,1050,2500,2070,1920,1560,1400,1240,1230,1160,1010,990,940,980,1020,1030,1120,1170,1220,1270,1270,1310,1310,1300,1270,1200,1160,1130,1100,1070,1080,1170,1140,1020,640,10,10,10,10,10,0,0,0,0,190,150,150,150,-10
COP,72000,43000,74000,68000,73000,71000,75000,77000,85000,100000,102000,101000,93000,86000,85000,79000,77000,75000,74000,77000,77000,81000,84000,91000,103000,115000,128000,137000,140000,137000,179000,200000,274000,,,,,,,,,,,,,,,
CSP,21000,-6000,31000,27000,26000,25000,26000,32000,45000,54000,57000,49000,39000,33000,29000,24000,22000,22000,25000,27000,29000,31000,32000,32000,30000,34000,47000,52000,54000,52000,110000,143000,236000,,,,,,,,,,,,,,,
