,2007/Q4,2008/Q4,2009/Q4,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
CZCurrent_sy,,,,,,1227.75,,212.25,,-12.71,-61.58,-68.38,-17.41,24.15,254.27,-33.59,-84.49,171.08,-77.35,203.71,1627.58,-14.75,346.43,53.74,17.02,,,,,,,,,,,-0.26
CZCurrent_qq,,,,,,,-16.92,57.41,-23.53,24.62,-18.52,-30.30,-32.61,41.94,-11.36,-35.90,28.00,-6.25,-10.00,25.93,20.59,-41.46,25.00,26.67,-5.26,,,,,,,,-37.50,2230.00,93.78,988.48
CZCurrent_sq,,,,,,,16.58,91.73,-57.87,-7.30,-48.69,57.80,10.03,39.35,46.42,-70.42,-74.30,2335.54,-87.76,296.59,46.18,20.18,-35.93,36.57,11.27,,,,,,,,40.00,5.33,-15.20,-20.25
ZOCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZOCurrent_yy,,-433.11,609.11,,,33.45,,1319.01,33.45,-27.63,-27.63,-27.63,168.47,116.54,240.46,433.86,-10.70,37.05,5.81,-47.06,-26.45,24.27,-27.87,-81.36,-103.16,-364.16,-437.79,-1922.85,-11913.84,94.16,74.63,95.33,93.20,98.29,102.24,64.82
ZOCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZOCurrent_qq,,,,,963.30,33.45,,,,-27.63,,,270.96,-41.63,57.23,56.80,-37.95,-10.41,21.39,-21.55,-13.78,51.36,-29.54,-79.73,-114.63,-12539.86,9.90,-9.37,3.55,93.86,-291.63,79.88,-40.49,98.46,613.00,-416.36
ZOCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZOCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZOCurrent_yy,,,,,,-24.32,,-92.92,-24.32,37.50,37.50,37.50,-62.50,-53.25,-70.13,-81.82,9.52,-27.78,-8.70,92.86,39.13,-19.23,42.86,440.74,,,,,,,,,,,,
CZOCurrent_sy,,,,,,286.32,,-63.39,-82.76,363.10,114.92,472.19,578.28,30.04,129.16,-67.40,-90.58,-78.81,-78.79,110.12,1745.62,567.65,642.45,54.45,,,,,,,,,,,,
CZOCurrent_qq,,,,,-90.64,-24.32,,,,37.50,,,-72.73,71.43,-36.11,-39.13,64.29,13.04,-19.23,28.57,18.52,-34.38,42.86,386.67,,,,,,,,,,,,
