,2004/Q4,2005/Q4,2006/Q2,2006/Q3,2006/Q4,2007/Q4,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
EVCurrent,77130,78690,74930,77800,70490,57900,69680,59300,73280,88000,88000,88000,82960,80360,83390,75110,83310,78440,70170,69090,63330,64349,65980,68010,64060,66010,66440,71590,67750,76100,67640,75980,79430,77170,72710,74380,71830,63070,61980,62110
EVPCurrent,540,740,700,690,610,440,540,490,630,880,820,810,770,720,710,560,550,460,370,350,310,310,320,330,320,330,330,370,360,380,350,400,440,440,410,420,400,350,350,340
EVEBITCurrent,3660,9580,11810,10750,8900,3090,3730,4680,7610,-126460,-123460,-365440,159610,169720,30660,5770,4860,3060,2080,1890,1820,2090,2500,3230,2850,3070,3740,5240,5630,2930,2640,3190,3810,4870,5010,5980,5420,3990,4670,5900
EVEBITDACurrent,2590,5480,6270,6170,5360,2560,3140,3720,5780,38920,32380,25580,20270,19240,12660,4360,3850,2570,1790,1640,1550,1740,2029,2490,2210,2330,2660,3400,3410,2200,1950,2290,2610,3010,2980,3320,3080,2420,2610,2930
DTAR,400,280,280,250,250,220,230,250,200,,,,190,180,210,210,230,220,260,230,240,230,290,220,220,210,290,240,220,210,210,210,200,220,220,210,220,250,240,250
CG,660,390,390,340,330,280,310,330,240,,,,240,220,270,260,300,280,350,300,310,310,410,280,290,270,410,320,280,270,270,260,250,290,280,260,280,330,310,340
LDER,300,160,120,110,90,60,60,60,60,,,,70,70,70,60,70,70,60,80,80,80,90,100,90,90,90,70,80,80,70,80,80,80,80,80,80,80,80,90
PZAT,2810,3370,4310,4620,5240,7590,7630,7920,9060,,,,10050,11240,11060,10410,10800,10410,11440,8880,8670,8760,8550,7570,7970,8360,8350,10430,9140,9080,8890,8830,8880,9070,9040,8820,9010,8900,9240,8390
PELDR,1470,2009,1990,2110,2090,2080,2160,2150,2000,,,,1440,1360,1330,1510,1360,1420,1400,1490,1500,1480,1370,1450,1460,1440,1340,1360,1410,1470,1580,1510,1470,1440,1520,1470,1450,1360,1400,1340
TSF,780,830,810,830,820,830,810,800,850,,,,860,870,840,840,820,840,790,830,820,820,770,850,840,850,770,810,840,850,840,850,860,840,840,860,840,810,820,810
ZKO,850,480,480,420,410,360,380,400,340,,,,490,500,580,470,570,530,600,510,520,530,660,530,530,520,680,600,550,500,470,480,480,540,500,510,530,620,590,650
OSF,960,830,840,790,780,710,760,800,640,,,,650,640,720,660,730,700,780,710,720,720,830,700,710,690,840,760,710,680,680,670,660,710,690,680,710,780,760,800
NetDebt,376549000000,-17692000000,30578000000,23668000000,-39972000000,-152656000000,-176153000000,-164634000000,86625000000,,,,301213000000,206370000000,344868000000,220896000000,478148000000,371707000000,389776000000,305727000000,246614000000,267291000000,502085000000,265353000000,253426000000,238146000000,540310000000,443966000000,342998000000,99540000000,-40074000000,57882000000,-5406000000,91053000000,174255000000,239271000000,220182000000,301095000000,448427000000,512996000000
NetDebtEBITDA,930,-60,130,100,-160,-350,-420,-540,360,,,,3850,2580,2740,670,1160,640,520,380,320,380,810,510,460,440,1130,1100,900,150,-60,90,-10,190,370,560,490,600,990,1260
DebtFin,-147888000000,-178010000000,-249792000000,-194977000000,-334779000000,-575363000000,-350227000000,-548569000000,-281347000000,,,,-96356000000,-146000000000,-88035000000,-246359000000,-89704000000,-182645000000,-340877000000,-361509000000,-471649000000,-452152000000,-420843000000,-382027000000,-457660000000,-420301000000,-412071000000,-313700000000,-387171000000,-227519000000,-389087000000,-229727000000,-163857000000,-206959000000,-292310000000,-260280000000,-309122000000,-476467000000,-497304000000,-494950000000
DebtFinEBITDA,-370,-650,-1090,-810,-1330,-1330,-830,-1800,-1160,,,,-1230,-1830,-700,-750,-220,-310,-450,-450,-610,-640,-680,-730,-830,-780,-860,-780,-1020,-340,-590,-360,-280,-420,-630,-610,-690,-960,-1100,-1220
SP1,1130,1720,1760,1890,1900,1960,2029,2009,1890,,,,1340,1280,1250,1420,1280,1320,1310,1380,1390,1370,1250,1320,1340,1330,1230,1260,1290,1360,1450,1390,1360,1330,1390,1340,1330,1250,1280,1220
SP2,1460,2000,1980,2090,2080,2070,2140,2120,2000,,,,1430,1360,1330,1510,1360,1410,1400,1490,1500,1470,1360,1450,1460,1440,1340,1350,1390,1470,1550,1500,1470,1440,1500,1450,1440,1360,1380,1330
CAR,510,660,800,680,1150,1690,890,1240,860,,,,350,590,280,700,210,440,570,750,900,870,620,950,970,980,600,580,750,450,670,510,420,380,530,560,580,660,750,720
QR,1690,2950,2530,2840,2910,2870,2710,2600,3120,,,,1840,1850,1490,2040,1430,1630,1440,1910,1950,1960,1400,2150,2029,2100,1470,1620,1780,2200,2350,2320,2430,2060,2170,2120,2080,1660,1650,1560
CR,2130,3510,3060,3480,3450,3470,3280,3050,3840,,,,2870,2810,2310,2840,2270,2520,2050,2630,2580,2550,1930,2880,2740,2840,1900,2170,2580,2810,2940,2990,3050,2560,2760,2850,2650,2140,2260,2100
PP,510,1760,1360,1380,1540,1700,1680,1580,1040,,,,350,600,280,710,210,440,570,760,900,870,620,950,970,980,610,600,760,1240,1440,1330,1490,1230,1110,1020,1050,960,750,720
RCLR,1050,1050,1060,1290,1240,1040,940,970,2080,,,,1500,1260,1210,1340,1220,1190,870,1160,1060,1090,780,1210,1070,1130,870,1020,1070,760,710,910,830,670,890,1020,940,590,730,710
KP,250,420,400,430,430,430,430,420,420,,,,260,230,210,290,220,250,220,280,280,270,210,270,270,260,200,220,240,270,300,290,280,260,280,270,260,210,230,200
PKKO,240,450,410,430,420,470,510,520,530,,,,310,260,230,340,260,270,250,320,320,300,240,290,320,320,250,260,290,390,490,440,450,440,480,430,420,370,400,340
RN,6500,6510,6330,6470,6290,6510,6340,5940,4730,3860,3710,3040,4800,5700,5930,6320,6680,6830,7100,7090,7130,6860,6610,6690,6630,6750,6430,6000,5930,7930,8119,7970,7530,7350,6920,6630,6320,6280,6190,6340
CRN,56000,56000,58000,56000,58000,56000,58000,61000,77000,95000,98000,120000,76000,64000,62000,58000,55000,53000,51000,51000,51000,53000,55000,55000,55000,54000,57000,61000,62000,46000,45000,46000,48000,50000,53000,55000,58000,58000,59000,58000
CPZ,54000,50000,52000,49000,49000,47000,50000,58000,60000,74000,68000,58000,51000,46000,47000,43000,43000,43000,46000,47000,49000,51000,55000,54000,55000,53000,55000,61000,61000,55000,59000,59000,61000,64000,64000,65000,66000,69000,74000,79000
RZ,11860,10260,10450,10840,11100,10080,9730,9550,9020,8039,8820,7820,6140,6950,7210,7420,7740,7510,7460,7490,7990,8550,8490,8810,8350,8150,8590,8430,8280,8210,7840,8100,7670,7830,7960,7780,7760,7430,7040,7230
CRZ,31000,36000,35000,34000,33000,36000,38000,38000,40000,45000,41000,47000,59000,52000,51000,49000,47000,49000,49000,49000,46000,43000,43000,41000,44000,45000,43000,43000,44000,44000,47000,45000,48000,47000,46000,47000,47000,49000,52000,51000
RMO,3190,2120,2140,2210,2250,2180,2090,1890,1790,1470,1580,1650,2510,2780,2970,3110,3320,3410,3350,3290,3090,2920,2780,2780,2720,2710,2670,2570,2580,2450,2260,2180,2040,1970,2020,2020,2050,2050,2020,2040
RMT,2770,2980,3030,3200,3330,3210,3150,2950,2710,2260,2360,2220,1670,1700,1790,2020,2160,2320,2440,2420,2400,2340,2220,2150,2040,1970,1910,1820,1770,1740,1680,1650,1540,1490,1490,1460,1490,1470,1390,1370
RM,1480,1240,1250,1310,1340,1300,1260,1150,1080,890,950,950,1000,1060,1120,1220,1310,1380,1410,1390,1350,1300,1230,1210,1160,1140,1110,1060,1050,1020,960,940,880,850,860,850,860,850,820,820
COP,87000,92000,93000,90000,91000,92000,96000,99000,117000,140000,139000,167000,135000,116000,113000,107000,102000,102000,100000,100000,97000,96000,98000,96000,99000,99000,100000,104000,106000,90000,92000,91000,96000,97000,99000,102000,105000,107000,111000,109000
CSP,33000,42000,41000,41000,42000,45000,46000,41000,57000,66000,71000,109000,84000,70000,66000,64000,59000,59000,54000,53000,48000,45000,43000,42000,44000,46000,45000,43000,45000,35000,33000,32000,35000,33000,35000,37000,39000,38000,37000,30000
