,2008/Q4,2009/Q4,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
EVEBITDACurrent_sq,,,,-23.49,-44.59,-47.52,56.81,81.61,-0.75,25.23,24.79,55.20,-29.63,-2.16,11.27,-11.39,-159.82,-8.03,-48.13,40.96,317.13,23.55,-191.19,214.11,31.16,7.34,-126.06,393.53,-27.52,-16.39,-27.62,24.18,-1.86
ROE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROE_yy,,-193.00,276.44,,,,0.97,-25.62,35.22,21.54,-53.31,-66.93,-83.83,-98.32,-91.98,-125.81,-221.90,-1076.92,-1086.17,-482.72,-163.88,-296.85,-818.55,-643.58,-421.18,-445.63,100.20,123.82,139.58,144.85,23276.47,72.65,-2.17
ROE_sy,,-56.28,124.57,,,,-31.05,-36.39,-14.33,-14.22,-101.05,-115.49,-195.13,-430.93,622.22,436.59,164.76,121.07,1054.26,-7.01,-18.91,-27.93,-275.30,-303.77,-318.03,-345.60,121.35,172.40,169.20,158.40,293.47,56.10,44.64
ROE_qq,,,,21.04,-31.31,-7.45,31.21,-10.84,24.89,-16.82,-49.59,-36.86,-38.92,-91.37,141.03,-303.19,-188.48,30.85,-143.31,-20.06,-30.64,-3.99,-463.16,2.81,8.43,-8.87,100.21,11494.12,52.16,23.37,7.41,-14.37,-13.78
ROE_sq,,,,21.04,-25.07,-15.15,-10.40,11.67,0.91,-15.04,-101.10,-1547.22,-519.73,-195.54,101.73,961.70,19.24,-3.87,-5.16,-14.47,3.99,-14.56,-330.69,0.58,-11.26,3.75,120.05,237.19,6.36,-18.78,35.10,33.77,-1.45
ROA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROA_yy,,-187.08,293.50,,,,10.80,-19.23,42.36,26.23,-53.89,-67.91,-83.84,-98.40,-92.00,-125.56,-222.26,-930.43,-866.07,-347.37,-95.06,-250.79,-544.52,-423.33,-278.96,-311.79,100.22,129.15,154.03,161.76,34900.00,145.63,24.42
ROA_sy,,-70.12,87.48,,,,-2.42,-34.34,-7.05,-16.59,-100.60,-98.85,-152.22,-236.89,-37300.00,-976.92,46.53,85.27,80.88,588.60,284.88,331.41,-544.52,-333.66,-333.72,-378.51,57.14,77.45,83.29,83.39,187.13,620.27,740.17
ROA_qq,,,,25.62,-33.06,-1.39,33.63,-8.43,17.99,-12.56,-51.19,-36.29,-40.58,-91.32,143.48,-303.57,-184.21,41.05,-124.61,-18.88,-23.92,-6.01,-312.69,3.47,10.27,-15.20,100.22,12866.67,66.32,31.68,23.24,-9.00,-15.75
ROA_sq,,,,66.60,-27.45,-9.01,-11.27,12.10,2.70,-18.35,-100.63,316.67,-4761.54,-114.03,-73.01,94.92,-184.21,41.05,-124.61,229.84,7.54,-26.21,-725.57,52.93,-7.57,12.07,3.74,75.23,20.27,12.61,604.89,47.89,-1.90
OPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPM_yy,,-207.30,266.63,,,,8.16,-13.65,28.20,18.66,-48.67,-62.14,-79.01,-93.45,-82.13,-112.75,-201.69,-386.44,-529.06,-883.08,-125.87,-189.55,-394.11,-356.18,-255.06,-281.13,106.00,130.89,146.61,154.82,941.84,86.17,23.03
OPM_sy,,-0.36,36.14,,,,-23.55,-19.58,13.49,14.31,-62.49,-84.48,-105.76,-116.10,-177.81,-133.38,-345.12,-29.01,-538.76,-883.08,-47.50,223.57,-5.40,-71.99,-152.41,-496.17,83.26,141.47,129.74,108.80,408.19,267.86,315.30
OPM_qq,,,,16.81,-22.60,-5.71,26.88,-6.75,14.92,-12.73,-45.11,-31.22,-36.27,-72.77,49.72,-149.06,-408.46,23.30,-124.26,-12.40,-16.82,1.67,-282.70,-3.77,9.07,-5.55,106.02,434.42,37.20,24.12,14.48,-4.50,-9.33
