,2010/Q4,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4
OSF,1020,1030,,950,1050,1010,1020,1210,1230,860,790,-1770,-2170,-2680,-2430,-1450,-1300,-1430,,
NetDebt,919541000000,1012022000000,,1084585000000,1058390000000,1096001000000,1124116000000,1175236000000,1218072000000,1151712000000,1145108000000,1016369000000,1023994000000,1064169000000,1104347000000,612401000000,593894000000,612209000000,648805000000,618685000000
NetDebtEBITDA,1980,1860,,2400,2460,2990,3510,5240,8189,-3990,-3080,-1240,-1290,-2380,-2450,-3560,-3050,-3200,-3600,-3060
DebtFin,329945000000,409668000000,,400404000000,408650000000,480512000000,504171000000,559916000000,659062000000,669230000000,702123000000,641906000000,671985000000,704745000000,765859000000,285701000000,288322000000,290546000000,332707000000,302893000000
DebtFinEBITDA,710,750,,890,950,1310,1580,2490,4430,-2320,-1890,-780,-840,-1570,-1700,-1660,-1480,-1520,-1840,-1500
SP1,550,550,,490,520,500,500,460,410,260,180,-460,-520,-560,-550,-460,-390,-420,,
SP2,1350,1330,,1280,1290,1270,1260,1190,1160,1140,1150,1220,1200,1070,1090,1260,1210,1180,1640,3810
CAR,1960,1570,,1320,1590,1310,1230,1120,890,810,740,1040,970,590,370,880,650,610,390,500
QR,2690,2470,,1840,2290,1820,1700,1670,1520,1290,1230,1600,1420,920,1050,1350,1120,970,870,810
CR,2900,2770,,2060,2630,2220,2160,2300,2170,1820,1460,1770,1730,1190,1250,1630,1570,1430,1280,1050
PP,1960,1570,,1320,1600,1310,1230,1120,890,810,740,1040,970,590,370,900,650,610,390,500
RCLR,730,870,,500,690,510,460,540,630,480,490,520,440,330,270,440,470,350,490,310
KP,230,220,,180,200,180,180,140,120,110,60,150,140,50,60,160,130,110,80,30
PKKO,-3010,-2790,,-2450,4720,1360,860,420,360,260,120,200,190,70,100,170,140,120,80,20
RN,7860,8189,7710,7910,7810,7990,7290,7060,6830,6610,7640,7930,8960,9270,9950,10350,10480,10570,9860,10650
CRN,46000,45000,47000,46000,47000,46000,50000,52000,53000,55000,48000,46000,41000,39000,37000,35000,35000,35000,37000,34000
CPZ,63000,64000,68000,75000,70000,82000,94000,95000,102000,106000,89000,87000,84000,89000,97000,98000,97000,94000,85000,86000
RZ,,,,,3030,4450,5360,6610,5820,6000,8189,10290,12790,14750,14200,12860,12190,10960,9660,9900
CRZ,,,,,121000,82000,68000,55000,63000,61000,45000,35000,29000,25000,26000,28000,30000,33000,38000,37000
RMO,1990,2200,2070,2090,2130,1950,1730,1670,1620,1620,2100,2320,2570,2700,2590,2620,2750,2700,2930,3240
RMT,1050,1150,1080,1100,1080,980,860,740,650,580,640,740,920,1050,1200,1270,1390,1510,1780,2150
RM,690,750,710,720,720,650,570,510,460,430,480,550,660,740,820,850,920,970,1110,1290
COP,,,,,168000,128000,118000,107000,116000,116000,93000,81000,70000,64000,63000,63000,65000,68000,75000,71000
CSP,,,,,98000,46000,24000,12000,14000,10000,4000,-6000,-14000,-25000,-34000,-35000,-32000,-26000,-10000,-15000
