,2007/Q4,2008/Q4,2009/Q4,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
EVCurrent,1930,1320,1830,1950,700,850,-280,1950,510,810,1100,1530,1880,1770,1770,1920,2140,2180,2160,2320,2710,2680,2180,2270,2120,1990,1680,1610,1870,1880,1770,1570,640,-400,-570
EVPCurrent,240,100,480,380,170,200,-80,610,140,240,330,500,1340,1620,1650,1350,1200,990,860,880,840,750,590,650,620,580,480,490,640,770,700,530,170,-100,-150
EVEBITCurrent,860,1700,2490,1640,870,1150,-400,3160,670,1130,2510,3550,28780,-61940,-57580,24600,19780,8820,6980,8170,6330,4970,3570,3960,3670,3850,3190,3650,14440,-89960,-21330,-33660,2360,-1080,-1570
EVEBITDACurrent,860,1680,2450,1630,860,1140,-390,3090,660,1110,2440,3440,23280,-144540,-119740,20600,17550,8410,6750,7910,6200,4880,3510,3880,3590,3750,3110,3540,13100,-244170,-26680,-58980,2170,-1010,-1460
DTAR,900,390,450,,650,670,710,,350,340,370,360,360,380,420,340,400,440,550,570,590,610,660,500,520,540,580,590,260,330,410,470,550,530,400
CG,8930,630,820,,1860,2000,2390,,540,530,600,560,550,620,740,510,660,780,1220,1340,1430,1560,1940,1000,1060,1150,1370,1460,360,490,700,880,1220,1130,660
LDER,8360,110,460,,240,220,220,,80,60,70,80,80,80,90,90,140,390,790,540,420,470,600,550,160,160,180,200,70,190,190,200,200,150,120
PZAT,0,140,20,,50,50,50,,110,280,240,200,190,180,130,100,50,20,10,10,10,20,10,10,40,40,30,20,50,90,80,70,60,70,80
PELDR,10800,6530,5510,,112760,143800,75160,,52150,31380,27330,25590,23380,22830,23870,31730,28970,31230,32509,32159,30340,30300,32040,44230,48510,50600,49920,49240,70570,36630,37260,37240,43240,55370,41200
TSF,940,680,800,,430,410,360,,700,700,670,690,700,670,630,720,690,780,800,660,590,580,550,770,560,540,500,490,790,800,700,640,540,540,680
ZKO,990,430,530,,660,670,710,,360,350,380,370,370,390,440,350,410,450,560,590,600,630,680,510,520,540,590,600,270,340,420,480,560,540,410
OSF,1140,2540,1990,,31970,38710,18170,,17300,10390,9700,8640,7600,7220,7790,10130,10340,10060,10260,9920,9560,9080,8900,14530,15680,14660,14300,13410,15660,9000,10210,10360,11680,14690,10800
NetDebt,98913900000,5462300000,20032970000,,58923000000,66851000000,74027000000,,5425000000,10499000000,16497000000,20530000000,23799000000,24934000000,29846000000,21733000000,25943000000,30694000000,45041000000,54114000000,66276000000,75020000000,85652000000,41687000000,47250000000,52316000000,61847000000,65953000000,15478000000,18829000000,28489000000,35285000000,45111000000,27674000000,-749000000
NetDebtEBITDA,4390,690,2680,,5660,7060,8160,,550,1140,2890,3630,23200,-159830,-158760,18390,16730,9320,11090,14490,11920,10760,10860,5610,6290,7770,9030,11430,8530,-192130,-33750,-104090,11990,5480,-150
DebtFin,-206400000,-6253200000,-1164650000,,-15863000000,-14002000000,-28342000000,,-18237000000,-14541000000,-10849000000,-5360000000,-890000000,-2227000000,-2263000000,-420000000,2448000000,2925000000,2641000000,4762000000,9698000000,9232000000,2917000000,4056000000,2209000000,480000000,-3476000000,-4326000000,-992000000,-846000000,-2253000000,-4782000000,-16610000000,-29863000000,-31972000000
DebtFinEBITDA,-10,-790,-160,,-1520,-1480,-3120,,-1850,-1580,-1900,-950,-870,14280,12040,-360,1580,890,650,1280,1740,1320,370,550,290,70,-510,-750,-550,8630,2670,14110,-4420,-5910,-6500
SP1,1150,5900,3770,,48780,57750,25470,,48480,29510,25350,23380,20730,18280,17780,29190,25330,22360,18200,16900,15840,14510,13140,28610,29950,26910,24340,22200,58410,26700,24200,21630,20750,27160,26680
SP2,10800,6530,5510,,60690,70170,30980,,52150,31380,27190,25250,22430,19800,19400,31730,28970,31090,32500,26100,22480,21360,21060,44230,34720,31320,28730,26740,62780,31650,28850,26030,24980,31100,29920
CAR,370,700,130,,290,240,330,,930,670,460,260,60,110,90,80,190,310,570,250,90,80,160,370,180,170,180,180,220,410,290,290,380,630,1250
QR,14530,2390,3990,,1040,900,700,,3100,3070,2820,2960,2510,2070,1770,2850,2640,3780,4430,2140,1660,1550,1380,3990,1580,1290,1130,1030,3880,3850,2400,1840,1220,1200,2230
CR,15940,2800,4300,,1760,1670,1540,,3260,3230,2980,3150,3200,2930,2600,3470,3130,4440,4970,2870,2350,2290,2140,4360,2250,2140,1960,1930,4710,4770,3270,2720,2130,2120,3030
PP,680,700,130,,290,240,330,,930,670,460,260,60,110,90,80,190,310,570,250,90,80,160,370,180,170,180,180,220,410,290,290,380,630,1250
RCLR,750,140,130,,1410,1380,1140,,2120,2350,2350,2730,2540,2270,2060,2760,2450,3480,3860,2350,2060,2029,1840,3620,1910,330,250,220,1850,1620,840,560,250,170,310
KP,860,580,660,,430,400,350,,680,680,650,660,670,640,600,700,660,760,780,640,560,550,520,760,550,520,480,470,780,770,680,620,520,520,660
PKKO,69520,190,1520,,1520,1460,2020,,1720,1760,1590,1740,4090,5240,5330,4170,3220,3240,3630,3000,2380,2290,2330,2440,1950,1910,1870,2009,1900,2460,2320,1910,1610,1450,1530
RN,16140,95680,31080,2070,910,590,410,390,520,600,790,710,310,240,240,330,400,480,510,470,490,480,440,420,430,560,870,1210,1980,1480,1430,1600,2400,3220,3730
CRN,23000,4000,12000,176000,400000,614000,880000,931000,708000,605000,464000,517000,1163000,1494000,1528000,1117000,902000,761000,722000,777000,742000,768000,824000,864000,855000,652000,418000,302000,185000,246000,255000,228000,152000,113000,98000
CPZ,30000,28000,89000,113000,252000,390000,681000,721000,525000,405000,204000,216000,467000,605000,643000,471000,383000,292000,233000,270000,281000,328000,405000,400000,403000,395000,379000,502000,483000,475000,352000,221000,248000,297000,326000
RZ,160,23960,7170,9790,9540,8630,6160,5880,7420,7350,8370,7730,1970,1080,830,920,1290,1610,1910,2110,2640,3050,3310,3340,3470,3970,4560,4700,4840,4340,4940,6740,9730,13670,20250
CRZ,2348000,15000,51000,37000,38000,42000,59000,62000,49000,50000,44000,47000,185000,337000,439000,396000,283000,226000,191000,173000,138000,120000,110000,109000,105000,92000,80000,78000,75000,84000,74000,54000,37000,27000,18000
RMO,760,4640,960,950,640,500,330,310,390,430,570,540,250,200,190,260,320,380,400,370,400,400,380,370,370,380,410,350,340,310,360,470,520,510,470
RMT,7960,39900,5620,10060,16550,75270,38550,36430,38870,29020,27770,23950,9230,6550,5980,8300,10960,14140,15990,14620,15490,15120,14260,14550,16079,18830,23340,20100,20020,16670,17430,20580,21430,22850,21450
RM,690,4150,820,870,610,500,320,310,380,430,560,520,240,190,190,250,310,370,390,360,390,390,370,360,360,370,400,350,340,310,350,450,510,500,460
COP,2371000,19000,63000,213000,438000,656000,939000,993000,757000,655000,508000,564000,1348000,1831000,1967000,1513000,1185000,987000,913000,950000,880000,888000,934000,973000,960000,744000,498000,380000,260000,330000,329000,282000,189000,140000,116000
CSP,2341000,-9000,-26000,100000,186000,266000,258000,272000,232000,250000,304000,348000,881000,1226000,1324000,1042000,802000,695000,680000,680000,599000,560000,529000,573000,557000,349000,119000,-122000,-223000,-145000,-23000,61000,-59000,-157000,-210000
