,2004/Q4,2005/Q4,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
ZCurrent_qq,,,,5.83,16.00,34.79,18.50,2.80,77.09,18.47,16.17,-7.28,4.16,34.78,0.82,12.22,-1.30,-27.38,42.28,5.18,1.01,2.56,-26.20,-6.90,-10.11,-15.12,1.49,-119.68,-54.73,57.40,-85.66,403.05,12.82,41.73,18.75,-14.90,20.56,-31.71,-1.65,2.63,-35.45,37.57,-32.52,-174.12,15.77,-197.93,46.38,318.61,20.38,58.02
ZCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZCurrent_yy,-62.93,-14.07,,-82.13,,,-48.97,-47.49,-65.60,-60.87,-60.08,-55.74,-24.75,-33.87,-23.80,-37.05,-33.58,23.29,-12.63,-6.78,-8.91,-35.49,24.35,40.50,57.85,90.76,38.72,,,,,,,,,-38.11,-42.07,20.17,45.13,20.33,124.71,11.58,62.58,,,,,,,
CZCurrent_sy,338.22,-80.95,,24.71,,,-68.42,59.64,14.56,145.51,-17.12,-26.83,-58.89,8.79,31.90,1.61,115.02,-57.66,139.13,21.48,52.15,8.10,-39.90,11.26,30.51,53.22,22.04,,,,,,,,,-0.65,-37.68,-4.97,-8.97,0.04,6.85,-16.93,-1.37,,,,,,,
CZCurrent_qq,,,,-5.48,-13.80,-25.78,-15.61,-2.75,-43.52,-15.58,-13.92,7.84,-3.98,-25.81,-0.82,-10.90,1.32,37.70,-29.71,-4.93,-1.00,-2.49,35.50,7.42,11.22,17.84,-1.47,,,,,,-11.37,-29.43,-15.80,17.50,-17.04,46.40,1.69,-2.58,54.92,-27.30,48.17,,,,,,-16.92,-36.72
CZCurrent_sq,,,,-44.13,-23.54,-16.52,-11.46,182.48,-45.13,78.89,-70.11,149.41,-69.17,373.42,-63.76,92.14,-34.77,-6.77,104.66,-2.39,-18.31,-33.76,13.79,80.70,-4.17,-22.24,-9.37,,,,,,10.10,-7.22,-6.30,3.80,-30.94,41.48,-10.24,14.07,-26.24,10.00,6.56,,,,,,-6.33,-13.99
ZOCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZOCurrent_yy,82.18,14.13,,411.43,,,106.60,122.44,244.72,183.27,178.59,113.65,24.98,-16.84,-36.00,-32.70,-50.50,-21.43,65.34,92.75,125.29,100.06,-46.38,-51.91,-46.87,-64.63,-29.35,-96.70,-107.81,-73.93,-59.56,2898.10,1568.53,526.08,380.36,67.53,73.82,85.78,52.30,67.25,21.62,6.86,-2.17,-25.86,-2.37,4.33,47.55,85.80,73.91,103.16
ZOCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
