,2008/Q4,2009/Q4,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
DebtFin,27138000000,26214000000,10205000000,11268000000,-2259000000,,17426000000,15162000000,43074000000,54185000000,78883000000,80254000000,104191000000,114572000000,123556000000,149216000000,137574000000,136453000000,124445000000,108380000000,100742000000,105994000000,97656000000,93211000000,88292000000,83735000000,79398000000,69494000000,64647000000,63693000000,58375000000,60140000000,47023000000
DebtFinEBITDA,1180,3690,570,510,-80,,720,670,1320,1760,2530,2280,1950,2060,2540,2610,2480,2820,2220,2320,1800,1850,1520,1530,1600,1310,1390,1360,1340,1420,1540,1580,1430
SP1,660,780,1070,1180,1630,,1430,1290,1490,1440,990,980,1270,1080,870,610,820,680,330,-270,730,580,610,510,1050,1040,910,850,1390,1410,1180,1120,1550
SP2,910,990,1270,1370,1840,,1660,1540,2000,1930,1360,1380,1500,1350,1170,1110,1340,1230,1210,860,1670,1430,1160,1160,1590,1780,1710,1630,2100,1920,1530,1480,1820
CAR,0,0,240,120,1430,,370,510,510,290,30,20,0,80,100,40,20,10,30,50,80,30,100,50,60,120,120,280,220,100,140,130,200
QR,400,260,570,470,1550,,720,440,700,940,-140,60,0,30,-50,100,40,20,-30,-10,30,70,90,70,90,240,220,360,330,230,170,260,260
CR,1000,1130,3400,3270,5810,,5090,3280,3500,3450,1710,1860,1580,1400,1200,1140,1340,1220,1200,900,1380,1240,1200,1170,1570,1840,2400,1820,2390,1920,2040,1750,1950
PP,0,0,240,120,1430,,370,510,510,290,30,20,0,80,100,40,20,10,30,50,80,30,100,50,60,120,120,280,220,100,140,130,200
RCLR,160,50,460,100,70,,120,90,60,90,40,60,30,30,20,20,10,40,10,10,10,100,10,10,10,110,10,0,0,40,10,0,10
KP,0,40,230,220,430,,370,310,420,410,200,210,210,160,80,60,150,110,90,-60,190,130,80,70,220,290,320,260,380,310,260,230,310
PKKO,0,210,790,700,2600,,2510,1580,2200,1480,730,590,800,610,290,150,350,260,140,-90,390,210,140,120,470,540,430,330,560,470,360,340,590
RN,7280,21730,25600,28600,28950,26690,50870,45340,47100,48920,46320,48640,47410,45290,48920,55260,69590,60260,77990,78730,90950,58880,59570,60280,58920,73510,82900,91870,98200,251410,232210,228880,184960
CRN,50000,17000,14000,13000,13000,14000,7000,8000,8000,7000,8000,8000,8000,8000,7000,7000,5000,6000,5000,5000,4000,6000,6000,6000,6000,5000,4000,4000,4000,1000,2000,2000,2000
CPZ,309000,351000,166000,105000,66000,72000,76000,89000,100000,93000,134000,134000,167000,220000,252000,265000,256000,277000,205000,240000,212000,182000,176000,168000,174000,147000,124000,109000,94000,98000,109000,110000,127000
RZ,1770,1070,1350,1400,900,850,630,720,720,920,890,1020,870,790,820,810,870,810,1090,920,980,1210,1200,1270,1260,1360,1490,1630,1720,1570,1490,1460,1370
CRZ,206000,340000,271000,261000,404000,430000,575000,509000,510000,397000,409000,359000,419000,465000,443000,450000,419000,452000,335000,397000,371000,302000,303000,288000,290000,268000,245000,224000,213000,233000,245000,249000,266000
RMO,1190,920,1440,1660,1260,1160,990,930,980,1080,1010,1140,1150,1050,1010,1040,1130,1080,1450,1290,1460,1690,1750,1730,1610,1720,1790,1840,1880,1770,1640,1640,1510
RMT,610,490,790,900,870,800,810,840,1030,1210,1120,1240,1280,1180,1160,1250,1340,1290,1830,1760,2260,2980,2840,2520,2140,2200,2450,2710,2890,2830,2510,2370,2130
RM,400,320,510,580,510,470,440,440,500,570,530,590,610,560,540,570,610,590,810,740,890,1080,1080,1020,920,960,1030,1100,1140,1090,990,970,880
COP,256000,357000,285000,274000,417000,444000,582000,517000,518000,404000,417000,367000,427000,473000,450000,457000,424000,458000,340000,402000,375000,308000,309000,294000,296000,273000,249000,228000,217000,234000,247000,251000,268000
CSP,-53000,6000,119000,169000,351000,372000,506000,428000,418000,311000,283000,233000,260000,253000,198000,192000,168000,181000,135000,162000,163000,126000,133000,126000,122000,126000,125000,119000,123000,136000,138000,141000,141000
